Ge-73(n,g) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 739.613
1.03125E-05 728.321
1.06250E-05 717.530
1.09375E-05 707.205
1.12500E-05 697.314
1.15625E-05 687.826
1.18750E-05 678.716
1.21875E-05 669.958
1.25000E-05 661.530
1.28125E-05 653.413
1.31250E-05 645.587
1.34375E-05 638.036
1.37500E-05 630.744
1.43750E-05 616.880
1.50000E-05 603.892
1.56250E-05 591.691
1.62500E-05 580.200
1.68750E-05 569.354
1.75000E-05 559.095
1.81250E-05 549.371
1.87500E-05 540.137
1.93750E-05 531.354
2.00000E-05 522.985
2.09375E-05 511.143
2.18750E-05 500.070
2.28125E-05 489.687
2.37500E-05 479.924
2.46875E-05 470.724
2.56250E-05 462.033
2.65625E-05 453.806
2.75000E-05 446.003
2.84375E-05 438.590
2.93750E-05 431.535
3.03125E-05 424.809
3.12500E-05 418.388
3.21875E-05 412.250
3.31250E-05 406.375
3.40625E-05 400.743
3.50000E-05 395.340
3.59375E-05 390.149
3.68750E-05 385.158
3.78125E-05 380.353
3.87500E-05 375.724
3.96875E-05 371.260
4.06250E-05 366.951
4.25000E-05 358.765
4.43750E-05 351.104
4.62500E-05 343.913
4.81250E-05 337.147
5.00000E-05 330.765
5.15625E-05 325.715
5.31250E-05 320.889
5.46875E-05 316.272
5.62500E-05 311.848
5.78125E-05 307.605
5.93750E-05 303.531
6.09375E-05 299.614
6.25000E-05 295.845
6.40625E-05 292.215
6.56250E-05 288.715
6.71875E-05 285.338
6.87500E-05 282.077
7.18750E-05 275.877
7.50000E-05 270.068
7.81250E-05 264.612
8.12500E-05 259.473
8.43750E-05 254.623
8.75000E-05 250.035
9.06250E-05 245.686
9.37500E-05 241.557
9.68750E-05 237.629
0.000100000 233.886
0.000103125 230.315
0.000106250 226.903
0.000109375 223.638
0.000112500 220.510
0.000115625 217.510
0.000118750 214.629
0.000121875 211.859
0.000125000 209.194
0.000128125 206.627
0.000131250 204.152
0.000134375 201.765
0.000137500 199.459
0.000143750 195.074
0.000150000 190.967
0.000156250 187.109
0.000162500 183.475
0.000168750 180.046
0.000175000 176.801
0.000181250 173.726
0.000187500 170.806
0.000193750 168.029
0.000200000 165.382
0.000209375 161.637
0.000218750 158.136
0.000228125 154.852
0.000237500 151.765
0.000246875 148.856
0.000256250 146.107
0.000265625 143.506
0.000275000 141.038
0.000284375 138.694
0.000293750 136.463
0.000303125 134.336
0.000312500 132.306
0.000321875 130.365
0.000331250 128.507
0.000340625 126.726
0.000350000 125.017
0.000359375 123.376
0.000368750 121.797
0.000378125 120.278
0.000387500 118.814
0.000396875 117.402
0.000406250 116.040
0.000425000 113.451
0.000443750 111.028
0.000462500 108.755
0.000481250 106.615
0.000500000 104.597
0.000515625 103.000
0.000531250 101.474
0.000546875 100.014
0.000562500 98.6148
0.000578125 97.2730
0.000593750 95.9846
0.000609375 94.7460
0.000625000 93.5542
0.000640625 92.4062
0.000656250 91.2995
0.000671875 90.2316
0.000687500 89.2004
0.000718750 87.2397
0.000750000 85.4028
0.000781250 83.6773
0.000812500 82.0524
0.000843750 80.5185
0.000875000 79.0676
0.000906250 77.6924
0.000937500 76.3865
0.000968750 75.1444
0.00100000 73.9609
0.00103125 72.8317
0.00106250 71.7526
0.00109375 70.7201
0.00112500 69.7310
0.00115625 68.7822
0.00118750 67.8711
0.00121875 66.9953
0.00125000 66.1526
0.00128125 65.3408
0.00131250 64.5583
0.00134375 63.8031
0.00137500 63.0739
0.00143750 61.6875
0.00150000 60.3886
0.00156250 59.1685
0.00162500 58.0195
0.00168750 56.9349
0.00175000 55.9089
0.00181250 54.9364
0.00187500 54.0130
0.00193750 53.1347
0.00200000 52.2978
0.00209375 51.1135
0.00218750 50.0062
0.00228125 48.9678
0.00237500 47.9916
0.00246875 47.0715
0.00256250 46.2023
0.00265625 45.3796
0.00275000 44.5994
0.00284375 43.8580
0.00293750 43.1524
0.00303125 42.4798
0.00312500 41.8377
0.00321875 41.2239
0.00331250 40.6363
0.00340625 40.0732
0.00350000 39.5328
0.00359375 39.0137
0.00368750 38.5145
0.00378125 38.0340
0.00387500 37.5711
0.00396875 37.1247
0.00406250 36.6938
0.00425000 35.8751
0.00443750 35.1090
0.00462500 34.3899
0.00481250 33.7132
0.00500000 33.0750
0.00515625 32.5700
0.00531250 32.0874
0.00546875 31.6257
0.00562500 31.1833
0.00578125 30.7590
0.00593750 30.3515
0.00609375 29.9598
0.00625000 29.5829
0.00640625 29.2199
0.00656250 28.8699
0.00671875 28.5322
0.00687500 28.2061
0.00718750 27.5860
0.00750000 27.0051
0.00781250 26.4594
0.00812500 25.9455
0.00843750 25.4604
0.00875000 25.0015
0.00906250 24.5666
