>,44-Ru-99:0.127600
>,44-Ru-100:0.126000
>,44-Ru-101:0.170600
>,44-Ru-102:0.315500
>,44-Ru-104:0.186200
1.031250e-02,1.17491118e+01
1.062500e-02,1.16723551e+01
1.093750e-02,1.15989880e+01
1.125000e-02,1.15286907e+01
1.156250e-02,1.14613335e+01
1.187500e-02,1.13966449e+01
1.218750e-02,1.13345060e+01
1.250000e-02,1.12747491e+01
1.281250e-02,1.12171950e+01
1.312500e-02,1.11617299e+01
1.343750e-02,1.11082402e+01
1.375000e-02,1.10565987e+01
1.437500e-02,1.09584806e+01
1.500000e-02,1.08665664e+01
1.562500e-02,1.07803029e+01
1.625000e-02,1.06991067e+01
1.687500e-02,1.06224806e+01
1.750000e-02,1.05500721e+01
1.812500e-02,1.04814399e+01
1.875000e-02,1.04162868e+01
1.937500e-02,1.03543789e+01
2.000000e-02,1.02953852e+01
2.066250e-02,1.02358233e+01
2.132500e-02,1.01790966e+01
2.198750e-02,1.01249703e+01
2.265000e-02,1.00732396e+01
2.331250e-02,1.00237710e+01
2.397500e-02,9.97636764e+00
2.463750e-02,9.93091022e+00
2.530000e-02,9.88728355e+00
2.645780e-02,9.81500548e+00
2.761560e-02,9.74736386e+00
2.877340e-02,9.68387543e+00
2.993130e-02,9.62416014e+00
3.108910e-02,9.56781952e+00
3.224690e-02,9.51458361e+00
3.340470e-02,9.46415141e+00
3.456250e-02,9.41628614e+00
3.552740e-02,9.37820570e+00
3.649220e-02,9.34165150e+00
3.745700e-02,9.30652331e+00
3.842190e-02,9.27274299e+00
3.938670e-02,9.24019918e+00
4.035160e-02,9.20885719e+00
4.131640e-02,9.17861204e+00
4.228130e-02,9.14941782e+00
4.421090e-02,9.09393202e+00
4.614060e-02,9.04200179e+00
4.807030e-02,8.99323083e+00
5.000000e-02,8.94734778e+00
5.156250e-02,8.91210319e+00
5.312500e-02,8.87843043e+00
5.468750e-02,8.84623092e+00
5.625000e-02,8.81538057e+00
5.781250e-02,8.78579876e+00
5.937500e-02,8.75741258e+00
6.093750e-02,8.73011983e+00
6.250000e-02,8.70387357e+00
6.406250e-02,8.67860225e+00
6.562500e-02,8.65425613e+00
6.718750e-02,8.63074928e+00
6.875000e-02,8.60807231e+00
7.187500e-02,8.56495688e+00
7.500000e-02,8.52456586e+00
7.812500e-02,8.48662391e+00
8.125000e-02,8.45089511e+00
8.437500e-02,8.41717714e+00
8.750000e-02,8.38530004e+00
9.062500e-02,8.35507732e+00
9.375000e-02,8.32640819e+00
9.687500e-02,8.29913690e+00
1.000000e-01,8.27315405e+00
1.031250e-01,8.24837737e+00
1.062500e-01,8.22470996e+00
1.093750e-01,8.20205556e+00
1.125000e-01,8.18036854e+00
1.156250e-01,8.15955805e+00
1.187500e-01,8.13959271e+00
1.218750e-01,8.12040269e+00
1.250000e-01,8.10194677e+00
1.281250e-01,8.08417870e+00
1.312500e-01,8.06705005e+00
1.343750e-01,8.05060865e+00
1.375000e-01,8.03458158e+00
1.437500e-01,8.00425075e+00
1.500000e-01,7.97583061e+00
1.562500e-01,7.94914328e+00
1.625000e-01,7.92400163e+00
1.687500e-01,7.90027955e+00
1.750000e-01,7.87785200e+00
1.812500e-01,7.85658832e+00
1.875000e-01,7.83642294e+00
1.937500e-01,7.81723866e+00
2.000000e-01,7.79897458e+00
2.093750e-01,7.77313220e+00
2.187500e-01,7.74896843e+00
2.281250e-01,7.72629340e+00
2.375000e-01,7.70499812e+00
2.468750e-01,7.68490854e+00
2.562500e-01,7.66594802e+00
2.656250e-01,7.64800008e+00
2.750000e-01,7.63099643e+00
2.843750e-01,7.61482516e+00
2.937500e-01,7.59944410e+00
3.031250e-01,7.58478580e+00
3.125000e-01,7.57079053e+00
3.218750e-01,7.55742333e+00
3.312500e-01,7.54462641e+00
3.406250e-01,7.53235195e+00
3.500000e-01,7.52059042e+00
3.593750e-01,7.50928761e+00
3.687500e-01,7.49841893e+00
3.781250e-01,7.48795756e+00
3.875000e-01,7.47788427e+00
3.968750e-01,7.46822454e+00
4.062500e-01,7.45882335e+00
4.250000e-01,7.44101506e+00
4.437500e-01,7.42434948e+00
4.625000e-01,7.40868678e+00
5.000000e-01,7.38011329e+00
5.312500e-01,7.35865948e+00
5.625000e-01,7.33896850e+00
5.937500e-01,7.32124219e+00
6.250000e-01,7.30411577e+00
6.875000e-01,7.27413324e+00
7.500000e-01,7.24797569e+00
8.125000e-01,7.22489058e+00
8.750000e-01,7.20438764e+00
9.375000e-01,7.18594745e+00
