V-50(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 2309.71
1.03125E-05 2274.45
1.06250E-05 2240.77
1.09375E-05 2208.54
1.12500E-05 2177.66
1.15625E-05 2148.04
1.18750E-05 2119.60
1.21875E-05 2092.26
1.25000E-05 2065.95
1.28125E-05 2040.61
1.31250E-05 2016.18
1.34375E-05 1992.61
1.37500E-05 1969.85
1.43750E-05 1926.57
1.50000E-05 1886.03
1.56250E-05 1847.94
1.62500E-05 1812.08
1.68750E-05 1778.22
1.75000E-05 1746.20
1.81250E-05 1715.84
1.87500E-05 1687.02
1.93750E-05 1659.61
2.00000E-05 1633.49
2.09375E-05 1596.52
2.18750E-05 1561.96
2.28125E-05 1529.56
2.37500E-05 1499.09
2.46875E-05 1470.37
2.56250E-05 1443.25
2.65625E-05 1417.57
2.75000E-05 1393.22
2.84375E-05 1370.09
2.93750E-05 1348.07
3.03125E-05 1327.08
3.12500E-05 1307.04
3.21875E-05 1287.89
3.31250E-05 1269.55
3.40625E-05 1251.98
3.50000E-05 1235.12
3.59375E-05 1218.92
3.68750E-05 1203.34
3.78125E-05 1188.35
3.87500E-05 1173.91
3.96875E-05 1159.98
4.06250E-05 1146.53
4.25000E-05 1120.99
4.43750E-05 1097.09
4.62500E-05 1074.65
4.81250E-05 1053.54
5.00000E-05 1033.63
5.15625E-05 1017.88
5.31250E-05 1002.82
5.46875E-05 988.420
5.62500E-05 974.621
5.78125E-05 961.386
5.93750E-05 948.677
6.09375E-05 936.460
6.25000E-05 924.704
6.40625E-05 913.381
6.56250E-05 902.466
6.71875E-05 891.934
6.87500E-05 881.763
7.18750E-05 862.426
7.50000E-05 844.312
7.81250E-05 827.296
8.12500E-05 811.273
8.43750E-05 796.149
8.75000E-05 781.843
9.06250E-05 768.285
9.37500E-05 755.411
9.68750E-05 743.165
0.000100000 731.499
0.000103125 720.368
0.000106250 709.731
0.000109375 699.555
0.000112500 689.806
0.000115625 680.455
0.000118750 671.477
0.000121875 662.846
0.000125000 654.542
0.000128125 646.543
0.000131250 638.832
0.000134375 631.393
0.000137500 624.208
0.000143750 610.550
0.000150000 597.755
0.000156250 585.737
0.000162500 574.421
0.000168750 563.740
0.000175000 553.637
0.000181250 544.062
0.000187500 534.971
0.000193750 526.325
0.000200000 518.087
0.000209375 506.431
0.000218750 495.533
0.000228125 485.316
0.000237500 475.711
0.000246875 466.660
0.000256250 458.111
0.000265625 450.020
0.000275000 442.347
0.000284375 435.057
0.000293750 428.120
0.000303125 421.509
0.000312500 415.197
0.000321875 409.165
0.000331250 403.391
0.000340625 397.857
0.000350000 392.548
0.000359375 387.449
0.000368750 382.546
0.000378125 377.827
0.000387500 373.280
0.000396875 368.897
0.000406250 364.666
0.000425000 356.630
0.000443750 349.110
0.000462500 342.054
0.000481250 335.415
0.000500000 329.155
0.000515625 324.202
0.000531250 319.470
0.000546875 314.942
0.000562500 310.606
0.000578125 306.447
0.000593750 302.454
