Te-123(n,g) ENDFB-8.0
Energy(eV) XS(b)
0.0750000 253.610
0.0781250 249.167
0.0812500 244.999
0.0843750 241.082
0.0875000 237.391
0.0906250 233.907
0.0937500 230.611
0.0968750 227.490
0.100000 224.528
0.103125 221.714
0.106250 219.036
0.109375 216.486
0.112500 214.054
0.115625 211.732
0.118750 209.514
0.121875 207.392
0.125000 205.359
0.131250 201.541
0.137500 198.022
0.143750 194.769
0.150000 191.752
0.156250 188.947
0.162500 186.335
0.168750 183.898
0.175000 181.623
0.181250 179.495
0.187500 177.500
0.193750 175.629
0.200000 173.871
0.209375 171.428
0.218750 169.193
0.228125 167.145
0.237500 165.267
0.246875 163.546
0.256250 161.969
0.265625 160.520
0.275000 159.189
0.286855 157.661
0.298710 156.292
0.310565 155.068
0.322420 153.976
0.322420 153.976
0.322420 153.976
0.322421 153.976
0.322421 153.976
0.322422 153.976
0.322424 153.976
0.322429 153.975
0.322437 153.975
0.322455 153.973
0.322489 153.970
0.322558 153.964
0.322696 153.952
0.323179 153.911
0.323662 153.869
0.324628 153.787
0.327799 153.522
0.330971 153.266
0.337314 152.779
0.350000 151.902
0.365998 150.959
0.381995 150.180
0.397993 149.552
0.413990 149.064
0.413990 149.064
0.413991 149.064
0.413992 149.064
0.413993 149.064
0.413996 149.064
0.414001 149.064
0.414012 149.064
0.414033 149.063
0.414076 149.062
0.414162 149.060
0.414334 149.056
0.414678 149.047
0.415969 149.014
0.417259 148.982
0.419839 148.921
0.425000 148.810
0.434375 148.642
0.450781 148.450
0.467188 148.380
0.500000 148.590
0.531641 149.170
0.554980 149.831
0.578320 150.694
0.601660 151.730
0.625000 152.941
0.653819 154.675
0.682637 156.666
0.716319 159.345
0.750000 162.398
0.781250 165.557
0.812500 169.050
0.843750 172.889
0.875000 177.082
0.876539 177.298
0.880398 177.844
0.884256 178.397
0.891972 179.522
0.907405 181.850
0.938270 186.813
0.969135 192.193
1.00000 198.030
1.03138 204.470
1.06276 211.464
1.09414 219.057
1.12552 227.290
1.14883 233.880
1.17214 240.905
1.19544 248.372
1.21875 256.333
1.23438 261.973
1.25000 267.869
1.27149 276.418
1.29297 285.514
1.31445 295.202
1.33594 305.531
1.35742 316.555
1.37891 328.336
1.40039 340.939
1.42188 354.440
1.44586 370.681
1.45940 380.442
1.47293 390.668
1.48647 401.385
1.50000 412.623
1.52149 431.615
1.54297 452.154
1.56445 474.416
1.58594 498.594
1.60742 524.920
1.62891 553.650
1.63965 569.009
1.65039 585.087
1.66113 601.929
1.67188 619.584
1.69141 653.945
1.71094 691.527
1.72070 711.654
1.73047 732.744
1.74024 754.867
1.75000 778.086
1.76318 811.293
1.77635 846.842
1.78953 884.962
1.80271 925.900
1.81588 969.944
1.82906 1017.41
1.84224 1068.65
1.85541 1124.11
1.86521 1168.35
1.87500 1215.40
1.88574 1270.54
1.89649 1329.73
1.90723 1393.37
1.91797 1461.92
1.92871 1535.91
1.93945 1615.91
1.95020 1702.61
1.96094 1796.78
1.97070 1889.62
1.98047 1990.12
1.99024 2099.16
2.00000 2217.72
2.00595 2295.08
2.01189 2376.69
2.01784 2462.85
2.02379 2553.92
2.02974 2650.28
2.03568 2752.35
2.04163 2860.57
2.04758 2975.44
2.05352 3097.55
2.05947 3227.50
2.06542 3365.97
2.07136 3513.72
2.07731 3671.61
2.08326 3840.58
2.08920 4021.69
2.09515 4216.09
2.10110 4425.20
2.10704 4650.48
2.11299 4893.62
2.11894 5156.56
2.12489 5441.45
2.13083 5750.76
2.13678 6087.30
2.14273 6454.20
2.14867 6855.23
2.15462 7294.53
2.16057 7776.88
2.16651 8307.77
2.17246 8893.47
2.17543 9209.13
2.17841 9541.16
2.18138 9890.84
2.18435 10259.0
2.18733 10647.1
2.19030 11056.2
2.19327 11487.9
2.19625 11943.3
2.19922 12424.2
2.20219 12931.9
2.20517 13468.2
2.20814 14034.6
2.21112 14633.1
2.21409 15265.1
2.21706 15932.8
2.22004 16637.6
2.22301 17381.8
2.22598 18166.5
2.22896 18994.1
2.23193 19865.5
2.23490 20782.4
2.23788 21746.0
2.24076 22725.0
2.24364 23749.3
2.24652 24819.4
2.24939 25934.6
2.25515 28300.2
2.26091 30835.4
2.26667 33521.5
2.27243 36327.7
2.28395 42123.5
2.28976 45020.7
2.29557 47803.1
2.30138 50390.2
2.30719 52698.1
2.31300 54647.3
2.31590 55464.2
2.31881 56165.1
2.32171 56743.6
2.32462 57193.5
2.32752 57510.6
2.33043 57691.5
2.33400 57724.9
2.33703 57589.5
2.33986 57327.8
2.34270 56938.2
2.34553 56424.5
2.34837 55791.7
2.35404 54193.4
2.35971 52201.7
2.36538 49884.7
2.37106 47317.8
2.37673 44577.5
2.38240 41738.4
2.38240 41737.3
2.38241 41734.8
2.38241 41732.8
2.38242 41728.3
2.38244 41719.7
2.38247 41702.5
2.38254 41665.1
2.38262 41627.7
2.38277 41552.9
2.38306 41403.2
2.38365 41104.1
2.38484 40505.0
2.38720 39307.3
2.39193 36926.5
2.40139 32321.7
2.40840 29129.6
2.41190 27621.0
2.41540 26175.8
2.41891 24796.1
2.42241 23483.2
2.42591 22237.4
2.42942 21058.1
2.43244 20092.2
2.43547 19174.3
2.43849 18302.5
2.44152 17475.9
2.44454 16692.3
2.44757 15950.5
2.45059 15248.4
2.45362 14584.1
2.45665 13955.5
2.45967 13361.3
2.46270 12799.3
2.46572 12267.9
2.46875 11765.1
2.47177 11289.6
2.47480 10839.7
2.47782 10413.8
2.48132 9948.71
2.48483 9511.83
2.48833 9101.17
2.49183 8714.90
2.49534 8351.30
2.49884 8008.78
2.50234 7685.88
2.50585 7381.22
2.50935 7093.55
2.51285 6821.71
2.51635 6564.61
2.51986 6321.26
2.52686 5872.20
2.53387 5467.99
