Cs-133(n,g) ENDFB-8.0
Energy(eV) XS(b)
0.000293750 268.476
0.000303125 264.292
0.000312500 260.298
0.000321875 256.480
0.000331250 252.824
0.000340625 249.321
0.000350000 245.960
0.000359375 242.731
0.000368750 239.626
0.000378125 236.637
0.000387500 233.757
0.000396875 230.980
0.000406250 228.300
0.000425000 223.208
0.000443750 218.442
0.000462500 213.969
0.000481250 209.760
0.000500000 205.790
0.000515625 202.648
0.000531250 199.647
0.000546875 196.774
0.000562500 194.023
0.000578125 191.383
0.000593750 188.849
0.000609375 186.412
0.000625000 184.068
0.000640625 181.810
0.000656250 179.633
0.000671875 177.532
0.000687500 175.504
0.000718750 171.647
0.000750000 168.034
0.000781250 164.640
0.000812500 161.443
0.000843750 158.426
0.000875000 155.572
0.000906250 152.867
0.000937500 150.299
0.000968750 147.855
0.00100000 145.528
0.00103125 143.306
0.00106250 141.184
0.00109375 139.153
0.00112500 137.208
0.00115625 135.342
0.00118750 133.550
0.00121875 131.827
0.00125000 130.169
0.00128125 128.573
0.00131250 127.034
0.00134375 125.549
0.00137500 124.114
0.00143750 121.387
0.00150000 118.833
0.00156250 116.433
0.00162500 114.173
0.00168750 112.040
0.00175000 110.022
0.00181250 108.110
0.00187500 106.294
0.00193750 104.566
0.00200000 102.921
0.00209375 100.592
0.00218750 98.4138
0.00228125 96.3718
0.00237500 94.4520
0.00246875 92.6426
0.00256250 90.9335
0.00265625 89.3157
0.00275000 87.7813
0.00284375 86.3235
0.00293750 84.9361
0.00303125 83.6136
0.00312500 82.3510
0.00321875 81.1441
0.00331250 79.9888
0.00340625 78.8815
0.00350000 77.8190
0.00359375 76.7985
0.00368750 75.8171
0.00378125 74.8724
0.00387500 73.9623
0.00396875 73.0846
0.00406250 72.2375
0.00425000 70.6281
0.00443750 69.1220
0.00462500 67.7084
0.00481250 66.3783
0.00500000 65.1238
0.00515625 64.1311
0.00531250 63.1826
0.00546875 62.2751
0.00562500 61.4056
0.00578125 60.5717
0.00593750 59.7709
0.00609375 59.0012
0.00625000 58.2605
0.00640625 57.5471
0.00656250 56.8594
0.00671875 56.1958
0.00687500 55.5549
0.00718750 54.3366
0.00750000 53.1953
0.00781250 52.1232
0.00812500 51.1135
0.00843750 50.1606
0.00875000 49.2591
0.00906250 48.4048
0.00937500 47.5935
0.00968750 46.8219
0.0100000 46.0868
0.0103125 45.3854
0.0106250 44.7152
0.0109375 44.0740
0.0112500 43.4598
0.0115625 42.8706
0.0118750 42.3050
0.0121875 41.7613
0.0125000 41.2381
0.0128125 40.7343
0.0131250 40.2485
0.0134375 39.7799
0.0137500 39.3273
0.0143750 38.4669
0.0150000 37.6610
0.0156250 36.9039
0.0162500 36.1909
0.0168750 35.5180
0.0175000 34.8814
0.0181250 34.2782
0.0187500 33.7054
0.0193750 33.1606
0.0200000 32.6416
0.0206625 32.1174
0.0213250 31.6179
0.0219875 31.1413
0.0226500 30.6857
0.0233125 30.2498
0.0239750 29.8321
0.0246375 29.4315
0.0253000 29.0467
0.0264578 28.4094
0.0276156 27.8128
0.0287734 27.2528
0.0299313 26.7257
0.0310891 26.2285
0.0322469 25.7584
0.0334047 25.3131
0.0345625 24.8904
0.0355274 24.5541
0.0364922 24.2313
0.0374570 23.9210
0.0384219 23.6224
0.0393867 23.3350
0.0403516 23.0579
0.0413164 22.7907
0.0422813 22.5327
0.0442109 22.0423
0.0461406 21.5832
0.0480703 21.1523
0.0500000 20.7466
0.0515625 20.4351
0.0531250 20.1375
0.0546875 19.8529
0.0562500 19.5803
0.0578125 19.3189
0.0593750 19.0680
0.0609375 18.8270
0.0625000 18.5951
0.0640625 18.3719
0.0656250 18.1568
0.0687500 17.7489
0.0718750 17.3680
0.0750000 17.0112
0.0781250 16.6762
0.0812500 16.3608
0.0843750 16.0633
0.0875000 15.7821
0.0906250 15.5157
0.0937500 15.2630
0.0968750 15.0227
0.100000 14.7939
0.103125 14.5757
0.106250 14.3673
0.109375 14.1681
0.112500 13.9774
0.115625 13.7945
0.118750 13.6191
0.121875 13.4506
0.125000 13.2887
0.128125 13.1328
0.131250 12.9827
0.137500 12.6982
0.143750 12.4326
0.150000 12.1840
0.156250 11.9508
0.162500 11.7314
0.168750 11.5247
0.175000 11.3294
0.181250 11.1446
0.187500 10.9694
0.193750 10.8030
0.200000 10.6449
0.209375 10.4214
0.218750 10.2128
0.228125 10.0176
0.237500 9.83442
0.246875 9.66225
0.256250 9.50003
0.265625 9.34686
0.275000 9.20196
0.284375 9.06466
0.293750 8.93433
0.303125 8.81042
0.312500 8.69247
0.321875 8.58002
0.331250 8.47268
0.340625 8.37011
0.350000 8.27198
0.359375 8.17800
0.368750 8.08793
0.378125 8.00159
0.387500 7.91877
0.406250 7.76243
0.425000 7.61724
0.443750 7.48224
0.462500 7.35644
0.500000 7.12943
0.531250 6.96142
0.562500 6.80931
0.625000 6.54605
0.687500 6.32704
0.750000 6.14313
0.812500 5.98770
0.875000 5.85637
0.937500 5.74483
1.00000 5.64978
1.06250 5.56954
1.12500 5.50233
1.25000 5.40161
1.37500 5.33927
