Dy-156(n,g) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 1637.47
1.03125E-05 1612.47
1.06250E-05 1588.58
1.09375E-05 1565.72
1.12500E-05 1543.82
1.15625E-05 1522.82
1.18750E-05 1502.65
1.21875E-05 1483.26
1.25000E-05 1464.60
1.28125E-05 1446.63
1.31250E-05 1429.31
1.34375E-05 1412.59
1.37500E-05 1396.44
1.43750E-05 1365.75
1.50000E-05 1336.99
1.56250E-05 1309.98
1.62500E-05 1284.54
1.68750E-05 1260.53
1.75000E-05 1237.82
1.81250E-05 1216.29
1.87500E-05 1195.85
1.93750E-05 1176.40
2.00000E-05 1157.87
2.09375E-05 1131.66
2.18750E-05 1107.14
2.28125E-05 1084.15
2.37500E-05 1062.54
2.46875E-05 1042.17
2.56250E-05 1022.93
2.65625E-05 1004.72
2.75000E-05 987.443
2.84375E-05 971.030
2.93750E-05 955.410
3.03125E-05 940.520
3.12500E-05 926.305
3.21875E-05 912.716
3.31250E-05 899.708
3.40625E-05 887.241
3.50000E-05 875.278
3.59375E-05 863.787
3.68750E-05 852.736
3.78125E-05 842.099
3.87500E-05 831.851
3.96875E-05 821.967
4.06250E-05 812.428
4.25000E-05 794.306
4.43750E-05 777.344
4.62500E-05 761.425
4.81250E-05 746.446
5.00000E-05 732.317
5.15625E-05 721.137
5.31250E-05 710.453
5.46875E-05 700.231
5.62500E-05 690.438
5.78125E-05 681.044
5.93750E-05 672.024
6.09375E-05 663.353
6.25000E-05 655.009
6.40625E-05 646.973
6.56250E-05 639.225
6.71875E-05 631.749
6.87500E-05 624.529
7.18750E-05 610.803
7.50000E-05 597.943
7.81250E-05 585.863
8.12500E-05 574.487
8.43750E-05 563.749
8.75000E-05 553.592
9.06250E-05 543.965
9.37500E-05 534.823
9.68750E-05 526.127
0.000100000 517.842
0.000103125 509.936
0.000106250 502.382
0.000109375 495.154
0.000112500 488.230
0.000115625 481.588
0.000118750 475.210
0.000121875 469.078
0.000125000 463.179
0.000128125 457.496
0.000131250 452.018
0.000134375 446.732
0.000137500 441.627
0.000143750 431.921
0.000150000 422.829
0.000156250 414.287
0.000162500 406.244
0.000168750 398.651
0.000175000 391.469
0.000181250 384.662
0.000187500 378.198
0.000193750 372.049
0.000200000 366.191
0.000209375 357.901
0.000218750 350.150
0.000228125 342.881
0.000237500 336.048
0.000246875 329.607
0.000256250 323.523
0.000265625 317.765
0.000275000 312.303
0.000284375 307.114
0.000293750 302.175
0.000303125 297.467
0.000312500 292.973
0.000321875 288.676
0.000331250 284.564
0.000340625 280.622
0.000350000 276.839
0.000359375 273.206
0.000368750 269.712
0.000378125 266.349
0.000387500 263.109
0.000396875 259.984
0.000406250 256.969
0.000425000 251.239
0.000443750 245.877
0.000462500 240.844
0.000481250 236.108
0.000500000 231.641
0.000515625 228.107
0.000531250 224.729
0.000546875 221.498
0.000562500 218.402
0.000578125 215.432
0.000593750 212.581
0.000609375 209.840
0.000625000 207.202
0.000640625 204.662
0.000656250 202.212
0.000671875 199.849
0.000687500 197.567
0.000718750 193.228
0.000750000 189.163
0.000781250 185.345
0.000812500 181.749
0.000843750 178.355
0.000875000 175.144
0.000906250 172.101
0.000937500 169.212
0.000968750 166.464
0.00100000 163.845
0.00103125 161.347
0.00106250 158.959
0.00109375 156.675
