Cr-50(n,tot) ENDFB-8.0
Energy(eV) XS(b)
593.750 4.84026
625.000 4.96069
656.250 5.08245
687.500 5.20564
750.000 5.45674
812.500 5.71480
875.000 5.98063
937.500 6.25504
999.999 6.53877
1003.91 6.55682
1007.81 6.57492
1022.95 6.64553
1038.09 6.71684
1068.36 6.86128
1128.91 7.15745
1189.45 7.46480
1250.00 7.78421
1375.00 8.48556
1500.00 9.24983
1625.00 10.0860
1687.50 10.5342
1750.00 11.0044
1812.50 11.4980
1875.00 12.0166
1937.50 12.5621
2000.00 13.1363
2122.01 14.3556
2183.01 15.0044
2244.01 15.7005
2366.02 17.1984
2427.02 18.0158
2488.02 18.8849
2549.03 19.7949
2610.03 20.7624
2671.03 21.8020
2732.03 22.8937
2793.04 24.0481
2854.04 25.3033
2884.54 25.9360
2915.04 26.6251
2976.04 28.0165
3048.14 29.8233
3120.23 31.7760
3156.28 32.7801
3192.33 33.8560
3264.42 36.1499
3336.52 38.6360
3408.61 41.3569
3480.70 44.3294
3552.80 47.5694
3613.80 50.5782
3674.80 53.8203
3735.81 57.3347
3796.81 61.1705
3857.81 65.3177
3918.81 69.8591
3979.82 74.8113
4040.82 80.1916
4101.82 86.1360
4132.32 89.2768
4162.83 92.6130
4223.83 99.7155
4284.83 107.561
4345.83 116.129
4406.84 125.613
4437.34 130.666
4467.84 136.050
4528.84 147.474
4587.74 159.718
4617.18 166.185
4646.63 173.085
4705.53 187.650
4764.42 203.705
4793.87 212.158
4823.32 221.117
4882.21 239.903
4941.11 260.267
5000.00 281.884
5057.41 304.189
5114.82 327.391
5229.64 374.852
5287.05 397.942
5344.46 419.605
5401.87 438.982
5430.57 447.572
5444.93 451.544
5452.10 453.446
5453.00 453.683
5453.90 453.930
5454.34 454.064
5454.79 454.209
5455.24 454.373
5455.47 454.465
5455.69 454.565
5455.91 454.676
5456.14 454.797
5456.36 454.933
5456.59 455.083
5456.81 455.252
5457.04 455.439
5457.26 455.647
5457.48 455.877
5457.71 456.132
5457.93 456.409
5458.16 456.711
5458.38 457.036
5458.61 457.385
5458.83 457.752
5459.05 458.136
5459.28 458.534
5459.81 459.507
5460.08 459.986
5460.35 460.445
5460.62 460.872
5460.89 461.255
5461.15 461.583
5461.42 461.846
5461.60 461.987
5461.79 462.092
5461.89 462.136
5461.94 462.152
5461.97 462.160
5461.98 462.163
5461.99 462.167
5462.00 462.169
5462.01 462.172
5462.03 462.174
5462.04 462.178
5462.07 462.183
5462.13 462.192
5462.18 462.196
5462.19 462.196
5462.23 462.197
5462.32 462.193
5462.40 462.181
5462.56 462.138
5462.81 462.025
5463.05 461.859
5463.29 461.646
5463.53 461.395
5463.78 461.111
5464.02 460.808
5464.50 460.168
5464.81 459.761
5465.12 459.375
5465.43 459.018
5465.74 458.702
5466.06 458.429
5466.37 458.203
5466.68 458.021
5466.99 457.884
5467.21 457.809
5467.43 457.754
5467.66 457.715
5467.88 457.692
5468.10 457.681
5468.33 457.683
5468.77 457.713
5469.22 457.771
5469.67 457.847
5470.11 457.935
5470.56 458.030
5472.34 458.436
5474.13 458.847
5481.27 460.465
5495.55 463.471
5524.12 468.516
5552.69 472.654
5581.26 475.722
5621.00 477.652
5657.64 477.000
5694.28 474.492
5730.91 470.259
5767.55 464.306
5804.19 456.264
5840.83 446.926
5877.46 436.478
5914.10 425.018
5987.38 399.528
6060.65 372.441
6133.93 345.089
6207.20 318.214
6271.27 295.828
6303.31 284.995
6335.34 274.635
6399.41 254.750
6463.48 236.435
6495.51 227.732
6527.55 219.488
6591.62 203.932
6623.65 196.649
6655.69 189.736
6719.76 176.677
6782.06 165.169
6813.21 159.721
6844.36 154.579
6906.66 144.878
6968.95 136.038
7031.25 127.882
7093.55 120.435
7124.70 116.918
7155.85 113.588
7218.15 107.257
7280.45 101.472
7342.75 96.1078
7405.05 91.1491
7467.34 86.5818
7529.64 82.3256
7591.94 78.3927
7654.24 74.7355
7716.54 71.3170
7764.68 68.8458
7812.82 66.5045
7860.96 64.2835
7909.10 62.1743
7957.24 60.1830
8005.38 58.2898
8053.52 56.4654
8101.66 54.7396
8197.94 51.5151
8294.22 48.5781
8390.50 45.8960
8486.78 43.4425
8578.81 41.2891
8670.84 39.3012
8762.88 37.4619
8854.91 35.7568
8946.94 34.1729
9038.97 32.6989
9131.00 31.3225
9177.02 30.6689
9200.03 30.3509
9223.04 30.0380
9238.61 29.8296
9246.40 29.7264
9254.19 29.6239
9261.97 29.5224
9269.76 29.4221
9273.66 29.3726
9277.55 29.3239
9281.44 29.2764
9283.39 29.2534
9285.34 29.2313
9286.75 29.2160
9288.17 29.2016
9289.45 29.1899
9290.73 29.1802
9292.02 29.1738
9292.66 29.1725
9293.30 29.1732
9293.94 29.1764
9294.58 29.1829
9295.23 29.1938
9295.87 29.2102
9296.51 29.2333
9297.15 29.2641
9297.79 29.3038
9298.43 29.3523
9298.85 29.3888
9299.27 29.4285
9300.11 29.5149
9300.96 29.6039
9301.38 29.6460
9301.80 29.6847
9302.32 29.7259
9302.85 29.7565
9303.37 29.7745
9303.63 29.7782
9303.90 29.7782
9304.00 29.7771
9304.25 29.7722
9304.50 29.7639
9305.01 29.7372
9305.51 29.6984
9306.02 29.6494
9306.40 29.6066
9306.78 29.5604
9307.54 29.4617
9308.30 29.3618
9309.07 29.2676
9309.62 29.2057
9310.17 29.1500
9310.72 29.1010
9311.27 29.0584
9311.82 29.0219
9312.37 28.9908
9312.92 28.9642
9313.47 28.9415
9314.03 28.9219
9314.58 28.9048
9315.68 28.8762
9316.78 28.8524
9317.88 28.8316
9318.90 28.8141
9319.92 28.7977
9321.95 28.7670
9323.81 28.7404
9325.68 28.7146
9329.41 28.6648
9333.14 28.6163
9336.87 28.5687
9344.33 28.4746
9351.78 28.3818
9359.24 28.2898
9366.70 28.1985
9381.62 28.0175
9400.94 27.7864
9420.27 27.5582
9458.92 27.1124
9536.21 26.2573
9613.51 25.4415
9690.81 24.6656
9768.11 23.9272
9845.41 23.2237
9922.70 22.5531
10000.0 21.9139
10092.7 21.1952
10185.4 20.5068
10278.1 19.8477
10370.8 19.2332
10556.3 18.0834
10649.0 17.5528
10741.7 17.0485
10834.4 16.5629
10927.1 16.1012
11112.5 15.2419
11205.2 14.8372
11297.9 14.4551
11483.3 13.7288
11668.7 13.0667
11761.5 12.7513
11854.2 12.4521
12039.6 11.8830
12225.0 11.3575
12410.4 10.8662
12595.8 10.4103
12781.2 9.98430
12966.6 9.58388
13118.3 9.27666
13270.0 8.98478
13421.7 8.70700
13573.4 8.44473
13725.1 8.19173
13876.8 7.95212
14028.5 7.71919
14180.2 7.50205
14331.9 7.28862
14483.6 7.08922
14635.3 6.89451
14787.0 6.70917
15090.4 6.35804
15393.8 6.03261
15680.4 5.74755
15966.9 5.48064
16253.5 5.22992
16540.0 4.99381
16826.6 4.77087
17113.1 4.55897
17399.7 4.35879
17543.0 4.26253
17686.2 4.16875
17753.6 4.12550
17871.6 4.05122
17989.6 3.97884
18107.6 3.90874
18166.6 3.87495
18225.6 3.84239
18263.5 3.82244
18301.5 3.80362
18339.4 3.78645
18377.3 3.77195
18400.5 3.76515
18423.7 3.76085
18446.8 3.76032
18470.0 3.76587
18483.7 3.77361
18497.4 3.78634
18511.1 3.80669
18524.8 3.83864
18533.2 3.86705
18541.7 3.90522
18550.1 3.95730
18558.5 4.03025
18564.0 4.09490
18569.6 4.17838
18575.1 4.28851
18577.9 4.35723
18580.6 4.43742
18583.5 4.53737
18586.4 4.65723
18589.3 4.80363
18592.2 4.98362
18593.7 5.09017
18595.1 5.20997
18596.6 5.34533
18598.0 5.49907
18599.5 5.67472
18600.9 5.87671
18602.4 6.11069
18603.8 6.38191
18604.6 6.55267
18605.4 6.73777
18606.2 6.94151
18607.0 7.16657
18607.8 7.41617
18608.6 7.69416
18609.3 8.00525
18610.1 8.35518
18610.9 8.71923
18611.6 9.12355
18612.3 9.58791
18613.0 10.1101
18613.4 10.4073
18613.8 10.7180
18614.1 11.0519
18614.5 11.4115
18614.8 11.7996
18615.2 12.2193
18615.6 12.6739
18615.9 13.1673
18616.2 13.6112
18616.5 14.0879
18616.8 14.6002
18617.1 15.1325
18617.4 15.7249
18617.7 16.3415
18618.0 17.0289
18618.3 17.7455
18618.6 18.5452
18618.9 19.4095
18619.2 20.3438
18619.5 21.3188
18619.8 22.4077
18620.1 23.5437
18620.4 24.8115
18620.7 26.1326
18621.0 27.9645
18621.4 29.9155
18621.8 32.0446
18622.1 34.3629
18622.5 36.9536
18622.8 39.6864
18623.2 42.6364
18623.6 45.8096
18623.9 49.3075
18624.3 52.9422
18624.7 56.8030
18625.0 60.8843
18625.4 65.1763
18625.7 69.6654
18626.1 74.3333
18626.5 79.1568
18627.0 86.4818
18627.5 93.9761
18628.6 108.806
18629.3 118.459
18629.6 122.975
18630.0 127.214
18630.6 133.329
18630.9 136.003
18631.2 138.312
18631.4 140.403
18631.7 142.113
18632.0 143.549
18632.3 144.600
18632.7 145.454
18633.0 145.736
18633.3 145.545
18633.6 144.983
18633.9 144.054
18634.2 142.767
18634.5 141.072
18634.8 139.097
18635.1 136.808
18635.3 134.226
18635.8 130.013
18636.2 125.305
18636.6 120.182
18637.0 114.861
18637.8 104.145
18638.6 93.0876
18639.3 83.5351
18639.9 74.4672
18640.3 70.0602
18640.6 65.9336
18640.9 61.8529
18641.3 58.0695
18641.7 53.8344
18642.0 49.8629
18642.4 46.1582
18642.8 42.7194
18643.2 39.5416
18643.6 36.6171
18644.0 33.9354
18644.4 31.5446
18644.8 29.3054
18645.2 27.2695
18645.5 25.4221
18645.9 23.7483
18646.3 22.2335
18646.7 20.8637
18647.1 19.6254
18647.5 18.5058
18647.9 17.5179
18648.2 16.6439
18648.6 15.8479
18649.0 15.1222
18649.4 14.4596
18649.7 13.8536
18650.1 13.2983
18650.5 12.7887
18650.8 12.3201
18651.2 11.8881
18651.6 11.4893
18651.9 11.1203
18652.3 10.7781
18652.7 10.4602
18653.4 9.88816
18654.2 9.36358
18655.0 8.90539
18655.8 8.50236
18656.5 8.14558
18657.3 7.82792
18658.1 7.54363
18658.9 7.28801
18659.7 7.06000
18660.6 6.79741
18661.6 6.56428
18662.6 6.35623
18663.6 6.16968
18664.6 6.00170
18665.6 5.84984
18666.6 5.71205
18667.6 5.58659
18669.1 5.41048
18670.7 5.25673
18672.3 5.12166
18673.8 5.00301
18675.4 4.89690
18676.9 4.80275
18680.0 4.64172
18682.2 4.54891
18684.3 4.46792
18688.5 4.33307
18692.8 4.22583
18697.0 4.13891
18703.2 4.03807
18709.4 3.96033
18715.7 3.89871
18721.9 3.84902
18733.2 3.77972
18744.5 3.72851
18755.8 3.68908
18767.2 3.65769
18786.4 3.61638
18805.6 3.58481
18824.9 3.55917
18844.1 3.53752
18873.5 3.50943
18902.9 3.48531
18932.4 3.46385
18961.8 3.44423
18991.2 3.42622
19020.6 3.40976
19050.1 3.39520
19064.8 3.38890
19079.5 3.38362
19096.5 3.37937
19104.9 3.37834
19113.4 3.37831
19121.9 3.37966
19130.4 3.38308
19138.9 3.38944
19147.4 3.40028
19155.3 3.41680
19159.2 3.42850
19163.2 3.44348
19167.2 3.46293
19171.1 3.48857
19175.1 3.52292
19179.0 3.57004
19182.7 3.63116
19184.6 3.67080
19186.4 3.71878
19188.2 3.77762
19190.1 3.85094
19191.9 3.94407
19193.8 4.06534
19194.7 4.14053
19195.6 4.22863
19196.5 4.33317
19197.4 4.45907
19198.4 4.61331
19198.8 4.70403
19199.3 4.80591
19199.7 4.92089
19200.2 5.05132
19200.7 5.19996
19201.1 5.37014
19201.4 5.50326
19201.8 5.65017
19202.1 5.81253
19202.4 5.98630
19202.7 6.18464
19203.0 6.40446
19203.4 6.64816
19203.7 6.90948
19204.0 7.20799
19204.3 7.53867
19204.6 7.90466
