18-Ar_n-tot
>  18-Ar-36:0.003365
>  18-Ar-38:0.000632
>  18-Ar-40:0.996003
1.910540e-05 3.06692558e+01
1.937500e-05 3.04535847e+01
1.950300e-05 3.03556561e+01
2.000000e-05 2.99754453e+01
2.063650e-05 2.95160271e+01
2.085830e-05 2.93565027e+01
2.093750e-05 2.92995465e+01
2.127310e-05 2.90727127e+01
2.171650e-05 2.87740652e+01
2.187500e-05 2.86673209e+01
2.190960e-05 2.86453570e+01
2.254620e-05 2.82426552e+01
2.257480e-05 2.82246218e+01
2.281250e-05 2.80747586e+01
2.318270e-05 2.78542976e+01
2.343310e-05 2.77056590e+01
2.375000e-05 2.75175649e+01
2.381920e-05 2.74786678e+01
2.429140e-05 2.72140927e+01
2.445580e-05 2.71219880e+01
2.468750e-05 2.69925641e+01
2.509230e-05 2.67780611e+01
2.514960e-05 2.67478034e+01
2.562500e-05 2.64967887e+01
2.595660e-05 2.63302975e+01
2.600790e-05 2.63046408e+01
2.656250e-05 2.60272944e+01
2.682080e-05 2.59042972e+01
2.686620e-05 2.58827609e+01
2.750000e-05 2.55821385e+01
2.768510e-05 2.54983934e+01
2.807090e-05 2.53244866e+01
2.843750e-05 2.51592545e+01
2.854940e-05 2.51110545e+01
2.927560e-05 2.47993667e+01
2.937500e-05 2.47567087e+01
2.941360e-05 2.47408610e+01
3.027790e-05 2.43872532e+01
3.031250e-05 2.43731434e+01
3.048030e-05 2.43075851e+01
3.114210e-05 2.40490535e+01
3.125000e-05 2.40070364e+01
3.168510e-05 2.38444927e+01
3.200640e-05 2.37244751e+01
3.218750e-05 2.36570525e+01
3.288980e-05 2.34058862e+01
3.300160e-05 2.33659068e+01
3.312500e-05 2.33219313e+01
3.399670e-05 2.30233265e+01
3.406250e-05 2.30008623e+01
3.409450e-05 2.29903454e+01
3.499190e-05 2.26954418e+01
3.500000e-05 2.26927886e+01
3.529920e-05 2.25983762e+01
3.593750e-05 2.23969804e+01
3.598710e-05 2.23818787e+01
3.650400e-05 2.22250108e+01
3.687500e-05 2.21124314e+01
3.698220e-05 2.20810292e+01
3.781250e-05 2.18385829e+01
3.785930e-05 2.18253797e+01
3.797740e-05 2.17920650e+01
3.875000e-05 2.15747926e+01
3.897250e-05 2.15142772e+01
3.921460e-05 2.14486288e+01
3.968750e-05 2.13204086e+01
3.996770e-05 2.12469071e+01
4.056990e-05 2.10894545e+01
4.062500e-05 2.10750492e+01
4.122170e-05 2.09262127e+01
4.192520e-05 2.07513665e+01
4.247580e-05 2.06145340e+01
4.250000e-05 2.06085399e+01
4.328050e-05 2.04267021e+01
4.372980e-05 2.03220353e+01
4.437500e-05 2.01722304e+01
4.463590e-05 2.01151045e+01
4.498390e-05 2.00389142e+01
4.599120e-05 1.98190986e+01
4.623790e-05 1.97652674e+01
4.625000e-05 1.97626352e+01
4.734650e-05 1.95371534e+01
4.749190e-05 1.95072561e+01
4.812500e-05 1.93774738e+01
4.867320e-05 1.92710070e+01
4.874600e-05 1.92568695e+01
5.000000e-05 1.90140826e+01
5.132480e-05 1.87703820e+01
5.156250e-05 1.87266596e+01
5.181040e-05 1.86829415e+01
5.264960e-05 1.85355535e+01
5.312500e-05 1.84520654e+01
5.362080e-05 1.83684711e+01
5.397440e-05 1.83090877e+01
5.468750e-05 1.81893384e+01
5.529920e-05 1.80906332e+01
5.543120e-05 1.80693348e+01
5.625000e-05 1.79377242e+01
5.662400e-05 1.78798500e+01
5.724160e-05 1.77842865e+01
5.781250e-05 1.76962716e+01
5.794880e-05 1.76760404e+01
5.905200e-05 1.75123063e+01
5.937500e-05 1.74645362e+01
6.059840e-05 1.72900741e+01
6.086240e-05 1.72524313e+01
6.093750e-05 1.72417594e+01
6.250000e-05 1.70274946e+01
6.267280e-05 1.70046027e+01
6.330910e-05 1.69205944e+01
6.406250e-05 1.68211377e+01
6.448320e-05 1.67674513e+01
6.562500e-05 1.66223352e+01
6.601970e-05 1.65737813e+01
6.718390e-05 1.64305845e+01
6.718750e-05 1.64301437e+01
6.873030e-05 1.62473472e+01
6.875000e-05 1.62450133e+01
6.988460e-05 1.61167441e+01
7.020300e-05 1.60808420e+01
7.139040e-05 1.59471171e+01
7.144090e-05 1.59414406e+01
7.187500e-05 1.58926506e+01
7.257770e-05 1.58182853e+01
7.415150e-05 1.56522090e+01
7.495240e-05 1.55677021e+01
7.500000e-05 1.55626976e+01
7.686220e-05 1.53779491e+01
7.732710e-05 1.53318310e+01
