52-Te_n-tot
> 52-Te-120:0.000900
> 52-Te-122:0.025500
> 52-Te-123:0.008900
> 52-Te-124:0.047400
> 52-Te-125:0.070700
> 52-Te-126:0.188400
> 52-Te-128:0.317400
> 52-Te-130:0.340800
7.812500e-05 8.68198861e+01
8.125000e-05 8.51705740e+01
8.437500e-05 8.36144386e+01
8.750000e-05 8.21428626e+01
9.062500e-05 8.07486611e+01
9.375000e-05 7.94252928e+01
9.687500e-05 7.81668802e+01
1.000000e-04 7.69683600e+01
1.031250e-04 7.58251887e+01
1.062500e-04 7.47331419e+01
1.093750e-04 7.36886819e+01
1.125000e-04 7.26884446e+01
1.156250e-04 7.17292195e+01
1.187500e-04 7.08085269e+01
1.218750e-04 6.99237471e+01
1.250000e-04 6.90727407e+01
1.281250e-04 6.82532381e+01
1.312500e-04 6.74634865e+01
1.343750e-04 6.67016294e+01
1.375000e-04 6.59661787e+01
1.437500e-04 6.45686098e+01
1.500000e-04 6.32601344e+01
1.562500e-04 6.20317452e+01
1.625000e-04 6.08755717e+01
1.687500e-04 5.97849832e+01
1.750000e-04 5.87539505e+01
1.812500e-04 5.77773746e+01
1.875000e-04 5.68504361e+01
1.937500e-04 5.59693590e+01
2.000000e-04 5.51303262e+01
2.076620e-04 5.41558239e+01
2.093750e-04 5.39471674e+01
2.153250e-04 5.32336607e+01
2.187500e-04 5.28396516e+01
2.229870e-04 5.23593807e+01
2.281250e-04 5.18001933e+01
2.306500e-04 5.15292253e+01
2.375000e-04 5.08222152e+01
2.383120e-04 5.07395176e+01
2.459740e-04 4.99882891e+01
2.468750e-04 4.99031294e+01
2.536370e-04 4.92723870e+01
2.562500e-04 4.90371264e+01
2.612990e-04 4.85882278e+01
2.656250e-04 4.82160298e+01
2.681500e-04 4.80013813e+01
2.750000e-04 4.74363550e+01
2.843750e-04 4.66979659e+01
2.937500e-04 4.59957909e+01
3.031250e-04 4.53268582e+01
3.125000e-04 4.46887149e+01
3.218750e-04 4.40789849e+01
3.312500e-04 4.34957821e+01
3.406250e-04 4.29370753e+01
3.500000e-04 4.24013340e+01
3.593750e-04 4.18869587e+01
3.687500e-04 4.13926633e+01
3.781250e-04 4.09170998e+01
3.875000e-04 4.04591212e+01
3.968750e-04 4.00177639e+01
4.062500e-04 3.95919258e+01
4.250000e-04 3.87836331e+01
4.437500e-04 3.80279009e+01
4.625000e-04 3.73191680e+01
4.812500e-04 3.66530003e+01
5.000000e-04 3.60252015e+01
5.156250e-04 3.55287270e+01
5.312500e-04 3.50546841e+01
5.468750e-04 3.46014623e+01
5.625000e-04 3.41674916e+01
5.781250e-04 3.37514211e+01
5.937500e-04 3.33522595e+01
6.093750e-04 3.29687020e+01
6.250000e-04 3.25998306e+01
6.406250e-04 3.22447175e+01
6.562500e-04 3.19026616e+01
6.718750e-04 3.15726891e+01
6.875000e-04 3.12541948e+01
7.187500e-04 3.06490732e+01
7.500000e-04 3.00828185e+01
7.812500e-04 2.95512903e+01
8.125000e-04 2.90511858e+01
8.437500e-04 2.85794448e+01
8.750000e-04 2.81336675e+01
9.057230e-04 2.77182960e+01
9.062500e-04 2.77114580e+01
9.364460e-04 2.73239074e+01
9.375000e-04 2.73109046e+01
9.671680e-04 2.69487306e+01
9.687500e-04 2.69301429e+01
9.978910e-04 2.65911953e+01
1.000000e-03 2.65670881e+01
1.007810e-03 2.64794909e+01
1.015630e-03 2.63925844e+01
1.031250e-03 2.62213059e+01
1.062500e-03 2.58910279e+01
1.093750e-03 2.55752271e+01
1.125000e-03 2.52727933e+01
1.156250e-03 2.49829146e+01
1.187500e-03 2.47046100e+01
1.218750e-03 2.44372900e+01
1.250000e-03 2.41801781e+01
1.281250e-03 2.39326198e+01
1.312500e-03 2.36940480e+01
1.343750e-03 2.34639941e+01
1.375000e-03 2.32418329e+01
1.437500e-03 2.28198365e+01
1.500000e-03 2.24247325e+01
1.562500e-03 2.20538382e+01
1.625000e-03 2.17048059e+01
1.687500e-03 2.13756159e+01
1.750000e-03 2.10643165e+01
1.812500e-03 2.07695191e+01
1.875000e-03 2.04897033e+01
1.937500e-03 2.02236573e+01
2.000000e-03 1.99702619e+01
2.082030e-03 1.96556996e+01
2.093750e-03 1.96128675e+01
2.164060e-03 1.93592561e+01
2.187500e-03 1.92785217e+01
2.246090e-03 1.90792045e+01
2.281250e-03 1.89648695e+01
2.328130e-03 1.88142061e+01
2.375000e-03 1.86699670e+01
