20-Ca_n-g
>  20-Ca-40:0.969371
>  20-Ca-42:0.006470
>  20-Ca-43:0.001350
>  20-Ca-44:0.020899
>  20-Ca-46:0.000040
>  20-Ca-48:0.001870
1.431320e-04 5.82669345e+00
1.437500e-04 5.81377387e+00
1.464490e-04 5.76091178e+00
1.500000e-04 5.69136283e+00
1.530850e-04 5.63460246e+00
1.562500e-04 5.57637042e+00
1.589140e-04 5.53021316e+00
1.625000e-04 5.46808127e+00
1.647440e-04 5.43138326e+00
1.687500e-04 5.36587001e+00
1.705730e-04 5.33766700e+00
1.750000e-04 5.26917861e+00
1.764020e-04 5.24861997e+00
1.812500e-04 5.17753011e+00
1.822320e-04 5.16385767e+00
1.875000e-04 5.09051124e+00
1.880610e-04 5.08308131e+00
1.937500e-04 5.00773599e+00
1.938910e-04 5.00595659e+00
1.997200e-04 4.93239585e+00
2.000000e-04 4.92886231e+00
2.006870e-04 4.92068387e+00
2.013740e-04 4.91250544e+00
2.027480e-04 4.89614857e+00
2.054950e-04 4.86344679e+00
2.093750e-04 4.81725724e+00
2.109910e-04 4.79926902e+00
2.111310e-04 4.79771063e+00
2.115700e-04 4.79282398e+00
2.120100e-04 4.78792621e+00
2.128890e-04 4.77814179e+00
2.146460e-04 4.75858410e+00
2.181620e-04 4.71944650e+00
2.187500e-04 4.71290132e+00
2.251920e-04 4.64565831e+00
2.281250e-04 4.61504311e+00
2.322230e-04 4.57482328e+00
2.375000e-04 4.52303231e+00
2.392540e-04 4.50680949e+00
2.462840e-04 4.44178894e+00
2.468750e-04 4.43632279e+00
2.533150e-04 4.38005636e+00
2.562500e-04 4.35441327e+00
2.603460e-04 4.32054111e+00
2.656250e-04 4.27688617e+00
2.673760e-04 4.26315251e+00
2.744070e-04 4.20800627e+00
2.750000e-04 4.20335521e+00
2.814380e-04 4.15537229e+00
2.843750e-04 4.13348265e+00
2.884690e-04 4.10444395e+00
2.937500e-04 4.06698596e+00
2.954990e-04 4.05516072e+00
3.025300e-04 4.00762326e+00
3.031250e-04 4.00360040e+00
3.095610e-04 3.96205911e+00
3.125000e-04 3.94308933e+00
3.218750e-04 3.88525124e+00
3.236220e-04 3.87493143e+00
3.312500e-04 3.82987178e+00
3.346460e-04 3.81064702e+00
3.406250e-04 3.77680001e+00
3.456690e-04 3.74940230e+00
3.500000e-04 3.72587751e+00
3.566930e-04 3.69095022e+00
3.593750e-04 3.67695430e+00
3.677170e-04 3.63509548e+00
3.687500e-04 3.62991206e+00
3.781250e-04 3.58463326e+00
3.787400e-04 3.58177098e+00
3.875000e-04 3.54100110e+00
3.897640e-04 3.53084098e+00
3.968750e-04 3.49892916e+00
4.007870e-04 3.48198437e+00
4.062500e-04 3.45832151e+00
4.118110e-04 3.43544186e+00
4.228350e-04 3.39008589e+00
4.250000e-04 3.38117847e+00
4.338580e-04 3.34706729e+00
4.437500e-04 3.30897439e+00
4.448820e-04 3.30488298e+00
4.559060e-04 3.26503879e+00
4.625000e-04 3.24120607e+00
4.669290e-04 3.22614264e+00
4.779530e-04 3.18864911e+00
4.812500e-04 3.17743578e+00
5.000000e-04 3.11728871e+00
5.156250e-04 3.06970075e+00
5.163350e-04 3.06763406e+00
5.312500e-04 3.02421918e+00
5.326690e-04 3.02026730e+00
5.468750e-04 2.98070406e+00
5.490040e-04 2.97502256e+00
5.625000e-04 2.93900695e+00
5.653390e-04 2.93174133e+00
5.781250e-04 2.89901929e+00
5.816730e-04 2.89030078e+00
5.937500e-04 2.86062403e+00
5.980080e-04 2.85056572e+00
6.093750e-04 2.82371451e+00
6.143420e-04 2.81242325e+00
6.250000e-04 2.78819498e+00
6.306770e-04 2.77576359e+00
6.406250e-04 2.75397969e+00
6.470120e-04 2.74049609e+00
6.562500e-04 2.72099379e+00
6.633460e-04 2.70654215e+00
6.718750e-04 2.68917212e+00
6.796810e-04 2.67381938e+00
6.875000e-04 2.65844112e+00
6.960160e-04 2.64251637e+00
7.187500e-04 2.60000440e+00
7.286850e-04 2.58259867e+00
7.500000e-04 2.54525581e+00
7.613540e-04 2.52657172e+00
7.615870e-04 2.52618830e+00
7.618200e-04 2.52580488e+00
7.622860e-04 2.52503803e+00
7.632190e-04 2.52350270e+00
7.650830e-04 2.52043532e+00
7.688120e-04 2.51429891e+00
7.762700e-04 2.50202611e+00
7.812500e-04 2.49383109e+00
7.911850e-04 2.47843676e+00
8.125000e-04 2.44540917e+00
8.210160e-04 2.43295085e+00
8.437500e-04 2.39969272e+00
8.508460e-04 2.38987469e+00
8.750000e-04 2.35645535e+00
8.806770e-04 2.34900860e+00
9.062500e-04 2.31546360e+00
9.105080e-04 2.31016069e+00
9.375000e-04 2.27654499e+00
9.403390e-04 2.27318210e+00
9.687500e-04 2.23952850e+00
9.701690e-04 2.23792680e+00
1.000000e-03 2.20425525e+00
1.024670e-03 2.17769090e+00
1.031250e-03 2.17060566e+00
1.049340e-03 2.15198731e+00
1.052700e-03 2.14852918e+00
1.061500e-03 2.13947217e+00
1.062500e-03 2.13844297e+00
1.070300e-03 2.13076435e+00
1.087900e-03 2.11343825e+00
1.093750e-03 2.10767931e+00
1.123100e-03 2.07999145e+00
1.125000e-03 2.07819905e+00
1.156250e-03 2.04991647e+00
1.158300e-03 2.04813542e+00
1.187500e-03 2.02276629e+00
1.193500e-03 2.01775459e+00
1.218750e-03 1.99666377e+00
1.228700e-03 1.98866896e+00
1.250000e-03 1.97155450e+00
1.263900e-03 1.96079075e+00
1.281250e-03 1.94735545e+00
1.299100e-03 1.93403314e+00
1.312500e-03 1.92403209e+00
1.334300e-03 1.90833567e+00
1.338210e-03 1.90552040e+00
1.343750e-03 1.90153150e+00
1.352480e-03 1.89546071e+00
1.366750e-03 1.88553745e+00
1.375000e-03 1.87980047e+00
1.395290e-03 1.86638525e+00
1.437500e-03 1.83847720e+00
1.452360e-03 1.82927460e+00
1.500000e-03 1.79977192e+00
1.509440e-03 1.79427949e+00
1.562500e-03 1.76340794e+00
1.566510e-03 1.76121064e+00
1.570870e-03 1.75882156e+00
1.587630e-03 1.74963784e+00
1.604390e-03 1.74045414e+00
1.625000e-03 1.72916083e+00
1.637910e-03 1.72248402e+00
1.687500e-03 1.69683711e+00
1.704940e-03 1.68830652e+00
1.750000e-03 1.66626601e+00
1.771970e-03 1.65607617e+00
1.812500e-03 1.63727814e+00
1.839010e-03 1.62560779e+00
1.844410e-03 1.62323058e+00
1.863020e-03 1.61503803e+00
