Sm-150(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 2899.90
1.03125E-05 2855.65
1.06250E-05 2813.36
1.09375E-05 2772.90
1.12500E-05 2734.13
1.15625E-05 2696.95
1.18750E-05 2661.24
1.21875E-05 2626.92
1.25000E-05 2593.89
1.28125E-05 2562.08
1.31250E-05 2531.42
1.34375E-05 2501.83
1.37500E-05 2473.25
1.43750E-05 2418.92
1.50000E-05 2368.02
1.56250E-05 2320.21
1.62500E-05 2275.18
1.68750E-05 2232.68
1.75000E-05 2192.48
1.81250E-05 2154.38
1.87500E-05 2118.19
1.93750E-05 2083.78
2.00000E-05 2050.99
2.09375E-05 2004.59
2.18750E-05 1961.20
2.28125E-05 1920.52
2.37500E-05 1882.27
2.46875E-05 1846.22
2.56250E-05 1812.17
2.65625E-05 1779.94
2.75000E-05 1749.37
2.84375E-05 1720.33
2.93750E-05 1692.69
3.03125E-05 1666.34
3.12500E-05 1641.19
3.21875E-05 1617.14
3.31250E-05 1594.13
3.40625E-05 1572.07
3.50000E-05 1550.90
3.59375E-05 1530.57
3.68750E-05 1511.02
3.78125E-05 1492.20
3.87500E-05 1474.06
3.96875E-05 1456.58
4.06250E-05 1439.70
4.25000E-05 1407.64
4.43750E-05 1377.64
4.62500E-05 1349.48
4.81250E-05 1322.98
5.00000E-05 1297.99
5.15585E-05 1278.26
5.31171E-05 1259.41
5.46756E-05 1241.37
5.62341E-05 1224.09
5.64453E-05 1221.80
5.72022E-05 1213.71
5.79590E-05 1205.78
5.94727E-05 1190.37
6.09863E-05 1175.54
6.25000E-05 1161.26
6.40625E-05 1147.04
6.56250E-05 1133.34
6.71875E-05 1120.12
6.87500E-05 1107.36
7.18750E-05 1083.09
7.50000E-05 1060.35
7.81250E-05 1038.99
8.12500E-05 1018.88
8.43750E-05 999.897
8.75000E-05 981.941
9.06250E-05 964.923
9.37500E-05 948.764
9.68750E-05 933.394
0.000100000 918.751
0.000103125 904.780
0.000106250 891.430
0.000109375 878.657
0.000112500 866.421
0.000115625 854.685
0.000118750 843.415
0.000121875 832.583
0.000125000 822.159
0.000128125 812.120
0.000131250 802.442
0.000134375 793.104
0.000137500 784.087
0.000143750 766.944
0.000150000 750.885
0.000156250 735.801
0.000162500 721.597
0.000168750 708.190
0.000175000 695.509
0.000181250 683.491
0.000187500 672.080
0.000193750 661.227
0.000200000 650.887
0.000209375 636.255
0.000218750 622.576
0.000228125 609.750
0.000237500 597.693
0.000246875 586.330
0.000256250 575.598
0.000265625 565.440
0.000275000 555.807
0.000284375 546.655
0.000293750 537.946
0.000303125 529.644
0.000312500 521.720
0.000321875 514.145
0.000331250 506.894
0.000340625 499.946
0.000350000 493.279
0.000359375 486.875
0.000368750 480.717
0.000378125 474.791
0.000387500 469.081
0.000396875 463.575
0.000406250 458.261
0.000425000 448.166
0.000443750 438.719
0.000462500 429.854
0.000481250 421.513
0.000500000 413.647
0.000515585 407.438
0.000531171 401.505
0.000546756 395.828
0.000562341 390.389
0.000564453 389.669
0.000572022 387.123
0.000579590 384.627
0.000594727 379.779
0.000609863 375.114
0.000625000 370.619
0.000640625 366.147
0.000656250 361.837
0.000671875 357.678
0.000687500 353.661
0.000718750 346.026
0.000750000 338.874
0.000781250 332.156
0.000812500 325.830
0.000843750 319.860
0.000875000 314.212
0.000906250 308.860
0.000937500 303.778
0.000968750 298.945
0.00100000 294.340
0.00103125 289.946
0.00106250 285.748
0.00109375 281.732
0.00112500 277.884
0.00115625 274.193
0.00118750 270.650
0.00121875 267.243
0.00125000 263.966
0.00128125 260.809
0.00131250 257.766
0.00134375 254.830
0.00137500 251.994
0.00143750 246.603
0.00150000 241.554
0.00156250 236.810
0.00162500 232.344
0.00168750 228.128
0.00175000 224.140
0.00181250 220.361
0.00187500 216.772
0.00193750 213.359
0.00200000 210.107
0.00209375 205.505
0.00218750 201.203
0.00228125 197.168
0.00237500 193.376
0.00246875 189.801
0.00256250 186.425
0.00265625 183.229
0.00275000 180.199
0.00284375 177.319
0.00293750 174.579
0.00303125 171.967
0.00312500 169.473
0.00321875 167.090
0.00331250 164.808
0.00340625 162.621
0.00350000 160.523
