Hg-200(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 133.311
1.03125E-05 131.321
1.06250E-05 129.421
1.09375E-05 127.603
1.12500E-05 125.862
1.15625E-05 124.192
1.18750E-05 122.590
1.21875E-05 121.050
1.25000E-05 119.569
1.28125E-05 118.142
1.31250E-05 116.768
1.34375E-05 115.442
1.37500E-05 114.162
1.43750E-05 111.730
1.50000E-05 109.452
1.56250E-05 107.315
1.62500E-05 105.303
1.68750E-05 103.405
1.75000E-05 101.612
1.81250E-05 99.9124
1.87500E-05 98.3001
1.93750E-05 96.7674
2.00000E-05 95.3082
2.09375E-05 93.2448
2.18750E-05 91.3174
2.28125E-05 89.5119
2.37500E-05 87.8161
2.46875E-05 86.2194
2.56250E-05 84.7126
2.65625E-05 83.2878
2.75000E-05 81.9377
2.84375E-05 80.6562
2.93750E-05 79.4378
3.03125E-05 78.2774
3.12500E-05 77.1708
3.21875E-05 76.1139
3.31250E-05 75.1031
3.40625E-05 74.1353
3.50000E-05 73.2075
3.59375E-05 72.3171
3.68750E-05 71.4617
3.78125E-05 70.6391
3.87500E-05 69.8473
3.96875E-05 69.0844
4.06250E-05 68.3488
4.25000E-05 66.9532
4.43750E-05 65.6494
4.62500E-05 64.4281
4.81250E-05 63.2809
5.00000E-05 62.2008
5.15625E-05 61.3475
5.31250E-05 60.5334
5.46875E-05 59.7556
5.62500E-05 59.0115
5.78125E-05 58.2989
5.93750E-05 57.6156
6.09375E-05 56.9597
6.25000E-05 56.3294
6.40625E-05 55.7233
6.56250E-05 55.1397
6.71875E-05 54.5775
6.87500E-05 54.0353
7.18750E-05 53.0066
7.50000E-05 52.0455
7.81250E-05 51.1453
8.12500E-05 50.2998
8.43750E-05 49.5038
8.75000E-05 48.7530
9.06250E-05 48.0432
9.37500E-05 47.3709
9.68750E-05 46.7332
0.000100000 46.1271
0.000103125 45.5502
0.000106250 45.0004
0.000109375 44.4757
0.000112500 43.9742
0.000115625 43.4943
0.000118750 43.0346
0.000121875 42.5938
0.000125000 42.1706
0.000128125 41.7639
0.000131250 41.3728
0.000134375 40.9963
0.000137500 40.6335
0.000143750 39.9460
0.000150000 39.3048
0.000156250 38.7050
0.000162500 38.1426
0.000168750 37.6139
0.000175000 37.1158
0.000181250 36.6456
0.000187500 36.2009
0.000193750 35.7794
0.000200000 35.3794
0.000209375 34.8159
0.000218750 34.2918
0.000228125 33.8029
0.000237500 33.3456
0.000246875 32.9167
0.000256250 32.5134
0.000265625 32.1335
0.000275000 31.7748
0.000284375 31.4355
0.000293750 31.1139
0.000303125 30.8087
0.000312500 30.5184
0.000321875 30.2420
0.000331250 29.9785
0.000340625 29.7268
0.000350000 29.4862
0.000359375 29.2559
0.000368750 29.0352
0.000378125 28.8234
0.000387500 28.6201
0.000396875 28.4246
0.000406250 28.2365
0.000425000 27.8808
0.000443750 27.5498
0.000462500 27.2408
0.000481250 26.9516
0.000500000 26.6802
0.000515625 26.4664
0.000531250 26.2628
0.000546875 26.0688
0.000562500 25.8836
0.000578125 25.7066
0.000593750 25.5371
0.000609375 25.3748
0.000625000 25.2191
0.000640625 25.0695
0.000656250 24.9258
0.000671875 24.7875
0.000687500 24.6543
0.000718750 24.4021
0.000750000 24.1670
0.000781250 23.9472
0.000812500 23.7411
0.000843750 23.5474
0.000875000 23.3650
0.000906250 23.1927
0.000937500 23.0298
0.000968750 22.8753
0.00100000 22.7286
0.00103125 22.5891
0.00106250 22.4562
0.00109375 22.3295
0.00112500 22.2084
0.00115625 22.0925
0.00118750 21.9816
0.00121875 21.8752
0.00125000 21.7731
0.00128125 21.6749
0.00131250 21.5805
0.00134375 21.4897
0.00137500 21.4021
0.00143750 21.2361
0.00150000 21.0812
0.00156250 20.9362
0.00162500 20.8002
0.00168750 20.6722
0.00175000 20.5515
0.00181250 20.4374
0.00187500 20.3293
0.00193750 20.2269
0.00200000 20.1295
0.00209375 19.9921
0.00218750 19.8640
0.00228125 19.7443
0.00237500 19.6321
0.00246875 19.5267
0.00256250 19.4274
0.00265625 19.3336
0.00275000 19.2449
0.00284375 19.1608
0.00293750 19.0809
0.00303125 19.0050
0.00312500 18.9326
0.00321875 18.8635
0.00331250 18.7975
0.00340625 18.7344
0.00350000 18.6739
0.00359375 18.6159
0.00368750 18.5603
0.00378125 18.5067
0.00387500 18.4553
0.00396875 18.4057
0.00406250 18.3579
0.00425000 18.2673
0.00443750 18.1827
0.00462500 18.1035
0.00481250 18.0291
0.00500000 17.9591
0.00515625 17.9038
0.00531250 17.8510
0.00546875 17.8006
0.00562500 17.7524
0.00578125 17.7062
0.00593750 17.6619
0.00609375 17.6194
0.00625000 17.5785
0.00640625 17.5392
0.00656250 17.5014
0.00671875 17.4649
0.00687500 17.4297
0.00718750 17.3629
0.00750000 17.3004
0.00781250 17.2418
0.00812500 17.1867
0.00843750 17.1348
0.00875000 17.0857
0.00906250 17.0393
0.00937500 16.9953
0.00968750 16.9535
0.0100000 16.9137
0.0103125 16.8758
0.0106250 16.8396
0.0109375 16.8050
0.0112500 16.7719
0.0115625 16.7402
0.0118750 16.7098
0.0121875 16.6805
0.0125000 16.6524
0.0128125 16.6254
0.0131250 16.5994
0.0134375 16.5743
0.0137500 16.5500
0.0143750 16.5040
0.0150000 16.4610
0.0156250 16.4206
0.0162500 16.3826
0.0168750 16.3468
0.0175000 16.3129
0.0181250 16.2809
0.0187500 16.2505
0.0193750 16.2216
0.0200000 16.1941
0.0206625 16.1663
0.0213250 16.1399
0.0219875 16.1147
0.0226500 16.0906
0.0233125 16.0676
0.0239750 16.0456
0.0246375 16.0244
0.0253000 16.0041
0.0264578 15.9706
0.0276156 15.9392
0.0287734 15.9097
0.0299313 15.8820
0.0310891 15.8559
0.0322469 15.8312
0.0334047 15.8079
0.0345625 15.7857
0.0355274 15.7681
0.0364922 15.7512
0.0374570 15.7349
0.0384219 15.7193
0.0393867 15.7043
0.0403516 15.6898
0.0413164 15.6758
0.0422813 15.6623
0.0442109 15.6367
0.0461406 15.6127
0.0480703 15.5902
0.0500000 15.5690
0.0515625 15.5527
0.0531250 15.5372
0.0546875 15.5224
0.0562500 15.5082
0.0578125 15.4945
0.0593750 15.4814
0.0609375 15.4689
0.0625000 15.4568
0.0640625 15.4451
0.0656250 15.4339
0.0671875 15.4231
0.0687500 15.4127
0.0718750 15.3928
0.0750000 15.3742
0.0781250 15.3568
0.0812500 15.3403
0.0843750 15.3248
0.0875000 15.3102
0.0906250 15.2963
0.0937500 15.2831
0.0968750 15.2706
0.100000 15.2586
0.103125 15.2472
0.106250 15.2363
0.109375 15.2259
0.112500 15.2160
0.115625 15.2064
0.118750 15.1972
0.121875 15.1884
0.125000 15.1799
0.128125 15.1718
0.131250 15.1639
0.134375 15.1563
0.137500 15.1490
0.143750 15.1351
0.150000 15.1220
0.156250 15.1097
0.162500 15.0982
0.168750 15.0873
0.175000 15.0770
0.181250 15.0672
0.187500 15.0580
0.193750 15.0491
0.200000 15.0407
0.209375 15.0289
0.218750 15.0178
0.228125 15.0073
0.237500 14.9975
0.246875 14.9883
0.256250 14.9796
0.265625 14.9713
0.275000 14.9635
0.284375 14.9560
0.293750 14.9489
0.303125 14.9422
0.312500 14.9357
0.321875 14.9296
0.331250 14.9237
0.340625 14.9180
0.350000 14.9126
0.359375 14.9074
0.368750 14.9024
0.378125 14.8975
0.387500 14.8929
0.396875 14.8884
0.406250 14.8841
0.425000 14.8758
0.443750 14.8681
0.462500 14.8609
0.500000 14.8476
0.531250 14.8376
0.562500 14.8285
0.593750 14.8201
0.625000 14.8123
0.687500 14.7983
0.750000 14.7860
0.812500 14.7752
0.875000 14.7655
0.937500 14.7568
1.00000 14.7488
1.06250 14.7416
1.12500 14.7349
1.18750 14.7288
1.25000 14.7230
1.37500 14.7127
1.50000 14.7037
1.62500 14.6956
1.75000 14.6883
1.87500 14.6817
2.00000 14.6757
2.18750 14.6675
2.37500 14.6602
2.56250 14.6536
2.75000 14.6476
2.93750 14.6421
3.12500 14.6370
3.31250 14.6323
3.50000 14.6278
3.87500 14.6197
4.25000 14.6124
4.62500 14.6058
5.00000 14.5997
5.31250 14.5950
5.62500 14.5905
5.93750 14.5863
6.25000 14.5822
6.87500 14.5746
7.50000 14.5676
8.12500 14.5610
8.75000 14.5548
9.37500 14.5489
10.0000 14.5432
10.6250 14.5378
11.2500 14.5326
11.8750 14.5275
12.5000 14.5226
13.7500 14.5131
15.0000 14.5040
16.2500 14.4952
17.5000 14.4867
18.7500 14.4785
20.0000 14.4704
21.8750 14.4586
23.7500 14.4472
25.6250 14.4360
27.5000 14.4250
29.3750 14.4142
31.2500 14.4036
33.1250 14.3931
35.0000 14.3828
36.8750 14.3726
38.7500 14.3625
42.5000 14.3425
46.2500 14.3230
50.0000 14.3037
53.1250 14.2879
56.2500 14.2722
59.3750 14.2567
62.5000 14.2413
68.7500 14.2110
75.0000 14.1812
78.1250 14.1664
82.8125 14.1445
87.5000 14.1228
93.7500 14.0943
100.000 14.0661
106.250 14.0382
112.500 14.0107
118.750 13.9834
125.000 13.9565
131.250 13.9298
137.500 13.9034
150.000 13.8512
162.500 13.8000
175.000 13.7497
187.500 13.7000
200.000 13.6511
209.375 13.6148
218.750 13.5788
237.500 13.5078
256.250 13.4378
275.000 13.3687
293.750 13.3004
312.500 13.2326
331.250 13.1652
350.000 13.0982
368.750 13.0313
387.500 12.9644
406.250 12.8975
425.000 12.8303
453.125 12.7288
481.250 12.6261
500.000 12.5567
531.250 12.4388
562.500 12.3177
593.750 12.1925
625.000 12.0624
640.625 11.9952
656.250 11.9263
671.875 11.8557
687.500 11.7831
703.125 11.7085
718.750 11.6315
734.375 11.5521
750.000 11.4699
765.625 11.3848
781.250 11.2965
796.875 11.2046
812.500 11.1089
828.125 11.0090
843.750 10.9045
859.375 10.7948
875.000 10.6797
889.649 10.5660
904.297 10.4462
918.945 10.3200
933.594 10.1864
940.918 10.1174
948.242 10.0457
962.891 9.89548
970.215 9.81676
977.539 9.73544
984.863 9.65136
992.188 9.56432
1000.00 9.46799
1011.26 9.32222
1022.52 9.16778
1028.15 9.08736
1033.78 9.00396
1039.41 8.91904
1045.04 8.82981
1050.67 8.73936
1056.30 8.64422
1061.93 8.54707
1067.56 8.44600
1073.20 8.34224
1078.83 8.23409
1084.46 8.12199
1090.09 8.00565
1096.97 7.85698
1103.85 7.70152
1110.73 7.53839
1117.61 7.36656
1124.49 7.18637
1131.37 6.99607
1134.82 6.89741
1138.26 6.79537
1145.14 6.58402
1151.39 6.38058
1154.52 6.27527
1157.65 6.16644
1160.78 6.05565
1163.91 5.94114
1170.16 5.70356
1176.42 5.45175
1179.55 5.32108
1182.67 5.18579
1185.80 5.04791
1188.93 4.90518
1192.06 4.75942
1195.18 4.60893
1198.63 4.43825
1202.07 4.26244
1205.51 4.08127
1208.95 3.89460
1212.39 3.70261
1215.83 3.50509
1219.27 3.30230
1222.71 3.09463
1226.15 2.88205
1229.59 2.66545
1233.03 2.44552
1234.75 2.33465
1236.47 2.22341
1238.19 2.11197
1239.91 2.00063
1241.63 1.88972
1243.35 1.77948
1245.08 1.67021
1246.80 1.56274
1248.52 1.45729
1250.24 1.35435
1253.05 1.19355
1254.46 1.11784
1255.87 1.04616
1257.27 0.978921
1257.98 0.947124
1258.68 0.916865
1259.39 0.888174
1260.09 0.861162
1260.79 0.835952
1261.50 0.812713
1262.04 0.796033
1262.59 0.780712
1263.14 0.766755
1263.69 0.754304
1264.23 0.743433
1264.78 0.734279
1265.33 0.726902
1265.88 0.721400
1266.27 0.718675
1266.66 0.717005
1267.05 0.716432
1267.44 0.717001
1267.83 0.718757
1268.22 0.721746
1268.42 0.723723
1268.61 0.726016
1268.81 0.728656
1269.00 0.731624
1269.23 0.735481
1269.34 0.737597
1269.45 0.739813
1269.57 0.742171
1269.68 0.744631
1269.79 0.747238
1269.90 0.749947
1270.02 0.752912
1270.14 0.756015
1270.21 0.757912
1270.27 0.759829
1270.34 0.761824
1270.41 0.763839
1270.48 0.765934
1270.55 0.768048
1270.69 0.772458
1270.82 0.777073
1270.96 0.781895
1271.10 0.786928
1271.23 0.792175
1271.37 0.797638
1271.51 0.803278
1271.70 0.811793
1271.90 0.820725
1272.09 0.830175
1272.29 0.840053
1272.68 0.861335
1273.07 0.884653
1273.46 0.910096
1273.85 0.937754
1274.24 0.967722
1274.63 1.00010
1274.85 1.01896
1275.06 1.03860
1275.28 1.05903
1275.49 1.08028
1275.71 1.10235
1275.92 1.12528
1276.14 1.14907
1276.35 1.17376
1276.57 1.19935
1276.78 1.22588
1277.00 1.25336
1277.21 1.28181
1277.43 1.31127
1277.64 1.34174
1277.86 1.37327
1278.07 1.40586
1278.29 1.43971
1278.51 1.47453
1278.72 1.51050
1278.94 1.54764
1279.15 1.58599
1279.37 1.62557
1279.58 1.66642
1279.80 1.70856
1280.23 1.79685
1280.66 1.89069
1281.09 1.99038
1281.52 2.09618
1281.95 2.20869
1282.38 2.32769
1282.81 2.45379
1283.24 2.58734
1283.67 2.72872
1284.10 2.87834
1284.53 3.03663
1284.96 3.20403
1285.39 3.38145
1285.82 3.56856
1286.25 3.76632
1286.68 3.97528
1287.11 4.19606
1287.54 4.42930
1287.97 4.67567
1288.40 4.93592
1288.87 5.23715
1289.34 5.55625
1289.81 5.89499
1290.27 6.25463
1290.74 6.63748
1291.21 7.04358
1291.68 7.47519
1292.15 7.93345
1292.54 8.33693
1292.93 8.76117
1293.32 9.20746
1293.72 9.67708
1294.11 10.1714
1294.50 10.6918
1294.89 11.2398
1295.28 11.8170
1295.67 12.4251
1296.06 13.0661
1296.45 13.7417
1296.84 14.4540
1297.23 15.2048
1297.63 15.9964
1298.02 16.8318
1298.41 17.7122
1298.84 18.7439
1299.27 19.8388
1299.70 21.0033
1300.13 22.2426
1300.56 23.5622
1300.99 24.9682
1301.42 26.4672
1301.85 28.0665
1302.28 29.7741
1302.71 31.5987
1303.14 33.5497
1303.57 35.6377
1304.00 37.8743
1304.43 40.2720
1304.86 42.8450
