Sm-154(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 1.21649E+06
1.03125E-05 1.19792E+06
1.06250E-05 1.18018E+06
1.09375E-05 1.16321E+06
1.12500E-05 1.14694E+06
1.15625E-05 1.13134E+06
1.18750E-05 1.11637E+06
1.21875E-05 1.10197E+06
1.25000E-05 1.08811E+06
1.28125E-05 1.07477E+06
1.31250E-05 1.06190E+06
1.34375E-05 1.04949E+06
1.37500E-05 1.03750E+06
1.43750E-05 1.01470E+06
1.50000E-05 993351
1.56250E-05 973293
1.62500E-05 954403
1.68750E-05 936573
1.75000E-05 919708
1.81250E-05 903722
1.87500E-05 888543
1.93750E-05 874104
2.00000E-05 860348
2.09375E-05 840881
2.18750E-05 822679
2.28125E-05 805612
2.37500E-05 789565
2.46875E-05 774442
2.56250E-05 760157
2.65625E-05 746635
2.75000E-05 733811
2.84375E-05 721627
2.93750E-05 710030
3.03125E-05 698977
3.12500E-05 688424
3.21875E-05 678337
3.31250E-05 668680
3.40625E-05 659426
3.50000E-05 650546
3.59375E-05 642016
3.68750E-05 633813
3.78125E-05 625917
3.87500E-05 618310
3.96875E-05 610975
4.06250E-05 603894
4.25000E-05 590444
4.43750E-05 577855
4.62500E-05 566041
4.81250E-05 554924
5.00000E-05 544439
5.15585E-05 536163
5.31171E-05 528254
5.46756E-05 520686
5.62341E-05 513435
5.64453E-05 512475
5.72022E-05 509081
5.79590E-05 505753
5.94727E-05 499290
6.09863E-05 493069
6.25000E-05 487076
6.40625E-05 481113
6.56250E-05 475365
6.71875E-05 469819
6.87500E-05 464463
7.18750E-05 454280
7.50000E-05 444742
7.81250E-05 435781
8.12500E-05 427344
8.43750E-05 419380
8.75000E-05 411847
9.06250E-05 404708
9.37500E-05 397929
9.68750E-05 391481
0.000100000 385338
0.000103125 379477
0.000106250 373877
0.000109375 368519
0.000112500 363386
0.000115625 358462
0.000118750 353735
0.000121875 349191
0.000125000 344819
0.000128125 340608
0.000131250 336548
0.000134375 332631
0.000137500 328849
0.000143750 321658
0.000150000 314923
0.000156250 308596
0.000162500 302639
0.000168750 297016
0.000175000 291698
0.000181250 286659
0.000187500 281873
0.000193750 277322
0.000200000 272987
0.000209375 266852
0.000218750 261117
0.000228125 255740
0.000237500 250686
0.000246875 245923
0.000256250 241425
0.000265625 237168
0.000275000 233131
0.000284375 229296
0.000293750 225647
0.000303125 222169
0.000312500 218850
0.000321875 215677
0.000331250 212640
0.000340625 209730
0.000350000 206938
0.000359375 204257
0.000368750 201679
0.000378125 199198
0.000387500 196808
0.000396875 194504
0.000406250 192280
0.000425000 188057
0.000443750 184105
0.000462500 180398
0.000481250 176911
0.000500000 173623
0.000515585 171028
0.000531171 168549
0.000546756 166178
0.000562341 163907
0.000564453 163606
0.000572022 162543
0.000579590 161501
0.000594727 159478
0.000609863 157531
0.000625000 155655
0.000640625 153790
0.000656250 151993
0.000687500 148585
0.000718750 145403
0.000750000 142425
0.000781250 139629
0.000812500 136997
0.000843750 134514
0.000875000 132167
0.000906250 129944
0.000937500 127835
0.000968750 125829
0.00100000 123920
0.00103125 122099
0.00106250 120360
0.00109375 118697
0.00112500 117105
0.00115625 115579
0.00118750 114115
0.00121875 112708
0.00125000 111355
0.00128125 110052
0.00131250 108798
0.00137500 106420
0.00143750 104203
0.00150000 102128
0.00156250 100181
0.00162500 98350.2
0.00168750 96624.4
0.00175000 94994.1
0.00181250 93451.0
0.00187500 91987.6
0.00193750 90597.6
0.00200000 89275.0
0.00209375 87406.6
0.00218750 85663.2
0.00228125 84032.0
0.00237500 82501.6
0.00246875 81062.3
0.00256250 79705.7
0.00265625 78424.3
0.00275000 77211.8
0.00284375 76062.4
0.00293750 74970.8
0.00303125 73932.7
0.00312500 72944.0
0.00321875 72000.9
0.00331250 71100.4
0.00340625 70239.3
0.00350000 69415.0
0.00359375 68625.1
0.00368750 67867.3
0.00378125 67139.8
0.00387500 66440.5
