54-Xe_n-g
> 54-Xe-124:0.000900
> 54-Xe-126:0.000900
> 54-Xe-128:0.019200
> 54-Xe-129:0.264400
> 54-Xe-130:0.040800
> 54-Xe-131:0.211800
> 54-Xe-132:0.268900
> 54-Xe-134:0.104400
> 54-Xe-136:0.088700
1.937500e-04 1.87901955e+02
2.000000e-04 1.84942216e+02
2.068270e-04 1.81891093e+02
2.093750e-04 1.80755299e+02
2.136550e-04 1.78965121e+02
2.187500e-04 1.76839520e+02
2.204820e-04 1.76159535e+02
2.273100e-04 1.73485631e+02
2.281250e-04 1.73167217e+02
2.341370e-04 1.70951877e+02
2.375000e-04 1.69715525e+02
2.409640e-04 1.68511508e+02
2.468750e-04 1.66461672e+02
2.477920e-04 1.66160330e+02
2.546190e-04 1.63921892e+02
2.562500e-04 1.63388512e+02
2.648100e-04 1.60731439e+02
2.656250e-04 1.60479219e+02
2.750000e-04 1.57719573e+02
2.843580e-04 1.55102950e+02
2.843750e-04 1.55098208e+02
2.937160e-04 1.52612267e+02
2.937500e-04 1.52603231e+02
2.943360e-04 1.52454400e+02
2.949220e-04 1.52305570e+02
2.964890e-04 1.51907850e+02
2.980570e-04 1.51509878e+02
3.011920e-04 1.50714853e+02
3.031250e-04 1.50225248e+02
3.074610e-04 1.49174135e+02
3.125000e-04 1.47955550e+02
3.200000e-04 1.46217499e+02
3.218750e-04 1.45784455e+02
3.312500e-04 1.43707310e+02
3.344810e-04 1.43019570e+02
3.350000e-04 1.42909101e+02
3.406250e-04 1.41716098e+02
3.489620e-04 1.40015644e+02
3.500000e-04 1.39803932e+02
3.523440e-04 1.39344988e+02
3.546880e-04 1.38886047e+02
3.593750e-04 1.37968367e+02
3.687500e-04 1.36203367e+02
3.781250e-04 1.34504405e+02
3.875000e-04 1.32867335e+02
3.968750e-04 1.31288735e+02
4.062500e-04 1.29765162e+02
4.250000e-04 1.26870477e+02
4.437500e-04 1.24161188e+02
4.625000e-04 1.21618510e+02
4.812500e-04 1.19225914e+02
5.000000e-04 1.16969207e+02
5.156250e-04 1.15183280e+02
5.312500e-04 1.13476941e+02
5.468750e-04 1.11844091e+02
5.625000e-04 1.10279852e+02
5.781250e-04 1.08779480e+02
5.937500e-04 1.07338733e+02
6.093750e-04 1.05953533e+02
6.250000e-04 1.04620920e+02
6.400000e-04 1.03388533e+02
6.406250e-04 1.03337315e+02
6.562500e-04 1.02100466e+02
6.675000e-04 1.01239686e+02
6.718750e-04 1.00906039e+02
6.875000e-04 9.97530550e+01
6.950000e-04 9.92255033e+01
7.187500e-04 9.75602744e+01
7.225000e-04 9.73130828e+01
7.500000e-04 9.55060065e+01
7.812500e-04 9.35764943e+01
8.125000e-04 9.17593894e+01
8.437500e-04 9.00443889e+01
8.750000e-04 8.84217950e+01
9.062500e-04 8.68840005e+01
9.375000e-04 8.54238881e+01
9.687500e-04 8.40349023e+01
1.000000e-03 8.27116488e+01
1.031250e-03 8.14489364e+01
1.062500e-03 8.02422330e+01
1.093750e-03 7.90876641e+01
1.125000e-03 7.79816672e+01
1.156250e-03 7.69206814e+01
1.187500e-03 7.59019375e+01
1.218750e-03 7.49227090e+01
1.250000e-03 7.39803113e+01
1.280000e-03 7.31089749e+01
1.281250e-03 7.30727624e+01
1.312500e-03 7.21982711e+01
1.335000e-03 7.15895150e+01
1.343750e-03 7.13535541e+01
1.375000e-03 7.05383270e+01
1.390000e-03 7.01652870e+01
1.437500e-03 6.89877766e+01
1.445000e-03 6.88129940e+01
1.500000e-03 6.75352611e+01
1.562500e-03 6.61709172e+01
1.625000e-03 6.48861284e+01
1.687500e-03 6.36733533e+01
1.750000e-03 6.25261393e+01
1.812500e-03 6.14387459e+01
1.875000e-03 6.04062475e+01
1.937500e-03 5.94241070e+01
2.000000e-03 5.84884088e+01
2.070000e-03 5.74991501e+01
2.093750e-03 5.71644058e+01
2.140000e-03 5.65527691e+01
2.187500e-03 5.59262508e+01
2.210000e-03 5.56469712e+01
2.280000e-03 5.47803445e+01
2.281250e-03 5.47649057e+01
2.350000e-03 5.39641037e+01
2.375000e-03 5.36735803e+01
2.420000e-03 5.31791197e+01
2.468750e-03 5.26447186e+01
2.490000e-03 5.24239910e+01
2.560000e-03 5.16985176e+01
2.562500e-03 5.16726487e+01
2.568360e-03 5.16150667e+01
2.574220e-03 5.15575112e+01
2.585940e-03 5.14424007e+01
2.596190e-03 5.13417859e+01
2.609380e-03 5.12123128e+01
2.618170e-03 5.11261233e+01
2.656250e-03 5.07527373e+01
2.662110e-03 5.06982063e+01
2.750000e-03 4.98803503e+01
2.843750e-03 4.90514202e+01
2.937500e-03 4.82625343e+01
3.031250e-03 4.75104640e+01
3.125000e-03 4.67924950e+01
3.218750e-03 4.61061752e+01
3.312500e-03 4.54492447e+01
3.406250e-03 4.48195125e+01
3.500000e-03 4.42153326e+01
3.593750e-03 4.36349910e+01
3.687500e-03 4.30769284e+01
3.781250e-03 4.25396434e+01
3.875000e-03 4.20220735e+01
3.968750e-03 4.15229402e+01
4.062500e-03 4.10412554e+01
4.250000e-03 4.01259000e+01
4.437500e-03 3.92693924e+01
4.625000e-03 3.84654469e+01
4.812500e-03 3.77089541e+01
5.000000e-03 3.69954379e+01
5.120000e-03 3.65616659e+01
5.156250e-03 3.64308948e+01
5.261250e-03 3.60680911e+01
5.312500e-03 3.58913854e+01
5.402500e-03 3.55938005e+01
5.468750e-03 3.53752021e+01
5.543750e-03 3.51375091e+01
5.625000e-03 3.48805337e+01
5.685000e-03 3.46981880e+01
5.781250e-03 3.44062612e+01
5.826250e-03 3.42748760e+01
5.937500e-03 3.39506958e+01
5.967500e-03 3.38664791e+01
6.093750e-03 3.35127473e+01
6.108750e-03 3.34722273e+01
6.250000e-03 3.30913800e+01
6.406250e-03 3.26856063e+01
6.562500e-03 3.22943437e+01
6.718750e-03 3.19168073e+01
6.875000e-03 3.15522384e+01
7.187500e-03 3.08591441e+01
7.500000e-03 3.02097169e+01
7.812500e-03 2.95997651e+01
8.125000e-03 2.90253222e+01
8.437500e-03 2.84830095e+01
8.750000e-03 2.79700980e+01
9.062500e-03 2.74839146e+01
9.375000e-03 2.70222579e+01
9.687500e-03 2.65831318e+01
1.000000e-02 2.61648487e+01
1.031250e-02 2.57656240e+01
1.062500e-02 2.53841876e+01
1.093750e-02 2.50192179e+01
1.125000e-02 2.46695889e+01
1.156250e-02 2.43342594e+01
1.187500e-02 2.40121906e+01
1.218750e-02 2.37026825e+01
1.250000e-02 2.34048528e+01
1.281250e-02 2.31180196e+01
1.312500e-02 2.28414753e+01
1.343750e-02 2.25746377e+01
1.375000e-02 2.23169360e+01
1.437500e-02 2.18270004e+01
1.500000e-02 2.13680048e+01
1.546880e-02 2.10445732e+01
1.562500e-02 2.09368472e+01
1.593750e-02 2.07338181e+01
1.625000e-02 2.05308613e+01
1.640630e-02 2.04349647e+01
1.687500e-02 2.01474977e+01
1.750000e-02 1.97849671e+01
1.812500e-02 1.94412012e+01
1.875000e-02 1.91149027e+01
1.937500e-02 1.88044427e+01
2.000000e-02 1.85087381e+01
2.066250e-02 1.82100494e+01
2.132500e-02 1.79254007e+01
2.198750e-02 1.76537122e+01
2.265000e-02 1.73940416e+01
2.331250e-02 1.71455389e+01
2.397500e-02 1.69074254e+01
2.463750e-02 1.66789711e+01
2.530000e-02 1.64595858e+01
2.611300e-02 1.62042552e+01
2.645780e-02 1.60962336e+01
2.692600e-02 1.59584080e+01
2.761560e-02 1.57559055e+01
2.773910e-02 1.57217405e+01
2.855210e-02 1.54973703e+01
2.877340e-02 1.54364330e+01
2.936510e-02 1.52825991e+01
2.993130e-02 1.51357221e+01
3.017810e-02 1.50751243e+01
3.099110e-02 1.48759431e+01
3.108910e-02 1.48519833e+01
3.180420e-02 1.46861816e+01
3.224690e-02 1.45838053e+01
3.311380e-02 1.43933155e+01
3.340470e-02 1.43295945e+01
3.442340e-02 1.41171654e+01
3.456250e-02 1.40882459e+01
3.552740e-02 1.38962396e+01
3.573310e-02 1.38568453e+01
3.649220e-02 1.37118990e+01
3.704270e-02 1.36106514e+01
3.745700e-02 1.35346685e+01
3.835240e-02 1.33763745e+01
3.842190e-02 1.33641210e+01
3.938670e-02 1.31999532e+01
3.966200e-02 1.31547059e+01
4.035160e-02 1.30416680e+01
4.097160e-02 1.29434399e+01
4.131640e-02 1.28889518e+01
4.228130e-02 1.27414624e+01
4.421090e-02 1.24612039e+01
4.614060e-02 1.21987421e+01
4.807030e-02 1.19522908e+01
5.000000e-02 1.17202416e+01
5.060000e-02 1.16517464e+01
5.156250e-02 1.15420508e+01
5.208750e-02 1.14847439e+01
5.279380e-02 1.14078216e+01
5.312500e-02 1.13717522e+01
5.357500e-02 1.13247462e+01
5.468750e-02 1.12087960e+01
5.498750e-02 1.11787762e+01
5.506250e-02 1.11712714e+01
5.625000e-02 1.10527041e+01
5.655000e-02 1.10239131e+01
5.718130e-02 1.09634561e+01
5.781250e-02 1.09030107e+01
5.803750e-02 1.08822776e+01
5.937500e-02 1.07592832e+01
5.952500e-02 1.07459964e+01
5.952570e-02 1.07459345e+01
5.989750e-02 1.07130680e+01
6.026930e-02 1.06802016e+01
6.093750e-02 1.06211344e+01
6.101250e-02 1.06147428e+01
6.101290e-02 1.06147088e+01
6.250000e-02 1.04882325e+01
6.406250e-02 1.03602611e+01
6.562500e-02 1.02369294e+01
6.718750e-02 1.01179386e+01
6.875000e-02 1.00030167e+01
7.187500e-02 9.78456196e+00
7.500000e-02 9.57986351e+00
7.812500e-02 9.38754390e+00
8.125000e-02 9.20640671e+00
8.437500e-02 9.03545575e+00
8.750000e-02 8.87377134e+00
9.062500e-02 8.72054580e+00
9.375000e-02 8.57507530e+00
9.687500e-02 8.43672758e+00
1.000000e-01 8.30493737e+00
1.027530e-01 8.19415160e+00
1.031250e-01 8.17921336e+00
1.046880e-01 8.11910936e+00
1.055070e-01 8.08761646e+00
1.062500e-01 8.05910393e+00
1.082600e-01 7.98514506e+00
1.093750e-01 7.94420057e+00
1.110130e-01 7.88644815e+00
1.125000e-01 7.83412250e+00
1.137660e-01 7.79130804e+00
1.140630e-01 7.78128329e+00
1.156250e-01 7.72856226e+00
1.165190e-01 7.69952994e+00
1.187500e-01 7.62721971e+00
1.190510e-01 7.61782421e+00
1.192730e-01 7.61089468e+00
1.197950e-01 7.59463117e+00
1.205390e-01 7.57145111e+00
1.218750e-01 7.52982700e+00
1.220260e-01 7.52529250e+00
1.250000e-01 7.43615309e+00
1.281250e-01 7.34597268e+00
1.312500e-01 7.25907259e+00
1.343750e-01 7.17607515e+00
1.375000e-01 7.09429552e+00
1.437500e-01 6.94035083e+00
1.500000e-01 6.79609435e+00
1.562500e-01 6.66059843e+00
1.625000e-01 6.53303277e+00
1.687500e-01 6.41267811e+00
1.750000e-01 6.29887494e+00
1.812500e-01 6.19104998e+00
1.875000e-01 6.08872892e+00
1.937500e-01 5.99146809e+00
2.000000e-01 5.89888036e+00
2.046880e-01 5.83324861e+00
2.068040e-01 5.80372114e+00
2.093750e-01 5.76793735e+00
2.136080e-01 5.71255560e+00
2.187500e-01 5.64545145e+00
2.204130e-01 5.62503419e+00
2.272170e-01 5.54170984e+00
2.281250e-01 5.53061624e+00
2.340210e-01 5.46270410e+00
2.375000e-01 5.42272373e+00
2.381030e-01 5.41617621e+00
2.404090e-01 5.39113726e+00
2.408250e-01 5.38662029e+00
2.427150e-01 5.36614551e+00
2.468750e-01 5.32107985e+00
2.473270e-01 5.31644323e+00
2.476290e-01 5.31334539e+00
2.544330e-01 5.24371285e+00
2.562500e-01 5.22516662e+00
2.565510e-01 5.22225133e+00
2.647170e-01 5.14316311e+00
2.656250e-01 5.13439658e+00
2.657760e-01 5.13301110e+00
2.750000e-01 5.04838035e+00
2.843750e-01 4.96672146e+00
2.937500e-01 4.88905017e+00
3.031250e-01 4.81507113e+00
3.125000e-01 4.74448862e+00
3.218750e-01 4.67705321e+00
3.312500e-01 4.61255657e+00
3.406250e-01 4.55077417e+00
3.500000e-01 4.49154626e+00
3.593750e-01 4.43501400e+00
3.640630e-01 4.40722567e+00
3.687500e-01 4.38035731e+00
3.781250e-01 4.32752168e+00
3.875000e-01 4.27722880e+00
3.921880e-01 4.25248700e+00
3.968750e-01 4.22852895e+00
4.062500e-01 4.18135392e+00
4.156250e-01 4.13675421e+00
4.250000e-01 4.09228357e+00
4.437500e-01 4.00893923e+00
4.625000e-01 3.93081149e+00
5.000000e-01 3.78859648e+00
5.312500e-01 3.68216048e+00
5.625000e-01 3.58479752e+00
5.937500e-01 3.49752009e+00
6.250000e-01 3.41329307e+00
6.562500e-01 3.34005032e+00
6.718750e-01 3.30344577e+00
6.875000e-01 3.26685239e+00
7.031250e-01 3.23515555e+00
7.187500e-01 3.20346816e+00
7.343750e-01 3.17178978e+00
7.500000e-01 3.14012003e+00
7.656250e-01 3.11214837e+00
7.812500e-01 3.08418454e+00
7.968750e-01 3.05622809e+00
8.096000e-01 3.03463380e+00
8.125000e-01 3.02971272e+00
8.203130e-01 3.01716932e+00
8.281250e-01 3.00462767e+00
8.437500e-01 2.97954968e+00
8.515630e-01 2.96757468e+00
8.593750e-01 2.95560273e+00
8.671880e-01 2.94363088e+00
8.750000e-01 2.93166199e+00
8.847660e-01 2.91809061e+00
8.945310e-01 2.90452277e+00
9.042970e-01 2.89095580e+00
9.140630e-01 2.87739099e+00
9.238280e-01 2.86382955e+00
9.335940e-01 2.85026879e+00
9.375000e-01 2.84484583e+00
9.433590e-01 2.83753199e+00
9.524110e-01 2.82623413e+00
9.531250e-01 2.82534307e+00
9.638670e-01 2.81193930e+00
9.746090e-01 2.79853787e+00
9.853520e-01 2.78513735e+00
9.960940e-01 2.77174033e+00
1.000000e+00 2.76686934e+00
1.007810e+00 2.75809507e+00
1.015630e+00 2.74931068e+00
1.017730e+00 2.74695199e+00
1.023440e+00 2.74053889e+00
1.031250e+00 2.73176829e+00
1.041990e+00 2.71970903e+00
1.047360e+00 2.71368008e+00
1.052740e+00 2.70764047e+00
1.060550e+00 2.69887374e+00
1.062500e+00 2.69668508e+00
1.065920e+00 2.69321143e+00
1.071290e+00 2.68775764e+00
1.076660e+00 2.68230430e+00
1.078560e+00 2.68037498e+00
1.082030e+00 2.67685164e+00
1.092770e+00 2.66594798e+00
1.103520e+00 2.65503591e+00
1.113770e+00 2.64463307e+00
1.124020e+00 2.63423185e+00
1.125000e+00 2.63323753e+00
1.133030e+00 2.62601327e+00
1.134280e+00 2.62488880e+00
1.144530e+00 2.61566966e+00
1.150880e+00 2.60995905e+00
1.157230e+00 2.60424899e+00
1.163580e+00 2.59853955e+00
1.169920e+00 2.59283964e+00
1.176270e+00 2.58713137e+00
1.182620e+00 2.58142356e+00
1.187500e+00 2.57703756e+00
1.188970e+00 2.57576839e+00
1.195310e+00 2.57029507e+00
1.202150e+00 2.56439070e+00
1.208990e+00 2.55848696e+00
1.215820e+00 2.55259248e+00
1.222660e+00 2.54669000e+00
1.229490e+00 2.54079669e+00
1.236330e+00 2.53489547e+00
1.243170e+00 2.52899478e+00
1.250000e+00 2.52310336e+00
1.261720e+00 2.51444861e+00
1.273440e+00 2.50579565e+00
1.285160e+00 2.49714440e+00
1.288380e+00 2.49476800e+00
1.296880e+00 2.48849534e+00
1.308590e+00 2.47985556e+00
1.312500e+00 2.47697125e+00
1.320310e+00 2.47125203e+00
1.332030e+00 2.46267125e+00
1.343750e+00 2.45409209e+00
1.353520e+00 2.44694150e+00
1.363280e+00 2.43979950e+00
1.364130e+00 2.43917759e+00
1.373050e+00 2.43265218e+00
1.375000e+00 2.43122589e+00
1.382810e+00 2.42638564e+00
1.392580e+00 2.42033166e+00
1.402340e+00 2.41428506e+00
1.421880e+00 2.40218266e+00
1.437500e+00 2.39251165e+00
1.441410e+00 2.39009126e+00
1.460940e+00 2.37800598e+00
1.480470e+00 2.36592484e+00
1.486210e+00 2.36237535e+00
1.500000e+00 2.35384876e+00
1.521490e+00 2.34256837e+00
1.529800e+00 2.33820833e+00
1.542970e+00 2.33129930e+00
1.559600e+00 2.32257897e+00
1.564450e+00 2.32003622e+00
1.585940e+00 2.30877449e+00
1.607420e+00 2.29752298e+00
1.619200e+00 2.29135520e+00
1.625000e+00 2.28833473e+00
1.628910e+00 2.28658595e+00
1.640630e+00 2.28134688e+00
1.650390e+00 2.27699166e+00
1.656250e+00 2.27437812e+00
1.671880e+00 2.26742718e+00
1.687500e+00 2.26048422e+00
1.691410e+00 2.25875349e+00
1.703130e+00 2.25356826e+00
1.710940e+00 2.25011385e+00
1.730470e+00 2.24147966e+00
1.750000e+00 2.23284962e+00
1.765750e+00 2.22687082e+00
1.781250e+00 2.22101100e+00
1.812500e+00 2.20920775e+00
1.820380e+00 2.20623426e+00
1.824310e+00 2.20476254e+00
1.843750e+00 2.19748649e+00
1.875000e+00 2.18580142e+00
1.882880e+00 2.18325424e+00
1.906250e+00 2.17570564e+00
1.910190e+00 2.17443447e+00
1.937500e+00 2.16571207e+00
1.941440e+00 2.16445518e+00
1.968750e+00 2.15575034e+00
2.000000e+00 2.14580173e+00
2.032230e+00 2.13722468e+00
2.053030e+00 2.13169821e+00
