51-Sb_n-g
> 51-Sb-121:0.572100
> 51-Sb-123:0.427900
1.062500e-04 7.61699441e+01
1.093750e-04 7.50739375e+01
1.125000e-04 7.40239710e+01
1.156250e-04 7.30168297e+01
1.187500e-04 7.20497272e+01
1.218750e-04 7.11200485e+01
1.250000e-04 7.02254215e+01
1.281250e-04 6.93637885e+01
1.312500e-04 6.85331063e+01
1.343750e-04 6.77315172e+01
1.375000e-04 6.69574780e+01
1.437500e-04 6.54857759e+01
1.500000e-04 6.41070546e+01
1.562500e-04 6.28118689e+01
1.625000e-04 6.15921880e+01
1.687500e-04 6.04409673e+01
1.750000e-04 5.93518909e+01
1.812500e-04 5.83196719e+01
1.875000e-04 5.73395089e+01
1.937500e-04 5.64071580e+01
2.000000e-04 5.55188613e+01
2.093750e-04 5.42617566e+01
2.187500e-04 5.30863298e+01
2.281250e-04 5.19841929e+01
2.375000e-04 5.09479158e+01
2.468750e-04 4.99713536e+01
2.562500e-04 4.90487624e+01
2.656250e-04 4.81755266e+01
2.750000e-04 4.73472593e+01
2.843750e-04 4.65603739e+01
2.937500e-04 4.58114697e+01
3.031250e-04 4.50975599e+01
3.125000e-04 4.44160441e+01
3.218750e-04 4.37644931e+01
3.312500e-04 4.31408063e+01
3.406250e-04 4.25430689e+01
3.500000e-04 4.19694949e+01
3.593750e-04 4.14185264e+01
3.687500e-04 4.08886920e+01
3.781250e-04 4.03786484e+01
3.875000e-04 3.98873094e+01
3.968750e-04 3.94134463e+01
4.062500e-04 3.89560874e+01
4.250000e-04 3.80872242e+01
4.437500e-04 3.72740178e+01
4.625000e-04 3.65107670e+01
4.812500e-04 3.57925563e+01
5.000000e-04 3.51151987e+01
5.156250e-04 3.45791484e+01
5.312500e-04 3.40669471e+01
5.468750e-04 3.35768369e+01
5.625000e-04 3.31073036e+01
5.781250e-04 3.26569322e+01
5.937500e-04 3.22244510e+01
6.093750e-04 3.18087741e+01
6.250000e-04 3.14087298e+01
6.406250e-04 3.10234321e+01
6.562500e-04 3.06519664e+01
6.718750e-04 3.02935469e+01
6.875000e-04 2.99474162e+01
7.187500e-04 2.92893494e+01
7.500000e-04 2.86728501e+01
7.812500e-04 2.80936746e+01
8.125000e-04 2.75482648e+01
8.437500e-04 2.70334485e+01
8.750000e-04 2.65464821e+01
9.062500e-04 2.60849651e+01
9.375000e-04 2.56466681e+01
9.687500e-04 2.52298196e+01
1.000000e-03 2.48326046e+01
1.031250e-03 2.44535799e+01
1.062500e-03 2.40914594e+01
1.093750e-03 2.37449287e+01
1.125000e-03 2.34129874e+01
1.156250e-03 2.30945637e+01
1.187500e-03 2.27887862e+01
1.218750e-03 2.24948831e+01
1.250000e-03 2.22120256e+01
1.281250e-03 2.19396137e+01
1.312500e-03 2.16769614e+01
1.343750e-03 2.14235542e+01
1.375000e-03 2.11788494e+01
1.437500e-03 2.07135742e+01
1.500000e-03 2.02777065e+01
1.562500e-03 1.98682599e+01
1.625000e-03 1.94826621e+01
1.687500e-03 1.91186984e+01
1.750000e-03 1.87743682e+01
1.812500e-03 1.84480854e+01
1.875000e-03 1.81382069e+01
1.937500e-03 1.78434750e+01
2.000000e-03 1.75626324e+01
2.093750e-03 1.71652602e+01
2.187500e-03 1.67936518e+01
2.281250e-03 1.64452634e+01
2.375000e-03 1.61176946e+01
2.468750e-03 1.58090022e+01
2.562500e-03 1.55173568e+01
2.656250e-03 1.52413012e+01
2.750000e-03 1.49795205e+01
2.843750e-03 1.47308003e+01
2.937500e-03 1.44941118e+01
3.031250e-03 1.42684261e+01
3.125000e-03 1.40530143e+01
3.218750e-03 1.38470622e+01
3.312500e-03 1.36499979e+01
3.406250e-03 1.34610072e+01
3.500000e-03 1.32797755e+01
3.593750e-03 1.31056886e+01
3.687500e-03 1.29382319e+01
3.781250e-03 1.27770482e+01
3.875000e-03 1.26217188e+01
3.968750e-03 1.24719781e+01
4.062500e-03 1.23274815e+01
4.250000e-03 1.20529034e+01
4.437500e-03 1.17958968e+01
4.625000e-03 1.15547186e+01
4.812500e-03 1.13278169e+01
5.000000e-03 1.11137613e+01
5.156250e-03 1.09443913e+01
5.312500e-03 1.07825803e+01
5.468750e-03 1.06277483e+01
5.625000e-03 1.04793936e+01
5.781250e-03 1.03371290e+01
5.937500e-03 1.02005402e+01
6.093750e-03 1.00692127e+01
6.250000e-03 9.94281495e+00
6.406250e-03 9.82112560e+00
6.562500e-03 9.70376018e+00
6.718750e-03 9.59058444e+00
6.875000e-03 9.48122676e+00
7.187500e-03 9.27340565e+00
7.500000e-03 9.07868784e+00
7.812500e-03 8.89576587e+00
8.125000e-03 8.72351946e+00
8.437500e-03 8.56094839e+00
8.750000e-03 8.40716952e+00
9.062500e-03 8.26141983e+00
9.375000e-03 8.12302631e+00
9.687500e-03 7.99139591e+00
1.000000e-02 7.86599568e+00
1.031250e-02 7.74634546e+00
1.062500e-02 7.63202088e+00
1.093750e-02 7.52264185e+00
1.125000e-02 7.41786111e+00
1.156250e-02 7.31736861e+00
1.187500e-02 7.22087854e+00
1.218750e-02 7.12812658e+00
1.250000e-02 7.03888979e+00
1.281250e-02 6.95293668e+00
1.312500e-02 6.87008293e+00
1.343750e-02 6.79014421e+00
1.375000e-02 6.71294903e+00
1.437500e-02 6.56618204e+00
1.500000e-02 6.42870740e+00
1.562500e-02 6.29957060e+00
1.625000e-02 6.17796712e+00
1.687500e-02 6.06318965e+00
1.750000e-02 5.95462662e+00
1.812500e-02 5.85173217e+00
1.875000e-02 5.75403903e+00
1.937500e-02 5.66112567e+00
2.000000e-02 5.57261200e+00
2.066250e-02 5.48321525e+00
2.132500e-02 5.39803815e+00
2.198750e-02 5.31674203e+00
2.265000e-02 5.23905252e+00
2.331250e-02 5.16471531e+00
2.397500e-02 5.09349173e+00
2.463750e-02 5.02516173e+00
2.530000e-02 4.95955100e+00
2.645780e-02 4.85088235e+00
2.761560e-02 4.74915260e+00
2.877340e-02 4.65365156e+00
2.993130e-02 4.56378337e+00
3.108910e-02 4.47900789e+00
3.224690e-02 4.39885787e+00
3.340470e-02 4.32293749e+00
3.456250e-02 4.25086665e+00
3.552740e-02 4.19353236e+00
3.649220e-02 4.13848864e+00
3.745700e-02 4.08559404e+00
3.842190e-02 4.03469851e+00
3.938670e-02 3.98569917e+00
4.035160e-02 3.93847315e+00
4.131640e-02 3.89291610e+00
4.228130e-02 3.84893803e+00
4.421090e-02 3.76536014e+00
4.614060e-02 3.68710645e+00
4.807030e-02 3.61364682e+00
5.000000e-02 3.54451971e+00
5.156250e-02 3.49142516e+00
5.312500e-02 3.44070977e+00
5.468750e-02 3.39220351e+00
5.625000e-02 3.34574920e+00
5.781250e-02 3.30121109e+00
5.937500e-02 3.25845628e+00
6.093750e-02 3.21738190e+00
6.250000e-02 3.17787505e+00
6.406250e-02 3.13984286e+00
6.562500e-02 3.10318244e+00
6.718750e-02 3.06823282e+00
6.875000e-02 3.03369399e+00
7.187500e-02 2.96881382e+00
7.500000e-02 2.90804897e+00
7.812500e-02 2.85098506e+00
8.125000e-02 2.79727627e+00
8.437500e-02 2.74661968e+00
8.750000e-02 2.69872807e+00
9.062500e-02 2.65336995e+00
9.375000e-02 2.61032385e+00
9.687500e-02 2.56940970e+00
1.000000e-01 2.53045318e+00
1.031250e-01 2.49331569e+00
1.062500e-01 2.45784291e+00
1.093750e-01 2.42393194e+00
1.125000e-01 2.39146418e+00
1.156250e-01 2.36034392e+00
1.187500e-01 2.33048682e+00
