F-19(n,g) ENDFB-8.0
Energy(eV) XS(b)
0.00333594 0.0263791
0.00335938 0.0262869
0.00340625 0.0261054
0.00350000 0.0257534
0.00364063 0.0252511
0.00378125 0.0247771
0.00392188 0.0243288
0.00406250 0.0239041
0.00406760 0.0238891
0.00407900 0.0238557
0.00409040 0.0238224
0.00411320 0.0237563
0.00415880 0.0236257
0.00425000 0.0233708
0.00443750 0.0228717
0.00462500 0.0224033
0.00481250 0.0219626
0.00500000 0.0215468
0.00514054 0.0212503
0.00528108 0.0209656
0.00542161 0.0206921
0.00556215 0.0204290
0.00570269 0.0201757
0.00584323 0.0199316
0.00598376 0.0196962
0.00612430 0.0194689
0.00625000 0.0192721
0.00640625 0.0190356
0.00656250 0.0188076
0.00657030 0.0187965
0.00658852 0.0187705
0.00660674 0.0187446
0.00664318 0.0186931
0.00671605 0.0185914
0.00686180 0.0183929
0.00687500 0.0183752
0.00691406 0.0183232
0.00695313 0.0182717
0.00703125 0.0181699
0.00718750 0.0179713
0.00750000 0.0175929
0.00780920 0.0172411
0.00811840 0.0169096
0.00812500 0.0169028
0.00814453 0.0168825
0.00816406 0.0168623
0.00820313 0.0168221
0.00828125 0.0167425
0.00843750 0.0165868
0.00875000 0.0162879
0.00906250 0.0160046
0.00937500 0.0157356
0.00968750 0.0154797
0.0100000 0.0152360
0.0103110 0.0150044
0.0106220 0.0147831
0.0106250 0.0147811
0.0106323 0.0147760
0.0106397 0.0147709
0.0106543 0.0147607
0.0106836 0.0147405
0.0107422 0.0147002
0.0108594 0.0146207
0.0110938 0.0144654
0.0115625 0.0141692
0.0120313 0.0138904
0.0125000 0.0136275
0.0128125 0.0134603
0.0131250 0.0132991
0.0134375 0.0131435
0.0137500 0.0129933
0.0143750 0.0127077
0.0150000 0.0124401
0.0156250 0.0121888
0.0162500 0.0119521
0.0168750 0.0117287
0.0175000 0.0115173
0.0181250 0.0113170
0.0187500 0.0111268
0.0193750 0.0109459
0.0200000 0.0107735
0.0206625 0.0105994
0.0213250 0.0104334
0.0219875 0.0102750
0.0226500 0.0101236
0.0226790 0.0101172
0.0227609 0.0100989
0.0228428 0.0100808
0.0230066 0.0100449
0.0233343 0.00997410
0.0239895 0.00983694
0.0246448 0.00970528
0.0253000 0.00957877
0.0264578 0.00936684
0.0276156 0.00916837
0.0287734 0.00898201
0.0299313 0.00880657
0.0307031 0.00869517
0.0314750 0.00858789
0.0330188 0.00838472
0.0345625 0.00819533
0.0361063 0.00801821
0.0376490 0.00785221
0.0376500 0.00785211
0.0376564 0.00785144
0.0376627 0.00785078
0.0376754 0.00784946
0.0377008 0.00784681
0.0377517 0.00784152
0.0378534 0.00783099
0.0380567 0.00781004
0.0384634 0.00776864
0.0392768 0.00768778
0.0409035 0.00753336
0.0425303 0.00738788
0.0441570 0.00725052
0.0456178 0.00713349
0.0470785 0.00702196
0.0485393 0.00691550
0.0500000 0.00681373
0.0523293 0.00666037
0.0546585 0.00651692
0.0569878 0.00638235
0.0593170 0.00625579
0.0593750 0.00625273
0.0595703 0.00624247
0.0597656 0.00623227
0.0601563 0.00621200
0.0609375 0.00617205
0.0625000 0.00609441
0.0656250 0.00594754
0.0687500 0.00581080
0.0718750 0.00568307
0.0750000 0.00556341
0.0781250 0.00545100
0.0812500 0.00534515
0.0843750 0.00524523
0.0875000 0.00515072
0.0906250 0.00506114
0.0937500 0.00497608
0.0968750 0.00489517
0.100000 0.00481808
0.105651 0.00468747
0.111301 0.00456694
0.116952 0.00445525
0.122603 0.00435137
0.125000 0.00430944
0.131162 0.00420698
0.137325 0.00411150
0.143487 0.00402224
0.149649 0.00393856
0.150000 0.00393395
0.150781 0.00392375
0.151563 0.00391362
0.153125 0.00389360
0.156250 0.00385447
0.156280 0.00385411
0.156353 0.00385320
0.156426 0.00385230
0.156572 0.00385050
0.156865 0.00384691
0.157450 0.00383976
0.158620 0.00382557
0.160960 0.00379767
0.165640 0.00374364
0.175000 0.00364217
0.181250 0.00357884
0.187500 0.00351870
0.200000 0.00340699
0.210246 0.00332295
0.220492 0.00324482
0.230738 0.00317196
0.240984 0.00310379
0.246875 0.00306653
0.246914 0.00306629
0.247024 0.00306561
0.247133 0.00306493
0.247353 0.00306357
0.247792 0.00306086
0.248669 0.00305545
0.250425 0.00304472
0.253935 0.00302360
0.260957 0.00298264
0.275000 0.00290549
0.287557 0.00284135
0.300114 0.00278129
0.312671 0.00272488
0.325228 0.00267178
0.350000 0.00257550
0.368387 0.00251040
0.386774 0.00244999
0.405161 0.00239373
0.423548 0.00234119
0.425000 0.00233719
0.429174 0.00232579
0.433348 0.00231456
0.441696 0.00229259
0.458393 0.00225045
0.491785 0.00217273
0.500000 0.00215481
0.523265 0.00210637
0.546530 0.00206105
