Pb-204(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 79.6250
1.03125E-05 78.4449
1.06250E-05 77.3177
1.09375E-05 76.2397
1.12500E-05 75.2073
1.15625E-05 74.2176
1.18750E-05 73.2676
1.21875E-05 72.3548
1.25000E-05 71.4769
1.28125E-05 70.6316
1.31250E-05 69.8171
1.34375E-05 69.0315
1.37500E-05 68.2732
1.43750E-05 66.8325
1.50000E-05 65.4839
1.54625E-05 64.5399
1.59249E-05 63.6379
1.63874E-05 62.7749
1.68498E-05 61.9483
1.68750E-05 61.9043
1.69531E-05 61.7683
1.70313E-05 61.6333
1.71875E-05 61.3662
1.75000E-05 60.8428
1.81250E-05 59.8377
1.87500E-05 58.8840
1.93750E-05 57.9777
2.00000E-05 57.1150
2.06427E-05 56.2698
2.12855E-05 55.4638
2.19282E-05 54.6942
2.25709E-05 53.9585
2.32137E-05 53.2541
2.38564E-05 52.5789
2.44991E-05 51.9312
2.51419E-05 51.3089
2.63209E-05 50.2286
2.75000E-05 49.2202
2.84375E-05 48.4647
2.93750E-05 47.7465
3.03125E-05 47.0629
3.12500E-05 46.4110
3.21875E-05 45.7886
3.31250E-05 45.1936
3.40625E-05 44.6241
3.50000E-05 44.0782
3.62500E-05 43.3847
3.75000E-05 42.7272
3.87500E-05 42.1029
4.00000E-05 41.5090
4.12500E-05 40.9433
4.25000E-05 40.4035
4.43750E-05 39.6387
4.62500E-05 38.9226
4.81250E-05 38.2505
5.00000E-05 37.6180
5.22465E-05 36.9073
5.44930E-05 36.2430
5.67395E-05 35.6203
5.89860E-05 35.0352
6.07430E-05 34.6015
6.25000E-05 34.1870
6.40625E-05 33.8336
6.56250E-05 33.4936
6.71875E-05 33.1661
6.87500E-05 32.8504
7.18750E-05 32.2519
7.50000E-05 31.6933
7.75000E-05 31.2723
8.00000E-05 30.8725
8.37500E-05 30.3086
8.75000E-05 29.7837
9.06250E-05 29.3729
9.37500E-05 28.9843
9.68750E-05 28.6159
0.000100000 28.2661
0.000104494 27.7929
0.000108987 27.3514
