Pb-204(n,tot) ENDFB-8.0
0.000113480 26.9384
0.000117974 26.5510
0.000121487 26.2644
0.000125000 25.9910
0.000128125 25.7581
0.000131250 25.5342
0.000134375 25.3189
0.000137500 25.1116
0.000143750 24.7192
0.000150000 24.3537
0.000155000 24.0789
0.000160000 23.8183
0.000167500 23.4515
0.000175000 23.1108
0.000181250 22.8448
0.000187500 22.5936
0.000193750 22.3558
0.000200000 22.1305
0.000206828 21.8973
0.000213656 21.6765
0.000220484 21.4672
0.000227312 21.2684
0.000234140 21.0794
0.000240967 20.8993
0.000247795 20.7275
0.000254623 20.5635
0.000264812 20.3321
0.000275000 20.1150
0.000284359 19.9272
0.000293719 19.7495
0.000294922 19.7273
0.000298057 19.6703
0.000301192 19.6143
0.000307461 19.5051
0.000320000 19.2976
0.000335000 19.0667
0.000350000 18.8525
0.000359375 18.7264
0.000368750 18.6056
0.000378125 18.4899
0.000387500 18.3790
0.000396875 18.2724
0.000406250 18.1700
0.000425000 17.9768
0.000443750 17.7973
0.000462500 17.6302
0.000481250 17.4741
0.000500000 17.3279
0.000515625 17.2130
0.000531250 17.1037
0.000546875 16.9997
0.000562500 16.9006
0.000578125 16.8060
0.000593750 16.7156
0.000609375 16.6291
0.000625000 16.5462
0.000640000 16.4698
0.000667500 16.3373
0.000695000 16.2136
0.000722500 16.0978
0.000750000 15.9892
0.000781250 15.8735
0.000812500 15.7652
0.000843750 15.6636
0.000875000 15.5681
0.000906250 15.4781
0.000937500 15.3931
0.000968750 15.3127
0.00100000 15.2364
0.00103125 15.1640
0.00106250 15.0950
0.00109375 15.0294
0.00112500 14.9668
0.00115625 14.9069
0.00118750 14.8497
0.00121875 14.7949
0.00125000 14.7423
0.00128000 14.6938
0.00133500 14.6096
0.00139000 14.5309
0.00144500 14.4572
0.00150000 14.3878
0.00156250 14.3139
0.00162500 14.2446
0.00168750 14.1796
0.00175000 14.1183
0.00181250 14.0605
0.00187500 14.0059
0.00193750 13.9541
0.00200000 13.9049
0.00207000 13.8527
0.00214000 13.8033
0.00221000 13.7564
0.00228000 13.7119
0.00235000 13.6695
0.00242000 13.6291
0.00249000 13.5905
0.00256000 13.5537
0.00256250 13.5524
0.00256836 13.5494
0.00257422 13.5464
0.00258594 13.5404
0.00260938 13.5286
0.00265625 13.5056
0.00275000 13.4613
0.00284375 13.4194
0.00293750 13.3797
0.00303125 13.3419
0.00312500 13.3060
0.00321875 13.2717
0.00331250 13.2390
0.00340625 13.2078
0.00350000 13.1778
0.00359375 13.1492
0.00368750 13.1217
0.00378125 13.0953
0.00387500 13.0699
0.00396875 13.0455
0.00406250 13.0219
0.00425000 12.9774
0.00443750 12.9358
0.00462500 12.8970
0.00481250 12.8605
0.00500000 12.8263
0.00512000 12.8054
0.00526125 12.7818
0.00540250 12.7591
0.00554375 12.7374
0.00568500 12.7166
0.00582625 12.6965
0.00596750 12.6772
0.00610875 12.6586
0.00625000 12.6407
0.00640625 12.6216
0.00656250 12.6032
0.00671875 12.5855
0.00687500 12.5684
0.00718750 12.5360
0.00750000 12.5058
0.00781250 12.4774
0.00812500 12.4508
0.00843750 12.4257
0.00875000 12.4021
0.00906250 12.3797
0.00937500 12.3585
0.00968750 12.3384
0.0100000 12.3193
0.0103125 12.3011
0.0106250 12.2837
0.0109375 12.2671
0.0112500 12.2512
0.0115625 12.2360
0.0118750 12.2214
0.0121875 12.2074
0.0125000 12.1940
0.0128125 12.1810
0.0131250 12.1686
0.0134375 12.1566
0.0137500 12.1450
0.0143750 12.1231
0.0150000 12.1025
0.0156250 12.0833
0.0162500 12.0652
0.0168750 12.0481
0.0175000 12.0320
0.0181250 12.0168
0.0187500 12.0024
0.0193750 11.9886
0.0200000 11.9756
0.0206625 11.9624
0.0213250 11.9499
0.0219875 11.9380
0.0226500 11.9266
0.0233125 11.9157
0.0239750 11.9053
0.0246375 11.8953
0.0253000 11.8857
0.0261130 11.8744
0.0269260 11.8637
0.0277391 11.8535
0.0285521 11.8437
0.0293651 11.8343
0.0301781 11.8253
0.0309911 11.8167
0.0318042 11.8085
0.0331138 11.7958
0.0344234 11.7839
0.0357331 11.7727
0.0370427 11.7620
0.0383524 11.7520
0.0396620 11.7424
0.0409716 11.7333
0.0422813 11.7247
0.0442109 11.7126
0.0461406 11.7014
0.0480703 11.6909
0.0500000 11.6810
0.0506000 11.6780
0.0520875 11.6709
0.0535750 11.6640
0.0550625 11.6575
0.0565500 11.6512
0.0580375 11.6452
0.0595250 11.6394
0.0610125 11.6338
0.0625000 11.6284
0.0640625 11.6230
0.0656250 11.6178
0.0671875 11.6127
0.0687500 11.6079
0.0718750 11.5986
0.0750000 11.5899
0.0781250 11.5818
0.0812500 11.5741
0.0843750 11.5669
0.0875000 11.5601
0.0906250 11.5536
0.0937500 11.5475
0.0968750 11.5417
0.100000 11.5361
0.102753 11.5314
0.105507 11.5269
0.108260 11.5226
0.111013 11.5185
0.113766 11.5145
0.116519 11.5106
0.119273 11.5069
0.122026 11.5033
0.125000 11.4995
0.128125 11.4957
0.131250 11.4921
0.134375 11.4886
0.137500 11.4852
0.143750 11.4788
0.150000 11.4727
0.156250 11.4670
0.162500 11.4617
0.168750 11.4566
0.175000 11.4519
0.181250 11.4474
0.187500 11.4431
0.193750 11.4390
0.200000 11.4351
0.206804 11.4311
0.213608 11.4273
0.220413 11.4236
0.227217 11.4202
0.234021 11.4168
0.240825 11.4136
0.247629 11.4106
0.254433 11.4077
0.264717 11.4035
0.275000 11.3996
0.284375 11.3962
0.293750 11.3929
0.303125 11.3898
0.312500 11.3868
0.321875 11.3840
0.331250 11.3812
0.340625 11.3787
0.350000 11.3762
0.359375 11.3738
0.368750 11.3715
0.378125 11.3693
0.387500 11.3672
0.396875 11.3651
0.406250 11.3631
0.425000 11.3594
0.443750 11.3558
0.462500 11.3525
0.500000 11.3465
0.531250 11.3420
0.562500 11.3379
0.593750 11.3340
0.625000 11.3305
0.687500 11.3242
0.750000 11.3187
0.812500 11.3138
0.875000 11.3095
0.937500 11.3056
1.00000 11.3021
1.06250 11.2989
1.12500 11.2960
1.18750 11.2933
1.25000 11.2908
1.36810 11.2866
1.48621 11.2829
1.50000 11.2825
1.54624 11.2812
1.59248 11.2799
1.68495 11.2775
1.68750 11.2775
1.69531 11.2773
1.70313 11.2771
1.71875 11.2767
1.75000 11.2759
1.87500 11.2732
2.00000 11.2707
2.18102 11.2675
2.18750 11.2674
2.21183 11.2670
2.23616 11.2666
2.28481 11.2658
2.38213 11.2643
2.57675 11.2616
2.75000 11.2594
3.05995 11.2560
3.21492 11.2545
3.36990 11.2532
3.50000 11.2520
3.75000 11.2500
4.00000 11.2482
4.06250 11.2478
4.07093 11.2477
4.09332 11.2475
4.11570 11.2474
4.16047 11.2471
4.25000 11.2465
4.43750 11.2454
4.62500 11.2443
5.00000 11.2423
5.46875 11.2401
5.93750 11.2382
5.94482 11.2381
5.96390 11.2381
5.98297 11.2380
6.02112 11.2378
6.09741 11.2375
6.25000 11.2370
6.56250 11.2359
6.87500 11.2348
7.50000 11.2329
8.00000 11.2316
8.12500 11.2312
8.14187 11.2312
8.17825 11.2311
8.21464 11.2310
8.28742 11.2308
8.43296 11.2305
8.72406 11.2298
8.75000 11.2297
8.82813 11.2295
8.90625 11.2294
9.06250 11.2290
9.37500 11.2283
10.0000 11.2271
10.9375 11.2253
11.8750 11.2238
11.8896 11.2237
11.9278 11.2237
11.9659 11.2236
12.0422 11.2235
12.1948 11.2233
12.5000 11.2228
13.1250 11.2219
13.7500 11.2211
15.0000 11.2195
16.0000 11.2183
16.2500 11.2181
16.2837 11.2181
16.3565 11.2180
16.4293 11.2179
16.5748 11.2177
16.8659 11.2174
17.4481 11.2168
17.5000 11.2168
17.6563 11.2166
17.8125 11.2165
18.1250 11.2162
18.7500 11.2155
20.0000 11.2144
21.8262 11.2129
21.8750 11.2128
21.9922 11.2127
22.1094 11.2126
22.3438 11.2125
22.8125 11.2121
23.7500 11.2114
23.7793 11.2114
23.8956 11.2113
24.0118 11.2112
24.2444 11.2110
24.7095 11.2107
25.6397 11.2100
27.5000 11.2088
29.3717 11.2076
29.4439 11.2075
29.6037 11.2074
29.7634 11.2073
30.0829 11.2071
30.7220 11.2067
32.0000 11.2060
34.8963 11.2044
35.0000 11.2043
35.2344 11.2042
35.4688 11.2040
35.9375 11.2038
36.8750 11.2033
38.7500 11.2023
42.5000 11.2004
46.2500 11.1987
50.0000 11.1970
52.7386 11.1958
55.4772 11.1946
60.9543 11.1923
62.5000 11.1917
64.0000 11.1910
69.5000 11.1889
75.0000 11.1867
81.1523 11.1844
87.3046 11.1821
87.5000 11.1820
88.2813 11.1817
89.0625 11.1814
90.6250 11.1809
93.7500 11.1797
100.000 11.1774
105.477 11.1755
110.954 11.1735
121.909 11.1696
125.000 11.1685
128.000 11.1674
139.000 11.1635
150.000 11.1597
162.305 11.1553
174.609 11.1510
175.000 11.1509
176.563 11.1503
178.125 11.1497
181.250 11.1486
187.500 11.1464
200.000 11.1420
208.745 11.1388
209.394 11.1386
211.418 11.1379
213.442 11.1372
217.490 11.1357
218.039 11.1355
220.018 11.1348
221.996 11.1341
225.953 11.1326
227.226 11.1322
231.350 11.1307
235.475 11.1292
243.724 11.1262
244.757 11.1258
248.703 11.1243
252.648 11.1229
260.540 11.1200
261.600 11.1196
265.666 11.1181
269.732 11.1166
277.863 11.1135
294.125 11.1074
304.938 11.1032
306.776 11.1026
308.442 11.1019
309.443 11.1015
311.739 11.1006
314.036 11.0997
318.628 11.0980
319.611 11.0976
321.663 11.0968
323.714 11.0960
327.817 11.0944
328.841 11.0940
332.765 11.0924
336.690 11.0909
344.539 11.0878
345.733 11.0873
349.218 11.0859
351.250 11.0851
356.805 11.0829
359.550 11.0818
366.802 11.0789
369.580 11.0777
380.230 11.0734
383.842 11.0719
387.976 11.0702
400.000 11.0652
411.214 11.0606
416.821 11.0582
422.427 11.0559
428.034 11.0536
433.641 11.0513
439.248 11.0490
442.051 11.0479
444.855 11.0468
449.227 11.0452
451.413 11.0445
453.600 11.0438
455.786 11.0432
457.972 11.0427
459.065 11.0425
460.158 11.0424
461.251 11.0423
462.344 11.0423
463.322 11.0424
464.300 11.0426
465.278 11.0429
466.256 11.0434
467.234 11.0441
468.212 11.0451
468.701 11.0457
469.190 11.0465
469.679 11.0474
470.168 11.0485
470.685 11.0499
471.202 11.0516
471.719 11.0536
472.236 11.0562
472.753 11.0593
473.012 11.0612
473.270 11.0633
473.529 11.0657
473.787 11.0683
474.046 11.0714
474.304 11.0749
474.558 11.0789
474.811 11.0835
475.064 11.0889
475.318 11.0952
475.571 11.1027
475.698 11.1069
475.825 11.1116
475.951 11.1167
476.078 11.1224
476.205 11.1287
476.332 11.1356
476.486 11.1452
476.640 11.1561
476.794 11.1688
476.948 11.1835
477.025 11.1918
477.102 11.2008
477.179 11.2106
477.256 11.2213
477.333 11.2330
477.410 11.2459
477.487 11.2601
477.564 11.2757
477.653 11.2960
477.742 11.3191
477.832 11.3454
477.921 11.3756
477.965 11.3925
478.010 11.4107
478.054 11.4304
478.099 11.4517
478.144 11.4749
478.188 11.5002
478.233 11.5279
478.277 11.5582
478.334 11.6016
478.391 11.6510
478.419 11.6784
478.448 11.7079
478.476 11.7397
478.504 11.7739
478.533 11.8110
478.561 11.8514
478.590 11.8953
478.618 11.9431
478.646 11.9955
478.675 12.0530
478.703 12.1163
478.731 12.1859
478.754 12.2458
478.776 12.3106
478.798 12.3810
478.821 12.4573
478.843 12.5402
478.865 12.6303
478.888 12.7283
478.910 12.8350
478.932 12.9511
478.954 13.0774
478.977 13.2148
478.999 13.3643
479.021 13.5268
479.044 13.7033
479.066 13.8948
479.088 14.1023
479.115 14.3701
479.141 14.6624
479.167 14.9831
479.194 15.3312
479.220 15.7108
479.246 16.1202
479.273 16.5619
479.299 17.0364
479.321 17.4669
479.344 17.9193
479.366 18.3954
479.388 18.8946
479.411 19.4162
479.433 19.9592
479.477 21.1031
479.522 22.3115
479.567 23.5644
479.656 26.0961
479.700 27.3155
479.745 28.4572
479.790 29.4859
479.812 29.9472
479.834 30.3660
479.868 30.9181
479.902 31.3559
479.935 31.6720
479.969 31.8599
480.000 31.9159
480.021 31.8896
480.042 31.8122
480.073 31.6020
480.104 31.2824
480.136 30.8592
480.167 30.3401
480.189 29.9208
480.211 29.4638
480.255 28.4450
480.299 27.3162
480.343 26.1144
480.431 23.6135
480.476 22.3743
480.520 21.1802
480.564 20.0453
480.586 19.5070
480.608 18.9892
480.630 18.4908
480.652 18.0171
480.674 17.5662
480.696 17.1386
480.722 16.6613
480.748 16.2182
480.774 15.8066
480.800 15.4258
480.826 15.0732
480.852 14.7503
480.878 14.4542
480.904 14.1834
480.928 13.9535
480.952 13.7435
480.976 13.5511
481.000 13.3750
481.022 13.2262
481.044 13.0898
481.066 12.9643
481.088 12.8489
481.110 12.7422
481.132 12.6445
481.154 12.5545
481.176 12.4717
481.198 12.3950
481.220 12.3246
481.242 12.2596
481.264 12.1995
481.286 12.1437
481.308 12.0922
481.330 12.0444
481.352 12.0000
481.387 11.9372
481.421 11.8809
481.455 11.8301
481.489 11.7842
481.523 11.7424
481.557 11.7044
481.591 11.6696
481.625 11.6377
481.659 11.6082
481.693 11.5811
481.727 11.5560
481.761 11.5326
481.795 11.5109
481.829 11.4906
481.897 11.4540
481.941 11.4326
481.985 11.4129
482.029 11.3947
482.073 11.3778
482.161 11.3474
482.249 11.3210
482.337 11.2978
482.426 11.2773
482.514 11.2591
482.602 11.2429
482.690 11.2284
482.778 11.2153
482.866 11.2034
482.954 11.1927
483.042 11.1829
483.130 11.1740
483.218 11.1659
483.306 11.1584
483.483 11.1451
483.659 11.1338
483.835 11.1240
484.011 11.1156
484.145 11.1098
484.280 11.1046
484.414 11.0999
484.549 11.0956
484.817 11.0880
485.086 11.0817
485.355 11.0762
485.624 11.0715
485.893 11.0674
486.161 11.0639
486.442 11.0606
486.723 11.0577
487.003 11.0552
487.284 11.0529
487.565 11.0508
487.845 11.0490
488.406 11.0458
488.968 11.0432
489.529 11.0409
490.090 11.0390
490.651 11.0374
491.236 11.0359
491.820 11.0345
492.404 11.0334
492.988 11.0323
494.157 11.0304
495.326 11.0289
496.494 11.0275
497.663 11.0263
498.831 11.0253
500.000 11.0243
501.813 11.0229
503.626 11.0216
505.438 11.0204
507.251 11.0192
509.064 11.0182
510.877 11.0171
514.502 11.0151
518.128 11.0132
521.754 11.0113
525.379 11.0094
529.005 11.0076
534.477 11.0048
539.950 11.0020
545.422 10.9992
550.894 10.9965
561.839 10.9909
572.784 10.9853
593.536 10.9745
594.506 10.9740
597.205 10.9726
599.905 10.9712
605.304 10.9683
616.102 10.9625
620.991 10.9598
625.000 10.9576
636.550 10.9512
641.758 10.9483
654.997 10.9408
659.649 10.9382
673.574 10.9301
687.500 10.9219
698.437 10.9153
714.886 10.9052
742.807 10.8874
750.000 10.8827
765.625 10.8723
781.250 10.8617
800.000 10.8485
829.030 10.8273
863.779 10.8005
875.000 10.7915
895.988 10.7740
904.064 10.7672
928.048 10.7460
952.032 10.7238
976.016 10.7005
1000.00 10.6759
1020.80 10.6452
1041.60 10.6133
1042.16 10.6124
1043.64 10.6101
1045.12 10.6078
1048.08 10.6031
1054.01 10.5937
1071.78 10.5646
1089.56 10.5348
1107.34 10.5037
1125.12 10.4716
1142.90 10.4379
1160.68 10.4029
1178.46 10.3665
1196.23 10.3283
1205.58 10.3074
1214.92 10.2860
1224.26 10.2641
1233.60 10.2415
1242.94 10.2184
1252.28 10.1945
1261.62 10.1701
1266.29 10.1576
1270.96 10.1449
1277.90 10.1258
1281.38 10.1161
1284.85 10.1063
1287.16 10.0998
1289.47 10.0932
1291.79 10.0866
1294.10 10.0801
1296.46 10.0734
1298.82 10.0667
1301.19 10.0601
1303.55 10.0536
1305.32 10.0488
1307.09 10.0442
1308.87 10.0397
1310.64 10.0355
1312.41 10.0316
1314.18 10.0282
1315.07 10.0268
1315.95 10.0255
1316.84 10.0246
1317.72 10.0240
1318.53 10.0239
1319.33 10.0242
1320.13 10.0251
1320.93 10.0267
1321.73 10.0292
1322.13 10.0309
1322.54 10.0329
1322.94 10.0354
1323.34 10.0384
1323.74 10.0420
1324.14 10.0463
1324.57 10.0518
1325.00 10.0585
1325.43 10.0666
1325.85 10.0765
1326.28 10.0888
1326.50 10.0959
1326.71 10.1040
1326.93 10.1130
1327.14 10.1232
1327.35 10.1346
1327.57 10.1476
1327.81 10.1644
1328.05 10.1840
1328.29 10.2070
1328.53 10.2340
1328.65 10.2495
1328.77 10.2665
1328.89 10.2852
1329.01 10.3056
1329.13 10.3284
1329.25 10.3537
1329.37 10.3819
1329.49 10.4132
1329.62 10.4548
1329.76 10.5030
1329.83 10.5302
1329.90 10.5592
1329.97 10.5908
1330.04 10.6251
1330.11 10.6632
1330.18 10.7044
1330.25 10.7498
1330.32 10.8000
1330.39 10.8568
1330.46 10.9195
1330.53 10.9901
1330.59 11.0701
1330.63 11.1189
1330.67 11.1715
1330.71 11.2283
1330.75 11.2899
1330.78 11.3567
1330.82 11.4294
1330.86 11.5085
1330.90 11.5926
1330.94 11.6870
1330.97 11.7904
1331.01 11.9039
1331.05 12.0286
1331.09 12.1658
1331.13 12.3168
1331.16 12.4833
1331.20 12.6617
1331.23 12.8302
1331.26 13.0073
1331.30 13.2054
1331.33 13.4134
1331.36 13.6459
1331.39 13.8897
1331.42 14.1619
1331.45 14.4469
1331.48 14.7645
1331.52 15.0962
1331.55 15.4650
1331.58 15.8492
1331.61 16.2750
1331.64 16.7172
1331.67 17.2057
1331.70 17.7113
1331.74 18.3215
1331.77 18.9751
1331.81 19.6732
1331.84 20.3948
1331.88 21.1830
1331.91 21.9930
1331.95 22.8724
1331.98 23.7703
1332.01 24.6821
1332.05 25.6324
1332.08 26.6195
1332.11 27.6412
1332.18 29.7779
1332.24 31.9818
1332.45 39.0763
1332.50 40.8170
1332.55 42.4575
1332.60 44.0086
1332.65 45.4466
1332.70 46.7731
1332.75 47.9143
1332.79 48.7187
1332.83 49.3796
1332.87 49.9223
1332.91 50.3141
1332.96 50.5867
1333.00 50.6776
1333.04 50.5933
1333.09 50.3506
1333.13 49.9526
1333.17 49.4043
1333.21 48.6946
1333.25 47.8651
1333.30 46.9112
1333.34 45.8444
1333.38 44.5902
1333.43 43.2371
1333.52 40.3365
1333.61 37.2145
1333.70 34.0701
1333.75 32.0804
1333.81 30.1409
1333.87 28.2735
1333.92 26.5266
1333.96 25.3106
1334.01 24.1521
1334.05 23.0541
1334.09 22.0428
1334.13 21.0688
1334.17 20.1796
1334.21 19.3303
1334.25 18.5611
1334.27 18.1447
1334.29 17.7638
1334.32 17.3834
1334.34 17.0359
1334.36 16.6896
1334.38 16.3740
1334.41 16.0732
1334.43 15.7868
1334.45 15.5023
1334.47 15.2439
1334.50 14.9875
1334.52 14.7549
1334.54 14.5245
1334.56 14.3158
1334.58 14.1180
1334.61 13.9306
1334.63 13.7532
1334.65 13.5927
1334.67 13.4334
1334.69 13.2894
1334.71 13.1465
1334.74 13.0174
1334.78 12.7791
1334.82 12.5602
1334.86 12.3684
1334.91 12.1923
1334.95 12.0377
1334.99 11.8955
1335.03 11.7704
1335.08 11.6549
1335.12 11.5530
1335.16 11.4585
1335.20 11.3748
1335.25 11.2967
1335.29 11.2272
1335.34 11.1420
1335.40 11.0661
1335.46 10.9980
1335.52 10.9366
1335.57 10.8811
1335.63 10.8306
1335.69 10.7845
1335.74 10.7430
1335.80 10.7041
1335.86 10.6682
1335.97 10.6041
1336.08 10.5486
1336.20 10.5005
1336.29 10.4662
1336.38 10.4355
1336.47 10.4071
1336.56 10.3814
1336.65 10.3575
1336.73 10.3358
1336.91 10.2971
1337.09 10.2636
1337.27 10.2346
1337.45 10.2091
1337.63 10.1868
1337.81 10.1668
1337.98 10.1491
1338.16 10.1332
1338.34 10.1189
1338.52 10.1059
1338.70 10.0942
1338.88 10.0834
1339.06 10.0736
1339.41 10.0563
1339.77 10.0415
1340.13 10.0288
1340.49 10.0178
1340.81 10.0088
1341.14 10.0009
1341.46 9.99365
1341.79 9.98710
1342.11 9.98111
1342.44 9.97562
1343.08 9.96586
1343.73 9.95740
1344.38 9.94996
1345.03 9.94331
1345.68 9.93733
1346.33 9.93184
1346.98 9.92675
1347.63 9.92199
1348.28 9.91752
1349.58 9.90926
1350.88 9.90167
1352.18 9.89458
1353.48 9.88786
1354.78 9.88141
1356.08 9.87517
1357.38 9.86910
1358.68 9.86312
1361.27 9.85144
1363.87 9.83995
1366.47 9.82859
1370.27 9.81201
1374.07 9.79538
1377.87 9.77861
1381.67 9.76164
1385.47 9.74443
1388.93 9.72855
1392.38 9.71242
1399.29 9.67931
1406.20 9.64511
1413.10 9.60952
1420.01 9.57260
1426.92 9.53413
1433.82 9.49395
1440.73 9.45208
1448.76 9.40089
1456.79 9.34683
1464.82 9.28959
1472.85 9.22888
1480.88 9.16432
1488.91 9.09585
1492.93 9.05975
1496.94 9.02240
1500.96 8.98373
1504.97 8.94364
1510.35 8.88753
1515.73 8.82863
1521.11 8.76653
1526.49 8.70099
1531.86 8.63179
1537.24 8.55839
1539.93 8.52022
1542.62 8.48062
1548.00 8.39809
1551.52 8.34102
1555.04 8.28144
1558.57 8.21920
1562.09 8.15419
1565.61 8.08620
1569.13 8.01504
1572.65 7.94043
1576.18 7.86212
1578.69 7.80370
1581.21 7.74303
1583.72 7.68009
1586.24 7.61476
1588.76 7.54682
1591.27 7.47618
1593.79 7.40271
1596.30 7.32619
1599.00 7.24062
1601.69 7.15123
1604.39 7.05768
1607.08 6.95979
1609.69 6.86032
1612.31 6.75616
1614.92 6.64707
1616.23 6.59059
1617.53 6.53281
1618.84 6.47367
1620.15 6.41312
1621.46 6.35112
1622.76 6.28771
1624.07 6.22284
1625.38 6.15644
1626.68 6.08857
1627.99 6.01927
1629.82 5.91954
1631.65 5.81690
1633.48 5.71148
1634.40 5.65786
1635.31 5.60352
1636.23 5.54850
1637.14 5.49297
1638.06 5.43687
1638.97 5.38041
1639.89 5.32353
1640.81 5.26645
1641.72 5.20921
1642.64 5.15193
1644.08 5.06168
1645.53 4.97255
1646.97 4.88547
1647.70 4.84307
1648.42 4.80168
1649.14 4.76146
1649.87 4.72276
1650.59 4.68580
1651.31 4.65077
1652.04 4.61805
1652.76 4.58828
1653.48 4.56191
1654.21 4.53941
1655.27 4.51453
1656.34 4.50176
1657.40 4.50423
1657.93 4.51229
1658.47 4.52554
1659.38 4.56211
1660.29 4.61916
1661.10 4.69067
1661.38 4.72052
1661.81 4.77248
1662.67 4.90007
1663.10 4.97738
1663.53 5.06465
1664.09 5.19465
1664.65 5.34565
1665.21 5.52074
1665.76 5.72324
1666.32 5.95746
1666.88 6.22705
1667.43 6.53763
1667.71 6.71049
1667.99 6.89533
1668.27 7.09442
1668.55 7.30815
1668.83 7.53762
1669.11 7.78314
1669.39 8.04779
1669.66 8.33110
1669.94 8.63669
1670.22 8.96409
1670.50 9.31753
1670.78 9.69796
1671.06 10.1077
1671.34 10.5475
1671.61 11.0235
1671.89 11.5370
1672.17 12.0916
1672.45 12.6888
1672.73 13.3369
1673.01 14.0387
1673.29 14.7992
1673.57 15.6211
1673.84 16.5169
1674.12 17.4873
1674.40 18.5474
1674.68 19.6988
1674.96 20.9600
1675.24 22.3389
1675.52 23.8488
1675.79 25.4987
1676.07 27.3178
1676.35 29.3127
1676.49 30.3933
1676.63 31.5206
1676.77 32.7055
1676.91 33.9517
1677.05 35.2728
1677.19 36.6540
1677.33 38.1199
1677.47 39.6544
1677.61 41.2850
1677.75 42.9942
1677.88 44.7994
1678.02 46.7074
1678.16 48.7403
1678.30 50.8770
1678.44 53.1402
1678.58 55.5392
1678.72 58.1030
1678.86 60.8059
1679.00 63.6779
1679.14 66.7321
1679.33 71.2279
1679.52 76.1324
1679.71 81.4922
1679.90 87.3608
1680.09 93.7991
1680.28 100.877
1680.47 108.673
1680.56 112.869
1680.66 117.279
1680.80 124.199
1680.94 131.607
1681.08 139.660
1681.22 148.300
1681.36 157.716
1681.49 167.841
1681.63 178.817
1681.77 190.727
1681.91 203.761
1682.05 217.836
1682.19 233.265
1682.33 249.950
1682.47 268.263
1682.61 288.081
1682.75 309.676
1682.89 333.199
1683.03 358.996
1683.17 386.851
1683.31 417.082
1683.44 449.816
1683.58 485.149
1683.72 523.140
1683.86 563.794
1684.00 607.044
1684.19 669.382
1684.38 735.131
1684.75 873.466
1684.94 942.606
1685.13 1008.30
1685.31 1068.72
1685.41 1096.01
1685.50 1120.68
1685.63 1149.70
1685.75 1173.42
1685.88 1191.35
1686.00 1203.13
1686.13 1208.56
1686.23 1208.25
1686.33 1203.75
1686.43 1195.18
1686.53 1182.87
1686.63 1166.83
1686.74 1147.68
1686.84 1125.35
1686.94 1100.66
1687.14 1044.75
1687.34 982.946
1687.75 852.663
1687.95 790.438
1688.14 730.803
1688.34 674.630
1688.44 648.145
1688.54 622.679
1688.64 598.005
1688.73 574.627
1688.83 552.283
1688.93 530.957
1689.03 510.425
1689.13 491.072
1689.23 472.654
1689.32 455.136
1689.42 437.983
1689.53 421.704
1689.63 406.257
1689.73 391.600
1689.83 377.691
1689.93 364.490
1690.03 351.958
1690.13 340.058
1690.23 328.753
1690.33 318.011
1690.43 307.797
1690.54 298.083
1690.64 288.838
1690.74 280.035
1690.94 263.657
1691.14 248.690
1691.34 235.117
1691.55 222.717
1691.75 211.363
1691.95 200.944
1692.15 191.362
1692.35 182.531
1692.56 174.377
1692.71 168.463
1692.87 162.925
1693.03 157.697
1693.18 152.756
1693.34 148.083
1693.49 143.657
1693.65 139.461
1693.81 135.479
1693.96 131.696
