Pt-195(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 555.325
1.03125E-05 546.884
1.06250E-05 538.818
1.09375E-05 531.101
1.12500E-05 523.709
1.15625E-05 516.619
1.18750E-05 509.811
1.21875E-05 503.267
1.25000E-05 496.970
1.28125E-05 490.906
1.31250E-05 485.059
1.34375E-05 479.419
1.37500E-05 473.972
1.43750E-05 463.617
1.50000E-05 453.917
1.56250E-05 444.807
1.62500E-05 436.228
1.68750E-05 428.132
1.75000E-05 420.474
1.81250E-05 413.217
1.87500E-05 406.327
1.93750E-05 399.774
2.00000E-05 393.531
2.09375E-05 384.697
2.18750E-05 376.440
2.28125E-05 368.698
2.37500E-05 361.420
2.46875E-05 354.563
2.56250E-05 348.087
2.65625E-05 341.957
2.75000E-05 336.145
2.84375E-05 330.624
2.93750E-05 325.370
3.03125E-05 320.363
3.12500E-05 315.584
3.21875E-05 311.016
3.31250E-05 306.644
3.40625E-05 302.455
3.50000E-05 298.436
3.59375E-05 294.576
3.68750E-05 290.864
3.78125E-05 287.292
3.87500E-05 283.852
3.96875E-05 280.534
4.06250E-05 277.333
4.25000E-05 271.252
4.43750E-05 265.563
4.62500E-05 260.226
4.81250E-05 255.205
5.00000E-05 250.471
5.15625E-05 246.727
5.31250E-05 243.149
5.46875E-05 239.727
5.62500E-05 236.450
5.78125E-05 233.307
5.93750E-05 230.290
6.09375E-05 227.390
6.25000E-05 224.601
6.40625E-05 221.915
6.56250E-05 219.326
6.71875E-05 216.829
6.87500E-05 214.418
7.18750E-05 209.836
7.50000E-05 205.546
7.81250E-05 201.517
8.12500E-05 197.726
8.43750E-05 194.148
8.75000E-05 190.766
9.06250E-05 187.562
9.37500E-05 184.521
9.68750E-05 181.630
0.000100000 178.877
0.000103125 176.251
0.000106250 173.743
0.000109375 171.344
0.000112500 169.047
0.000115625 166.844
0.000118750 164.731
0.000121875 162.699
0.000125000 160.746
0.000128125 158.865
0.000131250 157.052
0.000134375 155.304
0.000137500 153.616
0.000143750 150.410
0.000150000 147.408
0.000156250 144.590
0.000162500 141.939
0.000168750 139.438
0.000175000 137.074
0.000181250 134.835
0.000187500 132.710
0.000193750 130.691
0.000200000 128.768
0.000209375 126.048
0.000218750 123.508
0.000228125 121.129
0.000237500 118.893
0.000246875 116.788
0.000256250 114.802
0.000265625 112.922
0.000275000 111.142
0.000284375 109.451
0.000293750 107.843
0.000303125 106.311
0.000312500 104.850
0.000321875 103.454
0.000331250 102.119
0.000340625 100.839
0.000350000 99.6127
0.000359375 98.4351
0.000368750 97.3034
0.000378125 96.2146
0.000387500 95.1661
