B-11(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 84.4464
1.03125E-05 83.1607
1.06250E-05 81.9322
1.09375E-05 80.7568
1.12500E-05 79.6308
1.15625E-05 78.5508
1.18750E-05 77.5137
1.21875E-05 76.5168
1.25000E-05 75.5576
1.28122E-05 74.6346
1.31244E-05 73.7447
1.34366E-05 72.8861
1.37489E-05 72.0569
1.43733E-05 70.4805
1.49977E-05 69.0037
1.50000E-05 68.9985
1.50073E-05 68.9817
1.50147E-05 68.9649
1.50293E-05 68.9314
1.50586E-05 68.8646
1.51172E-05 68.7316
1.52344E-05 68.4679
1.54688E-05 67.9494
1.59375E-05 66.9471
1.64063E-05 65.9881
1.68750E-05 65.0694
1.68859E-05 65.0485
1.69243E-05 64.9750
1.69627E-05 64.9018
1.70394E-05 64.7562
1.71930E-05 64.4678
1.75000E-05 63.9025
1.81250E-05 62.7965
1.87500E-05 61.7464
1.93750E-05 60.7477
2.00000E-05 59.7962
2.09375E-05 58.4498
2.09443E-05 58.4403
2.09699E-05 58.4048
2.09955E-05 58.3694
2.10467E-05 58.2988
2.11492E-05 58.1582
2.13540E-05 57.8802
2.17638E-05 57.3361
2.25832E-05 56.2927
2.34027E-05 55.3047
2.42222E-05 54.3674
2.50416E-05 53.4765
2.58611E-05 52.6284
2.66805E-05 51.8199
2.75000E-05 51.0478
2.84281E-05 50.2140
2.93563E-05 49.4203
3.02844E-05 48.6634
3.12125E-05 47.9406
3.21406E-05 47.2494
3.30688E-05 46.5877
3.39969E-05 45.9533
3.49250E-05 45.3444
3.50000E-05 45.2963
3.52344E-05 45.1469
3.54688E-05 44.9989
3.59375E-05 44.7074
3.68750E-05 44.1412
3.78125E-05 43.5962
3.87500E-05 43.0712
3.96875E-05 42.5650
4.06250E-05 42.0765
4.25000E-05 41.1486
4.43750E-05 40.2804
4.62500E-05 39.4657
4.81250E-05 38.6993
5.00000E-05 37.9767
5.15625E-05 37.4049
5.31250E-05 36.8587
5.46875E-05 36.3362
5.62500E-05 35.8358
5.78125E-05 35.3558
5.93750E-05 34.8951
6.09375E-05 34.4522
6.25000E-05 34.0262
6.40625E-05 33.6160
6.56250E-05 33.2206
6.71875E-05 32.8391
6.87500E-05 32.4708
7.18750E-05 31.7708
7.50000E-05 31.1152
7.81250E-05 30.4997
8.12500E-05 29.9203
8.43750E-05 29.3736
8.75000E-05 28.8568
9.06250E-05 28.3670
9.37500E-05 27.9022
9.68750E-05 27.4603
0.000100000 27.0394
0.000103125 26.6380
0.000106250 26.2546
0.000109375 25.8879
0.000112500 25.5367
0.000115625 25.2000
0.000118750 24.8768
0.000121875 24.5663
0.000125000 24.2676
0.000128122 23.9803
0.000131244 23.7035
0.000134366 23.4364
0.000137489 23.1787
0.000143733 22.6888
0.000149977 22.2303
0.000150000 22.2287
0.000150073 22.2235
0.000150147 22.2183
0.000150293 22.2079
0.000150586 22.1872
0.000151172 22.1459
0.000152344 22.0641
0.000154688 21.9032
0.000159375 21.5924
0.000164063 21.2952
0.000168750 21.0107
0.000168859 21.0042
0.000169243 20.9815
0.000169627 20.9588
0.000170394 20.9137
0.000171930 20.8245
0.000175000 20.6495
0.000181250 20.3075
0.000187500 19.9830
0.000193750 19.6745
0.000200000 19.3809
0.000209375 18.9659
0.000209443 18.9630
0.000209699 18.9521
0.000209955 18.9411
0.000210467 18.9194
0.000211492 18.8761
0.000213540 18.7905
0.000217638 18.6230
0.000225832 18.3020
0.000234027 17.9984
0.000242222 17.7106
0.000250416 17.4374
0.000258611 17.1775
0.000266805 16.9301
0.000275000 16.6940
0.000284281 16.4393
0.000293563 16.1971
0.000302844 15.9665
0.000312125 15.7464
0.000321406 15.5363
0.000330688 15.3353
0.000339969 15.1428
0.000349250 14.9583
0.000350000 14.9437
0.000352344 14.8985
0.000354688 14.8537
0.000359375 14.7655
0.000368750 14.5943
0.000378125 14.4297
0.000387500 14.2714
0.000396875 14.1188
0.000406250 13.9718
0.000425000 13.6930
0.000443750 13.4327
0.000462500 13.1890
0.000481250 12.9603
0.000500000 12.7451
0.000515625 12.5752
0.000531250 12.4132
0.000546875 12.2584
0.000562500 12.1105
0.000578125 11.9690
0.000593750 11.8333
0.000609375 11.7031
0.000625000 11.5781
0.000640625 11.4580
0.000656250 11.3424
0.000671875 11.2311
0.000687500 11.1238
0.000718750 10.9205
0.000750000 10.7307
0.000781250 10.5532
0.000812500 10.3867
0.000843750 10.2302
