Pd-105(n,g) ENDFB-8.0
Energy(eV) XS(b)
0.109375 9.97878
0.112500 9.83696
0.115625 9.70091
0.118750 9.57024
0.121875 9.44461
0.125000 9.32371
0.128125 9.20727
0.131250 9.09502
0.134375 8.98671
0.137500 8.88210
0.143750 8.68313
0.150000 8.49654
0.156250 8.32112
0.162500 8.15582
0.168750 7.99972
0.175000 7.85201
0.181250 7.71195
0.187500 7.57889
0.193750 7.45229
0.200000 7.33166
0.204688 7.24485
0.209375 7.16098
0.218750 7.00131
0.228125 6.85140
0.237500 6.71031
0.246875 6.57726
0.256250 6.45150
0.265625 6.33239
0.275000 6.21937
0.284375 6.11193
0.293750 6.00962
0.303125 5.91204
0.312500 5.81884
0.321875 5.72970
0.331250 5.64432
0.340625 5.56244
0.350000 5.48384
0.359375 5.40830
0.368750 5.33562
0.378125 5.26564
0.387500 5.19820
0.396875 5.13318
0.406250 5.07044
0.425000 4.95109
0.443750 4.83912
0.462500 4.73389
0.500000 4.54157
0.531250 4.39688
0.562500 4.26392
0.593750 4.14142
0.625000 4.02807
0.687500 3.82465
0.750000 3.64679
0.812500 3.48950
0.875000 3.34946
0.937500 3.22338
1.00000 3.10874
1.06250 3.00419
1.12500 2.90835
1.18750 2.82005
1.25000 2.73836
1.37500 2.59181
1.50000 2.46379
1.62500 2.35073
1.75000 2.25019
1.87500 2.15989
2.00000 2.07795
2.18750 1.96872
2.37500 1.87313
2.56250 1.78866
2.75000 1.71361
2.93750 1.64642
3.12500 1.58583
3.31250 1.53112
3.50000 1.48156
3.68750 1.43658
3.87500 1.39569
4.06250 1.35850
4.25000 1.32468
4.43750 1.29396
4.62500 1.26611
4.81250 1.24095
5.00000 1.21840
5.31250 1.18608
5.62500 1.16000
5.93750 1.14004
6.25000 1.12617
6.56250 1.11856
6.79688 1.11735
7.03125 1.12013
7.26563 1.12685
7.50000 1.13803
7.65625 1.14847
7.81250 1.16165
7.96875 1.17765
8.12500 1.19676
8.28125 1.21935
8.43750 1.24585
8.59375 1.27676
8.75000 1.31274
8.90625 1.35454
9.06250 1.40311
9.21875 1.45965
9.37500 1.52564
9.53125 1.60255
9.60938 1.64586
9.68750 1.69322
9.76563 1.74491
9.84375 1.80138
9.92188 1.86327
10.0000 1.93135
10.0804 2.00836
10.1607 2.09347
10.2410 2.18853
10.3214 2.29514
10.4017 2.41531
10.4821 2.55162
10.5222 2.62687
10.5624 2.70753
10.6026 2.79420
10.6428 2.88758
10.6963 3.02398
10.7499 3.17609
10.8034 3.34683
10.8570 3.53984
10.8838 3.64618
10.9106 3.76000
10.9374 3.88224
10.9641 4.01392
10.9909 4.15626
11.0177 4.31063
11.0445 4.47865
11.0713 4.66226
11.1014 4.89034
11.1315 5.14511
11.1616 5.43160
11.1918 5.75622
11.2068 5.93539
11.2219 6.12726
11.2370 6.33353
11.2520 6.55558
11.2671 6.79564
11.2822 7.05564
11.2972 7.33855
11.3123 7.64707
11.3307 8.06486
11.3491 8.53456
11.3675 9.06649
11.3767 9.35983
11.3859 9.67344
11.3952 10.0102
11.4044 10.3718
11.4136 10.7618
11.4228 11.1825
11.4320 11.6386
11.4412 12.1332
11.4504 12.6722
11.4596 13.2598
11.4713 14.0896
11.4830 15.0246
11.4889 15.5368
11.4947 16.0822
11.5006 16.6635
11.5065 17.2822
11.5123 17.9438
11.5182 18.6504
11.5240 19.4056
11.5299 20.2130
11.5358 21.0765
11.5416 22.0002
11.5475 22.9884
11.5533 24.0435
11.5625 25.8542
11.5717 27.8631
11.5810 30.0873
11.5902 32.5399
11.5994 35.2402
11.6086 38.1936
11.6178 41.4133
11.6270 44.8939
11.6353 48.2861
11.6437 51.8837
11.6521 55.6713
11.6605 59.6271
11.6772 67.9208
11.6939 76.4451
11.7096 84.2941
11.7175 88.0368
11.7253 91.5812
11.7332 94.8827
11.7411 97.8809
11.7489 100.531
11.7568 102.788
11.7651 104.707
11.7734 106.102
11.7817 106.948
11.7900 107.227
11.7977 106.976
11.8054 106.238
11.8132 105.029
11.8209 103.370
11.8286 101.293
11.8363 98.8347
11.8440 96.0366
11.8518 92.9496
11.8613 88.8164
11.8749 82.4242
11.8885 75.7375
11.9022 69.0081
11.9158 62.4515
11.9295 56.2114
11.9364 53.2615
11.9432 50.4403
11.9501 47.7559
11.9569 45.2137
11.9638 42.8165
11.9706 40.5684
11.9765 38.7394
11.9824 37.0198
11.9884 35.4014
11.9943 33.8867
12.0002 32.4671
12.0061 31.1435
12.0120 29.9074
12.0179 28.7584
12.0238 27.6884
12.0298 26.6964
12.0357 25.7746
12.0416 24.9217
12.0475 24.1306
12.0534 23.3998
12.0593 22.7239
12.0652 22.0992
12.0740 21.2635
12.0827 20.5209
12.0914 19.8617
12.1001 19.2779
12.1088 18.7604
12.1175 18.3036
12.1263 17.9001
12.1350 17.5457
12.1437 17.2348
12.1524 16.9639
12.1698 16.5269
12.1873 16.2105
12.2047 15.9965
12.2246 15.8594
12.2383 15.8237
12.2520 15.8311
12.2657 15.8785
12.2794 15.9633
12.2931 16.0837
12.3068 16.2380
12.3342 16.6448
12.3616 17.1795
12.3890 17.8415
12.4164 18.6352
12.4437 19.5686
12.4711 20.6542
12.4848 21.2589
12.4985 21.9075
12.5122 22.6038
12.5259 23.3499
12.5396 24.1505
12.5533 25.0084
12.5670 25.9293
12.5807 26.9178
12.5944 27.9794
12.6081 29.1198
12.6218 30.3477
12.6355 31.6695
12.6492 33.0964
12.6629 34.6366
12.6803 36.7835
12.6978 39.1626
12.7152 41.8092
12.7326 44.7641
12.7413 46.3729
12.7500 48.0761
12.7588 49.8852
12.7675 51.8047
12.7762 53.8485
12.7849 56.0224
12.7936 58.3430
12.8023 60.8181
12.8160 65.0641
12.8297 69.7994
12.8366 72.3742
12.8434 75.1014
12.8503 77.9930
12.8571 81.0576
12.8640 84.3184
12.8708 87.7867
12.8777 91.4798
12.8845 95.4163
12.8914 99.6167
12.8982 104.103
12.9051 108.900
12.9119 114.025
12.9194 120.038
12.9269 126.524
12.9343 133.526
12.9418 141.090
12.9493 149.264
12.9567 158.100
12.9642 167.653
12.9717 177.979
12.9804 191.088
12.9891 205.423
12.9978 221.076
13.0065 238.116
13.0153 256.663
13.0240 276.745
13.0327 298.464
13.0414 321.806
13.0483 341.327
13.0551 361.866
13.0620 383.401
13.0688 405.863
13.0756 429.266
13.0825 453.508
13.0893 478.502
13.0962 504.105
13.1025 528.149
13.1088 552.524
13.1151 577.104
13.1214 601.752
13.1340 650.649
13.1466 697.878
13.1591 741.839
13.1716 781.357
13.1779 799.047
13.1841 815.130
13.1904 829.457
13.1966 841.872
13.2050 855.310
13.2133 864.926
13.2217 870.570
13.2300 872.141
13.2384 869.608
13.2467 863.024
13.2550 852.492
13.2634 838.226
13.2720 819.880
13.2806 798.185
13.2891 773.470
13.2977 746.210
13.3063 716.785
13.3149 685.715
13.3235 653.420
13.3321 620.338
13.3410 585.324
13.3500 550.385
13.3679 482.140
13.3769 449.432
13.3859 418.060
13.3949 388.167
13.4038 359.884
13.4128 333.265
13.4218 308.411
13.4308 285.295
13.4397 263.892
13.4487 244.153
13.4577 226.008
13.4666 209.374
13.4756 194.159
13.4846 180.252
13.4936 167.583
13.5025 156.037
13.5115 145.518
13.5205 135.934
13.5294 127.198
13.5384 119.229
13.5474 111.953
13.5559 105.585
13.5645 99.7384
13.5731 94.3511
13.5816 89.3906
13.5902 84.8052
13.5988 80.5695
13.6073 76.6456
13.6159 73.0045
13.6245 69.6164
13.6330 66.4659
13.6416 63.5282
13.6501 60.7845
13.6587 58.2153
13.6673 55.8116
13.6758 53.5567
13.6844 51.4386
13.6934 49.3516
13.7023 47.3939
13.7113 45.5528
13.7203 43.8192
13.7292 42.1848
13.7382 40.6420
13.7472 39.1842
13.7562 37.8050
13.7741 35.2595
13.7920 32.9690
13.8100 30.8990
13.8279 29.0220
13.8402 27.8399
13.8524 26.7310
13.8646 25.6877
13.8769 24.7064
13.8891 23.7808
13.9013 22.9081
13.9136 22.0836
13.9258 21.3038
13.9503 19.8653
13.9747 18.5713
13.9992 17.4019
14.0237 16.3423
14.0416 15.6264
14.0595 14.9581
14.0775 14.3327
14.0954 13.7467
14.1134 13.1966
14.1313 12.6801
14.1493 12.1941
14.1672 11.7364
14.1851 11.3045
14.2031 10.8970
14.2390 10.1475
14.2748 9.47519
14.3107 8.86986
14.3466 8.32273
14.3825 7.82680
14.4184 7.37565
14.4543 6.96426
14.4902 6.58791
14.5260 6.24295
14.5619 5.92592
14.5978 5.63390
14.6321 5.37600
14.6663 5.13657
14.7006 4.91372
14.7348 4.70602
14.7691 4.51204
14.8033 4.33069
14.8376 4.16089
14.8718 4.00169
14.9061 3.85219
14.9403 3.71171
14.9746 3.57946
15.0088 3.45488
15.0774 3.22635
15.1459 3.02213
15.2176 2.83061
15.2894 2.65894
15.3612 2.50449
15.4329 2.36504
15.5047 2.23870
15.5765 2.12389
15.6482 2.01929
15.7200 1.92379
15.7852 1.84404
15.8505 1.77035
15.9157 1.70198
15.9810 1.63840
16.0462 1.57920
16.1115 1.52404
16.1767 1.47258
16.2420 1.42453
16.3072 1.37958
16.3724 1.33749
16.5029 1.26099
16.6334 1.19348
16.7639 1.13368
16.8487 1.09843
16.9335 1.06574
17.0184 1.03539
17.1032 1.00720
17.2728 0.956576
17.4424 0.912705
17.6121 0.874689
17.7817 0.841949
17.9513 0.813374
18.1210 0.788660
18.3037 0.765980
18.4863 0.746987
18.6690 0.731357
18.8517 0.718848
19.0344 0.709279
19.2171 0.702529
19.3998 0.698529
19.5824 0.697264
19.7912 0.699210
20.0000 0.704839
20.2084 0.714426
20.4168 0.728387
20.6252 0.747139
20.8336 0.771321
20.9378 0.785704
21.0420 0.801783
21.1462 0.819705
21.2504 0.839640
21.3546 0.861782
21.4588 0.886322
21.5630 0.913452
21.6671 0.943523
21.7763 0.978709
21.8855 1.01810
21.9946 1.06219
22.1038 1.11163
22.2129 1.16721
22.3221 1.22988
22.4313 1.30076
22.5404 1.38124
22.6347 1.45977
22.7290 1.54805
22.8232 1.64768
22.8704 1.70235
22.9175 1.76061
22.9646 1.82279
23.0118 1.88920
23.0589 1.96024
23.1061 2.03629
23.1532 2.11788
23.2003 2.20556
23.2475 2.30001
23.2946 2.40193
23.3492 2.53036
23.4038 2.67132
23.4583 2.82644
23.5129 2.99767
23.5675 3.18728
23.6221 3.39801
23.6767 3.63310
23.7039 3.76099
23.7312 3.89644
23.7808 4.16439
23.8305 4.46392
23.8553 4.62710
23.8801 4.80018
23.9049 4.98400
23.9297 5.17936
23.9545 5.38745
23.9793 5.60930
24.0041 5.84616
24.0289 6.09934
24.0537 6.37062
24.0785 6.66169
24.1034 6.97455
24.1282 7.31134
24.1555 7.71299
24.1827 8.15069
24.2100 8.62915
24.2373 9.15365
24.2646 9.73041
24.2919 10.3667
24.3192 11.0713
24.3465 11.8544
24.3738 12.7285
24.3874 13.2044
24.4011 13.7085
24.4147 14.2442
24.4284 14.8131
24.4420 15.4191
24.4556 16.0648
24.4693 16.7548
24.4829 17.4922
24.4966 18.2830
24.5102 19.1313
24.5239 20.0447
24.5375 21.0286
24.5512 22.0919
24.5648 23.2439
24.5822 24.8564
24.5995 26.6568
24.6082 27.6380
24.6169 28.6777
24.6256 29.7824
24.6343 30.9578
24.6430 32.2121
24.6516 33.5496
24.6603 34.9799
24.6690 36.5123
24.6777 38.1589
24.6864 39.9274
24.6950 41.8326
24.7037 43.8888
24.7106 45.6235
24.7174 47.4675
24.7242 49.4327
24.7310 51.5293
24.7378 53.7719
24.7447 56.1659
24.7515 58.7275
24.7583 61.4707
24.7651 64.4153
24.7720 67.5687
24.7788 70.9526
24.7856 74.5855
24.7924 78.4931
24.7992 82.6847
24.8061 87.1877
24.8129 92.0253
24.8179 95.7750
24.8228 99.7165
24.8278 103.867
24.8327 108.236
24.8377 112.843
24.8427 117.681
24.8476 122.767
24.8526 128.113
24.8576 133.740
24.8625 139.635
24.8675 145.820
24.8724 152.304
24.8824 166.205
24.8873 173.639
24.8923 181.406
24.8997 193.713
24.9072 206.786
24.9146 220.658
24.9220 235.336
24.9295 250.843
24.9369 267.133
24.9444 284.210
24.9518 302.051
24.9586 319.073
