Cd-111(n,g) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 345.876
1.03125E-05 340.595
1.06250E-05 335.549
1.09375E-05 330.721
1.12500E-05 326.095
1.15625E-05 321.658
1.18750E-05 317.398
1.21875E-05 313.302
1.25000E-05 309.361
1.28125E-05 305.565
1.31250E-05 301.905
1.34375E-05 298.374
1.37500E-05 294.964
1.43750E-05 288.481
1.50000E-05 282.407
1.56250E-05 276.701
1.62500E-05 271.327
1.68750E-05 266.255
1.75000E-05 261.458
1.81250E-05 256.910
1.87500E-05 252.592
1.93750E-05 248.485
2.00000E-05 244.571
2.09375E-05 239.033
2.18750E-05 233.855
2.28125E-05 228.999
2.37500E-05 224.434
2.46875E-05 220.131
2.56250E-05 216.067
2.65625E-05 212.220
2.75000E-05 208.571
2.84375E-05 205.104
2.93750E-05 201.805
3.03125E-05 198.659
3.12500E-05 195.657
3.21875E-05 192.786
3.31250E-05 190.039
3.40625E-05 187.405
3.50000E-05 184.878
3.59375E-05 182.451
3.68750E-05 180.117
3.78125E-05 177.870
3.87500E-05 175.705
3.96875E-05 173.617
4.06250E-05 171.602
4.25000E-05 167.774
4.43750E-05 164.191
4.62500E-05 160.829
4.81250E-05 157.665
5.00000E-05 154.680
5.15625E-05 152.318
5.31250E-05 150.062
5.46875E-05 147.902
5.62500E-05 145.834
5.78125E-05 143.850
5.93750E-05 141.944
6.09375E-05 140.113
6.25000E-05 138.350
6.40625E-05 136.652
6.56250E-05 135.016
6.71875E-05 133.437
6.87500E-05 131.912
7.18750E-05 129.012
7.50000E-05 126.296
7.81250E-05 123.744
8.12500E-05 121.341
8.43750E-05 119.073
8.75000E-05 116.927
9.06250E-05 114.893
9.37500E-05 112.962
9.68750E-05 111.125
0.000100000 109.375
0.000103125 107.705
0.000106250 106.109
0.000109375 104.582
0.000112500 103.120
0.000115625 101.717
0.000118750 100.369
0.000121875 99.0741
0.000125000 97.8278
0.000128125 96.6274
0.000131250 95.4701
0.000134375 94.3535
0.000137500 93.2751
0.000143750 91.2248
0.000150000 89.3040
0.000156250 87.4997
0.000162500 85.8005
0.000168750 84.1966
0.000175000 82.6794
0.000181250 81.2413
0.000187500 79.8758
0.000193750 78.5769
0.000200000 77.3393
0.000209375 75.5880
0.000218750 73.9505
0.000228125 72.4150
0.000237500 70.9713
0.000246875 69.6107
0.000256250 68.3254
0.000265625 67.1088
0.000275000 65.9549
0.000284375 64.8586
0.000293750 63.8152
0.000303125 62.8206
0.000312500 61.8711
0.000321875 60.9633
