Ni-60(n,tot) ENDFB-8.0
Energy(eV) XS(b)
0.000137500 34.9749
0.000143750 34.2157
0.000150000 33.5047
0.000156250 32.8370
0.000162500 32.2083
0.000168750 31.6150
0.000175000 31.0539
0.000181250 30.5222
0.000187500 30.0175
0.000193750 29.5375
0.000200000 29.0803
0.000209375 28.4334
0.000218750 27.8288
0.000228125 27.2621
0.000237500 26.7294
0.000246875 26.2275
0.000256250 25.7536
0.000265625 25.3052
0.000275000 24.8800
0.000284375 24.4761
0.000293750 24.0919
0.000303125 23.7257
0.000312500 23.3763
0.000321875 23.0423
0.000331250 22.7227
0.000340625 22.4165
0.000350000 22.1228
0.000359375 21.8407
0.000368750 21.5695
0.000378125 21.3085
0.000387500 21.0572
0.000396875 20.8148
0.000406250 20.5810
0.000425000 20.1369
0.000443750 19.7215
0.000462500 19.3319
0.000481250 18.9654
0.000500000 18.6199
0.000515625 18.3466
0.000531250 18.0856
0.000546875 17.8360
0.000562500 17.5969
0.000578125 17.3676
0.000593750 17.1476
0.000609375 16.9361
0.000625000 16.7327
0.000640625 16.5368
0.000656250 16.3481
0.000671875 16.1660
0.000687500 15.9903
0.000718750 15.6563
0.000750000 15.3435
0.000781250 15.0500
0.000812500 14.7736
0.000843750 14.5130
0.000875000 14.2665
0.000906250 14.0331
0.000937500 13.8115
0.000968750 13.6009
0.00100000 13.4003
0.00103125 13.2089
0.00106250 13.0262
0.00109375 12.8514
0.00112500 12.6841
0.00115625 12.5236
0.00118750 12.3696
0.00121875 12.2216
0.00125000 12.0792
0.00128125 11.9421
0.00131250 11.8100
0.00134375 11.6826
0.00137500 11.5596
0.00143750 11.3258
0.00150000 11.1070
0.00156250 10.9015
0.00162500 10.7081
0.00168750 10.5257
0.00175000 10.3532
0.00181250 10.1898
0.00187500 10.0347
0.00193750 9.88721
0.00200000 9.74678
0.00209375 9.54814
0.00218750 9.36251
0.00228125 9.18855
0.00237500 9.02507
0.00246875 8.87107
0.00256250 8.72567
0.00265625 8.58810
0.00275000 8.45767
0.00284375 8.33380
0.00293750 8.21595
0.00303125 8.10365
0.00312500 7.99648
0.00321875 7.89406
0.00331250 7.79605
0.00340625 7.70214
0.00350000 7.61206
0.00359375 7.52555
0.00368750 7.44238
0.00378125 7.36234
0.00387500 7.28525
0.00396875 7.21092
0.00406250 7.13920
0.00425000 7.00298
0.00443750 6.87554
0.00462500 6.75598
0.00481250 6.64352
0.00500000 6.53748
0.00515625 6.45360
0.00531250 6.37346
0.00546875 6.29680
0.00562500 6.22338
0.00578125 6.15297
0.00593750 6.08537
0.00609375 6.02040
0.00625000 5.95790
0.00640625 5.89771
0.00656250 5.83969
0.00671875 5.78372
0.00687500 5.72967
0.00718750 5.62695
0.00750000 5.53074
0.00781250 5.44039
0.00812500 5.35533
0.00843750 5.27506
0.00875000 5.19915
0.00906250 5.12721
0.00937500 5.05892
0.00968750 4.99397
0.0100000 4.93211
0.0103125 4.87309
0.0106250 4.81670
0.0109375 4.76276
0.0112500 4.71109
0.0115625 4.66154
0.0118750 4.61397
0.0121875 4.56824
0.0125000 4.52424
0.0128125 4.48188
0.0131250 4.44103
0.0134375 4.40163
0.0137500 4.36358
0.0143750 4.29126
0.0150000 4.22351
0.0156250 4.15989
0.0162500 4.09998
0.0168750 4.04344
0.0175000 3.98997
0.0181250 3.93929
0.0187500 3.89118
0.0193750 3.84541
0.0200000 3.80182
0.0206625 3.75780
0.0213250 3.71585
0.0219875 3.67581
0.0226500 3.63755
0.0233125 3.60094
0.0239750 3.56586
0.0246375 3.53221
0.0253000 3.49989
0.0264578 3.44636
0.0276156 3.39625
0.0287734 3.34921
0.0299313 3.30492
0.0310891 3.26315
0.0322469 3.22365
0.0334047 3.18622
0.0345625 3.15069
0.0355274 3.12243
0.0364922 3.09529
0.0374570 3.06921
0.0384219 3.04412
0.0393867 3.01995
0.0403516 2.99666
0.0413164 2.97419
0.0422813 2.95250
0.0442109 2.91126
0.0461406 2.87264
0.0480703 2.83638
0.0500000 2.80224
0.0515625 2.77601
0.0531250 2.75096
0.0546875 2.72699
0.0562500 2.70402
0.0578125 2.68200
0.0593750 2.66085
0.0609375 2.64053
0.0625000 2.62098
0.0640625 2.60214
0.0656250 2.58399
0.0671875 2.56648
0.0687500 2.54956
0.0718750 2.51741
0.0750000 2.48728
0.0781250 2.45898
0.0812500 2.43232
0.0843750 2.40716
0.0875000 2.38336
0.0906250 2.36081
0.0937500 2.33939
0.0968750 2.31902
0.100000 2.29961
0.103125 2.28109
0.106250 2.26340
0.109375 2.24647
0.112500 2.23025
0.115625 2.21470
0.118750 2.19977
0.121875 2.18541
0.125000 2.17160
0.128125 2.15830
0.131250 2.14549
0.134375 2.13312
0.137500 2.12118
0.143750 2.09847
0.150000 2.07719
0.156250 2.05720
0.162500 2.03837
0.168750 2.02060
0.175000 2.00378
0.181250 1.98785
0.187500 1.97273
0.193750 1.95834
0.200000 1.94464
0.209375 1.92525
0.218750 1.90712
0.228125 1.89010
0.237500 1.87411
0.246875 1.85903
0.256250 1.84480
0.265625 1.83132
0.275000 1.81854
0.284375 1.80639
0.293750 1.79483
0.303125 1.78382
0.312500 1.77330
0.321875 1.76325
0.331250 1.75362
0.340625 1.74440
0.350000 1.73555
0.359375 1.72705
0.368750 1.71887
0.378125 1.71101
0.387500 1.70343
0.396875 1.69613
0.406250 1.68908
0.425000 1.67569
0.443750 1.66315
0.462500 1.65137
0.500000 1.62987
0.531250 1.61372
0.562500 1.59891
0.593750 1.58528
0.625000 1.57268
0.687500 1.55012
0.750000 1.53045
0.812500 1.51309
0.875000 1.49767
0.937500 1.48381
1.00000 1.47124
1.06250 1.45979
1.12500 1.44930
1.18750 1.43966
1.25000 1.43075
1.37500 1.41480
1.50000 1.40088
1.62500 1.38860
1.75000 1.37769
1.87500 1.36789
2.00000 1.35896
2.00000 1.35896
2.00000 1.35896
2.00001 1.35896
2.00001 1.35896
2.00002 1.35896
2.00005 1.35896
2.00009 1.35896
2.00018 1.35895
2.00037 1.35894
2.00073 1.35891
2.00147 1.35886
2.00366 1.35871
2.00586 1.35856
2.01168 1.35817
2.01749 1.35777
2.02912 1.35699
2.05237 1.35545
2.09888 1.35246
2.19190 1.34676
2.37793 1.33635
2.56397 1.32708
2.75000 1.31879
3.00781 1.30859
3.26563 1.29958
3.52344 1.29157
3.78125 1.28439
4.03906 1.27790
4.29688 1.27199
4.55469 1.26660
4.81250 1.26163
5.00000 1.25827
5.31250 1.25305
5.62500 1.24826
5.93750 1.24385
6.25000 1.23977
6.87500 1.23245
7.50000 1.22604
8.12500 1.22037
8.75000 1.21532
9.37500 1.21076
10.0000 1.20662
10.6250 1.20277
11.2500 1.19923
11.8750 1.19596
12.5000 1.19292
13.7500 1.18745
15.0000 1.18263
16.2500 1.17834
17.5000 1.17449
18.7500 1.17099
20.0000 1.16780
21.2500 1.16481
22.5000 1.16205
23.7500 1.15947
25.0000 1.15707
27.5000 1.15270
30.0000 1.14880
32.5000 1.14524
35.0000 1.14200
37.5000 1.13902
40.0000 1.13626
42.5000 1.13365
45.0000 1.13120
47.5000 1.12889
50.0000 1.12671
52.5000 1.12464
55.0000 1.12266
57.5000 1.12077
60.0000 1.11896
62.5000 1.11719
65.0000 1.11549
67.5000 1.11385
70.0000 1.11226
75.0000 1.10921
80.0000 1.10633
85.0000 1.10356
90.0000 1.10091
95.0000 1.09836
100.000 1.09590
106.250 1.09291
112.500 1.09004
118.750 1.08726
125.000 1.08455
137.500 1.07936
150.000 1.07439
162.500 1.06958
175.000 1.06493
187.500 1.06040
200.000 1.05597
212.500 1.05163
225.000 1.04736
237.500 1.04316
250.000 1.03902
275.000 1.03087
300.000 1.02288
325.000 1.01504
350.000 1.00730
375.000 0.999639
400.000 0.992050
425.000 0.984542
450.000 0.977085
475.000 0.969671
500.000 0.962296
525.000 0.954969
550.000 0.947672
575.000 0.940403
600.000 0.933157
625.000 0.925946
650.000 0.918756
675.000 0.911583
700.000 0.904428
750.000 0.890185
800.000 0.875997
850.000 0.861875
900.000 0.847798
950.000 0.833764
1000.00 0.819770
1126.65 0.784585
1189.98 0.767082
1221.64 0.758349
1253.31 0.749661
1264.61 0.746604
1270.27 0.745119
1275.92 0.743738
1278.82 0.743157
1280.27 0.742957
1281.72 0.742878
1283.17 0.743037
1283.89 0.743315
1284.62 0.743867
1285.34 0.745024
1285.70 0.746121
1286.07 0.747983
1286.25 0.749400
1286.43 0.751308
1286.61 0.753882
1286.79 0.757343
1286.97 0.761957
1287.15 0.768028
1287.33 0.775881
1287.51 0.785829
1287.69 0.797837
1287.87 0.812248
1288.04 0.829063
1288.22 0.847969
1288.40 0.868753
1288.57 0.890505
1288.75 0.912562
1288.93 0.933589
1289.07 0.949091
1289.21 0.962530
1289.35 0.973458
1289.49 0.981397
1289.62 0.985688
1289.75 0.987101
1289.85 0.986013
1289.96 0.982869
1290.07 0.977753
1290.17 0.970798
1290.37 0.953907
1290.56 0.932972
1290.76 0.909498
1290.95 0.885076
1291.11 0.865583
1291.27 0.847151
1291.43 0.830117
1291.58 0.814791
1291.74 0.801335
1291.90 0.789783
1292.05 0.780067
1292.21 0.772045
1292.37 0.765530
1292.53 0.760313
1292.68 0.756183
1292.84 0.752941
1293.00 0.750410
1293.15 0.748436
1293.47 0.745679
1293.77 0.743982
1294.07 0.742837
1294.68 0.741383
1295.29 0.740463
1295.89 0.739801
1297.11 0.738857
1298.32 0.738175
1300.02 0.737424
1301.72 0.736777
1305.12 0.735653
1311.93 0.733642
1325.54 0.729827
1352.75 0.722346
1407.18 0.707463
1516.04 0.677843
1624.89 0.648408
1733.75 0.619172
1866.88 0.583761
1933.44 0.566189
2000.00 0.548719
2045.44 0.536920
2068.17 0.531057
2090.89 0.525234
2113.61 0.519467
2124.97 0.516617
2136.33 0.513807
2147.69 0.511029
2159.05 0.508326
2170.42 0.505733
2176.10 0.504495
2181.78 0.503310
2190.67 0.501622
2195.11 0.500891
2199.56 0.500269
2204.01 0.499797
2208.45 0.499537
2212.90 0.499589
2215.12 0.499784
2217.34 0.500101
2219.56 0.500608
2221.79 0.501371
2224.01 0.502455
2226.23 0.503971
2228.46 0.506084
2229.57 0.507434
