Te-128(n,tot) ENDFB-8.0
Energy(eV) XS(b)
0.00193750 5.34495
0.00200000 5.32634
0.00209375 5.30021
0.00218750 5.27599
0.00228125 5.25345
0.00237500 5.23243
0.00246875 5.21276
0.00256250 5.19430
0.00265625 5.17694
0.00275000 5.16059
0.00284375 5.14513
0.00293750 5.13051
0.00303125 5.11665
0.00312500 5.10349
0.00321875 5.09097
0.00331250 5.07904
0.00340625 5.06766
0.00350000 5.05679
0.00359375 5.04639
0.00368750 5.03643
0.00378125 5.02689
0.00387500 5.01772
0.00396875 5.00892
0.00406250 5.00046
0.00425000 4.98446
0.00443750 4.96959
0.00462500 4.95572
0.00481250 4.94274
0.00500000 4.93057
0.00515625 4.92099
0.00531250 4.91187
0.00546875 4.90318
0.00562500 4.89489
0.00578125 4.88697
0.00593750 4.87939
0.00609375 4.87213
0.00625000 4.86516
0.00640625 4.85848
0.00656250 4.85205
0.00671875 4.84587
0.00687500 4.83992
0.00718750 4.82866
0.00750000 4.81816
0.00781250 4.80835
0.00812500 4.79915
0.00843750 4.79051
0.00875000 4.78237
0.00906250 4.77469
0.00937500 4.76742
0.00968750 4.76054
0.0100000 4.75400
0.0103125 4.74779
0.0106250 4.74187
0.0109375 4.73622
0.0112500 4.73083
0.0115625 4.72567
0.0118750 4.72073
0.0121875 4.71599
0.0125000 4.71145
0.0128125 4.70708
0.0131250 4.70288
0.0134375 4.69884
0.0137500 4.69494
0.0143750 4.68756
0.0150000 4.68067
0.0156250 4.67423
0.0162500 4.66818
0.0168750 4.66249
0.0175000 4.65713
0.0181250 4.65206
0.0187500 4.64726
0.0193750 4.64270
0.0200000 4.63838
0.0206625 4.63402
0.0213250 4.62988
0.0219875 4.62593
0.0226500 4.62217
0.0233125 4.61858
0.0239750 4.61515
0.0246375 4.61186
0.0253000 4.60871
0.0264578 4.60350
0.0276156 4.59864
0.0287734 4.59409
0.0299313 4.58982
0.0310891 4.58580
0.0322469 4.58201
0.0334047 4.57843
0.0345625 4.57503
0.0355274 4.57234
0.0364922 4.56975
0.0374570 4.56727
0.0384219 4.56489
0.0393867 4.56260
0.0403516 4.56039
0.0413164 4.55826
0.0422813 4.55621
0.0442109 4.55233
0.0461406 4.54869
0.0480703 4.54529
0.0500000 4.54209
0.0515625 4.53964
0.0531250 4.53730
0.0546875 4.53506
0.0562500 4.53292
0.0578125 4.53087
0.0593750 4.52890
0.0609375 4.52702
0.0625000 4.52520
0.0640625 4.52346
0.0656250 4.52178
0.0671875 4.52016
0.0687500 4.51860
0.0718750 4.51563
0.0750000 4.51286
0.0781250 4.51025
0.0812500 4.50780
0.0843750 4.50550
0.0875000 4.50331
0.0906250 4.50125
0.0937500 4.49929
0.0968750 4.49743
0.100000 4.49566
0.103125 4.49397
0.106250 4.49235
0.109375 4.49081
0.112500 4.48933
0.115625 4.48792
0.118750 4.48656
0.121875 4.48525
0.125000 4.48400
0.128125 4.48279
0.131250 4.48163
0.134375 4.48050
0.137500 4.47942
0.143750 4.47736
0.150000 4.47543
0.156250 4.47361
0.162500 4.47191
0.168750 4.47029
0.175000 4.46877
0.181250 4.46732
0.187500 4.46595
0.193750 4.46465
0.200000 4.46340
0.209375 4.46164
0.218750 4.45999
0.228125 4.45844
0.237500 4.45699
0.246875 4.45561
0.256250 4.45431
0.265625 4.45308
0.275000 4.45191
0.284375 4.45080
0.293750 4.44974
0.303125 4.44873
0.312500 4.44776
0.321875 4.44683
0.331250 4.44594
0.340625 4.44509
0.350000 4.44427
0.359375 4.44348
0.368750 4.44272
0.378125 4.44198
0.387500 4.44128
0.396875 4.44059
0.406250 4.43993
0.425000 4.43867
0.443750 4.43748
0.462500 4.43637
0.500000 4.43431
0.531250 4.43275
0.562500 4.43131
0.593750 4.42997
0.625000 4.42872
0.687500 4.42646
0.750000 4.42444
0.812500 4.42263
0.875000 4.42098
0.937500 4.41947
1.00000 4.41807
1.06250 4.41677
1.12500 4.41556
1.18750 4.41442
1.25000 4.41334
1.37500 4.41134
1.50000 4.40952
1.62500 4.40784
1.75000 4.40627
1.87500 4.40481
2.00000 4.40342
2.18750 4.40147
2.37500 4.39965
2.56250 4.39792
2.75000 4.39629
2.93750 4.39472
3.12500 4.39322
3.31250 4.39176
3.50000 4.39036
3.68750 4.38899
3.87500 4.38766
4.25000 4.38509
4.62500 4.38262
5.00000 4.38023
5.31250 4.37830
5.62500 4.37641
5.93750 4.37456
6.25000 4.37274
6.87500 4.36919
7.50000 4.36574
8.12500 4.36238
8.75000 4.35909
9.37500 4.35587
10.0000 4.35270
10.6250 4.34959
11.2500 4.34652
11.8750 4.34350
12.5000 4.34052
13.1250 4.33757
13.7500 4.33466
15.0000 4.32894
16.2500 4.32334
17.5000 4.31786
18.7500 4.31248
20.0000 4.30719
20.9375 4.30329
21.8750 4.29944
23.7500 4.29187
25.6250 4.28449
27.5000 4.27728
29.3750 4.27023
31.2500 4.26333
33.1250 4.25658
35.0000 4.24996
36.8750 4.24348
38.7500 4.23714
40.6250 4.23091
42.5000 4.22481
44.3750 4.21882
46.2500 4.21294
48.1250 4.20717
50.0000 4.20151
53.1250 4.19230
56.2500 4.18335
59.3750 4.17466
62.5000 4.16622
65.6250 4.15800
68.7500 4.15000
71.8750 4.14222
75.0000 4.13463
78.1250 4.12724
81.2500 4.12003
84.3750 4.11300
87.5000 4.10614
90.6250 4.09944
93.7500 4.09290
96.8750 4.08650
100.000 4.08025
106.250 4.06815
112.500 4.05657
118.750 4.04545
125.000 4.03476
131.250 4.02447
137.500 4.01456
143.750 4.00499
150.000 3.99574
156.250 3.98678
162.500 3.97810
168.750 3.96967
175.000 3.96147
187.500 3.94569
200.000 3.93061
210.408 3.91851
220.816 3.90672
231.224 3.89518
241.632 3.88380
255.510 3.86874
269.387 3.85360
276.326 3.84590
283.264 3.83808
290.203 3.83006
297.141 3.82182
301.767 3.81616
308.128 3.80810
314.488 3.79967
320.849 3.79078
324.029 3.78613
327.209 3.78134
330.823 3.77570
332.630 3.77280
334.437 3.76986
336.244 3.76688
338.051 3.76389
338.954 3.76241
339.858 3.76096
340.761 3.75956
341.665 3.75825
