Sm-148(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 14154.4
1.03125E-05 13938.3
1.06250E-05 13731.8
1.09375E-05 13534.3
1.12500E-05 13345.0
1.15625E-05 13163.4
1.18750E-05 12989.1
1.21875E-05 12821.5
1.25000E-05 12660.3
1.28125E-05 12504.9
1.31250E-05 12355.2
1.34375E-05 12210.7
1.37500E-05 12071.2
1.43750E-05 11805.9
1.50000E-05 11557.4
1.56250E-05 11323.9
1.62500E-05 11104.0
1.68750E-05 10896.5
1.75000E-05 10700.2
1.81250E-05 10514.1
1.87500E-05 10337.4
1.93750E-05 10169.4
2.00000E-05 10009.3
2.08930E-05 9793.06
2.09375E-05 9782.65
2.10400E-05 9758.79
2.11426E-05 9735.10
2.13477E-05 9688.24
2.17578E-05 9596.51
2.25781E-05 9420.61
2.33984E-05 9254.05
2.42188E-05 9096.02
2.50391E-05 8945.82
2.58594E-05 8802.83
2.66797E-05 8666.49
2.75000E-05 8536.29
2.84375E-05 8394.45
2.93750E-05 8259.45
3.03125E-05 8130.77
3.12500E-05 8007.92
3.21875E-05 7890.48
3.31250E-05 7778.07
3.40625E-05 7670.32
3.50000E-05 7566.94
3.59375E-05 7467.63
3.68750E-05 7372.13
3.78125E-05 7280.20
3.87500E-05 7191.64
3.96875E-05 7106.23
4.06250E-05 7023.79
4.25000E-05 6867.18
4.43750E-05 6720.60
4.62500E-05 6583.04
4.81250E-05 6453.59
5.00000E-05 6331.50
5.15625E-05 6234.88
5.31250E-05 6142.56
5.46875E-05 6054.23
5.62500E-05 5969.60
5.78125E-05 5888.43
5.93750E-05 5810.49
6.09375E-05 5735.56
6.25000E-05 5663.46
6.40625E-05 5594.01
6.56250E-05 5527.07
6.71875E-05 5462.47
6.87500E-05 5400.08
7.18750E-05 5281.48
7.50000E-05 5170.36
7.81250E-05 5065.99
8.12500E-05 4967.70
8.43750E-05 4874.92
8.75000E-05 4787.15
9.06250E-05 4703.97
9.37500E-05 4624.99
9.68750E-05 4549.86
0.000100000 4478.28
0.000103125 4409.97
0.000106250 4344.71
0.000109375 4282.26
0.000112500 4222.44
0.000115625 4165.06
0.000118750 4109.96
0.000121875 4056.99
0.000125000 4006.02
0.000128125 3956.93
0.000131250 3909.60
0.000134375 3863.94
0.000137500 3819.84
0.000143750 3736.00
0.000150000 3657.45
0.000156250 3583.67
0.000162500 3514.19
0.000168750 3448.61
0.000175000 3386.57
0.000181250 3327.77
0.000187500 3271.94
0.000193750 3218.83
0.000200000 3168.24
0.000209375 3096.63
0.000218750 3029.69
0.000228125 2966.91
0.000237500 2907.90
0.000246875 2852.27
0.000256250 2799.73
0.000265625 2750.00
0.000275000 2702.84
0.000275423 2700.76
0.000276294 2696.52
0.000277164 2692.29
0.000278905 2683.90
0.000282387 2667.34
0.000289350 2635.13
0.000296314 2604.07
0.000303277 2574.08
0.000317204 2517.09
0.000331131 2463.74
0.000332422 2458.97
0.000336817 2442.92
0.000341211 2427.18
0.000350000 2396.60
0.000359375 2365.23
0.000368750 2335.07
0.000378125 2306.03
0.000387500 2278.05
0.000396875 2251.07
0.000406250 2225.03
0.000425000 2175.57
0.000443750 2129.27
0.000462500 2085.82
0.000481250 2044.93
0.000500000 2006.37
0.000515625 1975.86
0.000531250 1946.70
0.000546875 1918.80
0.000562500 1892.07
0.000578125 1866.44
0.000593750 1841.82
0.000609375 1818.16
0.000625000 1795.39
0.000640625 1773.46
0.000656250 1752.31
0.000671875 1731.91
0.000687500 1712.21
0.000718750 1674.76
0.000750000 1639.67
0.000781250 1606.71
0.000812500 1575.67
0.000843750 1546.37
0.000875000 1518.65
0.000906250 1492.38
0.000937500 1467.44
0.000968749 1443.72
0.000999999 1421.11
0.00100000 1421.11
0.00100000 1421.11
0.00100000 1421.11
0.00100001 1421.11
0.00100002 1421.10
0.00100003 1421.09
0.00100006 1421.07
0.00100012 1421.03
0.00100025 1420.94
0.00100049 1420.77
0.00100098 1420.42
0.00100195 1419.73
0.00100391 1418.36
0.00101160 1412.99
0.00101929 1407.68
0.00103467 1397.24
0.00106543 1377.05
0.00109619 1357.71
0.00112695 1339.17
0.00115772 1321.37
0.00118848 1304.27
0.00121924 1287.82
0.00125000 1271.98
0.00128125 1256.48
0.00131250 1241.53
0.00134375 1227.11
0.00137500 1213.19
0.00143750 1186.71
0.00150000 1161.90
0.00156250 1138.60
0.00162500 1116.66
0.00168750 1095.95
0.00175000 1076.36
0.00181250 1057.79
0.00187500 1040.15
0.00193750 1023.38
0.00200000 1007.40
0.00208930 985.822
0.00209375 984.782
0.00210400 982.401
0.00211426 980.036
0.00213477 975.359
0.00217578 966.204
0.00225781 948.649
0.00233984 932.024
0.00242188 916.252
0.00250391 901.261
0.00258594 886.989
0.00266797 873.381
0.00275000 860.386
0.00284375 846.228
0.00293750 832.754
0.00303125 819.910
0.00312500 807.648
