31-Ga_n-tot
>  31-Ga-69:0.601080
>  31-Ga-71:0.398920
1.437500e-03 2.01211645e+01
1.500000e-03 1.98251132e+01
1.562500e-03 1.95477058e+01
1.625000e-03 1.92871041e+01
1.687500e-03 1.90416292e+01
1.750000e-03 1.88099824e+01
1.812500e-03 1.85908647e+01
1.875000e-03 1.83831570e+01
1.937500e-03 1.81860001e+01
2.000000e-03 1.79984948e+01
2.093750e-03 1.77336820e+01
2.187500e-03 1.74866535e+01
2.281250e-03 1.72555509e+01
2.375000e-03 1.70387354e+01
2.468750e-03 1.68348085e+01
2.562500e-03 1.66425309e+01
2.656250e-03 1.64608638e+01
2.750000e-03 1.62889280e+01
2.843750e-03 1.61257239e+01
2.937500e-03 1.59707325e+01
3.031250e-03 1.58231543e+01
3.125000e-03 1.56824899e+01
3.218750e-03 1.55481594e+01
3.312500e-03 1.54198235e+01
3.406250e-03 1.52969226e+01
3.500000e-03 1.51791567e+01
3.593750e-03 1.50660866e+01
3.687500e-03 1.49575722e+01
3.781250e-03 1.48531540e+01
3.875000e-03 1.47527321e+01
3.968750e-03 1.46559468e+01
4.062500e-03 1.45625982e+01
4.250000e-03 1.43855518e+01
4.437500e-03 1.42201346e+01
4.625000e-03 1.40651475e+01
4.812500e-03 1.39194715e+01
5.000000e-03 1.37823273e+01
5.156250e-03 1.36739549e+01
5.312500e-03 1.35704777e+01
5.468750e-03 1.34715962e+01
5.625000e-03 1.33769306e+01
5.781250e-03 1.32862011e+01
5.937500e-03 1.31991881e+01
6.093750e-03 1.31156319e+01
6.250000e-03 1.30353123e+01
6.406250e-03 1.29579699e+01
6.562500e-03 1.28834848e+01
6.718750e-03 1.28116370e+01
6.875000e-03 1.27423269e+01
7.187500e-03 1.26106996e+01
7.500000e-03 1.24875440e+01
7.812500e-03 1.23720011e+01
8.125000e-03 1.22633112e+01
8.437500e-03 1.21608554e+01
8.750000e-03 1.20640137e+01
9.062500e-03 1.19723072e+01
9.375000e-03 1.18853159e+01
9.687500e-03 1.18027204e+01
1.000000e-02 1.17240009e+01
1.031250e-02 1.16489977e+01
1.062500e-02 1.15773712e+01
1.093750e-02 1.15089015e+01
1.125000e-02 1.14433089e+01
1.156250e-02 1.13804535e+01
1.187500e-02 1.13201555e+01
1.218750e-02 1.12622553e+01
