Ru-98(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 432.503
1.03125E-05 425.911
1.06250E-05 419.612
1.09375E-05 413.585
1.12500E-05 407.811
1.15625E-05 402.273
1.18750E-05 396.955
1.21875E-05 391.843
1.25000E-05 386.924
1.28125E-05 382.187
1.31250E-05 377.620
1.34375E-05 373.213
1.37500E-05 368.957
1.43750E-05 360.866
1.50000E-05 353.287
1.56250E-05 346.168
1.62500E-05 339.463
1.68750E-05 333.135
1.75000E-05 327.150
1.81250E-05 321.477
1.87500E-05 316.090
1.93750E-05 310.967
2.00000E-05 306.085
2.09375E-05 299.178
2.18750E-05 292.720
2.28125E-05 286.665
2.37500E-05 280.972
2.46875E-05 275.607
2.56250E-05 270.540
2.65625E-05 265.744
2.75000E-05 261.195
2.84375E-05 256.874
2.93750E-05 252.762
3.03125E-05 248.842
3.12500E-05 245.100
3.21875E-05 241.523
3.31250E-05 238.100
3.40625E-05 234.819
3.50000E-05 231.671
3.59375E-05 228.647
3.68750E-05 225.739
3.78125E-05 222.941
3.87500E-05 220.244
3.96875E-05 217.644
4.06250E-05 215.135
4.25000E-05 210.369
4.43750E-05 205.909
4.62500E-05 201.723
4.81250E-05 197.785
5.00000E-05 194.071
5.15625E-05 191.132
5.31250E-05 188.325
5.46875E-05 185.639
5.62500E-05 183.066
5.78125E-05 180.598
5.93750E-05 178.229
6.09375E-05 175.952
6.25000E-05 173.761
6.40625E-05 171.650
6.56250E-05 169.616
6.71875E-05 167.654
6.87500E-05 165.759
7.18750E-05 162.156
7.50000E-05 158.782
7.81250E-05 155.613
8.12500E-05 152.630
8.43750E-05 149.814
8.75000E-05 147.152
9.06250E-05 144.629
9.37500E-05 142.233
9.68750E-05 139.955
0.000100000 137.785
0.000103125 135.715
0.000106250 133.737
0.000109375 131.845
0.000112500 130.033
0.000115625 128.296
0.000118750 126.627
0.000121875 125.024
0.000125000 123.481
0.000128125 121.996
0.000131250 120.564
0.000134375 119.182
0.000137500 117.849
0.000143750 115.314
0.000150000 112.940
0.000156250 110.711
0.000162500 108.612
0.000168750 106.632
0.000175000 104.760
0.000181250 102.986
0.000187500 101.302
0.000193750 99.7013
0.000200000 98.1764
0.000209375 96.0194
0.000218750 94.0036
0.000228125 92.1143
0.000237500 90.3390
0.000246875 88.6665
0.000256250 87.0875
0.000265625 85.5936
0.000275000 84.1773
0.000284375 82.8323
0.000293750 81.5528
0.000303125 80.3337
0.000312500 79.1704
0.000321875 78.0587
0.000331250 76.9950
0.000340625 75.9760
0.000350000 74.9986
0.000359375 74.0600
0.000368750 73.1578
