Pr-141(n,g) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 579.748
1.03125E-05 570.896
1.06250E-05 562.438
1.09375E-05 554.345
1.12500E-05 546.592
1.15625E-05 539.155
1.18750E-05 532.013
1.21875E-05 525.148
1.25000E-05 518.542
1.28125E-05 512.180
1.31250E-05 506.046
1.34375E-05 500.127
1.37500E-05 494.411
1.43750E-05 483.543
1.50000E-05 473.362
1.56250E-05 463.798
1.62500E-05 454.792
1.68750E-05 446.290
1.75000E-05 438.248
1.81250E-05 430.626
1.87500E-05 423.388
1.93750E-05 416.503
2.00000E-05 409.944
2.09375E-05 400.661
2.18750E-05 391.981
2.28125E-05 383.842
2.37500E-05 376.190
2.46875E-05 368.978
2.56250E-05 362.165
2.65625E-05 355.717
2.75000E-05 349.601
2.84375E-05 343.790
2.93750E-05 338.259
3.03125E-05 332.987
3.12500E-05 327.955
3.21875E-05 323.143
3.31250E-05 318.538
3.40625E-05 314.123
3.50000E-05 309.888
3.59375E-05 305.819
3.68750E-05 301.907
3.78125E-05 298.140
3.87500E-05 294.512
3.96875E-05 291.012
4.06250E-05 287.635
4.25000E-05 281.219
4.43750E-05 275.213
4.62500E-05 269.577
4.81250E-05 264.273
5.00000E-05 259.271
5.15625E-05 255.312
5.31250E-05 251.529
5.46875E-05 247.910
5.62500E-05 244.442
5.78125E-05 241.117
5.93750E-05 237.923
6.09375E-05 234.853
6.25000E-05 231.898
6.40625E-05 229.053
6.56250E-05 226.310
6.71875E-05 223.663
6.87500E-05 221.106
7.18750E-05 216.246
7.50000E-05 211.693
7.81250E-05 207.416
8.12500E-05 203.388
8.43750E-05 199.586
8.75000E-05 195.990
9.06250E-05 192.581
9.37500E-05 189.344
9.68750E-05 186.265
0.000100000 183.331
0.000103125 180.532
0.000106250 177.857
0.000109375 175.298
0.000112500 172.846
0.000115625 170.494
0.000118750 168.236
0.000121875 166.065
0.000125000 163.976
0.000128125 161.964
0.000131250 160.024
0.000134375 158.153
0.000137500 156.345
0.000143750 152.908
0.000150000 149.689
0.000156250 146.664
0.000162500 143.816
0.000168750 141.128
0.000175000 138.585
0.000181250 136.174
0.000187500 133.885
0.000193750 131.708
0.000200000 129.634
0.000209375 126.698
0.000218750 123.954
0.000228125 121.380
0.000237500 118.960
0.000246875 116.679
0.000256250 114.525
0.000265625 112.486
0.000275000 110.552
0.000284375 108.714
0.000293750 106.965
0.000303125 105.298
0.000312500 103.706
0.000321875 102.185
0.000331250 100.728
0.000340625 99.3324
0.000350000 97.9930
0.000359375 96.7063
0.000368750 95.4690
0.000378125 94.2780
0.000387500 93.1305
0.000396875 92.0239
0.000406250 90.9558
0.000425000 88.9267
0.000443750 87.0276
0.000462500 85.2452
0.000481250 83.5680
0.000500000 81.9860
0.000515625 80.7341
0.000531250 79.5379
0.000546875 78.3934
0.000562500 77.2968
0.000578125 76.2450
0.000593750 75.2351
0.000609375 74.2642
0.000625000 73.3299
0.000640625 72.4301
0.000656250 71.5625
0.000671875 70.7255
0.000687500 69.9171
0.000718750 68.3801
0.000750000 66.9402
0.000781250 65.5877
0.000812500 64.3139
0.000843750 63.1115
0.000875000 61.9742
0.000906250 60.8962
0.000937500 59.8725
0.000968750 58.8988
0.00100000 57.9711
0.00103125 57.0859
0.00106250 56.2400
0.00109375 55.4307
0.00112500 54.6553
0.00115625 53.9116
0.00118750 53.1974
0.00121875 52.5108
0.00125000 51.8502
0.00128125 51.2139
0.00131250 50.6004
0.00134375 50.0085
0.00137500 49.4369
0.00143750 48.3500
0.00150000 47.3318
0.00156250 46.3754
0.00162500 45.4746
0.00168750 44.6244
0.00175000 43.8201
0.00181250 43.0577
0.00187500 42.3339
0.00193750 41.6453
0.00200000 40.9892
0.00209375 40.0608
0.00218750 39.1927
0.00228125 38.3786
0.00237500 37.6133
0.00246875 36.8919
0.00256250 36.2106
0.00265625 35.5656
0.00275000 34.9538
0.00284375 34.3726
0.00293750 33.8194
0.00303125 33.2921
0.00312500 32.7887
0.00321875 32.3075
0.00331250 31.8468
0.00340625 31.4053
0.00350000 30.9816
0.00359375 30.5747
0.00368750 30.1833
0.00378125 29.8066
0.00387500 29.4436
0.00396875 29.0936
0.00406250 28.7558
0.00425000 28.1139
0.00443750 27.5132
0.00462500 26.9494
0.00481250 26.4189
0.00500000 25.9185
0.00515625 25.5225
0.00531250 25.1441
0.00546875 24.7820
0.00562500 24.4352
0.00578125 24.1025
0.00593750 23.7830
0.00609375 23.4759
0.00625000 23.1803
0.00640625 22.8957
0.00656250 22.6213
0.00671875 22.3564
0.00687500 22.1007
0.00718750 21.6145
0.00750000 21.1590
0.00781250 20.7311
0.00812500 20.3280
0.00843750 19.9476
0.00875000 19.5877
0.00906250 19.2466
0.00937500 18.9227
0.00968750 18.6146
0.0100000 18.3210
0.0103125 18.0409
0.0106250 17.7732
0.0109375 17.5171
0.0112500 17.2717
0.0115625 17.0364
0.0118750 16.8104
0.0121875 16.5932
0.0125000 16.3841
0.0128125 16.1828
0.0131250 15.9887
0.0134375 15.8014
0.0137500 15.6205
0.0143750 15.2766
0.0150000 14.9543
0.0156250 14.6516
0.0162500 14.3665
0.0168750 14.0973
0.0175000 13.8427
0.0181250 13.6014
0.0187500 13.3722
0.0193750 13.1541
0.0200000 12.9464
0.0206625 12.7366
0.0213250 12.5366
0.0219875 12.3457
0.0226500 12.1632
0.0233125 11.9886
0.0239750 11.8213
0.0246375 11.6608
0.0253000 11.5066
0.0264578 11.2511
0.0276156 11.0119
0.0287734 10.7873
0.0299313 10.5758
0.0310891 10.3763
0.0322469 10.1876
0.0334047 10.0088
0.0345625 9.83909
0.0355274 9.70399
0.0364922 9.57426
