Sr-86(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 68.0612
1.03125E-05 67.0279
1.06250E-05 66.0405
1.09375E-05 65.0959
1.12500E-05 64.1910
1.15625E-05 63.3231
1.18750E-05 62.4897
1.21875E-05 61.6887
1.25000E-05 60.9180
1.28125E-05 60.1757
1.31250E-05 59.4601
1.34375E-05 58.7697
1.37500E-05 58.1031
1.43750E-05 56.8358
1.50000E-05 55.6487
1.56250E-05 54.5337
1.62500E-05 53.4840
1.68750E-05 52.4932
1.75000E-05 51.5562
1.81250E-05 50.6682
1.87500E-05 49.8252
1.93750E-05 49.0234
2.00000E-05 48.2596
2.09375E-05 47.1789
2.18750E-05 46.1687
2.28125E-05 45.2217
2.37500E-05 44.3316
2.46875E-05 43.4929
2.56250E-05 42.7008
2.65625E-05 41.9512
2.75000E-05 41.2405
2.84375E-05 40.5654
2.93750E-05 39.9230
3.03125E-05 39.3108
3.12500E-05 38.7266
3.21875E-05 38.1682
3.31250E-05 37.6337
3.40625E-05 37.1217
3.50000E-05 36.6304
3.59375E-05 36.1587
3.68750E-05 35.7051
3.78125E-05 35.2687
3.87500E-05 34.8483
3.96875E-05 34.4429
4.06250E-05 34.0518
4.25000E-05 33.3090
4.43750E-05 32.6141
4.62500E-05 31.9623
4.81250E-05 31.3492
5.00000E-05 30.7712
5.15625E-05 30.3141
5.31250E-05 29.8774
5.46875E-05 29.4597
5.62500E-05 29.0598
5.78125E-05 28.6763
5.93750E-05 28.3082
6.09375E-05 27.9545
6.25000E-05 27.6142
6.40625E-05 27.2867
6.56250E-05 26.9710
6.71875E-05 26.6665
6.87500E-05 26.3726
7.18750E-05 25.8140
7.50000E-05 25.2912
7.81250E-05 24.8005
8.12500E-05 24.3386
8.43750E-05 23.9031
8.75000E-05 23.4913
9.06250E-05 23.1014
9.37500E-05 22.7314
9.68750E-05 22.3797
0.000100000 22.0449
0.000103125 21.7257
0.000106250 21.4208
0.000109375 21.1294
0.000112500 20.8503
0.000115625 20.5829
0.000118750 20.3263
0.000121875 20.0798
0.000125000 19.8427
0.000128125 19.6145
0.000131250 19.3947
0.000134375 19.1828
0.000137500 18.9783
0.000143750 18.5898
0.000150000 18.2264
0.000156250 17.8854
0.000162500 17.5648
0.000168750 17.2626
0.000175000 16.9770
0.000181250 16.7067
0.000187500 16.4504
0.000193750 16.2069
0.000200000 15.9752
0.000209375 15.6478
0.000218750 15.3423
0.000228125 15.0563
0.000237500 14.7879
0.000246875 14.5354
0.000256250 14.2973
0.000265625 14.0723
0.000275000 13.8592
0.000284375 13.6571
0.000293750 13.4651
0.000303125 13.2824
0.000312500 13.1082
0.000321875 12.9420
0.000331250 12.7831
0.000340625 12.6311
0.000350000 12.4854
0.000359375 12.3457
0.000368750 12.2115
0.000378125 12.0825
0.000387500 11.9585
0.000396875 11.8390
0.000406250 11.7238
0.000425000 11.5054
0.000443750 11.3016
0.000462500 11.1108
0.000481250 10.9317
0.000500000 10.7632
0.000515625 10.6301
0.000531250 10.5032
0.000546875 10.3821
0.000562500 10.2662
0.000578125 10.1552
0.000593750 10.0488
0.000609375 9.94676
0.000625000 9.84871
0.000640625 9.75442
0.000656250 9.66367
0.000671875 9.57624
0.000687500 9.49194
0.000718750 9.33202
0.000750000 9.18264
0.000781250 9.04270
0.000812500 8.91128
0.000843750 8.78754
0.000875000 8.67077
0.000906250 8.56037
0.000937500 8.45577
0.000968750 8.35650
0.00100000 8.26211
0.00103125 8.17224
0.00106250 8.08653
0.00109375 8.00467
0.00112500 7.92640
0.00115625 7.85145
0.00118750 7.77960
0.00121875 7.71065
0.00125000 7.64441
0.00128125 7.58071
0.00131250 7.51939
0.00134375 7.46031
0.00137500 7.40333
0.00143750 7.29523
0.00150000 7.19422
0.00156250 7.09956
0.00162500 7.01062
0.00168750 6.92686
0.00175000 6.84779
0.00181250 6.77299
0.00187500 6.70211
0.00193750 6.63480
0.00200000 6.57078
0.00209375 6.48036
0.00218750 6.39602
0.00228125 6.31710
0.00237500 6.24306
0.00246875 6.17340
0.00256250 6.10773
0.00265625 6.04567
0.00275000 5.98691
0.00284375 5.93117
0.00293750 5.87819
0.00303125 5.82777
0.00312500 5.77970
0.00321875 5.73380
0.00331250 5.68992
0.00340625 5.64791
0.00350000 5.60765
0.00359375 5.56902
0.00368750 5.53190
0.00378125 5.49622
0.00387500 5.46187
0.00396875 5.42878
0.00406250 5.39687
0.00425000 5.33632
0.00443750 5.27975
0.00462500 5.22673
0.00481250 5.17692
0.00500000 5.13000
0.00515625 5.09292
0.00531250 5.05752
0.00546875 5.02369
0.00562500 4.99130
0.00578125 4.96027
0.00593750 4.93049
0.00609375 4.90189
0.00625000 4.87440
0.00640625 4.84793
0.00656250 4.82244
0.00671875 4.79786
0.00687500 4.77414
0.00718750 4.72908
0.00750000 4.68692
0.00781250 4.64737
0.00812500 4.61016
0.00843750 4.57508
0.00875000 4.54192
0.00906250 4.51053
0.00937500 4.48074
0.00968750 4.45244
0.0100000 4.42549
0.0103125 4.39980
0.0106250 4.37527
0.0109375 4.35181
0.0112500 4.32936
0.0115625 4.30784
0.0118750 4.28718
0.0121875 4.26734
0.0125000 4.24825
0.0128125 4.22988
0.0131250 4.21218
0.0134375 4.19511
0.0137500 4.17864
0.0143750 4.14733
0.0150000 4.11803
0.0156250 4.09053
0.0162500 4.06465
0.0168750 4.04024
0.0175000 4.01717
0.0181250 3.99531
0.0187500 3.97457
0.0193750 3.95486
0.0200000 3.93608
0.0206625 3.91713
0.0213250 3.89908
0.0219875 3.88186
0.0226500 3.86541
0.0233125 3.84968
0.0239750 3.83460
0.0246375 3.82015
0.0253000 3.80628
0.0264578 3.78331
0.0276156 3.76181
0.0287734 3.74165
0.0299313 3.72267
0.0310891 3.70478
0.0322469 3.68787
0.0334047 3.67185
0.0345625 3.65665
0.0355274 3.64457
0.0364922 3.63296
0.0374570 3.62182
0.0384219 3.61109
0.0393867 3.60077
0.0403516 3.59082
0.0413164 3.58123
0.0422813 3.57196
0.0442109 3.55436
0.0461406 3.53789
0.0480703 3.52242
0.0500000 3.50787
0.0515625 3.49669
0.0531250 3.48601
0.0546875 3.47580
0.0562500 3.46602
0.0578125 3.45665
0.0593750 3.44765
0.0609375 3.43900
0.0625000 3.43068
0.0640625 3.42266
0.0656250 3.41494
0.0671875 3.40750
0.0687500 3.40031
0.0718750 3.38664
0.0750000 3.37384
0.0781250 3.36181
0.0812500 3.35049
0.0843750 3.33981
0.0875000 3.32971
0.0906250 3.32013
0.0937500 3.31104
0.0968750 3.30240
0.100000 3.29417
0.103125 3.28632
0.106250 3.27881
0.109375 3.27164
0.112500 3.26476
0.115625 3.25817
0.118750 3.25184
0.121875 3.24576
0.125000 3.23991
0.128125 3.23428
