Pd-108(n,g) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 425.842
1.03125E-05 419.340
1.06250E-05 413.127
1.09375E-05 407.183
1.12500E-05 401.488
1.15625E-05 396.025
1.18750E-05 390.779
1.21875E-05 385.737
1.25000E-05 380.885
1.28125E-05 376.211
1.31250E-05 371.705
1.34375E-05 367.358
1.37500E-05 363.159
1.43750E-05 355.177
1.50000E-05 347.699
1.56250E-05 340.674
1.62500E-05 334.058
1.68750E-05 327.813
1.75000E-05 321.906
1.81250E-05 316.308
1.87500E-05 310.991
1.93750E-05 305.934
2.00000E-05 301.116
2.09375E-05 294.297
2.18750E-05 287.922
2.28125E-05 281.944
2.37500E-05 276.323
2.46875E-05 271.026
2.56250E-05 266.022
2.65625E-05 261.285
2.75000E-05 256.793
2.84375E-05 252.524
2.93750E-05 248.462
3.03125E-05 244.590
3.12500E-05 240.893
3.21875E-05 237.359
3.31250E-05 233.976
3.40625E-05 230.734
3.50000E-05 227.622
3.59375E-05 224.634
3.68750E-05 221.760
3.78125E-05 218.994
3.87500E-05 216.328
3.96875E-05 213.758
4.06250E-05 211.277
4.25000E-05 206.564
4.43750E-05 202.153
4.62500E-05 198.013
4.81250E-05 194.117
5.00000E-05 190.443
5.15625E-05 187.535
5.31250E-05 184.757
5.46875E-05 182.098
5.62500E-05 179.551
5.78125E-05 177.108
5.93750E-05 174.762
6.09375E-05 172.507
6.25000E-05 170.337
6.40625E-05 168.247
6.56250E-05 166.232
6.71875E-05 164.288
6.87500E-05 162.410
7.18750E-05 158.840
7.50000E-05 155.496
7.81250E-05 152.354
8.12500E-05 149.396
8.43750E-05 146.603
8.75000E-05 143.962
9.06250E-05 141.458
9.37500E-05 139.080
9.68750E-05 136.818
0.000100000 134.664
0.000103125 132.608
0.000106250 130.643
0.000109375 128.763
0.000112500 126.962
0.000115625 125.235
0.000118750 123.576
0.000121875 121.981
0.000125000 120.447
0.000128125 118.969
0.000131250 117.544
0.000134375 116.170
0.000137500 114.842
0.000143750 112.318
0.000150000 109.953
0.000156250 107.731
0.000162500 105.639
0.000168750 103.665
0.000175000 101.797
0.000181250 100.026
0.000187500 98.3450
0.000193750 96.7458
0.000200000 95.2222
0.000209375 93.0660
0.000218750 91.0499
0.000228125 89.1594
0.000237500 87.3821
0.000246875 85.7069
0.000256250 84.1245
0.000265625 82.6267
0.000275000 81.2061
0.000284375 79.8564
0.000293750 78.5718
0.000303125 77.3472
0.000312500 76.1782
0.000321875 75.0607
0.000331250 73.9909
0.000340625 72.9657
0.000350000 71.9818
0.000359375 71.0368
0.000368750 70.1280
0.000378125 69.2532
0.000387500 68.4104
0.000396875 67.5976
0.000406250 66.8131
0.000425000 65.3228
0.000443750 63.9279
0.000462500 62.6187
0.000481250 61.3868
0.000500000 60.2249
0.000515625 59.3054
0.000531250 58.4268
0.000546875 57.5862
0.000562500 56.7808
0.000578125 56.0083
0.000593750 55.2665
