Tb-159(n,g) ENDFB-8.0
Energy(eV) XS(b)
0.0168750 28.5737
0.0175000 28.0603
0.0181250 27.5738
0.0187500 27.1118
0.0193750 26.6723
0.0200000 26.2537
0.0206625 25.8309
0.0213250 25.4279
0.0219875 25.0434
0.0226500 24.6759
0.0233125 24.3242
0.0239750 23.9872
0.0246375 23.6639
0.0253000 23.3534
0.0264578 22.8391
0.0276156 22.3576
0.0287734 21.9056
0.0299313 21.4801
0.0310891 21.0788
0.0322469 20.6993
0.0334047 20.3398
0.0345625 19.9985
0.0355274 19.7270
0.0364922 19.4662
0.0374570 19.2156
0.0384219 18.9745
0.0393867 18.7423
0.0403516 18.5185
0.0413164 18.3026
0.0422813 18.0941
0.0442109 17.6980
0.0461406 17.3270
0.0480703 16.9787
0.0500000 16.6508
0.0515625 16.3989
0.0531250 16.1583
0.0546875 15.9281
0.0562500 15.7077
0.0578125 15.4962
0.0593750 15.2933
0.0609375 15.0982
0.0625000 14.9106
0.0640625 14.7299
0.0656250 14.5558
0.0671875 14.3878
0.0687500 14.2257
0.0718750 13.9174
0.0750000 13.6287
0.0781250 13.3574
0.0812500 13.1020
0.0843750 12.8609
0.0875000 12.6330
0.0906250 12.4171
0.0937500 12.2122
0.0968750 12.0173
0.100000 11.8317
0.103125 11.6547
0.106250 11.4856
0.109375 11.3240
0.112500 11.1691
0.115625 11.0207
0.118750 10.8782
0.121875 10.7413
0.125000 10.6097
0.128125 10.4831
0.131250 10.3611
0.137500 10.1298
0.143750 9.91372
0.150000 9.71140
0.156250 9.52151
0.162500 9.34286
0.168750 9.17441
0.175000 9.01523
0.181250 8.86452
0.187500 8.72159
0.193750 8.58585
0.200000 8.45675
0.209375 8.27426
0.218750 8.10376
0.228125 7.94412
0.237500 7.79430
0.246875 7.65337
0.256250 7.52050
0.265625 7.39499
0.275000 7.27620
0.284375 7.16358
0.293750 7.05662
0.303125 6.95489
0.312500 6.85800
0.321875 6.76559
0.331250 6.67735
0.340625 6.59299
0.350000 6.51224
0.359375 6.43488
0.368750 6.36069
0.378125 6.28947
0.387500 6.22107
0.396875 6.15536
0.406250 6.09222
0.425000 5.97270
0.443750 5.86134
0.462500 5.75750
0.500000 5.57006
0.531250 5.43134
0.562500 5.30580
0.593750 5.19212
0.625000 5.08887
0.687500 4.90916
0.750000 4.75936
0.812500 4.63424
0.875000 4.53044
0.937500 4.44466
1.00000 4.37441
1.06250 4.31860
1.12500 4.27613
