Er-166(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 693.779
1.03125E-05 683.212
1.06250E-05 673.116
1.09375E-05 663.456
1.12500E-05 654.201
1.15625E-05 645.324
1.18750E-05 636.801
1.21875E-05 628.608
1.25000E-05 620.724
1.28125E-05 613.131
1.31250E-05 605.810
1.34375E-05 598.747
1.37500E-05 591.927
1.43750E-05 578.960
1.50000E-05 566.813
1.56250E-05 555.403
1.62500E-05 544.658
1.68750E-05 534.517
1.75000E-05 524.925
1.81250E-05 515.834
1.87500E-05 507.202
1.93750E-05 498.992
2.00000E-05 491.171
2.09375E-05 480.102
2.18750E-05 469.755
2.28125E-05 460.053
2.37500E-05 450.932
2.46875E-05 442.337
2.56250E-05 434.218
2.65625E-05 426.535
2.75000E-05 419.248
2.84375E-05 412.325
2.93750E-05 405.738
3.03125E-05 399.459
3.12500E-05 393.465
3.21875E-05 387.736
3.31250E-05 382.252
3.40625E-05 376.996
3.50000E-05 371.954
3.59375E-05 367.111
3.68750E-05 362.455
3.78125E-05 357.973
3.87500E-05 353.655
3.96875E-05 349.491
4.06250E-05 345.473
4.25000E-05 337.840
4.43750E-05 330.698
4.62500E-05 323.996
4.81250E-05 317.691
5.00000E-05 311.745
5.15625E-05 307.041
5.31250E-05 302.546
5.46875E-05 298.247
5.62500E-05 294.128
5.78125E-05 290.178
5.93750E-05 286.386
6.09375E-05 282.741
6.25000E-05 279.234
6.40625E-05 275.856
6.56250E-05 272.601
6.71875E-05 269.460
6.87500E-05 266.428
7.18750E-05 260.663
7.50000E-05 255.265
7.81250E-05 250.195
8.12500E-05 245.422
8.43750E-05 240.918
8.75000E-05 236.658
9.06250E-05 232.622
9.37500E-05 228.791
9.68750E-05 225.147
0.000100000 221.677
0.000103125 218.366
0.000106250 215.204
0.000109375 212.179
0.000112500 209.281
0.000115625 206.503
0.000118750 203.835
0.000121875 201.272
0.000125000 198.806
0.000128125 196.431
0.000131250 194.142
0.000134375 191.934
0.000137500 189.803
0.000143750 185.751
0.000150000 181.957
0.000156250 178.395
0.000162500 175.042
0.000168750 171.878
0.000175000 168.887
0.000181250 166.053
0.000187500 163.362
0.000193750 160.805
0.000200000 158.369
0.000209375 154.923
0.000218750 151.703
0.000228125 148.686
0.000237500 145.850
0.000246875 143.179
0.000256250 140.657
0.000265625 138.271
0.000275000 136.009
0.000284375 133.861
0.000293750 131.818
0.000303125 129.871
0.000312500 128.013
0.000321875 126.238
0.000331250 124.539
0.000340625 122.911
0.000350000 121.350
0.000359375 119.851
0.000368750 118.411
0.000378125 117.024
0.000387500 115.689
0.000396875 114.401
0.000406250 113.159
0.000425000 110.801
0.000443750 108.594
0.000462500 106.525
0.000481250 104.579
0.000500000 102.744
0.000515625 101.293
0.000531250 99.9071
0.000546875 98.5814
0.000562500 97.3119
0.000578125 96.0947
0.000593750 94.9262
0.000609375 93.8033
0.000625000 92.7232
0.000640625 91.6832
0.000656250 90.6809
0.000671875 89.7141
0.000687500 88.7807
0.000718750 87.0067
0.000750000 85.3457
0.000781250 83.7862
0.000812500 82.3183
0.000843750 80.9333
0.000875000 79.6238
0.000906250 78.3831
0.000937500 77.2054
0.000968750 76.0856
0.00100000 75.0191
0.00103125 74.0018
0.00106250 73.0300
0.00109375 72.1004
0.00112500 71.2102
0.00115625 70.3565
0.00118750 69.5369
0.00121875 68.7493
0.00125000 67.9916
0.00128125 67.2619
0.00131250 66.5587
0.00134375 65.8803
0.00137500 65.2252
0.00143750 63.9803
0.00150000 62.8144
0.00156250 61.7196
0.00162500 60.6889
0.00168750 59.7163
0.00175000 58.7966
0.00181250 57.9252
0.00187500 57.0979
0.00193750 56.3112
0.00200000 55.5618
0.00209375 54.5016
0.00218750 53.5107
0.00228125 52.5817
0.00237500 51.7086
0.00246875 50.8860
0.00256250 50.1091
0.00265625 49.3738
0.00275000 48.6767
0.00284375 48.0145
0.00293750 47.3844
0.00303125 46.7838
0.00312500 46.2106
0.00321875 45.6628
0.00331250 45.1384
0.00340625 44.6360
0.00350000 44.1539
0.00359375 43.6909
0.00368750 43.2458
0.00378125 42.8173
0.00387500 42.4046
0.00396875 42.0066
0.00406250 41.6226
0.00425000 40.8931
0.00443750 40.2104
0.00462500 39.5699
0.00481250 38.9673
0.00500000 38.3990
0.00515625 37.9494
0.00531250 37.5198
0.00546875 37.1088
0.00562500 36.7152
0.00578125 36.3376
0.00593750 35.9751
0.00609375 35.6267
0.00625000 35.2915
0.00640625 34.9686
0.00656250 34.6574
0.00671875 34.3571
0.00687500 34.0671
0.00718750 33.5159
0.00750000 32.9996
0.00781250 32.5146
0.00812500 32.0579
0.00843750 31.6269
0.00875000 31.2192
0.00906250 30.8329
0.00937500 30.4660
0.00968750 30.1171
0.0100000 29.7847
0.0103125 29.4676
0.0106250 29.1646
0.0109375 28.8747
0.0112500 28.5971
0.0115625 28.3307
0.0118750 28.0750
0.0121875 27.8293
0.0125000 27.5928
0.0128125 27.3650
0.0131250 27.1455
0.0134375 26.9336
0.0137500 26.7291
0.0143750 26.3402
0.0150000 25.9758
0.0156250 25.6336
0.0162500 25.3113
0.0168750 25.0071
0.0175000 24.7193
0.0181250 24.4465
0.0187500 24.1875
0.0193750 23.9412
0.0200000 23.7065
0.0206625 23.4695
0.0213250 23.2436
0.0219875 23.0280
0.0226500 22.8219
0.0233125 22.6247
0.0239750 22.4358
0.0246375 22.2545
0.0253000 22.0804
0.0264578 21.7920
0.0276156 21.5219
0.0287734 21.2684
0.0299313 21.0297
0.0310891 20.8046
0.0322469 20.5917
0.0334047 20.3899
0.0345625 20.1984
0.0355274 20.0459
0.0364922 19.8996
0.0374570 19.7589
0.0384219 19.6235
0.0393867 19.4931
0.0403516 19.3674
0.0413164 19.2461
0.0422813 19.1290
0.0442109 18.9064
0.0461406 18.6979
0.0480703 18.5020
0.0500000 18.3177
0.0515625 18.1760
0.0531250 18.0406
0.0546875 17.9111
0.0562500 17.7870
0.0578125 17.6679
0.0593750 17.5536
0.0609375 17.4437
0.0625000 17.3379
0.0640625 17.2361
0.0656250 17.1379
0.0671875 17.0432
0.0687500 16.9517
0.0718750 16.7778
0.0750000 16.6147
0.0781250 16.4614
0.0812500 16.3170
0.0843750 16.1807
0.0875000 16.0516
0.0906250 15.9293
0.0937500 15.8132
0.0968750 15.7027
0.100000 15.5974
0.103125 15.4968
0.106250 15.4008
0.109375 15.3088
0.112500 15.2207
0.115625 15.1362
0.118750 15.0550
0.121875 14.9769
0.125000 14.9017
0.128125 14.8294
0.131250 14.7596
0.134375 14.6923
0.137500 14.6273
0.143750 14.5036
0.150000 14.3875
0.156250 14.2784
0.162500 14.1755
0.168750 14.0784
0.175000 13.9864
0.181250 13.8992
0.187500 13.8164
0.193750 13.7376
0.200000 13.6625
0.209375 13.5561
0.218750 13.4564
0.228125 13.3628
0.237500 13.2747
0.246875 13.1916
0.256250 13.1130
0.265625 13.0385
0.275000 12.9678
0.284375 12.9006
0.293750 12.8365
0.303125 12.7753
0.312500 12.7168
0.321875 12.6609
0.331250 12.6073
0.340625 12.5558
0.350000 12.5064
0.359375 12.4588
0.368750 12.4130
0.378125 12.3689
0.387500 12.3264
0.396875 12.2853
0.406250 12.2457
0.425000 12.1702
0.443750 12.0992
0.462500 12.0325
0.500000 11.9101
0.531250 11.8177
0.562500 11.7326
0.593750 11.6539
0.625000 11.5809
0.687500 11.4492
0.750000 11.3332
0.812500 11.2300
0.875000 11.1373
0.937500 11.0533
1.00000 10.9763
1.06250 10.9056
1.12500 10.8403
1.18750 10.7796
1.25000 10.7231
1.37500 10.6205
1.50000 10.5294
1.62500 10.4477
1.75000 10.3740
1.87500 10.3068
2.00000 10.2451
2.18750 10.1616
2.37500 10.0872
2.56250 10.0207
2.75000 9.96117
2.93750 9.90779
3.12500 9.86004
3.31250 9.81775
3.50000 9.78082
3.68750 9.74930
3.87500 9.72343
4.06250 9.70362
4.25000 9.69053
4.43750 9.68487
4.53125 9.68518
4.62500 9.68808
4.71875 9.69363
4.81250 9.70211
4.90625 9.71385
5.00000 9.72922
5.11778 9.75441
5.23556 9.78717
5.35334 9.82887
5.47112 9.88124
5.53001 9.91208
5.58890 9.94646
5.64779 9.98473
5.70668 10.0273
5.76557 10.0747
5.82446 10.1275
5.88335 10.1859
5.94224 10.2508
6.00394 10.3273
6.06563 10.4133
6.12733 10.5102
6.18902 10.6194
6.25072 10.7429
6.31241 10.8830
6.37411 11.0425
6.43580 11.2246
6.48908 11.4033
6.54236 11.6052
6.59565 11.8341
6.62229 11.9602
6.64893 12.0949
6.67557 12.2390
6.70221 12.3933
6.72885 12.5586
6.75549 12.7360
6.78213 12.9266
6.80877 13.1318
6.83541 13.3533
6.86205 13.5928
6.89290 13.8954
6.92375 14.2280
6.95460 14.5947
6.98544 15.0001
7.01629 15.4496
7.04714 15.9499
7.07799 16.5086
7.10883 17.1351
7.13828 17.8065
7.15300 18.1728
7.16772 18.5616
7.18245 18.9749
7.19717 19.4147
7.21189 19.8833
7.22661 20.3831
7.24134 20.9171
7.25606 21.4883
