73-Ta_n-tot
> 73-Ta-181:1.000000
5.000000e-04 5.48338000e+03
5.156250e-04 5.38595000e+03
5.312500e-04 5.29251000e+03
5.468750e-04 5.20281000e+03
5.625000e-04 5.11665000e+03
5.781250e-04 5.03382000e+03
5.937500e-04 4.95415000e+03
6.093750e-04 4.87746000e+03
6.250000e-04 4.80362000e+03
6.406250e-04 4.73247000e+03
6.562500e-04 4.66391000e+03
6.718750e-04 4.59780000e+03
6.875000e-04 4.53404000e+03
7.031250e-04 4.47253000e+03
7.187500e-04 4.41317000e+03
7.343750e-04 4.35588000e+03
7.500000e-04 4.30057000e+03
7.656250e-04 4.24715000e+03
7.812500e-04 4.19557000e+03
7.968750e-04 4.14575000e+03
8.125000e-04 4.09761000e+03
8.437500e-04 4.00617000e+03
8.750000e-04 3.92078000e+03
9.062500e-04 3.84101000e+03
9.375000e-04 3.76647000e+03
9.687500e-04 3.69680000e+03
1.000000e-03 3.63166000e+03
1.031250e-03 3.57074000e+03
1.062500e-03 3.51376000e+03
1.093750e-03 3.46044000e+03
1.125000e-03 3.41054000e+03
1.156250e-03 3.36382000e+03
1.187500e-03 3.32006000e+03
1.218750e-03 3.27904000e+03
1.250000e-03 3.24059000e+03
1.281250e-03 3.20451000e+03
1.312500e-03 3.17064000e+03
1.343750e-03 3.13883000e+03
1.375000e-03 3.10891000e+03
1.406250e-03 3.08075000e+03
1.437500e-03 3.05423000e+03
1.468750e-03 3.02922000e+03
1.500000e-03 3.00561000e+03
1.531250e-03 2.98329000e+03
1.562500e-03 2.96217000e+03
1.625000e-03 2.92314000e+03
1.687500e-03 2.88788000e+03
1.750000e-03 2.85582000e+03
1.812500e-03 2.82647000e+03
1.875000e-03 2.79940000e+03
1.937500e-03 2.77428000e+03
2.000000e-03 2.75078000e+03
2.093750e-03 2.71805000e+03
2.187500e-03 2.68773000e+03
2.281250e-03 2.65925000e+03
2.375000e-03 2.63221000e+03
2.562500e-03 2.58120000e+03
2.750000e-03 2.53294000e+03
2.937500e-03 2.48639000e+03
3.125000e-03 2.44097000e+03
3.500000e-03 2.35224000e+03
3.875000e-03 2.26528000e+03
4.250000e-03 2.17949000e+03
5.000000e-03 2.01028000e+03
5.625000e-03 1.87112000e+03
6.250000e-03 1.73380000e+03
6.562500e-03 1.66616000e+03
6.875000e-03 1.59957000e+03
7.187500e-03 1.53441000e+03
7.500000e-03 1.47116000e+03
7.656250e-03 1.44041000e+03
7.812500e-03 1.41036000e+03
7.968750e-03 1.38107000e+03
8.125000e-03 1.35261000e+03
8.281250e-03 1.32505000e+03
8.437500e-03 1.29847000e+03
8.593750e-03 1.27292000e+03
8.750000e-03 1.24846000e+03
8.906250e-03 1.22514000e+03
9.062500e-03 1.20299000e+03
9.218750e-03 1.18204000e+03
9.375000e-03 1.16232000e+03
9.531250e-03 1.14382000e+03
9.687500e-03 1.12654000e+03
9.843750e-03 1.11048000e+03
1.000000e-02 1.09561000e+03
1.015630e-02 1.08189000e+03
1.031250e-02 1.06929000e+03
1.046880e-02 1.05776000e+03
1.062500e-02 1.04724000e+03
1.078130e-02 1.03769000e+03
1.093750e-02 1.02903000e+03
1.109380e-02 1.02121000e+03
1.125000e-02 1.01417000e+03
1.140630e-02 1.00783000e+03
1.156250e-02 1.00214000e+03
1.171880e-02 9.97041000e+02
1.187500e-02 9.92467000e+02
1.203130e-02 9.88365000e+02
1.218750e-02 9.84684000e+02
1.250000e-02 9.78389000e+02
1.281250e-02 9.73238000e+02
1.312500e-02 9.68946000e+02
1.343750e-02 9.65285000e+02
1.375000e-02 9.62080000e+02
1.437500e-02 9.56536000e+02
1.500000e-02 9.51624000e+02
1.750000e-02 9.33625000e+02
2.000000e-02 9.16070000e+02
2.530000e-02 8.79214000e+02
4.228130e-02 7.62474000e+02
5.000000e-02 7.09681000e+02
6.250000e-02 6.24333000e+02
7.500000e-02 5.39085000e+02
8.750000e-02 4.54002000e+02
8.906250e-02 4.43506000e+02
9.062500e-02 4.33169000e+02
9.218750e-02 4.23107000e+02
9.375000e-02 4.13481000e+02
9.453130e-02 4.08889000e+02
9.531250e-02 4.04477000e+02
9.609380e-02 4.00271000e+02
9.687500e-02 3.96291000e+02
