Te-126(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 42.6753
1.03125E-05 42.0336
1.06250E-05 41.4205
1.09375E-05 40.8341
1.12500E-05 40.2724
1.15625E-05 39.7337
1.18750E-05 39.2166
1.21875E-05 38.7196
1.25000E-05 38.2414
1.28125E-05 37.7810
1.31250E-05 37.3372
1.34375E-05 36.9091
1.37500E-05 36.4958
1.43750E-05 35.7102
1.50000E-05 34.9746
1.56250E-05 34.2839
1.62500E-05 33.6337
1.68750E-05 33.0203
1.75000E-05 32.4403
1.81250E-05 31.8909
1.87500E-05 31.3693
1.93750E-05 30.8735
2.00000E-05 30.4013
2.09375E-05 29.7334
2.18750E-05 29.1093
2.28125E-05 28.5245
2.37500E-05 27.9751
2.46875E-05 27.4576
2.56250E-05 26.9692
2.65625E-05 26.5071
2.75000E-05 26.0692
2.84375E-05 25.6533
2.93750E-05 25.2579
3.03125E-05 24.8811
3.12500E-05 24.5217
3.21875E-05 24.1784
3.31250E-05 23.8499
3.40625E-05 23.5353
3.50000E-05 23.2336
3.59375E-05 22.9440
3.68750E-05 22.6657
3.78125E-05 22.3980
3.87500E-05 22.1403
3.96875E-05 21.8919
4.06250E-05 21.6523
4.25000E-05 21.1975
4.43750E-05 20.7725
4.62500E-05 20.3740
4.81250E-05 19.9996
5.00000E-05 19.6469
5.15625E-05 19.3682
5.31250E-05 19.1021
5.46875E-05 18.8477
5.62500E-05 18.6043
5.78125E-05 18.3711
5.93750E-05 18.1474
6.09375E-05 17.9326
6.25000E-05 17.7261
6.40625E-05 17.5274
6.56250E-05 17.3360
6.71875E-05 17.1516
6.87500E-05 16.9736
7.18750E-05 16.6358
7.50000E-05 16.3200
7.81250E-05 16.0239
8.12500E-05 15.7457
8.43750E-05 15.4836
8.75000E-05 15.2361
9.06250E-05 15.0020
9.37500E-05 14.7802
9.68750E-05 14.5696
0.000100000 14.3693
0.000103125 14.1786
0.000106250 13.9967
0.000109375 13.8230
0.000112500 13.6569
0.000115625 13.4978
0.000118750 13.3454
0.000121875 13.1992
0.000125000 13.0587
0.000128125 12.9236
0.000131250 12.7937
0.000134375 12.6685
0.000137500 12.5478
0.000143750 12.3190
0.000150000 12.1054
0.000156250 11.9054
0.000162500 11.7177
0.000168750 11.5412
0.000175000 11.3747
0.000181250 11.2175
0.000187500 11.0687
0.000193750 10.9276
0.000200000 10.7935
0.000209375 10.6046
0.000218750 10.4288
0.000228125 10.2646
0.000237500 10.1110
0.000246875 9.96684
0.000256250 9.83123
0.000265625 9.70341
0.000275000 9.58268
0.000284375 9.46843
0.000293750 9.36012
0.000303125 9.25728
0.000312500 9.15947
0.000321875 9.06632
0.000331250 8.97748
0.000340625 8.89264
0.000350000 8.81152
0.000359375 8.73386
0.000368750 8.65944
0.000378125 8.58805
0.000387500 8.51949
0.000396875 8.45358
0.000406250 8.39017
0.000425000 8.27027
0.000443750 8.15872
0.000462500 8.05463
0.000481250 7.95724
0.000500000 7.86588
0.000515625 7.79393
0.000531250 7.72547
0.000546875 7.66024
0.000562500 7.59799
0.000578125 7.53852
0.000593750 7.48163
0.000609375 7.42715
0.000625000 7.37491
0.000640625 7.32478
0.000656250 7.27661
0.000671875 7.23028
0.000687500 7.18569
0.000718750 7.10132
0.000750000 7.02275
0.000781250 6.94937
0.000812500 6.88065
0.000843750 6.81612
0.000875000 6.75539
0.000906250 6.69811
0.000937500 6.64396
0.000968750 6.59269
0.00100000 6.54404
0.00103125 6.49782
0.00106250 6.45382
0.00109375 6.41188
0.00112500 6.37184
0.00115625 6.33358
0.00118750 6.29695
0.00121875 6.26187
0.00125000 6.22821
0.00128125 6.19589
0.00131250 6.16482
0.00134375 6.13493
0.00137500 6.10614
0.00143750 6.05163
0.00150000 6.00081
0.00156250 5.95331
0.00162500 5.90877
0.00168750 5.86691
0.00175000 5.82748
0.00181250 5.79024
0.00187500 5.75501
0.00193750 5.72162
0.00200000 5.68991
0.00209375 5.64522
0.00218750 5.60361
0.00228125 5.56477
0.00237500 5.52839
0.00246875 5.49423
0.00256250 5.46208
0.00265625 5.43175
0.00275000 5.40308
0.00284375 5.37593
0.00293750 5.35015
0.00303125 5.32566
0.00312500 5.30233
0.00321875 5.28009
0.00331250 5.25885
0.00340625 5.23855
0.00350000 5.21910
0.00359375 5.20047
0.00368750 5.18259
0.00378125 5.16541
0.00387500 5.14889
0.00396875 5.13299
0.00406250 5.11768
0.00425000 5.08865
