Kr-84(n,g) ENDFB-8.0
Energy(eV) XS(b)
507.113 0.361979
507.516 0.387813
507.919 0.416536
508.267 0.444022
508.616 0.474349
508.964 0.507921
509.312 0.545215
509.487 0.565437
509.661 0.586796
509.835 0.609408
510.009 0.633345
510.183 0.658746
510.357 0.685703
510.531 0.714368
510.705 0.744891
510.870 0.775683
511.035 0.808448
511.200 0.843356
511.365 0.880576
511.530 0.920366
511.695 0.962943
511.778 0.985360
511.860 1.00858
511.943 1.03264
512.025 1.05754
512.106 1.08270
512.186 1.10875
512.266 1.13576
512.346 1.16378
512.410 1.18697
512.474 1.21084
512.539 1.23544
512.630 1.27198
512.722 1.31014
512.814 1.35010
512.905 1.39190
513.006 1.44027
513.107 1.49118
513.208 1.54487
513.258 1.57282
513.308 1.60155
513.359 1.63114
513.409 1.66152
513.460 1.69276
513.510 1.72490
513.561 1.75798
513.611 1.79203
513.661 1.82710
513.712 1.86322
513.758 1.89707
513.803 1.93179
513.849 1.96757
513.895 2.00428
513.941 2.04213
513.987 2.08100
514.033 2.12100
514.078 2.16219
514.124 2.20471
514.170 2.24842
514.216 2.29347
514.262 2.33991
514.308 2.38791
514.353 2.43732
514.399 2.48831
514.445 2.54095
514.509 2.61766
514.573 2.69784
514.638 2.78198
514.702 2.87008
514.766 2.96267
514.830 3.05977
514.894 3.16201
514.958 3.26942
515.009 3.35805
515.059 3.45026
515.110 3.54642
515.160 3.64678
515.210 3.75159
515.261 3.86114
515.311 3.97572
515.362 4.09565
515.412 4.22154
515.462 4.35329
515.513 4.49154
515.563 4.63677
515.614 4.78946
515.664 4.95017
515.714 5.11950
515.765 5.29811
515.820 5.50449
515.875 5.72387
515.930 5.95744
515.985 6.20656
516.040 6.47277
516.095 6.75779
516.150 7.06364
516.205 7.39259
516.255 7.71724
516.306 8.06525
516.356 8.43994
516.407 8.84443
516.457 9.28234
516.507 9.75788
516.533 10.0113
516.558 10.2759
516.583 10.5527
516.608 10.8422
516.633 11.1455
516.659 11.4634
516.684 11.7970
516.709 12.1473
516.734 12.5156
516.759 12.9031
516.785 13.3112
516.810 13.7413
516.835 14.1952
516.860 14.6745
516.885 15.1810
516.911 15.7169
516.936 16.2842
516.961 16.8854
516.986 17.5228
517.011 18.1991
517.037 18.9202
517.062 19.6833
517.087 20.4946
517.112 21.3574
517.137 22.2755
517.163 23.2527
517.188 24.2932
517.213 25.4013
517.238 26.5864
517.264 27.8440
517.289 29.1836
517.314 30.6107
517.339 32.1305
517.364 33.7489
517.390 35.4718
517.415 37.3052
517.440 39.2553
517.465 41.3287
517.490 43.5317
517.516 45.8710
517.541 48.3533
517.566 50.9853
517.591 53.7735
517.616 56.7245
517.642 59.8450
517.667 63.1410
517.692 66.6187
517.717 70.2838
517.742 74.1417
517.768 78.1973
517.793 82.4552
517.818 86.9191
517.850 92.9087
517.882 99.2427
517.914 105.924
517.946 112.952
517.978 120.325
518.011 128.037
518.043 136.080
518.075 144.415
518.125 158.173
518.176 172.572
518.226 187.535
518.276 202.936
518.478 265.627
518.528 280.614
518.579 294.892
518.629 308.238
518.679 320.436
518.713 327.847
518.747 334.575
518.780 340.606
518.814 345.856
518.857 351.395
518.900 355.533
518.943 358.228
518.986 359.444
519.000 359.518
519.014 359.423
519.061 357.968
519.107 354.781
519.154 349.911
519.200 343.438
519.241 336.628
519.281 328.773
519.321 319.964
519.361 310.324
519.402 299.855
519.442 288.765
519.523 265.073
519.603 240.125
519.684 214.846
519.754 193.320
519.823 172.528
519.893 152.810
519.928 143.425
519.963 134.425
520.003 124.451
520.044 115.028
520.084 106.124
520.124 97.7879
520.165 89.9781
520.205 82.7264
520.245 76.0005
520.286 69.7843
520.308 66.5848
520.330 63.5425
520.352 60.6389
520.374 57.8698
520.396 55.2313
520.418 52.7191
520.440 50.3289
520.462 48.0563
520.484 45.8968
520.506 43.8461
520.528 41.8998
520.550 40.0534
520.572 38.3026
520.594 36.6432
520.616 35.0709
520.638 33.5817
520.678 31.0499
520.718 28.7662
520.759 26.6967
520.799 24.8307
520.839 23.1395
520.880 21.6133
520.920 20.2282
520.960 18.9759
521.001 17.8366
521.041 16.8036
521.082 15.8606
521.122 15.0023
521.162 14.2158
521.203 13.4969
521.243 12.8350
521.283 12.2273
521.324 11.6652
521.364 11.1466
521.404 10.6646
521.445 10.2179
521.485 9.80090
521.525 9.41267
521.566 9.04869
521.606 8.70845
521.646 8.38822
521.687 8.08776
521.727 7.80397
521.767 7.53681
521.848 7.04467
521.929 6.60260
521.995 6.27279
522.061 5.96900
522.127 5.68796
522.193 5.42732
522.259 5.18467
522.325 4.95897
522.391 4.74828
522.457 4.55125
522.523 4.36639
522.589 4.19320
522.655 4.03043
522.721 3.87722
522.787 3.73284
522.853 3.59657
522.919 3.46782
522.985 3.34602
523.066 3.20581
523.147 3.07442
523.227 2.95109
523.308 2.83518
523.389 2.72609
523.469 2.62328
523.550 2.52628
523.631 2.43464
523.792 2.26592
523.954 2.11438
524.115 1.97773
524.276 1.85406
524.372 1.78641
524.467 1.72243
524.658 1.60453
524.849 1.49846
525.039 1.40268
525.230 1.31583
525.421 1.23690
525.611 1.16492
525.802 1.09907
525.964 1.04762
526.125 0.999712
526.286 0.955022
526.448 0.913269
526.609 0.874203
526.771 0.837598
526.932 0.803252
527.093 0.770984
527.255 0.740627
527.416 0.712035
527.578 0.685073
527.739 0.659618
527.900 0.635560
528.062 0.612798
528.384 0.570817
528.707 0.533005
529.030 0.498837
529.353 0.467859
529.676 0.439693
529.998 0.413993
530.321 0.390485
530.644 0.368929
530.967 0.349121
531.231 0.334081
531.495 0.320002
531.759 0.306802
532.023 0.294408
532.287 0.282749
532.551 0.271765
532.815 0.261404
533.079 0.251619
533.344 0.242372
533.608 0.233625
534.136 0.217494
534.664 0.202980
535.192 0.189875
