Mo-98(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 39.8037
1.03125E-05 39.2085
1.06250E-05 38.6400
1.09375E-05 38.0962
1.12500E-05 37.5753
1.15625E-05 37.0759
1.18750E-05 36.5965
1.21875E-05 36.1358
1.25000E-05 35.6926
1.28125E-05 35.2659
1.31250E-05 34.8546
1.34375E-05 34.4579
1.37500E-05 34.0749
1.43750E-05 33.3472
1.50000E-05 32.6658
1.56250E-05 32.0261
1.62500E-05 31.4241
1.68750E-05 30.8562
1.75000E-05 30.3194
1.81250E-05 29.8108
1.87500E-05 29.3283
1.93750E-05 28.8696
2.00000E-05 28.4328
2.09375E-05 27.8152
2.18750E-05 27.2382
2.28125E-05 26.6978
2.37500E-05 26.1901
2.46875E-05 25.7121
2.56250E-05 25.2610
2.65625E-05 24.8344
2.75000E-05 24.4302
2.84375E-05 24.0465
2.93750E-05 23.6816
3.03125E-05 23.3342
3.12500E-05 23.0028
3.21875E-05 22.6863
3.31250E-05 22.3836
3.40625E-05 22.0938
3.50000E-05 21.8160
3.59375E-05 21.5494
3.68750E-05 21.2932
3.78125E-05 21.0468
3.87500E-05 20.8097
3.96875E-05 20.5812
4.06250E-05 20.3609
4.25000E-05 19.9430
4.43750E-05 19.5525
4.62500E-05 19.1867
4.81250E-05 18.8432
5.00000E-05 18.5197
5.15625E-05 18.2642
5.31250E-05 18.0204
5.46875E-05 17.7875
5.62500E-05 17.5647
5.78125E-05 17.3514
5.93750E-05 17.1468
6.09375E-05 16.9504
6.25000E-05 16.7617
6.40625E-05 16.5803
6.56250E-05 16.4056
6.71875E-05 16.2373
6.87500E-05 16.0751
7.18750E-05 15.7672
7.50000E-05 15.4797
7.81250E-05 15.2104
8.12500E-05 14.9576
8.43750E-05 14.7196
8.75000E-05 14.4951
9.06250E-05 14.2830
9.37500E-05 14.0822
9.68750E-05 13.8917
0.000100000 13.7108
0.000103125 13.5386
0.000106250 13.3746
0.000109375 13.2181
0.000112500 13.0686
0.000115625 12.9256
0.000118750 12.7887
0.000121875 12.6574
0.000125000 12.5314
0.000128125 12.4105
0.000131250 12.2942
0.000134375 12.1822
0.000137500 12.0745
0.000143750 11.8704
0.000150000 11.6803
0.000156250 11.5026
0.000162500 11.3362
0.000168750 11.1800
0.000175000 11.0330
0.000181250 10.8944
0.000187500 10.7635
