33-As_n-g
>  33-As-75:1.000000
1.375000e-03 1.92976000e+01
1.437500e-03 1.88734000e+01
1.500000e-03 1.84761000e+01
1.562500e-03 1.81028000e+01
1.625000e-03 1.77513000e+01
1.687500e-03 1.74195000e+01
1.750000e-03 1.71056000e+01
1.812500e-03 1.68081000e+01
1.875000e-03 1.65256000e+01
1.937500e-03 1.62569000e+01
2.000000e-03 1.60009000e+01
2.093750e-03 1.56386000e+01
2.187500e-03 1.52998000e+01
2.281250e-03 1.49821000e+01
2.375000e-03 1.46835000e+01
2.468750e-03 1.44020000e+01
2.562500e-03 1.41361000e+01
2.656250e-03 1.38844000e+01
2.750000e-03 1.36457000e+01
2.843750e-03 1.34189000e+01
2.937500e-03 1.32031000e+01
3.031250e-03 1.29973000e+01
3.125000e-03 1.28009000e+01
3.218750e-03 1.26131000e+01
3.312500e-03 1.24333000e+01
3.406250e-03 1.22610000e+01
3.500000e-03 1.20957000e+01
3.593750e-03 1.19369000e+01
3.687500e-03 1.17842000e+01
3.781250e-03 1.16372000e+01
3.875000e-03 1.14956000e+01
3.968750e-03 1.13591000e+01
4.062500e-03 1.12272000e+01
4.250000e-03 1.09768000e+01
4.437500e-03 1.07424000e+01
4.625000e-03 1.05225000e+01
4.812500e-03 1.03155000e+01
5.000000e-03 1.01202000e+01
5.156250e-03 9.96573000e+00
5.312500e-03 9.81811000e+00
5.468750e-03 9.67685000e+00
5.625000e-03 9.54153000e+00
5.781250e-03 9.41173000e+00
5.937500e-03 9.28709000e+00
6.093750e-03 9.16727000e+00
6.250000e-03 9.05198000e+00
6.406250e-03 8.94093000e+00
6.562500e-03 8.83387000e+00
6.718750e-03 8.73056000e+00
6.875000e-03 8.63080000e+00
7.187500e-03 8.44113000e+00
7.500000e-03 8.26343000e+00
7.812500e-03 8.09651000e+00
8.125000e-03 7.93932000e+00
8.437500e-03 7.79094000e+00
8.750000e-03 7.65058000e+00
9.062500e-03 7.51755000e+00
9.375000e-03 7.39122000e+00
9.687500e-03 7.27106000e+00
1.000000e-02 7.15658000e+00
1.031250e-02 7.04734000e+00
1.062500e-02 6.94296000e+00
1.093750e-02 6.84309000e+00
1.125000e-02 6.74741000e+00
1.156250e-02 6.65564000e+00
1.187500e-02 6.56751000e+00
1.218750e-02 6.48280000e+00
1.250000e-02 6.40129000e+00
1.281250e-02 6.32277000e+00
1.312500e-02 6.24708000e+00
1.343750e-02 6.17405000e+00
1.375000e-02 6.10352000e+00
1.437500e-02 5.96942000e+00
1.500000e-02 5.84380000e+00
1.562500e-02 5.72578000e+00
1.625000e-02 5.61464000e+00
1.687500e-02 5.50973000e+00
1.750000e-02 5.41049000e+00
1.812500e-02 5.31643000e+00
1.875000e-02 5.22711000e+00
1.937500e-02 5.14215000e+00
2.000000e-02 5.06120000e+00
2.066250e-02 4.97944000e+00
2.132500e-02 4.90152000e+00
2.198750e-02 4.82715000e+00
2.265000e-02 4.75607000e+00
2.331250e-02 4.68804000e+00
2.397500e-02 4.62285000e+00
2.463750e-02 4.56032000e+00
2.530000e-02 4.50026000e+00
2.645780e-02 4.40076000e+00
2.761560e-02 4.30760000e+00
2.877340e-02 4.22013000e+00
2.993130e-02 4.13779000e+00
3.108910e-02 4.06010000e+00
3.224690e-02 3.98664000e+00
3.340470e-02 3.91702000e+00
3.456250e-02 3.85094000e+00
3.552740e-02 3.79835000e+00
3.649220e-02 3.74786000e+00
3.745700e-02 3.69933000e+00
3.842190e-02 3.65264000e+00
3.938670e-02 3.60767000e+00
4.035160e-02 3.56432000e+00
4.131640e-02 3.52250000e+00
4.228130e-02 3.48212000e+00
4.421090e-02 3.40536000e+00
4.614060e-02 3.33346000e+00
4.807030e-02 3.26595000e+00
5.000000e-02 3.20238000e+00
5.156250e-02 3.15355000e+00
5.312500e-02 3.10689000e+00
5.468750e-02 3.06225000e+00
5.625000e-02 3.01948000e+00
5.781250e-02 2.97846000e+00
