Sr-84(n,g) ENDFB-8.0
Energy(eV) XS(b)
0.000593750 5.36530
0.000609375 5.29607
0.000625000 5.22945
0.000640625 5.16528
0.000656250 5.10342
0.000671875 5.04373
0.000687500 4.98609
0.000718750 4.87649
0.000750000 4.77382
0.000781250 4.67737
0.000812500 4.58654
0.000843750 4.50080
0.000875000 4.41970
0.000906250 4.34283
0.000937500 4.26984
0.000968750 4.20041
0.00100000 4.13425
0.00103125 4.07113
0.00106250 4.01082
0.00109375 3.95311
0.00112500 3.89782
0.00115625 3.84478
0.00118750 3.79386
0.00121875 3.74490
0.00125000 3.69779
0.00128125 3.65242
0.00131250 3.60868
0.00134375 3.56647
0.00137500 3.52571
0.00143750 3.44821
0.00150000 3.37561
0.00156250 3.30741
0.00162500 3.24318
0.00168750 3.18256
0.00175000 3.12521
0.00181250 3.07086
0.00187500 3.01924
0.00193750 2.97014
0.00200000 2.92337
0.00209375 2.85717
0.00218750 2.79527
0.00228125 2.73723
0.00237500 2.68267
0.00246875 2.63124
0.00256250 2.58265
0.00265625 2.53667
0.00275000 2.49305
0.00284375 2.45162
0.00293750 2.41218
0.00303125 2.37458
0.00312500 2.33869
0.00321875 2.30438
0.00331250 2.27154
0.00340625 2.24006
0.00350000 2.20986
0.00359375 2.18084
0.00368750 2.15294
0.00378125 2.12608
0.00387500 2.10021
0.00396875 2.07525
0.00406250 2.05117
0.00425000 2.00541
0.00443750 1.96259
0.00462500 1.92239
0.00481250 1.88457
0.00500000 1.84890
0.00515625 1.82067
0.00531250 1.79370
0.00546875 1.76789
0.00562500 1.74316
0.00578125 1.71945
0.00593750 1.69667
0.00609375 1.67478
0.00625000 1.65371
0.00640625 1.63342
0.00656250 1.61386
0.00671875 1.59499
0.00687500 1.57676
0.00718750 1.54210
0.00750000 1.50963
0.00781250 1.47913
0.00812500 1.45041
0.00843750 1.42330
0.00875000 1.39765
0.00906250 1.37334
0.00937500 1.35026
0.00968750 1.32830
0.0100000 1.30738
0.0103125 1.28742
0.0106250 1.26835
0.0109375 1.25010
0.0112500 1.23261
0.0115625 1.21584
0.0118750 1.19974
0.0121875 1.18426
0.0125000 1.16937
0.0128125 1.15502
0.0131250 1.14119
0.0134375 1.12784
0.0137500 1.11495
0.0143750 1.09045
0.0150000 1.06749
0.0156250 1.04593
0.0162500 1.02562
0.0168750 1.00645
0.0175000 0.988310
0.0181250 0.971120
0.0187500 0.954797
0.0193750 0.939270
0.0200000 0.924476
0.0206625 0.909534
0.0213250 0.895293
0.0219875 0.881702
0.0226500 0.868711
0.0233125 0.856279
0.0239750 0.844365
0.0246375 0.832936
0.0253000 0.821959
0.0264578 0.803775
0.0276156 0.786749
0.0287734 0.770762
0.0299313 0.755713
0.0310891 0.741513
0.0322469 0.728085
0.0334047 0.715362
0.0345625 0.703283
0.0355274 0.693671
0.0364922 0.684442
0.0374570 0.675571
0.0384219 0.667036
0.0393867 0.658816
0.0403516 0.650892
0.0413164 0.643247
0.0422813 0.635865
0.0442109 0.621833
0.0461406 0.608690
0.0480703 0.596347
0.0500000 0.584726
0.0515625 0.575798
0.0531250 0.567267
0.0546875 0.559105
0.0562500 0.551286
0.0578125 0.543787
0.0593750 0.536586
0.0609375 0.529665
0.0625000 0.523005
0.0640625 0.516592
0.0656250 0.510409
0.0671875 0.504444
0.0687500 0.498683
0.0718750 0.487730
0.0750000 0.477467
0.0781250 0.467824
0.0812500 0.458741
0.0843750 0.450167
0.0875000 0.442055
0.0906250 0.434368
0.0937500 0.427068
0.0968750 0.420124
0.100000 0.413509
0.103125 0.407196
0.106250 0.401165
0.109375 0.395394
0.112500 0.389865
0.115625 0.384563
0.118750 0.379471
0.121875 0.374577
0.125000 0.369868
0.128125 0.365334
0.131250 0.360963
0.134375 0.356747
0.137500 0.352676
0.143750 0.344934
0.150000 0.337678
0.156250 0.330860
0.162500 0.324437
0.168750 0.318375
0.175000 0.312640
0.181250 0.307206
0.187500 0.302047
0.193750 0.297141
0.200000 0.292469
0.209375 0.285856
0.218750 0.279669
0.228125 0.273866
0.237500 0.268410
0.246875 0.263268
0.256250 0.258411
0.265625 0.253813
0.275000 0.249453
0.284375 0.245311
0.293750 0.241368
0.303125 0.237611
0.312500 0.234023
0.321875 0.230594
0.331250 0.227311
0.340625 0.224165
0.350000 0.221147
0.359375 0.218247
0.368750 0.215459
0.378125 0.212776
0.387500 0.210192
0.396875 0.207701
0.406250 0.205299
0.425000 0.200734
0.443750 0.196455
0.462500 0.192438
0.500000 0.185107
0.531250 0.179602
0.562500 0.174550
0.593750 0.169903
0.625000 0.165610
0.687500 0.157920
0.750000 0.151215
0.812500 0.145300
0.875000 0.140047
0.937500 0.135328
1.00000 0.131045
1.06250 0.127147
1.12500 0.123579
1.18750 0.120297
1.25000 0.117265
1.37500 0.111836
1.50000 0.107103
1.62500 0.102928
1.75000 0.0992192
1.87500 0.0958885
2.00000 0.0928638
2.18750 0.0888266
2.37500 0.0852829
2.56250 0.0821373
2.75000 0.0793263
2.93750 0.0767899
