Cu-63(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 262.208
1.03125E-05 258.213
1.06250E-05 254.397
1.09375E-05 250.745
1.12500E-05 247.247
1.15625E-05 243.891
1.18750E-05 240.669
1.21875E-05 237.572
1.25000E-05 234.592
1.28125E-05 231.722
1.31250E-05 228.955
1.34375E-05 226.285
1.37500E-05 223.706
1.43750E-05 218.804
1.50000E-05 214.213
1.56250E-05 209.899
1.62500E-05 205.838
1.68750E-05 202.004
1.75000E-05 198.378
1.81250E-05 194.942
1.87500E-05 191.679
1.93750E-05 188.575
2.00000E-05 185.618
2.09375E-05 181.434
2.18750E-05 177.522
2.28125E-05 173.855
2.37500E-05 170.407
2.46875E-05 167.157
2.56250E-05 164.088
2.65625E-05 161.184
2.75000E-05 158.429
2.84375E-05 155.812
2.93750E-05 153.322
3.03125E-05 150.948
3.12500E-05 148.682
3.21875E-05 146.516
3.31250E-05 144.443
3.40625E-05 142.456
3.50000E-05 140.550
3.59375E-05 138.719
3.68750E-05 136.959
3.78125E-05 135.264
3.87500E-05 133.632
3.96875E-05 132.058
4.06250E-05 130.539
4.25000E-05 127.653
4.43750E-05 124.953
4.62500E-05 122.420
4.81250E-05 120.036
5.00000E-05 117.788
5.15625E-05 116.010
5.31250E-05 114.311
5.46875E-05 112.686
5.62500E-05 111.129
5.78125E-05 109.635
5.93750E-05 108.202
6.09375E-05 106.824
6.25000E-05 105.498
6.40625E-05 104.222
6.56250E-05 102.991
6.71875E-05 101.804
6.87500E-05 100.658
7.18750E-05 98.4786
7.50000E-05 96.4380
7.81250E-05 94.5217
8.12500E-05 92.7176
8.43750E-05 91.0153
8.75000E-05 89.4055
9.06250E-05 87.8801
9.37500E-05 86.4322
9.68750E-05 85.0553
0.000100000 83.7439
0.000103125 82.4929
0.000106250 81.2980
0.000109375 80.1549
0.000112500 79.0602
0.000115625 78.0105
0.000118750 77.0027
0.000121875 76.0343
0.000125000 75.1028
0.000128125 74.2058
0.000131250 73.3412
0.000134375 72.5073
0.000137500 71.7022
0.000143750 70.1722
0.000150000 68.7396
0.000156250 67.3947
0.000162500 66.1289
0.000168750 64.9347
0.000175000 63.8058
0.000181250 62.7364
0.000187500 61.7214
0.000193750 60.7565
0.000200000 59.8378
0.000209375 58.5384
0.000218750 57.3245
0.000228125 56.1871
0.000237500 55.1185
0.000246875 54.1123
0.000256250 53.1625
0.000265625 52.2641
0.000275000 51.4127
0.000284375 50.6044
0.000293750 49.8357
0.000303125 49.1034
0.000312500 48.4048
0.000321875 47.7375
0.000331250 47.0991
0.000340625 46.4878
0.000350000 45.9015
0.000359375 45.3387
0.000368750 44.7979
0.000378125 44.2777
0.000387500 43.7768
0.000396875 43.2941
0.000406250 42.8285
0.000425000 41.9447
0.000443750 41.1186
0.000462500 40.3442
0.000481250 39.6164
0.000500000 38.9307
0.000515625 38.3886
0.000531250 37.8711
0.000546875 37.3765
0.000562500 36.9030
0.000578125 36.4492
0.000593750 36.0138
0.000609375 35.5957
0.000625000 35.1937
0.000640625 34.8067
0.000656250 34.4340
0.000671875 34.0747
0.000687500 33.7279
0.000718750 33.0694
0.000750000 32.4533
0.000781250 31.8755
0.000812500 31.3320
0.000843750 30.8197
0.000875000 30.3358
0.000906250 29.8776
0.000937500 29.4431
0.000968750 29.0303
0.00100000 28.6374
0.00103125 28.2629
0.00106250 27.9055
0.00109375 27.5638
0.00112500 27.2368
0.00115625 26.9235
0.00118750 26.6229
0.00121875 26.3342
0.00125000 26.0566
0.00128125 25.7895
0.00131250 25.5322
0.00134375 25.2841
0.00137500 25.0447
0.00143750 24.5901
0.00150000 24.1648
0.00156250 23.7659
0.00162500 23.3907
