Mg-25(n,g) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 9.57616
1.03125E-05 9.42995
1.06250E-05 9.29024
1.09375E-05 9.15656
1.12500E-05 9.02849
1.15625E-05 8.90565
1.18750E-05 8.78769
1.21875E-05 8.67429
1.25000E-05 8.56518
1.28125E-05 8.46008
1.31250E-05 8.35876
1.34375E-05 8.26099
1.37500E-05 8.16658
1.43750E-05 7.98707
1.50000E-05 7.81890
1.56250E-05 7.66093
1.62500E-05 7.51216
1.68750E-05 7.37173
1.75000E-05 7.23890
1.81250E-05 7.11299
1.87500E-05 6.99344
1.93750E-05 6.87972
2.00000E-05 6.77137
2.09375E-05 6.61803
2.18750E-05 6.47467
2.28125E-05 6.34023
2.37500E-05 6.21383
2.46875E-05 6.09471
2.56250E-05 5.98218
2.65625E-05 5.87566
2.75000E-05 5.77464
2.84375E-05 5.67866
2.93750E-05 5.58731
3.03125E-05 5.50023
3.12500E-05 5.41709
3.21875E-05 5.33762
3.31250E-05 5.26155
3.40625E-05 5.18863
3.50000E-05 5.11867
3.59375E-05 5.05147
3.68750E-05 4.98684
3.78125E-05 4.92463
3.87500E-05 4.86469
3.96875E-05 4.80689
4.06250E-05 4.75111
4.25000E-05 4.64512
4.43750E-05 4.54592
4.62500E-05 4.45282
4.81250E-05 4.36522
5.00000E-05 4.28259
5.15625E-05 4.21720
5.31250E-05 4.15472
5.46875E-05 4.09494
5.62500E-05 4.03766
5.78125E-05 3.98273
5.93750E-05 3.92997
6.09375E-05 3.87926
6.25000E-05 3.83046
6.40625E-05 3.78346
6.56250E-05 3.73815
6.71875E-05 3.69443
6.87500E-05 3.65220
7.18750E-05 3.57193
7.50000E-05 3.49672
7.81250E-05 3.42607
8.12500E-05 3.35954
8.43750E-05 3.29674
8.75000E-05 3.23733
9.06250E-05 3.18103
9.37500E-05 3.12756
9.68750E-05 3.07670
0.000100000 3.02825
0.000103125 2.98201
0.000106250 2.93783
0.000109375 2.89556
0.000112500 2.85506
0.000115625 2.81621
0.000118750 2.77891
0.000121875 2.74305
0.000125000 2.70855
0.000128125 2.67531
0.000131250 2.64327
0.000134375 2.61235
0.000137500 2.58250
0.000143750 2.52573
0.000150000 2.47255
0.000156250 2.42260
0.000162500 2.37555
0.000168750 2.33115
0.000175000 2.28914
0.000181250 2.24933
0.000187500 2.21152
0.000193750 2.17556
0.000200000 2.14129
0.000209375 2.09281
0.000218750 2.04747
0.000228125 2.00496
0.000237500 1.96499
0.000246875 1.92732
0.000256250 1.89173
0.000265625 1.85805
0.000275000 1.82610
0.000284375 1.79575
0.000293750 1.76686
0.000303125 1.73932
0.000312500 1.71304
0.000321875 1.68790
0.000331250 1.66385
0.000340625 1.64079
0.000350000 1.61867
0.000359375 1.59741
0.000368750 1.57698
0.000378125 1.55731
0.000387500 1.53835
0.000396875 1.52007
0.000406250 1.50243
0.000425000 1.46892
0.000443750 1.43755
0.000462500 1.40811
0.000481250 1.38040
0.000500000 1.35427
0.000515625 1.33360
0.000531250 1.31384
0.000546875 1.29493
0.000562500 1.27682
0.000578125 1.25945
0.000593750 1.24277
0.000609375 1.22673
0.000625000 1.21130
0.000640625 1.19644
0.000656250 1.18211
0.000671875 1.16828
0.000687500 1.15493
0.000718750 1.12954
0.000750000 1.10576
0.000781250 1.08342
0.000812500 1.06238
0.000843750 1.04252
0.000875000 1.02373
0.000906250 1.00593
0.000937500 0.989021
0.000968750 0.972939
0.00100000 0.957616
0.00103125 0.942995
0.00106250 0.929024
0.00109375 0.915656
0.00112500 0.902849
0.00115625 0.890564
0.00118750 0.878768
0.00121875 0.867429
0.00125000 0.856517
0.00128125 0.846007
0.00131250 0.835875
0.00134375 0.826099
0.00137500 0.816657
0.00143750 0.798706
0.00150000 0.781890
0.00156250 0.766092
0.00162500 0.751215
0.00168750 0.737172
0.00175000 0.723889
0.00181250 0.711299
0.00187500 0.699343
0.00193750 0.687971
0.00200000 0.677136
0.00209375 0.661803
0.00218750 0.647466
0.00228125 0.634022
0.00237500 0.621382
0.00246875 0.609470
0.00256250 0.598217
0.00265625 0.587565
0.00275000 0.577463
0.00284375 0.567865
0.00293750 0.558729
0.00303125 0.550021
0.00312500 0.541708
0.00321875 0.533761
0.00331250 0.526153
0.00340625 0.518862
0.00350000 0.511866
0.00359375 0.505145
0.00368750 0.498683
0.00378125 0.492462
0.00387500 0.486468
0.00396875 0.480688
0.00406250 0.475109
0.00425000 0.464511
0.00443750 0.454591
0.00462500 0.445281
0.00481250 0.436520
0.00500000 0.428257
0.00515625 0.421719
0.00531250 0.415471
0.00546875 0.409492
0.00562500 0.403765
0.00578125 0.398271
0.00593750 0.392996
0.00609375 0.387925
0.00625000 0.383045
0.00640625 0.378345
0.00656250 0.373813
0.00671875 0.369441
0.00687500 0.365219
0.00718750 0.357191
0.00750000 0.349670
0.00781250 0.342606
0.00812500 0.335952
0.00843750 0.329672
0.00875000 0.323732
0.00906250 0.318101
0.00937500 0.312755
0.00968750 0.307669
0.0100000 0.302823
0.0103125 0.298200
0.0106250 0.293782
0.0109375 0.289555
0.0112500 0.285505
0.0115625 0.281620
0.0118750 0.277890
0.0121875 0.274304
0.0125000 0.270853
0.0128125 0.267530
0.0131250 0.264326
0.0134375 0.261234
0.0137500 0.258249
0.0143750 0.252572
0.0150000 0.247254
0.0156250 0.242258
0.0162500 0.237554
0.0168750 0.233113
0.0175000 0.228912
0.0181250 0.224931
0.0187500 0.221150
0.0193750 0.217554
0.0200000 0.214127
0.0206625 0.210667
0.0213250 0.207368
0.0219875 0.204220
0.0226500 0.201211
0.0233125 0.198332
0.0239750 0.195572
0.0246375 0.192925
0.0253000 0.190382
0.0264578 0.186170
0.0276156 0.182226
0.0287734 0.178522
0.0299313 0.175036
0.0310891 0.171746
0.0322469 0.168635
0.0334047 0.165687
0.0345625 0.162888
0.0355274 0.160661
0.0364922 0.158523
0.0374570 0.156468
0.0384219 0.154491
0.0393867 0.152587
0.0403516 0.150751
0.0413164 0.148981
0.0422813 0.147271
0.0442109 0.144021
0.0461406 0.140977
0.0480703 0.138118
0.0500000 0.135426
0.0515625 0.133358
0.0531250 0.131382
0.0546875 0.129492
0.0562500 0.127681
0.0578125 0.125943
0.0593750 0.124275
0.0609375 0.122672
0.0625000 0.121129
0.0640625 0.119643
0.0656250 0.118210
0.0671875 0.116828
0.0687500 0.115493
0.0718750 0.112955
0.0750000 0.110576
0.0781250 0.108343
0.0812500 0.106239
0.0843750 0.104252
0.0875000 0.102374
0.0906250 0.100593
0.0937500 0.0989017
0.0968750 0.0972931
0.100000 0.0957605
0.103125 0.0942981
0.106250 0.0929008
0.109375 0.0915639
0.112500 0.0902832
0.115625 0.0890548
0.118750 0.0878753
0.121875 0.0867415
0.125000 0.0856506
0.128125 0.0845999
0.131250 0.0835870
0.134375 0.0826097
0.137500 0.0816658
0.143750 0.0798713
0.150000 0.0781900
0.156250 0.0766104
0.162500 0.0751227
0.168750 0.0737183
0.175000 0.0723899
0.181250 0.0711309
0.187500 0.0699355
0.193750 0.0687984
0.200000 0.0677152
0.209375 0.0661821
0.218750 0.0647485
0.228125 0.0634040
0.237500 0.0621397
0.246875 0.0609481
0.256250 0.0598224
0.265625 0.0587569
0.275000 0.0577464
0.284375 0.0567863
0.293750 0.0558726
0.303125 0.0550015
0.312500 0.0541700
0.321875 0.0533752
0.331250 0.0526143
0.340625 0.0518851
0.350000 0.0511854
0.359375 0.0505134
0.368750 0.0498672
