Sm-144(n,g) ENDFB-8.0
Energy(eV) XS(b)
0.000515625 11.4243
0.000531250 11.2550
0.000546875 11.0931
0.000562500 10.9379
0.000578125 10.7891
0.000593750 10.6462
0.000609375 10.5088
0.000625000 10.3766
0.000640625 10.2493
0.000656250 10.1265
0.000671875 10.0081
0.000687500 9.89368
0.000718750 9.67620
0.000750000 9.47247
0.000781250 9.28108
0.000812500 9.10085
0.000843750 8.93072
0.000875000 8.76979
0.000906250 8.61726
0.000937500 8.47241
0.000968750 8.33464
0.00100000 8.20337
0.00103125 8.07812
0.00106250 7.95844
0.00109375 7.84392
0.00112500 7.73421
0.00115625 7.62897
0.00118750 7.52792
0.00121875 7.43078
0.00125000 7.33730
0.00128125 7.24727
0.00131250 7.16047
0.00134375 7.07671
0.00137500 6.99583
0.00143750 6.84205
0.00150000 6.69799
0.00156250 6.56266
0.00162500 6.43521
0.00168750 6.31490
0.00175000 6.20111
0.00181250 6.09325
0.00187500 5.99082
0.00193750 5.89340
0.00200000 5.80057
0.00209375 5.66921
0.00218750 5.54638
0.00228125 5.43121
0.00237500 5.32292
0.00246875 5.22086
0.00256250 5.12446
0.00265625 5.03320
0.00275000 4.94665
0.00284375 4.86442
0.00293750 4.78615
0.00303125 4.71155
0.00312500 4.64033
0.00321875 4.57224
0.00331250 4.50706
0.00340625 4.44460
0.00350000 4.38466
0.00359375 4.32708
0.00368750 4.27171
0.00378125 4.21842
0.00387500 4.16707
0.00396875 4.11755
0.00406250 4.06975
0.00425000 3.97895
0.00443750 3.89397
0.00462500 3.81420
0.00481250 3.73915
0.00500000 3.66835
0.00515625 3.61234
0.00531250 3.55881
0.00546875 3.50759
0.00562500 3.45852
0.00578125 3.41145
0.00593750 3.36626
0.00609375 3.32281
0.00625000 3.28100
0.00640625 3.24074
0.00656250 3.20192
0.00671875 3.16446
0.00687500 3.12828
0.00718750 3.05951
0.00750000 2.99507
0.00781250 2.93454
0.00812500 2.87753
0.00843750 2.82372
0.00875000 2.77282
0.00906250 2.72457
0.00937500 2.67876
0.00968750 2.63518
0.0100000 2.59365
0.0103125 2.55404
0.0106250 2.51618
0.0109375 2.47996
0.0112500 2.44525
0.0115625 2.41197
0.0118750 2.38001
0.0121875 2.34929
0.0125000 2.31973
0.0128125 2.29125
0.0131250 2.26380
0.0134375 2.23732
0.0137500 2.21174
0.0143750 2.16310
0.0150000 2.11754
0.0156250 2.07473
0.0162500 2.03442
0.0168750 1.99636
0.0175000 1.96036
0.0181250 1.92624
0.0187500 1.89383
0.0193750 1.86301
0.0200000 1.83364
0.0206625 1.80397
0.0213250 1.77570
0.0219875 1.74872
0.0226500 1.72293
0.0233125 1.69825
0.0239750 1.67460
0.0246375 1.65191
0.0253000 1.63011
0.0264578 1.59401
0.0276156 1.56020
0.0287734 1.52846
0.0299313 1.49858
0.0310891 1.47039
0.0322469 1.44373
0.0334047 1.41847
0.0345625 1.39448
0.0355274 1.37540
0.0364922 1.35707
0.0374570 1.33946
0.0384219 1.32250
0.0393867 1.30618
0.0403516 1.29044
0.0413164 1.27526
0.0422813 1.26059
0.0442109 1.23272
0.0461406 1.20662
0.0480703 1.18210
0.0500000 1.15901
0.0515625 1.14128
0.0531250 1.12433
0.0546875 1.10812
0.0562500 1.09258
0.0578125 1.07768
0.0593750 1.06338
0.0609375 1.04962
0.0625000 1.03639
0.0640625 1.02365
0.0656250 1.01136
0.0671875 0.999512
0.0687500 0.988068
0.0718750 0.966305
0.0750000 0.945909
0.0781250 0.926740
0.0812500 0.908684
0.0843750 0.891638
0.0875000 0.875513
0.0906250 0.860229
0.0937500 0.845715
0.0968750 0.831909
0.100000 0.818754
0.103125 0.806201
0.106250 0.794206
0.109375 0.782729
0.112500 0.771732
0.115625 0.761184
0.118750 0.751054
0.121875 0.741317
0.125000 0.731948
0.128125 0.722925
0.131250 0.714229
0.134375 0.705840
0.137500 0.697741
0.143750 0.682336
0.150000 0.667893
0.156250 0.654316
0.162500 0.641527
0.168750 0.629455
0.175000 0.618034
0.181250 0.607208
0.187500 0.596930
0.193750 0.587156
0.200000 0.577848
0.209375 0.564671
0.218750 0.552338
0.228125 0.540767
0.237500 0.529886
0.246875 0.519629
0.256250 0.509939
0.265625 0.500766
0.275000 0.492064
0.284375 0.483796
0.293750 0.475925
0.303125 0.468420
0.312500 0.461255
0.321875 0.454405
0.331250 0.447846
0.340625 0.441559
0.350000 0.435525
0.359375 0.429728
0.368750 0.424152
0.378125 0.418785
0.387500 0.413614
0.396875 0.408631
0.406250 0.403826
0.425000 0.394689
0.443750 0.386119
0.462500 0.378071
0.500000 0.363376
0.531250 0.352333
0.562500 0.342192
0.593750 0.332859
0.625000 0.324230
0.687500 0.308761
0.750000 0.295255
0.812500 0.283327
0.875000 0.272716
0.937500 0.263173
1.00000 0.254504
1.06250 0.246604
1.12500 0.239364
1.18750 0.232698
1.25000 0.226531
1.37500 0.215469
1.50000 0.205800
1.62500 0.197253
1.75000 0.189638
1.87500 0.182784
2.00000 0.176551
2.18750 0.168208
2.37500 0.160858
2.56250 0.154312
2.75000 0.148441
2.93750 0.143127
3.12500 0.138278
3.31250 0.133835
3.50000 0.129744
3.68750 0.125960
3.87500 0.122446
4.25000 0.116107
4.62500 0.110531
5.00000 0.105577
5.31250 0.101843
5.62500 0.0984090
5.93750 0.0952399
6.25000 0.0923028
6.56250 0.0895699
6.87500 0.0870184
7.50000 0.0823841
8.12500 0.0782747
8.75000 0.0745998
9.37500 0.0712847
10.0000 0.0682705
10.6250 0.0655165
11.2500 0.0629872
11.8750 0.0606534
12.5000 0.0584911
13.1250 0.0564804
13.7500 0.0546044
14.3750 0.0528488
15.0000 0.0512015
16.2500 0.0481907
17.5000 0.0455048
18.7500 0.0430893
20.0000 0.0409007
20.9375 0.0393895
21.8750 0.0379780
22.8125 0.0366554
23.7500 0.0354134
25.6250 0.0331420
27.5000 0.0311160
29.3750 0.0292959
31.2500 0.0276504
33.1250 0.0261562
35.0000 0.0247933
36.8750 0.0235453
38.7500 0.0223984
40.6250 0.0213410
42.5000 0.0203632
44.3750 0.0194567
46.2500 0.0186142
48.1250 0.0178293
50.0000 0.0170970
53.1250 0.0159795
56.2500 0.0149745
59.3750 0.0140670
62.5000 0.0132444
65.6250 0.0124960
68.7500 0.0118128
71.8750 0.0111873
75.0000 0.0106129
78.1250 0.0100841
81.2500 0.00959610
84.3750 0.00914475
87.5000 0.00872639
90.6250 0.00833785
93.7500 0.00797633
96.8750 0.00763934
100.000 0.00732471
103.125 0.00703049
106.250 0.00675493
109.375 0.00649648
112.500 0.00625377
115.625 0.00602552
118.750 0.00581061
121.875 0.00560803
125.000 0.00541698
131.250 0.00506567
137.500 0.00475069
143.750 0.00446735
150.000 0.00421158
156.250 0.00397992
162.500 0.00376948
168.750 0.00357775
175.000 0.00340262
181.250 0.00324223
187.500 0.00309500
193.750 0.00295955
200.000 0.00283470
209.375 0.00266496
218.750 0.00251358
228.125 0.00237808
237.500 0.00225636
246.875 0.00214665
256.250 0.00204747
265.625 0.00195753
275.000 0.00187577
284.375 0.00180124
293.750 0.00173316
303.125 0.00167083
312.500 0.00161365
321.875 0.00156110
331.250 0.00151271
350.000 0.00142688
368.750 0.00135351
387.500 0.00129048
406.250 0.00123611
425.000 0.00118910
443.750 0.00114838
462.500 0.00111310
481.250 0.00108255
500.000 0.00105617
517.688 0.00103479
535.377 0.00101639
570.753 0.000987626
588.442 0.000977032
606.130 0.000969809
623.819 0.000963775
641.507 0.000961560
664.109 0.000966712
675.410 0.000973076
686.710 0.000985832
698.011 0.00100939
709.312 0.00105685
714.963 0.00110013
720.613 0.00116085
726.264 0.00127794
729.089 0.00137185
731.914 0.00150037
734.862 0.00172040
736.336 0.00188166
737.810 0.00209201
738.854 0.00228867
739.898 0.00254427
740.942 0.00287997
741.987 0.00333312
743.031 0.00396401
743.553 0.00437144
744.075 0.00486638
744.597 0.00548424
745.119 0.00626530
745.641 0.00726925
746.163 0.00858931
746.562 0.00990185
746.961 0.0115834
747.361 0.0137860
747.760 0.0167642
747.959 0.0186724
748.159 0.0209634
748.359 0.0237504
748.558 0.0271943
748.758 0.0315397
748.957 0.0371891
749.157 0.0449357
749.257 0.0501094
749.357 0.0567125
749.426 0.0625261
749.495 0.0698167
749.564 0.0791884
749.633 0.0915095
749.702 0.108012
749.771 0.130417
749.806 0.144563
749.840 0.161085
749.875 0.180504
749.909 0.203193
749.944 0.229839
749.979 0.260916
750.013 0.297316
750.048 0.339619
750.082 0.388954
