Te-122(n,g) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 164.485
1.03125E-05 161.974
1.06250E-05 159.574
1.09375E-05 157.278
1.12500E-05 155.078
1.15625E-05 152.968
1.18750E-05 150.942
1.21875E-05 148.995
1.25000E-05 147.120
1.28125E-05 145.315
1.31250E-05 143.575
1.34375E-05 141.895
1.37500E-05 140.274
1.43750E-05 137.190
1.50000E-05 134.302
1.56250E-05 131.588
1.62500E-05 129.033
1.68750E-05 126.621
1.75000E-05 124.339
1.81250E-05 122.177
1.87500E-05 120.123
1.93750E-05 118.170
2.00000E-05 116.309
2.09375E-05 113.675
2.18750E-05 111.213
2.28125E-05 108.903
2.37500E-05 106.732
2.46875E-05 104.686
2.56250E-05 102.753
2.65625E-05 100.924
2.75000E-05 99.1885
2.84375E-05 97.5398
2.93750E-05 95.9707
3.03125E-05 94.4750
3.12500E-05 93.0471
3.21875E-05 91.6820
3.31250E-05 90.3753
3.40625E-05 89.1229
3.50000E-05 87.9212
3.59375E-05 86.7668
3.68750E-05 85.6568
3.78125E-05 84.5882
3.87500E-05 83.5587
3.96875E-05 82.5659
4.06250E-05 81.6077
4.25000E-05 79.7872
4.43750E-05 78.0834
4.62500E-05 76.4842
4.81250E-05 74.9795
5.00000E-05 73.5602
5.15625E-05 72.4371
5.31250E-05 71.3639
5.46875E-05 70.3370
5.62500E-05 69.3532
5.78125E-05 68.4096
5.93750E-05 67.5035
6.09375E-05 66.6324
6.25000E-05 65.7942
6.40625E-05 64.9869
6.56250E-05 64.2086
6.71875E-05 63.4576
6.87500E-05 62.7324
7.18750E-05 61.3535
7.50000E-05 60.0617
7.81250E-05 58.8482
8.12500E-05 57.7054
8.43750E-05 56.6267
8.75000E-05 55.6063
9.06250E-05 54.6392
9.37500E-05 53.7208
9.68750E-05 52.8473
0.000100000 52.0150
0.000103125 51.2208
0.000106250 50.4619
0.000109375 49.7358
0.000112500 49.0402
0.000115625 48.3729
0.000118750 47.7322
0.000121875 47.1163
0.000125000 46.5236
0.000128125 45.9528
0.000131250 45.4024
0.000134375 44.8714
0.000137500 44.3585
0.000143750 43.3835
0.000150000 42.4701
0.000156250 41.6120
0.000162500 40.8040
0.000168750 40.0412
0.000175000 39.3197
0.000181250 38.6358
0.000187500 37.9864
0.000193750 37.3687
0.000200000 36.7802
0.000209375 35.9474
0.000218750 35.1686
0.000228125 34.4384
0.000237500 33.7519
0.000246875 33.1048
0.000256250 32.4936
0.000265625 31.9150
0.000275000 31.3663
0.000284375 30.8450
0.000293750 30.3488
0.000303125 29.8758
0.000312500 29.4243
0.000321875 28.9926
0.000331250 28.5794
0.000340625 28.1833
0.000350000 27.8033
0.000359375 27.4383
0.000368750 27.0873
0.000378125 26.7494
0.000387500 26.4238
0.000396875 26.1099
0.000406250 25.8068
0.000425000 25.2312
0.000443750 24.6924
0.000462500 24.1867
0.000481250 23.7108
0.000500000 23.2620
0.000515625 22.9069
0.000531250 22.5675
0.000546875 22.2428
0.000562500 21.9317
0.000578125 21.6333
0.000593750 21.3468
0.000609375 21.0713
0.000625000 20.8063
0.000640625 20.5510
0.000656250 20.3049
0.000671875 20.0674
0.000687500 19.8380
0.000718750 19.4020
0.000750000 18.9935
0.000781250 18.6098
0.000812500 18.2484
0.000843750 17.9073
0.000875000 17.5847
0.000906250 17.2788
0.000937500 16.9884
0.000968750 16.7122
0.00100000 16.4490
0.00103125 16.1979
0.00106250 15.9579
0.00109375 15.7283
0.00112500 15.5083
0.00115625 15.2973
0.00118750 15.0947
0.00121875 14.9000
0.00125000 14.7126
0.00128125 14.5320
0.00131250 14.3580
0.00134375 14.1901
0.00137500 14.0279
0.00143750 13.7196
0.00150000 13.4308
0.00156250 13.1594
0.00162500 12.9039
0.00168750 12.6627
0.00175000 12.4346
0.00181250 12.2183
0.00187500 12.0130
0.00193750 11.8176
0.00200000 11.6315
0.00209375 11.3682
0.00218750 11.1219
0.00228125 10.8910
0.00237500 10.6739
0.00246875 10.4693
0.00256250 10.2760
0.00265625 10.0931
0.00275000 9.91957
0.00284375 9.75471
0.00293750 9.59781
0.00303125 9.44824
0.00312500 9.30546
0.00321875 9.16896
0.00331250 9.03830
0.00340625 8.91307
0.00350000 8.79290
0.00359375 8.67748
0.00368750 8.56648
0.00378125 8.45963
0.00387500 8.35669
0.00396875 8.25742
0.00406250 8.16161
0.00425000 7.97958
0.00443750 7.80921
0.00462500 7.64932
0.00481250 7.49886
0.00500000 7.35695
0.00515625 7.24465
0.00531250 7.13735
0.00546875 7.03468
0.00562500 6.93632
0.00578125 6.84197
0.00593750 6.75137
0.00609375 6.66429
0.00625000 6.58048
0.00640625 6.49977
0.00656250 6.42195
0.00671875 6.34687
0.00687500 6.27436
0.00718750 6.13650
0.00750000 6.00734
0.00781250 5.88602
0.00812500 5.77176
0.00843750 5.66391
0.00875000 5.56188
0.00906250 5.46519
0.00937500 5.37336
0.00968750 5.28602
0.0100000 5.20281
0.0103125 5.12341
0.0106250 5.04754
0.0109375 4.97495
0.0112500 4.90540
0.0115625 4.83870
0.0118750 4.77465
0.0121875 4.71309
0.0125000 4.65385
0.0128125 4.59679
0.0131250 4.54178
0.0134375 4.48870
0.0137500 4.43744
0.0143750 4.33999
0.0150000 4.24869
0.0156250 4.16292
0.0162500 4.08215
0.0168750 4.00590
0.0175000 3.93377
0.0181250 3.86541
0.0187500 3.80049
0.0193750 3.73874
0.0200000 3.67991
0.0206625 3.62049
0.0213250 3.56386
0.0219875 3.50981
0.0226500 3.45815
0.0233125 3.40871
0.0239750 3.36134
0.0246375 3.31590
0.0253000 3.27225
0.0264578 3.19994
0.0276156 3.13225
0.0287734 3.06868
0.0299313 3.00885
0.0310891 2.95240
0.0322469 2.89902
0.0334047 2.84845
0.0345625 2.80043
0.0355274 2.76223
0.0364922 2.72554
0.0374570 2.69028
0.0384219 2.65635
0.0393867 2.62367
0.0403516 2.59218
0.0413164 2.56179
0.0422813 2.53245
0.0442109 2.47667
0.0461406 2.42444
0.0480703 2.37538
0.0500000 2.32920
0.0515625 2.29373
0.0531250 2.25983
0.0546875 2.22740
0.0562500 2.19633
0.0578125 2.16653
0.0593750 2.13792
0.0609375 2.11042
0.0625000 2.08397
0.0640625 2.05849
0.0656250 2.03393
0.0671875 2.01024
0.0687500 1.98736
0.0718750 1.94386
0.0750000 1.90310
0.0781250 1.86481
0.0812500 1.82874
0.0843750 1.79469
0.0875000 1.76248
0.0906250 1.73196
0.0937500 1.70298
0.0968750 1.67542
0.100000 1.64916
0.103125 1.62411
0.106250 1.60017
0.109375 1.57727
0.112500 1.55534
0.115625 1.53430
0.118750 1.51410
0.121875 1.49468
0.125000 1.47600
0.128125 1.45801
0.131250 1.44068
0.134375 1.42396
0.137500 1.40782
0.143750 1.37713
0.150000 1.34837
0.156250 1.32133
0.162500 1.29588
0.168750 1.27186
0.175000 1.24914
0.181250 1.22761
0.187500 1.20717
0.193750 1.18775
0.200000 1.16925
0.209375 1.14307
0.218750 1.11859
0.228125 1.09562
0.237500 1.07404
0.246875 1.05370
0.256250 1.03450
0.265625 1.01632
0.275000 0.999088
0.284375 0.982720
0.293750 0.967146
0.303125 0.952305
0.312500 0.938140
0.321875 0.924603
0.331250 0.911648
0.340625 0.899235
0.350000 0.887327
0.359375 0.875891
0.368750 0.864898
0.378125 0.854319
0.387500 0.844134
0.396875 0.834322
0.406250 0.824863
0.425000 0.806889
0.443750 0.790047
0.462500 0.774244
0.500000 0.745425
0.531250 0.723805
0.562500 0.703979
0.593750 0.685757
0.625000 0.668937
0.687500 0.638847
0.750000 0.612653
0.812500 0.589587
0.875000 0.569133
0.937500 0.550792
1.00000 0.534176
1.06250 0.519080
1.12500 0.505287
1.18750 0.492624
1.25000 0.480947
1.37500 0.460092
1.50000 0.441977
1.62500 0.426062
1.75000 0.411974
1.87500 0.399372
2.00000 0.387980
2.18750 0.372851
2.37500 0.359655
2.56250 0.348018
2.75000 0.337687
2.93750 0.328431
3.12500 0.320067
3.31250 0.312485
3.50000 0.305577
3.87500 0.293452
4.25000 0.283156
4.62500 0.274309
5.00000 0.266641
5.31250 0.260995
5.62500 0.255916
6.25000 0.247190
6.87500 0.240010
7.50000 0.234053
8.12500 0.229083
8.75000 0.224937
9.37500 0.221474
10.0000 0.218589
10.6250 0.216209
11.2500 0.214272
12.5000 0.211531
13.4375 0.210346
14.3750 0.209746
15.0000 0.209675
16.2500 0.210220
17.5000 0.211615
18.7500 0.213792
20.0000 0.216707
21.8750 0.222444
23.7500 0.229830
25.6250 0.238933
27.5000 0.249887
28.4375 0.256119
29.3750 0.262893
30.3125 0.270248
31.2500 0.278224
32.1875 0.286870
33.1250 0.296240
34.0625 0.306397
35.0000 0.317410
35.9375 0.329362
36.8750 0.342343
37.8125 0.356460
38.7500 0.371832
39.6875 0.388597
40.6250 0.406917
41.5625 0.426974
42.5000 0.448984
43.4375 0.473195
44.3750 0.499900
45.3125 0.529443
46.2500 0.562232
47.1875 0.598749
48.1250 0.639493
48.5938 0.661652
49.0625 0.685230
49.5313 0.710268
50.0000 0.736941
50.7308 0.781997
51.4616 0.831798
52.1925 0.887091
52.9233 0.948710
53.2887 0.982119
53.6541 1.01765
54.0195 1.05497
54.3849 1.09445
54.7503 1.13675
55.1157 1.18175
55.4812 1.22970
55.8466 1.28085
56.3194 1.35228
56.7923 1.43029
57.2652 1.51571
57.7381 1.60954
58.2110 1.71290
58.6838 1.82717
59.1567 1.95391
59.6296 2.09503
59.9090 2.18610
60.1885 2.28352
60.4679 2.38783
60.7473 2.49932
61.0268 2.61949
61.1665 2.68309
61.3062 2.74912
61.4459 2.81770
61.5856 2.88894
61.7253 2.96298
61.8650 3.04002
61.9564 3.09212
62.0478 3.14562
62.1391 3.20058
62.2305 3.25704
62.3218 3.31506
62.4132 3.37468
62.5045 3.43598
62.5959 3.49903
62.6550 3.54079
62.7141 3.58333
62.7732 3.62666
62.8323 3.67081
62.8914 3.71579
62.9505 3.76164
63.0096 3.80836
63.0687 3.85598
63.1520 3.92467
63.1937 3.95972
63.2353 3.99525
63.2770 4.03128
63.3186 4.06782
63.3603 4.10487
63.3811 4.12358
63.4019 4.14243
63.4342 4.17188
63.4664 4.20165
63.4866 4.22044
63.5067 4.23935
63.5269 4.25838
63.5470 4.27755
63.5873 4.31629
63.6276 4.35558
63.6545 4.38208
63.6814 4.40883
63.7351 4.46309
63.7888 4.51838
63.8426 4.57472
63.8963 4.63216
63.9500 4.69071
64.0038 4.75041
64.0575 4.81128
64.1166 4.87964
64.1757 4.94950
64.2348 5.02091
64.2939 5.09392
64.3531 5.16857
64.4122 5.24491
64.4713 5.32300
64.5304 5.40289
64.5895 5.48465
64.6486 5.56831
64.7077 5.65394
64.7668 5.74161
64.8259 5.83138
64.8851 5.92332
64.9442 6.01750
65.0033 6.11400
65.0624 6.21289
65.1215 6.31425
65.1806 6.41817
65.2397 6.52472
65.2988 6.63402
65.3579 6.74614
65.4170 6.86119
65.4762 6.97928
65.5191 7.06714
65.5621 7.15670
65.6051 7.24803
65.6481 7.34115
65.6911 7.43612
65.7341 7.53298
65.8201 7.73256
65.9060 7.94033
65.9920 8.15673
66.0780 8.38223
66.1640 8.61735
66.2231 8.78493
66.2822 8.95750
66.3413 9.13530
66.4004 9.31854
66.4595 9.50745
66.5186 9.70226
66.5778 9.90322
66.6369 10.1106
66.6960 10.3247
66.7551 10.5457
66.8142 10.7741
66.8733 11.0100
66.9324 11.2540
66.9915 11.5062
67.0506 11.7672
67.1097 12.0373
67.1689 12.3169
67.2280 12.6065
67.2871 12.9067
