Sc-45(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 1557.88
1.03125E-05 1534.13
1.06250E-05 1511.43
1.09375E-05 1489.71
1.12500E-05 1468.91
1.15625E-05 1448.96
1.18750E-05 1429.79
1.21875E-05 1411.38
1.25000E-05 1393.65
1.28125E-05 1376.58
1.31250E-05 1360.12
1.34375E-05 1344.25
1.37500E-05 1328.91
1.43750E-05 1299.76
1.50000E-05 1272.45
1.56250E-05 1246.79
1.62500E-05 1222.63
1.68750E-05 1199.83
1.75000E-05 1178.26
1.81250E-05 1157.82
1.87500E-05 1138.41
1.93750E-05 1119.95
2.00000E-05 1102.36
2.09375E-05 1077.46
2.18750E-05 1054.19
2.28125E-05 1032.37
2.37500E-05 1011.86
2.46875E-05 992.522
2.56250E-05 974.260
2.65625E-05 956.976
2.75000E-05 940.583
2.84375E-05 925.010
2.93750E-05 910.188
3.03125E-05 896.061
3.12500E-05 882.575
3.21875E-05 869.684
3.31250E-05 857.345
3.40625E-05 845.519
3.50000E-05 834.172
3.59375E-05 823.273
3.68750E-05 812.794
3.78125E-05 802.706
3.87500E-05 792.988
3.96875E-05 783.617
4.06250E-05 774.573
4.25000E-05 757.392
4.43750E-05 741.314
4.62500E-05 726.226
4.81250E-05 712.031
5.00000E-05 698.643
5.15625E-05 688.050
5.31250E-05 677.929
5.46875E-05 668.246
5.62500E-05 658.970
5.78125E-05 650.074
5.93750E-05 641.532
6.09375E-05 633.322
6.25000E-05 625.422
6.40625E-05 617.814
6.56250E-05 610.480
6.71875E-05 603.404
6.87500E-05 596.572
7.18750E-05 583.583
7.50000E-05 571.418
7.81250E-05 559.992
8.12500E-05 549.234
8.43750E-05 539.082
8.75000E-05 529.480
9.06250E-05 520.382
9.37500E-05 511.743
9.68750E-05 503.528
0.000100000 495.703
0.000103125 488.237
0.000106250 481.105
0.000109375 474.282
0.000112500 467.747
0.000115625 461.479
0.000118750 455.462
0.000121875 449.679
0.000125000 444.116
0.000128125 438.758
0.000131250 433.593
0.000134375 428.611
0.000137500 423.801
0.000143750 414.658
0.000150000 406.095
0.000156250 398.055
0.000162500 390.486
0.000168750 383.344
0.000175000 376.591
0.000181250 370.193
0.000187500 364.119
0.000193750 358.344
0.000200000 352.844
0.000209375 345.063
0.000218750 337.793
0.000228125 330.979
0.000237500 324.575
0.000246875 318.544
0.000256250 312.849
0.000265625 307.462
0.000275000 302.355
0.000284375 297.505
0.000293750 292.891
0.000303125 288.495
0.000312500 284.301
0.000321875 280.294
0.000331250 276.459
0.000340625 272.786
0.000350000 269.263
0.000359375 265.881
0.000368750 262.629
0.000378125 259.501
0.000387500 256.489
0.000396875 253.585
0.000406250 250.784
0.000425000 245.465
0.000443750 240.492
0.000462500 235.828
0.000481250 231.444
0.000500000 227.312
0.000515625 224.044
0.000531250 220.924
0.000546875 217.941
0.000562500 215.085
0.000578125 212.347
0.000593750 209.720
0.000609375 207.196
0.000625000 204.768
0.000640625 202.432
0.000656250 200.181
0.000671875 198.010
0.000687500 195.915
0.000718750 191.935
0.000750000 188.211
0.000781250 184.716
0.000812500 181.429
0.000843750 178.329
0.000875000 175.400
0.000906250 172.627
0.000937500 169.995
0.000968750 167.495
0.00100000 165.115
0.00103125 162.846
0.00106250 160.680
0.00109375 158.609
0.00112500 156.627
0.00115625 154.727
0.00118750 152.905
0.00121875 151.154
0.00125000 149.470
0.00128125 147.850
0.00131250 146.289
0.00134375 144.784
0.00137500 143.331
0.00143750 140.573
0.00150000 137.992
0.00156250 135.570
0.00162500 133.292
0.00168750 131.145
0.00175000 129.115
0.00181250 127.194
0.00187500 125.372
0.00193750 123.640
0.00200000 121.991
0.00209375 119.661
0.00218750 117.484
0.00228125 115.446
0.00237500 113.532
0.00246875 111.730
0.00256250 110.030
0.00265625 108.422
0.00275000 106.898
0.00284375 105.452
0.00293750 104.076
0.00303125 102.766
0.00312500 101.517
0.00321875 100.323
0.00331250 99.1811
0.00340625 98.0874
0.00350000 97.0387
0.00359375 96.0320
0.00368750 95.0645
0.00378125 94.1337
0.00387500 93.2374
0.00396875 92.3736
0.00406250 91.5403
0.00425000 89.9583
0.00443750 88.4792
0.00462500 87.0922
0.00481250 85.7881
0.00500000 84.5591
0.00515625 83.5873
0.00531250 82.6592
0.00546875 81.7716
0.00562500 80.9218
0.00578125 80.1071
0.00593750 79.3252
0.00609375 78.5739
0.00625000 77.8513
0.00640625 77.1556
0.00656250 76.4853
0.00671875 75.8387
0.00687500 75.2145
0.00718750 74.0285
0.00750000 72.9182
0.00781250 71.8759
0.00812500 70.8950
0.00843750 69.9697
0.00875000 69.0949
0.00906250 68.2662
0.00937500 67.4797
0.00968750 66.7319
0.0100000 66.0199
0.0103125 65.3407
0.0106250 64.6920
0.0109375 64.0716
0.0112500 63.4774
0.0115625 62.9077
0.0118750 62.3609
0.0121875 61.8354
