Gd-155(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 4406.85
1.03125E-05 4339.58
1.06250E-05 4275.30
1.09375E-05 4213.80
1.12500E-05 4154.87
1.15625E-05 4098.36
1.18750E-05 4044.08
1.21875E-05 3991.91
1.25000E-05 3941.71
1.28125E-05 3893.36
1.31250E-05 3846.74
1.34375E-05 3801.76
1.37500E-05 3758.33
1.43750E-05 3675.74
1.50000E-05 3598.37
1.56250E-05 3525.69
1.62500E-05 3457.25
1.68750E-05 3392.65
1.75000E-05 3331.54
1.81250E-05 3273.61
1.87500E-05 3218.61
1.93750E-05 3166.29
2.00000E-05 3116.45
2.09375E-05 3045.91
2.18750E-05 2979.96
2.28125E-05 2918.11
2.37500E-05 2859.97
2.46875E-05 2805.17
2.56250E-05 2753.40
2.65625E-05 2704.40
2.75000E-05 2657.93
2.84375E-05 2613.78
2.93750E-05 2571.76
3.03125E-05 2531.70
3.12500E-05 2493.46
3.21875E-05 2456.90
3.31250E-05 2421.91
3.40625E-05 2388.37
3.50000E-05 2356.19
3.59375E-05 2325.28
3.68750E-05 2295.55
3.78125E-05 2266.94
3.87500E-05 2239.37
3.96875E-05 2212.78
4.06250E-05 2187.13
4.25000E-05 2138.38
4.43750E-05 2092.75
4.62500E-05 2049.93
4.81250E-05 2009.64
5.00000E-05 1971.64
5.15625E-05 1941.57
5.31250E-05 1912.83
5.46875E-05 1885.34
5.62500E-05 1859.00
5.78125E-05 1833.74
5.93750E-05 1809.48
6.09375E-05 1786.16
6.25000E-05 1763.72
6.40625E-05 1742.10
6.56250E-05 1721.27
6.71875E-05 1701.16
6.87500E-05 1681.74
7.18750E-05 1644.83
7.50000E-05 1610.25
7.81250E-05 1577.76
8.12500E-05 1547.17
8.43750E-05 1518.30
8.75000E-05 1490.99
9.06250E-05 1465.10
9.37500E-05 1440.52
9.68750E-05 1417.14
0.000100000 1394.86
0.000103125 1373.61
0.000106250 1353.30
0.000109375 1333.87
0.000112500 1315.25
0.000115625 1297.39
0.000118750 1280.25
0.000121875 1263.76
0.000125000 1247.90
0.000128125 1232.63
0.000131250 1217.90
0.000134375 1203.69
0.000137500 1189.97
0.000143750 1163.88
0.000150000 1139.44
0.000156250 1116.49
0.000162500 1094.87
0.000168750 1074.46
0.000175000 1055.16
0.000181250 1036.87
0.000187500 1019.50
0.000193750 1002.97
0.000200000 987.231
0.000209375 964.955
0.000218750 944.127
0.000228125 924.599
0.000237500 906.238
0.000246875 888.935
0.000256250 872.591
0.000265625 857.121
0.000275000 842.449
0.000284375 828.509
0.000293750 815.243
0.000303125 802.597
0.000312500 790.525
0.000321875 778.985
0.000331250 767.939
0.000340625 757.352
0.000350000 747.194
0.000359375 737.437
0.000368750 728.054
0.000378125 719.022
0.000387500 710.321
0.000396875 701.929
0.000406250 693.831
0.000425000 678.445
0.000443750 664.046
0.000462500 650.533
0.000481250 637.817
0.000500000 625.824
0.000515625 616.334
0.000531250 607.266
0.000546875 598.590
0.000562500 590.278
0.000578125 582.306
0.000593750 574.650
0.000609375 567.291
0.000625000 560.210
0.000640625 553.390
0.000656250 546.815
0.000671875 540.471
0.000687500 534.344
0.000718750 522.696
0.000750000 511.784
0.000781250 501.534
0.000812500 491.881
0.000843750 482.770
0.000875000 474.151
0.000906250 465.982
0.000937500 458.226
0.000968750 450.848
0.00100000 443.818
0.00103125 437.111
0.00106250 430.701
0.00109375 424.569
0.00112500 418.693
0.00115625 413.058
0.00118750 407.647
0.00121875 402.445
0.00125000 397.439
0.00128125 392.618
0.00131250 387.969
0.00134375 383.484
0.00137500 379.153
0.00143750 370.918
0.00150000 363.203
0.00156250 355.955
0.00162500 349.130
0.00168750 342.687
0.00175000 336.592
0.00181250 330.815
0.00187500 325.330
0.00193750 320.112
0.00200000 315.140
0.00209375 308.103
0.00218750 301.524
0.00228125 295.354
0.00237500 289.553
0.00246875 284.085
0.00256250 278.920
0.00265625 274.030
0.00275000 269.393
0.00284375 264.986
0.00293750 260.792
0.00303125 256.794
0.00312500 252.976
0.00321875 249.327
0.00331250 245.833
0.00340625 242.485
0.00350000 239.272
0.00359375 236.185
0.00368750 233.216
0.00378125 230.358
0.00387500 227.605
0.00396875 224.949
0.00406250 222.386
0.00425000 217.516
0.00443750 212.957
0.00462500 208.677
0.00481250 204.650
0.00500000 200.851
0.00515625 197.844
0.00531250 194.971
0.00546875 192.221
0.00562500 189.587
0.00578125 187.059
0.00593750 184.632
0.00609375 182.298
0.00625000 180.053
0.00640625 177.889
0.00656250 175.804
0.00671875 173.791
0.00687500 171.847
0.00718750 168.150
0.00750000 164.685
0.00781250 161.430
0.00812500 158.363
0.00843750 155.468
0.00875000 152.728
0.00906250 150.131
0.00937500 147.664
0.00968750 145.317
0.0100000 143.080
0.0103125 140.945
0.0106250 138.904
0.0109375 136.951
0.0112500 135.080
0.0115625 133.285
0.0118750 131.560
0.0121875 129.902
0.0125000 128.306
0.0128125 126.769
0.0131250 125.286
0.0134375 123.856
0.0137500 122.473
0.0143750 119.844
0.0150000 117.380
0.0156250 115.064
0.0162500 112.881
0.0168750 110.820
0.0175000 108.869
0.0181250 107.019
0.0187500 105.261
0.0193750 103.588
0.0200000 101.994
0.0206625 100.382
0.0213250 98.8453
0.0219875 97.3779
0.0226500 95.9746
0.0233125 94.6308
0.0239750 93.3425
0.0246375 92.1059
0.0253000 90.9176
0.0263613 89.1068
0.0274227 87.4009
0.0284840 85.7898
0.0295453 84.2652
0.0306067 82.8196
0.0316680 81.4462
0.0327293 80.1393
0.0337906 78.8935
0.0348037 77.7570
0.0358168 76.6681
0.0368299 75.6236
0.0378430 74.6204
0.0388561 73.6558
0.0398692 72.7274
0.0408822 71.8330
0.0418953 70.9705
0.0429084 70.1381
0.0439215 69.3340
0.0449346 68.5566
0.0459477 67.8046
0.0479738 66.3711
