Mo-97(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 149.977
1.03125E-05 147.702
1.06250E-05 145.528
1.09375E-05 143.449
1.12500E-05 141.456
1.15625E-05 139.546
1.18750E-05 137.711
1.21875E-05 135.947
1.25000E-05 134.251
1.28125E-05 132.617
1.31250E-05 131.041
1.34375E-05 129.521
1.37500E-05 128.054
1.43750E-05 125.264
1.50000E-05 122.651
1.56250E-05 120.197
1.62500E-05 117.886
1.68750E-05 115.705
1.75000E-05 113.643
1.81250E-05 111.688
1.87500E-05 109.833
1.93750E-05 108.068
2.00000E-05 106.387
2.09375E-05 104.009
2.18750E-05 101.786
2.28125E-05 99.7017
2.37500E-05 97.7429
2.46875E-05 95.8973
2.56250E-05 94.1545
2.65625E-05 92.5052
2.75000E-05 90.9415
2.84375E-05 89.4561
2.93750E-05 88.0429
3.03125E-05 86.6961
3.12500E-05 85.4108
3.21875E-05 84.1823
3.31250E-05 83.0068
3.40625E-05 81.8804
3.50000E-05 80.7999
3.59375E-05 79.7623
3.68750E-05 78.7647
3.78125E-05 77.8048
3.87500E-05 76.8802
3.96875E-05 75.9888
4.06250E-05 75.1286
4.25000E-05 73.4952
4.43750E-05 71.9673
4.62500E-05 70.5341
4.81250E-05 69.1862
5.00000E-05 67.9156
5.15625E-05 66.9106
5.31250E-05 65.9508
5.46875E-05 65.0328
5.62500E-05 64.1537
5.78125E-05 63.3109
5.93750E-05 62.5019
6.09375E-05 61.7246
6.25000E-05 60.9770
6.40625E-05 60.2572
6.56250E-05 59.5636
6.71875E-05 58.8946
6.87500E-05 58.2489
7.18750E-05 57.0219
7.50000E-05 55.8735
7.81250E-05 54.7957
8.12500E-05 53.7815
8.43750E-05 52.8250
8.75000E-05 51.9210
9.06250E-05 51.0650
9.37500E-05 50.2527
9.68750E-05 49.4808
0.000100000 48.7459
0.000103125 48.0453
0.000106250 47.3764
0.000109375 46.7369
0.000112500 46.1247
0.000115625 45.5380
0.000118750 44.9751
0.000121875 44.4344
0.000125000 43.9145
0.000128125 43.4142
0.000131250 42.9322
0.000134375 42.4675
0.000137500 42.0190
0.000143750 41.1675
0.000150000 40.3709
0.000156250 39.6238
0.000162500 38.9212
0.000168750 38.2591
0.000175000 37.6336
0.000181250 37.0417
0.000187500 36.4804
0.000193750 35.9472
0.000200000 35.4400
0.000209375 34.7234
0.000218750 34.0547
0.000228125 33.4290
0.000237500 32.8418
0.000246875 32.2895
0.000256250 31.7688
0.000265625 31.2769
0.000275000 30.8111
0.000284375 30.3695
0.000293750 29.9498
0.000303125 29.5505
0.000312500 29.1700
0.000321875 28.8068
0.000331250 28.4598
0.000340625 28.1277
0.000350000 27.8096
0.000359375 27.5045
0.000368750 27.2116
0.000378125 26.9300
0.000387500 26.6592
0.000396875 26.3984
0.000406250 26.1471
0.000425000 25.6706
0.000443750 25.2259
0.000462500 24.8097
0.000481250 24.4191
0.000500000 24.0516
0.000515625 23.7615
0.000531250 23.4848
0.000546875 23.2206
0.000562500 22.9680
0.000578125 22.7261
0.000593750 22.4943
0.000609375 22.2718
0.000625000 22.0581
0.000640625 21.8527
0.000656250 21.6549
0.000671875 21.4644
0.000687500 21.2807
0.000718750 20.9323
0.000750000 20.6069
0.000781250 20.3021
0.000812500 20.0158
0.000843750 19.7462
0.000875000 19.4919
0.000906250 19.2515
0.000937500 19.0236
0.000968750 18.8074
0.00100000 18.6019
0.00103125 18.4061
0.00106250 18.2194
0.00109375 18.0412
0.00112500 17.8707
0.00115625 17.7074
0.00118750 17.5510
0.00121875 17.4008
0.00125000 17.2565
0.00128125 17.1177
0.00131250 16.9842
0.00134375 16.8555
0.00137500 16.7314
0.00143750 16.4959
0.00150000 16.2758
0.00156250 16.0696
0.00162500 15.8758
0.00168750 15.6933
0.00175000 15.5210
0.00181250 15.3581
0.00187500 15.2036
0.00193750 15.0569
0.00200000 14.9174
0.00209375 14.7203
0.00218750 14.5365
0.00228125 14.3645
0.00237500 14.2031
0.00246875 14.0512
0.00256250 13.9081
0.00265625 13.7728
0.00275000 13.6446
0.00284375 13.5231
0.00293750 13.4076
0.00303125 13.2976
0.00312500 13.1928
0.00321875 13.0927
