Dy-162(n,g) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 2785.84
1.03125E-05 2743.31
1.06250E-05 2702.66
1.09375E-05 2663.78
1.12500E-05 2626.52
1.15625E-05 2590.78
1.18750E-05 2556.47
1.21875E-05 2523.48
1.25000E-05 2491.74
1.28125E-05 2461.16
1.31250E-05 2431.69
1.34375E-05 2403.24
1.37500E-05 2375.78
1.43750E-05 2323.56
1.50000E-05 2274.64
1.56250E-05 2228.68
1.62500E-05 2185.40
1.68750E-05 2144.55
1.75000E-05 2105.91
1.81250E-05 2069.28
1.87500E-05 2034.50
1.93750E-05 2001.42
2.00000E-05 1969.90
2.09375E-05 1925.29
2.18750E-05 1883.58
2.28125E-05 1844.47
2.37500E-05 1807.70
2.46875E-05 1773.05
2.56250E-05 1740.31
2.65625E-05 1709.33
2.75000E-05 1679.94
2.84375E-05 1652.02
2.93750E-05 1625.44
3.03125E-05 1600.11
3.12500E-05 1575.92
3.21875E-05 1552.81
3.31250E-05 1530.67
3.40625E-05 1509.46
3.50000E-05 1489.11
3.59375E-05 1469.56
3.68750E-05 1450.76
3.78125E-05 1432.66
3.87500E-05 1415.23
3.96875E-05 1398.41
4.06250E-05 1382.18
4.25000E-05 1351.35
4.43750E-05 1322.49
4.62500E-05 1295.41
4.81250E-05 1269.93
5.00000E-05 1245.89
5.15625E-05 1226.87
5.31250E-05 1208.69
5.46875E-05 1191.30
5.62500E-05 1174.64
5.78125E-05 1158.66
5.93750E-05 1143.31
6.09375E-05 1128.56
6.25000E-05 1114.36
6.40625E-05 1100.69
6.56250E-05 1087.51
6.71875E-05 1074.79
6.87500E-05 1062.50
7.18750E-05 1039.15
7.50000E-05 1017.27
7.81250E-05 996.721
8.12500E-05 977.367
8.43750E-05 959.098
8.75000E-05 941.817
9.06250E-05 925.437
9.37500E-05 909.884
9.68750E-05 895.089
0.000100000 880.994
0.000103125 867.544
0.000106250 854.692
0.000109375 842.394
0.000112500 830.613
0.000115625 819.313
0.000118750 808.461
0.000121875 798.030
0.000125000 787.993
0.000128125 778.325
0.000131250 769.004
0.000134375 760.011
0.000137500 751.326
0.000143750 734.813
0.000150000 719.343
0.000156250 704.811
0.000162500 691.126
0.000168750 678.209
0.000175000 665.989
0.000181250 654.408
0.000187500 643.410
0.000193750 632.949
0.000200000 622.982
0.000209375 608.878
0.000218750 595.690
0.000228125 583.323
0.000237500 571.697
0.000246875 560.739
0.000256250 550.388
0.000265625 540.590
0.000275000 531.298
0.000284375 522.469
0.000293750 514.066
0.000303125 506.056
0.000312500 498.409
0.000321875 491.099
0.000331250 484.102
0.000340625 477.395
0.000350000 470.960
0.000359375 464.778
0.000368750 458.834
0.000378125 453.112
0.000387500 447.599
0.000396875 442.282
0.000406250 437.151
0.000425000 427.403
0.000443750 418.279
0.000462500 409.716
0.000481250 401.658
0.000500000 394.058
0.000515625 388.044
0.000531250 382.298
0.000546875 376.799
0.000562500 371.531
0.000578125 366.479
0.000593750 361.627
0.000609375 356.963
0.000625000 352.475
0.000640625 348.152
0.000656250 343.985
0.000671875 339.964
0.000687500 336.081
0.000718750 328.698
0.000750000 321.781
0.000781250 315.284
0.000812500 309.166
0.000843750 303.391
0.000875000 297.928
0.000906250 292.750
0.000937500 287.833
0.000968750 283.156
0.00100000 278.701
0.00103125 274.449
0.00106250 270.387
0.00109375 266.500
0.00112500 262.776
0.00115625 259.204
0.00118750 255.774
0.00121875 252.477
0.00125000 249.304
0.00128125 246.249
0.00131250 243.303
0.00134375 240.460
0.00137500 237.715
0.00143750 232.496
0.00150000 227.607
0.00156250 223.015
0.00162500 218.690
0.00168750 214.607
0.00175000 210.746
0.00181250 207.086
0.00187500 203.611
0.00193750 200.305
0.00200000 197.155
0.00209375 192.698
0.00218750 188.531
0.00228125 184.624
0.00237500 180.950
0.00246875 177.488
0.00256250 174.218
0.00265625 171.123
0.00275000 168.187
0.00284375 165.398
0.00293750 162.744
0.00303125 160.213
0.00312500 157.798
0.00321875 155.489
0.00331250 153.279
0.00340625 151.161
0.00350000 149.129
0.00359375 147.176
0.00368750 145.299
0.00378125 143.492
0.00387500 141.752
0.00396875 140.073
0.00406250 138.453
0.00425000 135.375
0.00443750 132.494
0.00462500 129.791
0.00481250 127.248
0.00500000 124.849
0.00515625 122.951
0.00531250 121.137
0.00546875 119.402
0.00562500 117.740
0.00578125 116.146
0.00593750 114.615
0.00609375 113.143
0.00625000 111.728
0.00640625 110.364
0.00656250 109.050
0.00671875 107.781
0.00687500 106.557
0.00718750 104.228
0.00750000 102.048
0.00781250 99.9990
0.00812500 98.0700
0.00843750 96.2495
0.00875000 94.5275
0.00906250 92.8956
0.00937500 91.3461
0.00968750 89.8725
0.0100000 88.4686
0.0103125 87.1293
0.0106250 85.8498
0.0109375 84.6256
0.0112500 83.4531
0.0115625 82.3286
0.0118750 81.2490
0.0121875 80.2114
0.0125000 79.2131
0.0128125 78.2517
0.0131250 77.3250
0.0134375 76.4310
0.0137500 75.5677
0.0143750 73.9268
0.0150000 72.3898
0.0156250 70.9463
0.0162500 69.5871
0.0168750 68.3045
0.0175000 67.0914
0.0181250 65.9420
0.0187500 64.8508
0.0193750 63.8132
0.0200000 62.8249
0.0206625 61.8269
0.0213250 60.8761
0.0219875 59.9689
0.0226500 59.1021
0.0233125 58.2728
0.0239750 57.4784
0.0246375 56.7165
0.0253000 55.9849
0.0264578 54.7736
0.0276156 53.6399
0.0287734 52.5761
0.0299313 51.5753
0.0310891 50.6316
0.0322469 49.7398
0.0334047 48.8953
0.0345625 48.0939
0.0355274 47.4565
0.0364922 46.8447
0.0374570 46.2570
0.0384219 45.6917
0.0393867 45.1475
0.0403516 44.6232
0.0422813 43.6296
0.0442109 42.7027
0.0461406 41.8355
0.0480703 41.0219
0.0500000 40.2566
0.0515625 39.6692
0.0531250 39.1085
0.0546875 38.5724
0.0562500 38.0592
0.0578125 37.5675
0.0593750 37.0958
0.0609375 36.6429
0.0625000 36.2075
0.0640625 35.7886
0.0656250 35.3851
0.0687500 34.6207
0.0718750 33.9077
0.0750000 33.2407
0.0781250 32.6151
0.0812500 32.0270
0.0843750 31.4730
0.0875000 30.9500
0.0906250 30.4552
0.0937500 29.9863
0.0968750 29.5412
0.100000 29.1180
0.103125 28.7151
0.106250 28.3308
0.109375 27.9640
0.112500 27.6133
0.115625 27.2776
0.118750 26.9561
0.121875 26.6478
0.125000 26.3519
0.128125 26.0677
0.131250 25.7944
0.137500 25.2778
0.143750 24.7972
0.150000 24.3490
0.156250 23.9300
0.162500 23.5376
0.168750 23.1693
0.175000 22.8229
0.181250 22.4965
0.187500 22.1884
0.193750 21.8974
0.200000 21.6221
0.209375 21.2357
0.218750 20.8776
0.228125 20.5454
0.237500 20.2367
0.246875 19.9491
0.256250 19.6808
0.265625 19.4302
0.275000 19.1958
0.284375 18.9763
0.293750 18.7706
0.303125 18.5776
0.312500 18.3965
0.321875 18.2263
0.331250 18.0665
0.340625 17.9164
0.350000 17.7753
0.359375 17.6428
0.375781 17.4302
0.392188 17.2407
0.408594 17.0713
0.425000 16.9203
0.443750 16.7691
0.462500 16.6390
0.500000 16.4377
0.546875 16.2830
0.593750 16.2243
0.625000 16.2359
0.656250 16.2868
0.687500 16.3767
0.718750 16.5059
0.750000 16.6753
0.781250 16.8865
0.812500 17.1417
0.843750 17.4436
0.875000 17.7960
0.906250 18.2031
0.937500 18.6704
0.968750 19.2043
1.00000 19.8118
1.03554 20.6053
1.07107 21.5254
1.10661 22.5926
1.12437 23.1894
1.14214 23.8334
1.15991 24.5291
1.17768 25.2815
1.19545 26.0962
1.21321 26.9796
1.23098 27.9390
1.24875 28.9824
1.26652 30.1177
1.28428 31.3550
1.30205 32.7095
1.31982 34.1983
1.33759 35.8379
1.35535 37.6471
1.37312 39.6492
1.39089 41.8718
1.40866 44.3482
1.42642 47.1177
1.44338 50.0786
1.46034 53.4002
1.46882 55.2147
1.47730 57.1430
1.48578 59.1949
1.49426 61.3809
1.50274 63.7130
1.51122 66.2042
1.51970 68.8690
1.52818 71.7235
1.53666 74.7859
1.54514 78.0770
1.55362 81.6206
1.56210 85.4442
1.57099 89.7841
1.57987 94.5058
1.58875 99.6552
1.59764 105.284
1.60652 111.455
1.61541 118.238
1.62429 125.717
1.63317 133.987
1.64206 143.166
1.65094 153.389
1.65538 158.943
1.65982 164.821
1.66427 171.050
1.66871 177.656
1.67315 184.672
1.67759 192.131
1.68203 200.070
1.68648 208.531
1.69092 217.558
1.69536 227.204
1.69980 237.523
1.70424 248.576
1.71030 264.968
1.71636 283.058
1.72242 303.083
1.72847 325.316
1.73150 337.360
1.73453 350.075
1.73756 363.518
1.74059 377.731
1.74362 392.779
1.74664 408.714
1.74967 425.608
1.75270 443.521
1.75714 471.807
1.76158 502.710
1.76603 536.505
1.77047 573.492
1.77491 613.990
1.77935 658.332
1.78379 706.862
1.78824 759.908
1.79147 801.529
1.79470 845.816
1.79833 898.977
1.80197 955.740
1.80560 1016.18
1.80742 1047.78
1.80923 1080.29
1.81105 1113.72
1.81287 1148.02
1.81469 1183.17
1.81650 1219.16
1.81832 1255.94
1.82014 1293.47
1.82195 1331.70
1.82377 1370.57
1.82604 1419.89
1.82831 1469.92
1.83057 1520.52
1.83284 1571.51
1.83511 1622.66
1.83737 1673.76
1.83964 1724.55
1.84191 1774.78
1.84460 1833.29
1.84729 1890.11
1.84998 1944.76
1.85267 1996.69
1.85806 2090.47
1.86075 2131.31
1.86344 2167.51
1.86758 2213.23
1.87172 2245.74
1.87586 2264.14
1.88000 2267.89
1.88414 2256.89
1.88828 2231.44
1.89242 2192.28
1.89656 2140.52
1.90070 2077.53
1.90484 2004.96
1.90899 1924.56
1.91313 1838.19
1.91823 1726.23
1.92333 1611.16
1.92843 1495.86
1.93353 1382.77
1.93863 1273.76
1.94374 1170.31
1.94884 1073.32
1.95394 983.375
1.95682 935.795
1.95970 890.516
1.96258 847.513
1.96545 806.740
1.96833 768.137
1.97121 731.634
1.97409 697.150
1.97697 664.611
1.97985 633.903
1.98273 604.945
1.98561 577.647
1.98849 551.916
1.99136 527.662
1.99424 504.799
1.99712 483.241
2.00000 462.917
2.00293 443.405
2.00586 425.007
2.00879 407.651
2.01172 391.275
2.01465 375.803
2.01758 361.183
2.02051 347.358
2.02344 334.280
2.02637 321.893
2.02930 310.157
2.03516 288.474
2.04102 268.927
2.04688 251.258
2.05090 240.080
2.05493 229.622
2.05896 219.821
2.06299 210.629
2.06702 201.995
2.07105 193.879
2.07507 186.240
2.07910 179.043
2.08313 172.253
2.08716 165.845
2.09119 159.786
2.09522 154.057
2.10327 143.491
2.11133 133.986
2.11939 125.406
2.12744 117.637
2.13550 110.581
2.14356 104.157
2.15161 98.2893
2.15967 92.9192
2.16773 87.9912
2.17578 83.4598
2.18311 79.6485
2.19043 76.1038
2.19776 72.8009
2.20508 69.7183
2.21240 66.8363
2.21973 64.1388
2.22705 61.6101
2.23438 59.2366
2.24170 57.0058
2.24903 54.9071
2.25635 52.9304
2.26367 51.0664
2.27832 47.6444
2.29297 44.5831
2.30103 43.0350
2.30908 41.5743
2.32520 38.8899
2.34131 36.4851
2.35742 34.3229
2.37354 32.3717
2.38965 30.6056
2.40576 29.0020
2.42188 27.5420
2.43506 26.4429
2.44824 25.4214
2.46143 24.4705
2.47461 23.5837
2.48779 22.7549
2.50098 21.9790
2.51416 21.2514
2.52734 20.5685
2.55371 19.3233
2.58008 18.2196
2.60645 17.2371
2.63281 16.3590
2.66211 15.4888
2.69141 14.7142
2.72070 14.0220
2.75000 13.4012
2.77344 12.9496
2.79688 12.5338
2.82031 12.1500
2.84375 11.7955
2.86719 11.4678
2.89063 11.1646
2.93750 10.6202
2.98438 10.1460
