Hf-177(n,g) ENDFB-8.0
Energy(eV) XS(b)
0.00340625 58.0597
0.00350000 57.2777
0.00359375 56.5266
0.00368750 55.8042
0.00378125 55.1089
0.00387500 54.4390
0.00396875 53.7930
0.00406250 53.1695
0.00425000 51.9850
0.00443750 50.8765
0.00462500 49.8360
0.00481250 48.8570
0.00500000 47.9336
0.00515625 47.2030
0.00531250 46.5048
0.00546875 45.8368
0.00562500 45.1969
0.00578125 44.5831
0.00593750 43.9937
0.00609375 43.4271
0.00625000 42.8820
0.00640625 42.3569
0.00656250 41.8507
0.00671875 41.3623
0.00687500 40.8907
0.00718750 39.9940
0.00750000 39.1539
0.00781250 38.3648
0.00812500 37.6217
0.00843750 36.9203
0.00875000 36.2568
0.00906250 35.6279
0.00937500 35.0308
0.00968750 34.4628
0.0100000 33.9217
0.0103125 33.4055
0.0106250 32.9122
0.0109375 32.4402
0.0112500 31.9881
0.0115625 31.5545
0.0118750 31.1382
0.0121875 30.7380
0.0125000 30.3529
0.0128125 29.9821
0.0131250 29.6246
0.0134375 29.2797
0.0137500 28.9466
0.0143750 28.3134
0.0150000 27.7202
0.0156250 27.1629
0.0162500 26.6382
0.0168750 26.1428
0.0175000 25.6743
0.0181250 25.2303
0.0187500 24.8087
0.0193750 24.4077
0.0200000 24.0256
0.0206625 23.6398
0.0213250 23.2722
0.0219875 22.9213
0.0226500 22.5861
0.0233125 22.2652
0.0239750 21.9578
0.0246375 21.6629
0.0253000 21.3797
0.0264578 20.9106
0.0276156 20.4714
0.0287734 20.0592
0.0299313 19.6712
0.0310891 19.3053
0.0322469 18.9593
0.0334047 18.6316
0.0345625 18.3205
0.0355274 18.0730
0.0364922 17.8353
0.0374570 17.6069
0.0384219 17.3872
0.0393867 17.1756
0.0403516 16.9716
0.0413164 16.7749
0.0422813 16.5850
0.0442109 16.2241
0.0461406 15.8861
0.0480703 15.5689
0.0500000 15.2703
0.0515625 15.0410
0.0531250 14.8219
0.0546875 14.6124
0.0562500 14.4117
0.0578125 14.2193
0.0593750 14.0346
0.0609375 13.8572
0.0625000 13.6865
0.0640625 13.5222
0.0656250 13.3639
0.0687500 13.0636
0.0718750 12.7832
0.0750000 12.5205
0.0781250 12.2738
0.0812500 12.0417
0.0843750 11.8227
0.0875000 11.6156
0.0906250 11.4195
0.0937500 11.2333
0.0968750 11.0564
0.100000 10.8879
0.103125 10.7273
0.106250 10.5738
0.109375 10.4271
0.112500 10.2867
0.115625 10.1520
0.118750 10.0228
0.121875 9.89868
0.125000 9.77938
0.128125 9.66460
0.131250 9.55405
0.137500 9.34450
0.143750 9.14880
0.150000 8.96560
0.156250 8.79372
0.162500 8.63206
0.168750 8.47967
0.175000 8.33570
0.181250 8.19944
0.187500 8.07024
0.193750 7.94757
0.200000 7.83094
0.209375 7.66612
0.218750 7.51216
0.228125 7.36806
0.237500 7.23286
0.246875 7.10572
0.256250 6.98588
0.265625 6.87270
0.275000 6.76560
0.284375 6.66407
0.293750 6.56766
0.303125 6.47598
0.312500 6.38866
0.321875 6.30538
0.331250 6.22586
0.340625 6.14983
0.350000 6.07705
0.359375 6.00732
0.368750 5.94045
0.378125 5.87631
0.387500 5.81479
0.406250 5.69852
0.425000 5.59038
0.443750 5.48972
0.462500 5.39579
0.500000 5.22587
0.531250 5.09971
0.562500 4.98514
0.625000 4.78575
0.687500 4.61840
0.750000 4.47633
0.812500 4.35465
0.875000 4.25005
0.937500 4.15940
1.00000 4.08027
1.06250 4.01133
1.12500 3.95124
1.25000 3.85348
1.37500 3.78044
1.50000 3.72761
1.62500 3.69183
1.75000 3.67107
1.87500 3.66345
2.00000 3.66748
2.18750 3.69435
2.37500 3.74487
2.56250 3.81834
2.75000 3.91536
2.93750 4.03661
3.12500 4.18344
3.31250 4.35872
3.50000 4.56518
3.59375 4.68134
3.68750 4.80776
3.78125 4.94462
3.87500 5.09278
3.96875 5.25318
4.06250 5.42691
4.15625 5.61522
4.25000 5.81948
4.34375 6.04128
4.43750 6.28245
4.53125 6.54505
4.62500 6.83146
4.71875 7.14442
4.81250 7.48707
4.90625 7.86310
5.00000 8.27659
5.10031 8.76637
5.20061 9.31235
5.30091 9.92306
5.40122 10.6089
5.45137 10.9837
5.50152 11.3825
5.55168 11.8068
5.60183 12.2577
5.65198 12.7372
5.70213 13.2518
5.75228 13.8039
5.80244 14.3960
5.86373 15.1796
5.92503 16.0370
5.98633 16.9777
