Cd-111(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 376.942
1.03125E-05 371.200
1.06250E-05 365.714
1.09375E-05 360.464
1.12500E-05 355.435
1.15625E-05 350.612
1.18750E-05 345.980
1.21875E-05 341.528
1.25000E-05 337.243
1.28125E-05 333.117
1.31250E-05 329.139
1.34375E-05 325.301
1.37500E-05 321.595
1.43750E-05 314.548
1.50000E-05 307.947
1.56250E-05 301.747
1.62500E-05 295.908
1.68750E-05 290.397
1.75000E-05 285.185
1.81250E-05 280.244
1.87500E-05 275.553
1.93750E-05 271.092
2.00000E-05 266.841
2.09375E-05 260.826
2.18750E-05 255.203
2.28125E-05 249.930
2.37500E-05 244.974
2.46875E-05 240.303
2.56250E-05 235.891
2.65625E-05 231.715
2.75000E-05 227.755
2.84375E-05 223.993
2.93750E-05 220.413
3.03125E-05 217.000
3.12500E-05 213.743
3.21875E-05 210.629
3.31250E-05 207.649
3.40625E-05 204.793
3.50000E-05 202.053
3.59375E-05 199.421
3.68750E-05 196.890
3.78125E-05 194.454
3.87500E-05 192.107
3.96875E-05 189.845
4.06250E-05 187.661
4.25000E-05 183.513
4.43750E-05 179.631
4.62500E-05 175.988
4.81250E-05 172.562
5.00000E-05 169.330
5.15625E-05 166.773
5.31250E-05 164.331
5.46875E-05 161.994
5.62500E-05 159.755
5.78125E-05 157.609
5.93750E-05 155.547
6.09375E-05 153.566
6.25000E-05 151.660
6.40625E-05 149.825
6.56250E-05 148.056
6.71875E-05 146.349
6.87500E-05 144.701
7.18750E-05 141.568
7.50000E-05 138.633
7.81250E-05 135.878
8.12500E-05 133.284
8.43750E-05 130.836
8.75000E-05 128.521
9.06250E-05 126.328
9.37500E-05 124.245
9.68750E-05 122.265
0.000100000 120.379
0.000103125 118.580
0.000106250 116.862
0.000109375 115.218
0.000112500 113.643
0.000115625 112.133
0.000118750 110.684
0.000121875 109.291
0.000125000 107.951
0.000128125 106.660
0.000131250 105.417
0.000134375 104.217
0.000137500 103.059
0.000143750 100.857
0.000150000 98.7959
0.000156250 96.8606
0.000162500 95.0389
0.000168750 93.3202
0.000175000 91.6953
0.000181250 90.1559
0.000187500 88.6947
0.000193750 87.3056
0.000200000 85.9826
0.000209375 84.1115
0.000218750 82.3631
0.000228125 80.7247
0.000237500 79.1853
0.000246875 77.7353
0.000256250 76.3665
0.000265625 75.0716
0.000275000 73.8441
0.000284375 72.6786
0.000293750 71.5700
0.000303125 70.5138
0.000312500 69.5060
0.000321875 68.5431
0.000331250 67.6218
0.000340625 66.7393
0.000350000 65.8929
0.000359375 65.0803
0.000368750 64.2992
0.000378125 63.5477
0.000387500 62.8240
0.000396875 62.1264
0.000406250 61.4534
0.000425000 60.1756
0.000443750 58.9807
0.000462500 57.8602
0.000481250 56.8066
0.000500000 55.8137
0.000515625 55.0284
0.000531250 54.2785
0.000546875 53.5614
0.000562500 52.8748
0.000578125 52.2166
0.000593750 51.5848
0.000609375 50.9778
0.000625000 50.3941
0.000640625 49.8321
0.000656250 49.2905
0.000671875 48.7682
0.000687500 48.2640
0.000718750 47.3060
0.000750000 46.4093
0.000781250 45.5677
0.000812500 44.7756
0.000843750 44.0285
0.000875000 43.3223
0.000906250 42.6534
0.000937500 42.0186
0.000968750 41.4152
0.00100000 40.8406
0.00103125 40.2926
0.00106250 39.7692
0.00109375 39.2687
0.00112500 38.7894
0.00115625 38.3300
0.00118750 37.8889
0.00121875 37.4651
0.00125000 37.0575
0.00128125 36.6651
0.00131250 36.2869
0.00134375 35.9221
0.00137500 35.5699
0.00143750 34.9007
0.00150000 34.2742
0.00156250 33.6860
0.00162500 33.1324
0.00168750 32.6102
0.00175000 32.1164
0.00181250 31.6487
0.00187500 31.2047
0.00193750 30.7826
0.00200000 30.3806
0.00209375 29.8120
0.00218750 29.2806
0.00228125 28.7826
0.00237500 28.3146
0.00246875 27.8737
0.00256250 27.4575
0.00265625 27.0636
0.00275000 26.6902
0.00284375 26.3356
0.00293750 25.9982
0.00303125 25.6767
0.00312500 25.3698
0.00321875 25.0766
0.00331250 24.7960
0.00340625 24.5271
0.00350000 24.2692
0.00359375 24.0215
0.00368750 23.7833
0.00378125 23.5542
0.00387500 23.3334
0.00396875 23.1206
0.00406250 22.9152
0.00425000 22.5251
0.00443750 22.1602
0.00462500 21.8178
0.00481250 21.4958
0.00500000 21.1921
0.00515625 20.9519
0.00531250 20.7224
0.00546875 20.5028
0.00562500 20.2926
0.00578125 20.0909
0.00593750 19.8973
0.00609375 19.7112
0.00625000 19.5322
0.00640625 19.3598
0.00656250 19.1936
0.00671875 19.0333
0.00687500 18.8785
0.00718750 18.5843
0.00750000 18.3087
0.00781250 18.0499
0.00812500 17.8062
0.00843750 17.5763
0.00875000 17.3588
0.00906250 17.1527
0.00937500 16.9570
0.00968750 16.7709
0.0100000 16.5936
0.0103125 16.4245
0.0106250 16.2630
0.0109375 16.1084
0.0112500 15.9603
0.0115625 15.8183
0.0118750 15.6820
0.0121875 15.5510
0.0125000 15.4249
0.0128125 15.3035
0.0131250 15.1865
0.0134375 15.0735
0.0137500 14.9645
0.0143750 14.7572
0.0150000 14.5630
0.0156250 14.3807
0.0162500 14.2089
0.0168750 14.0468
0.0175000 13.8935
0.0181250 13.7482
0.0187500 13.6103
0.0193750 13.4790
0.0200000 13.3540
0.0206625 13.2278
0.0213250 13.1074
0.0219875 12.9926
0.0226500 12.8829
0.0233125 12.7779
0.0239750 12.6772
0.0246375 12.5807
0.0253000 12.4880
