Ga-69(n,g) ENDFB-8.0
Energy(eV) XS(b)
300.211 0.0501432
301.385 0.0529849
302.559 0.0561535
303.734 0.0597015
304.908 0.0636906
305.495 0.0658735
306.082 0.0681976
306.670 0.0706725
307.257 0.0733046
307.844 0.0761072
308.431 0.0791184
309.018 0.0823524
309.605 0.0858244
310.323 0.0904271
311.041 0.0954713
311.758 0.101016
312.476 0.107127
313.194 0.113888
313.911 0.121393
314.629 0.129756
315.347 0.139112
315.999 0.148619
316.652 0.159230
316.978 0.165004
317.304 0.171125
317.630 0.177620
317.956 0.184521
318.283 0.191861
318.609 0.199681
318.935 0.208020
319.261 0.216924
319.587 0.226439
319.914 0.236621
320.240 0.247542
320.566 0.259290
320.925 0.273278
321.284 0.288497
321.642 0.305091
322.001 0.323228
322.360 0.343113
322.719 0.364965
323.078 0.389060
323.437 0.415719
323.795 0.445327
324.154 0.478319
324.334 0.496252
324.513 0.515245
324.692 0.535382
324.872 0.556758
325.051 0.579490
325.231 0.603669
325.410 0.629435
325.590 0.656928
325.769 0.686308
325.948 0.717749
326.128 0.751445
326.307 0.787617
326.519 0.833920
326.731 0.884486
326.943 0.939928
327.155 1.00085
327.367 1.06809
327.579 1.14248
327.791 1.22510
327.897 1.26989
328.003 1.31724
328.183 1.40375
328.362 1.49926
328.542 1.60507
328.721 1.72274
328.811 1.78658
328.900 1.85412
328.990 1.92563
329.080 2.00146
329.170 2.08194
329.259 2.16748
329.349 2.25852
329.439 2.35555
329.577 2.51864
329.716 2.69955
329.855 2.90134
329.924 3.01097
329.993 3.12710
330.063 3.25045
330.132 3.38127
330.201 3.52039
330.271 3.66855
330.340 3.82682
330.409 3.99568
330.479 4.17637
330.548 4.37008
330.613 4.56572
330.678 4.77503
330.744 5.00009
330.809 5.24182
330.899 5.60564
330.988 6.01094
331.033 6.23154
331.078 6.46475
331.123 6.71278
331.168 6.97582
331.213 7.25648
331.257 7.55518
331.302 7.87513
331.347 8.21705
331.392 8.58493
331.437 8.97998
331.482 9.40626
331.526 9.86759
331.559 10.2290
331.592 10.6121
331.624 11.0204
331.657 11.4561
331.690 11.9237
331.722 12.4233
331.755 12.9599
331.787 13.5374
331.820 14.1622
331.853 14.8356
331.885 15.5650
331.918 16.3568
331.951 17.2206
331.983 18.1592
332.016 19.1839
332.032 19.7315
332.048 20.3044
332.071 21.1392
332.093 22.0246
332.116 22.9726
332.138 23.9791
332.161 25.0578
332.183 26.2040
332.205 27.4275
332.228 28.7340
332.250 30.1357
332.273 31.6262
332.295 33.2180
332.318 34.9178
332.340 36.7411
332.362 38.6789
332.385 40.7466
332.407 42.9521
332.429 45.2059
332.450 47.5898
332.472 50.1212
332.493 52.8076
332.514 55.6564
332.536 58.6750
332.557 61.8710
332.579 65.2518
332.600 68.8247
332.621 72.5968
332.643 76.5750
332.664 80.7659
332.686 85.1759
332.707 89.8106
332.728 94.6754
332.750 99.7750
332.772 105.394
332.795 111.255
332.817 117.383
332.839 123.782
332.862 130.481
332.884 137.421
332.907 144.627
332.929 152.097
332.952 159.861
332.974 167.841
333.019 184.518
333.064 202.110
333.109 220.418
333.153 239.371
333.198 258.702
333.288 297.802
333.361 329.045
333.435 358.321
333.480 374.727
333.524 389.622
333.569 402.784
333.614 413.974
333.649 421.192
333.684 427.004
333.719 431.343
333.754 434.153
333.800 435.488
333.812 435.384
333.850 433.844
333.887 430.483
333.925 425.348
333.963 418.530
334.013 407.111
