Ne-22(n,tot) ENDFB-8.0
Energy(eV) XS(b)
0.00481250 5.96286
0.00500000 5.93688
0.00515625 5.91664
0.00531250 5.89756
0.00546875 5.87954
0.00562500 5.86250
0.00578125 5.84635
0.00593750 5.83104
0.00609375 5.81649
0.00625000 5.80265
0.00640625 5.78947
0.00656250 5.77691
0.00671875 5.76491
0.00687500 5.75345
0.00718750 5.73198
0.00750000 5.71226
0.00781250 5.69409
0.00812500 5.67727
0.00843750 5.66168
0.00875000 5.64717
0.00906250 5.63364
0.00937500 5.62099
0.00968750 5.60913
0.0100000 5.59800
0.0103125 5.58752
0.0106250 5.57764
0.0109375 5.56832
0.0112500 5.55949
0.0115625 5.55114
0.0118750 5.54321
0.0121875 5.53567
0.0125000 5.52850
0.0128125 5.52167
0.0131250 5.51516
0.0134375 5.50894
0.0137500 5.50300
0.0143750 5.49186
0.0150000 5.48163
0.0156250 5.47218
0.0162500 5.46345
0.0168750 5.45534
0.0175000 5.44779
0.0181250 5.44074
0.0187500 5.43415
0.0193750 5.42797
0.0200000 5.42216
0.0206625 5.41638
0.0213250 5.41094
0.0219875 5.40582
0.0226500 5.40098
0.0233125 5.39641
0.0239750 5.39209
0.0246375 5.38799
0.0253000 5.38409
0.0264578 5.37773
0.0276156 5.37189
0.0287734 5.36650
0.0299313 5.36151
0.0310891 5.35687
0.0322469 5.35256
0.0334047 5.34853
0.0345625 5.34476
0.0355274 5.34179
0.0364922 5.33898
0.0374570 5.33631
0.0384219 5.33376
0.0393867 5.33133
0.0403516 5.32901
0.0413164 5.32680
0.0422813 5.32468
0.0442109 5.32071
0.0461406 5.31706
0.0480703 5.31368
0.0500000 5.31056
0.0515625 5.30819
0.0531250 5.30595
0.0546875 5.30383
0.0562500 5.30183
0.0578125 5.29993
0.0593750 5.29812
0.0609375 5.29640
0.0625000 5.29476
0.0640625 5.29320
0.0656250 5.29171
0.0671875 5.29028
0.0687500 5.28891
0.0718750 5.28635
0.0750000 5.28399
0.0781250 5.28180
0.0812500 5.27977
0.0843750 5.27789
0.0875000 5.27613
0.0906250 5.27448
0.0937500 5.27294
0.0968750 5.27149
0.100000 5.27012
0.103125 5.26883
0.106250 5.26762
0.109375 5.26646
0.112500 5.26537
0.115625 5.26433
0.118750 5.26334
0.121875 5.26240
0.125000 5.26151
0.128125 5.26065
0.131250 5.25983
0.134375 5.25905
0.137500 5.25830
0.143750 5.25689
0.150000 5.25558
0.156250 5.25438
0.162500 5.25326
0.168750 5.25221
0.175000 5.25124
0.181250 5.25032
0.187500 5.24947
0.193750 5.24866
0.200000 5.24790
0.209375 5.24683
0.218750 5.24585
0.228125 5.24494
0.237500 5.24410
0.246875 5.24332
0.256250 5.24258
0.265625 5.24190
0.275000 5.24125
0.284375 5.24065
0.293750 5.24008
0.303125 5.23954
0.312500 5.23903
0.321875 5.23854
0.331250 5.23808
0.340625 5.23765
0.350000 5.23723
0.359375 5.23683
0.368750 5.23646
0.378125 5.23609
0.387500 5.23575
0.396875 5.23542
0.406250 5.23510
0.425000 5.23450
0.443750 5.23394
0.462500 5.23343
0.500000 5.23250
0.531250 5.23181
0.562500 5.23119
0.593750 5.23062
0.625000 5.23010
0.687500 5.22919
0.750000 5.22841
0.812500 5.22773
0.875000 5.22713
0.937500 5.22659
1.00000 5.22611
1.06250 5.22568
1.12500 5.22528
1.18750 5.22492
1.25000 5.22458
1.37500 5.22398
1.50000 5.22346
1.62500 5.22300
1.75000 5.22258
1.87500 5.22220
2.00000 5.22186
2.18750 5.22139
2.37500 5.22098
2.56250 5.22060
2.75000 5.22025
2.93750 5.21992
3.12500 5.21962
3.31250 5.21934
3.50000 5.21907
3.87500 5.21858
4.25000 5.21812
4.62500 5.21770
5.00000 5.21730
5.31250 5.21699
5.62500 5.21668
5.93750 5.21639
6.25000 5.21611
6.87500 5.21556
7.50000 5.21505
8.12500 5.21455
8.75000 5.21406
9.37500 5.21360
10.0000 5.21314
10.6250 5.21269
11.2500 5.21225
11.8750 5.21181
12.5000 5.21139
13.7500 5.21055
15.0000 5.20972
16.2500 5.20891
17.5000 5.20811
18.7500 5.20732
20.0000 5.20654
21.8750 5.20538
23.7500 5.20423
25.6250 5.20309
27.5000 5.20196
29.3750 5.20084
31.2500 5.19972
33.1250 5.19861
35.0000 5.19750
36.8750 5.19640
38.7500 5.19531
42.5000 5.19313
46.2500 5.19096
50.0000 5.18880
53.1250 5.18702
56.2500 5.18524
59.3750 5.18347
62.5000 5.18170
68.7500 5.17819
75.0000 5.17469
81.2500 5.17123
87.5000 5.16778
93.7500 5.16435
100.000 5.16094
106.250 5.15755
112.500 5.15417
125.000 5.14748
137.500 5.14085
150.000 5.13429
162.500 5.12780
175.000 5.12137
187.500 5.11499
200.000 5.10868
218.750 5.09933
237.500 5.09010
256.250 5.08100
275.000 5.07202
312.500 5.05443
350.000 5.03730
387.500 5.02061
425.000 5.00435
462.500 4.98850
500.000 4.97304
562.500 4.94811
625.000 4.92416
687.500 4.90115
750.000 4.87901
812.500 4.85769
875.000 4.83715
1000.00 4.79824
1125.00 4.76196
1250.00 4.72806
1375.00 4.69630
1500.00 4.66647
1750.00 4.61196
2000.00 4.56334
2167.38 4.53360
2334.75 4.50585
2355.67 4.50251
2407.98 4.49429
