Au-197(n,g) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 4917.88
1.03125E-05 4842.79
1.06250E-05 4771.04
1.09375E-05 4702.39
1.12500E-05 4636.62
1.15625E-05 4573.54
1.18750E-05 4512.96
1.21875E-05 4454.72
1.25000E-05 4398.69
1.28125E-05 4344.71
1.31250E-05 4292.68
1.34375E-05 4242.47
1.37500E-05 4193.99
1.43750E-05 4101.80
1.50000E-05 4015.44
1.56250E-05 3934.31
1.62500E-05 3857.91
1.68750E-05 3785.79
1.75000E-05 3717.58
1.81250E-05 3652.92
1.87500E-05 3591.52
1.93750E-05 3533.12
2.00000E-05 3477.48
2.09375E-05 3398.73
2.18750E-05 3325.11
2.28125E-05 3256.07
2.37500E-05 3191.16
2.46875E-05 3129.98
2.56250E-05 3072.19
2.65625E-05 3017.49
2.75000E-05 2965.61
2.84375E-05 2916.32
2.93750E-05 2869.41
3.03125E-05 2824.69
3.12500E-05 2781.99
3.21875E-05 2741.18
3.31250E-05 2702.11
3.40625E-05 2664.67
3.50000E-05 2628.74
3.59375E-05 2594.23
3.68750E-05 2561.04
3.78125E-05 2529.09
3.87500E-05 2498.31
3.96875E-05 2468.63
4.06250E-05 2439.98
4.25000E-05 2385.55
4.43750E-05 2334.61
4.62500E-05 2286.80
4.81250E-05 2241.81
5.00000E-05 2199.37
5.15625E-05 2165.80
5.31250E-05 2133.71
5.46875E-05 2103.01
5.62500E-05 2073.59
5.78125E-05 2045.38
5.93750E-05 2018.29
6.09375E-05 1992.25
6.25000E-05 1967.19
6.40625E-05 1943.05
6.56250E-05 1919.78
6.71875E-05 1897.33
6.87500E-05 1875.65
7.18750E-05 1834.42
7.50000E-05 1795.80
7.81250E-05 1759.52
8.12500E-05 1725.35
8.43750E-05 1693.10
8.75000E-05 1662.59
9.06250E-05 1633.68
9.37500E-05 1606.22
9.68750E-05 1580.10
0.000100000 1555.22
0.000103125 1531.48
0.000106250 1508.79
0.000109375 1487.08
0.000112500 1466.28
0.000115625 1446.33
0.000118750 1427.18
0.000121875 1408.76
