Ti-50(n,tot) ENDFB-8.0
Energy(eV) XS(b)
0.000462500 6.99820
0.000481250 6.90494
0.000500000 6.81755
0.000515625 6.74882
0.000531250 6.68351
0.000546875 6.62135
0.000562500 6.56211
0.000578125 6.50559
0.000593750 6.45160
0.000609375 6.39997
0.000625000 6.35054
0.000640625 6.30318
0.000656250 6.25774
0.000671875 6.21411
0.000687500 6.17219
0.000718750 6.09306
0.000750000 6.01962
0.000781250 5.95129
0.000812500 5.88751
0.000843750 5.82786
0.000875000 5.77192
0.000906250 5.71936
0.000937500 5.66986
0.000968750 5.62317
0.00100000 5.57904
0.00103125 5.53727
0.00106250 5.49767
0.00109375 5.46006
0.00112500 5.42430
0.00115625 5.39025
0.00118750 5.35779
0.00121875 5.32681
0.00125000 5.29720
0.00128125 5.26888
0.00131250 5.24175
0.00134375 5.21575
0.00137500 5.19080
0.00143750 5.14380
0.00150000 5.10031
0.00156250 5.05993
0.00162500 5.02233
0.00168750 4.98723
0.00175000 4.95437
0.00181250 4.92355
0.00187500 4.89457
0.00193750 4.86726
0.00200000 4.84148
0.00209375 4.80541
0.00218750 4.77210
0.00228125 4.74126
0.00237500 4.71259
0.00246875 4.68587
0.00256250 4.66091
0.00265625 4.63752
0.00275000 4.61555
0.00284375 4.59488
0.00293750 4.57538
0.00303125 4.55696
0.00312500 4.53952
0.00321875 4.52298
0.00331250 4.50728
0.00340625 4.49234
0.00350000 4.47812
0.00359375 4.46455
0.00368750 4.45159
0.00378125 4.43920
0.00387500 4.42734
0.00396875 4.41597
0.00406250 4.40507
0.00425000 4.38453
0.00443750 4.36553
0.00462500 4.34789
0.00481250 4.33145
0.00500000 4.31610
0.00515625 4.30405
0.00531250 4.29262
0.00546875 4.28176
0.00562500 4.27143
0.00578125 4.26159
0.00593750 4.25220
0.00609375 4.24322
0.00625000 4.23464
0.00640625 4.22642
0.00656250 4.21854
0.00671875 4.21098
0.00687500 4.20372
0.00718750 4.19001
0.00750000 4.17729
0.00781250 4.16545
0.00812500 4.15440
0.00843750 4.14406
0.00875000 4.13435
0.00906250 4.12521
0.00937500 4.11660
0.00968750 4.10846
0.0100000 4.10077
0.0103125 4.09346
0.0106250 4.08653
0.0109375 4.07993
0.0112500 4.07365
0.0115625 4.06766
0.0118750 4.06193
0.0121875 4.05645
0.0125000 4.05121
0.0128125 4.04618
0.0131250 4.04136
0.0134375 4.03672
0.0137500 4.03227
0.0143750 4.02385
0.0150000 4.01602
0.0156250 4.00872
0.0162500 4.00189
0.0168750 3.99549
0.0175000 3.98948
0.0181250 3.98381
0.0187500 3.97846
0.0193750 3.97340
0.0200000 3.96861
0.0206625 3.96379
0.0213250 3.95922
0.0219875 3.95488
0.0226500 3.95075
0.0233125 3.94682
0.0239750 3.94306
0.0246375 3.93948
0.0253000 3.93605
0.0264578 3.93040
0.0276156 3.92514
0.0287734 3.92024
0.0299313 3.91564
0.0310891 3.91133
0.0322469 3.90728
0.0334047 3.90346
0.0345625 3.89985
0.0355274 3.89698
0.0364922 3.89424
0.0374570 3.89162
0.0384219 3.88911
0.0393867 3.88669
0.0403516 3.88437
0.0413164 3.88214
0.0422813 3.87999
0.0442109 3.87593
0.0461406 3.87214
0.0480703 3.86860
0.0500000 3.86528
0.0515625 3.86274
0.0531250 3.86032
0.0546875 3.85802
0.0562500 3.85582
0.0578125 3.85371
0.0593750 3.85170
0.0609375 3.84977
0.0625000 3.84792
