Pt-198(n,g) ENDFB-8.0
Energy(eV) XS(b)
0.593750 0.291278
0.625000 0.283656
0.687500 0.269980
0.750000 0.258007
0.812500 0.247450
0.875000 0.238016
0.937500 0.229564
1.00000 0.221884
1.06250 0.214872
1.12500 0.208443
1.18750 0.202521
1.25000 0.197040
1.37500 0.187193
1.50000 0.178598
1.62500 0.170981
1.75000 0.164197
1.87500 0.158083
2.00000 0.152516
2.18750 0.145072
2.37500 0.138503
2.56250 0.132644
2.75000 0.127391
2.93750 0.122629
3.12500 0.118272
3.31250 0.114296
3.50000 0.110631
3.68750 0.107232
3.87500 0.104076
4.25000 0.0983869
4.62500 0.0933730
5.00000 0.0889228
5.31250 0.0855652
5.62500 0.0824751
5.93750 0.0796277
6.25000 0.0769905
6.56250 0.0745353
6.87500 0.0722427
7.50000 0.0680851
8.12500 0.0644018
8.75000 0.0611074
9.37500 0.0581479
10.0000 0.0554626
10.6250 0.0530121
11.2500 0.0507666
11.8750 0.0486998
12.5000 0.0467898
13.1250 0.0450167
13.7500 0.0433694
14.3750 0.0418330
15.0000 0.0403945
15.6250 0.0390454
16.2181 0.0378390
16.2500 0.0377756
16.3281 0.0376219
16.4063 0.0374699
16.5625 0.0371698
16.8750 0.0365826
17.5000 0.0354579
18.7263 0.0334231
19.9526 0.0315867
20.0000 0.0315184
20.1172 0.0313526
20.2344 0.0311891
20.4688 0.0308670
20.9375 0.0302405
21.8399 0.0290954
22.7423 0.0280250
23.6447 0.0270228
24.5471 0.0260796
25.6250 0.0250299
26.5625 0.0241761
27.5000 0.0233728
29.3750 0.0218987
31.2500 0.0205810
33.1250 0.0193975
35.0000 0.0183287
37.5000 0.0170644
38.7500 0.0164784
40.0000 0.0159336
40.6250 0.0156736
42.5000 0.0149376
44.1044 0.0143577
45.7089 0.0138127
46.2500 0.0136383
48.1250 0.0130642
50.0000 0.0125327
51.5586 0.0121207
53.1171 0.0117337
56.2342 0.0110255
56.2500 0.0110220
56.2988 0.0110113
56.3477 0.0110008
56.5308 0.0109618
56.7139 0.0109232
57.0801 0.0108469
57.8125 0.0106972
60.1563 0.0102491
62.5000 0.00982688
65.6250 0.00932059
68.7500 0.00886444
69.1831 0.00880464
70.6374 0.00861084
72.0916 0.00842654
75.0000 0.00808007
77.3438 0.00782544
79.6875 0.00758658
84.3750 0.00715131
85.1138 0.00708834
87.5000 0.00689412
90.6250 0.00665849
93.7500 0.00644228
96.8750 0.00624363
100.000 0.00606089
103.125 0.00589260
106.250 0.00573759
112.500 0.00546253
118.750 0.00522794
125.000 0.00502782
131.250 0.00485741
137.500 0.00471295
143.750 0.00459105
150.000 0.00448929
156.250 0.00440554
162.500 0.00433835
168.750 0.00428633
175.000 0.00424844
181.250 0.00422400
187.500 0.00421249
193.750 0.00421363
200.000 0.00422737
207.600 0.00426231
215.200 0.00431561
222.799 0.00438963
230.399 0.00448783
237.999 0.00461117
241.799 0.00468228
245.598 0.00476277
249.398 0.00485024
253.198 0.00495020
260.798 0.00517638
265.634 0.00534863
270.470 0.00554534
275.306 0.00576994
277.725 0.00588920
280.143 0.00602141
284.979 0.00631761
289.815 0.00666139
292.233 0.00685398
294.651 0.00706232
297.069 0.00728825
299.487 0.00753401
300.000 0.00758887
301.436 0.00774914
302.872 0.00791896
305.744 0.00828700
308.617 0.00869947
311.489 0.00916433
312.925 0.00941532
314.361 0.00968989
315.797 0.00997419
317.233 0.0102886
318.669 0.0106125
320.105 0.0109653
321.541 0.0113461
322.977 0.0117563
324.877 0.0123508
326.777 0.0130091
328.677 0.0137432
330.577 0.0145680
332.477 0.0154926
334.377 0.0165426
335.327 0.0171181
