Cr-54(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 40.5891
1.03125E-05 39.9736
1.06250E-05 39.3855
1.09375E-05 38.8228
1.12500E-05 38.2838
1.15625E-05 37.7668
1.18750E-05 37.2705
1.21875E-05 36.7934
1.25000E-05 36.3343
1.28125E-05 35.8923
1.31250E-05 35.4661
1.34375E-05 35.0549
1.37500E-05 34.6579
1.43750E-05 33.9032
1.50000E-05 33.1962
1.56250E-05 32.5323
1.62500E-05 31.9072
1.68750E-05 31.3173
1.75000E-05 30.7593
1.81250E-05 30.2306
1.87500E-05 29.7287
1.93750E-05 29.2513
2.00000E-05 28.7966
2.09375E-05 28.1533
2.18750E-05 27.5520
2.28125E-05 26.9883
2.37500E-05 26.4585
2.46875E-05 25.9593
2.56250E-05 25.4879
2.65625E-05 25.0418
2.75000E-05 24.6189
2.84375E-05 24.2172
2.93750E-05 23.8350
3.03125E-05 23.4708
3.12500E-05 23.1231
3.21875E-05 22.7909
3.31250E-05 22.4730
3.40625E-05 22.1685
3.50000E-05 21.8763
3.59375E-05 21.5957
3.68750E-05 21.3260
3.78125E-05 21.0664
3.87500E-05 20.8164
3.96875E-05 20.5754
4.06250E-05 20.3428
4.25000E-05 19.9012
4.43750E-05 19.4881
4.62500E-05 19.1007
4.81250E-05 18.7363
5.00000E-05 18.3929
5.15625E-05 18.1212
5.31250E-05 17.8618
5.46875E-05 17.6137
5.62500E-05 17.3761
5.78125E-05 17.1484
5.93750E-05 16.9297
6.09375E-05 16.7197
6.25000E-05 16.5177
6.40625E-05 16.3232
6.56250E-05 16.1358
6.71875E-05 15.9551
6.87500E-05 15.7806
7.18750E-05 15.4492
7.50000E-05 15.1390
7.81250E-05 14.8479
8.12500E-05 14.5741
8.43750E-05 14.3158
8.75000E-05 14.0718
9.06250E-05 13.8407
9.37500E-05 13.6214
9.68750E-05 13.4131
0.000100000 13.2148
0.000103125 13.0258
0.000106250 12.8453
0.000109375 12.6728
0.000112500 12.5077
0.000115625 12.3495
0.000118750 12.1977
0.000121875 12.0519
0.000125000 11.9118
0.000128125 11.7769
0.000131250 11.6471
0.000134375 11.5219
0.000137500 11.4010
0.000143750 11.1717
0.000150000 10.9572
0.000156250 10.7561
0.000162500 10.5671
0.000168750 10.3889
0.000175000 10.2208
0.000181250 10.0616
0.000187500 9.91082
0.000193750 9.76761
0.000200000 9.63140
0.000209375 9.43907
0.000218750 9.25970
0.000228125 9.09195
0.000237500 8.93463
0.000246875 8.78675
0.000256250 8.64740
0.000265625 8.51583
0.000275000 8.39136
0.000284375 8.27338
0.000293750 8.16137
0.000303125 8.05486
0.000312500 7.95343
0.000321875 7.85668
0.000331250 7.76430
0.000340625 7.67596
0.000350000 7.59139
0.000359375 7.51034
0.000368750 7.43258
0.000378125 7.35790
0.000387500 7.28611
0.000396875 7.21703
0.000406250 7.15051
0.000425000 7.02453
0.000443750 6.90714
0.000462500 6.79742
0.000481250 6.69461
0.000500000 6.59804
0.000515625 6.52190
0.000531250 6.44939
0.000546875 6.38024
0.000562500 6.31420
0.000578125 6.25106
0.000593750 6.19061
0.000609375 6.13269
0.000625000 6.07713
0.000640625 6.02377
0.000656250 5.97248
0.000671875 5.92314
0.000687500 5.87563
0.000718750 5.78568
0.000750000 5.70188
0.000781250 5.62358
0.000812500 5.55024
0.000843750 5.48137
0.000875000 5.41655
0.000906250 5.35541
0.000937500 5.29763
0.000968750 5.24293
0.00100000 5.19104
0.00103125 5.14176
0.00106250 5.09486
0.00109375 5.05018
0.00112500 5.00755
0.00115625 4.96683
0.00118750 4.92787
0.00121875 4.89057
0.00125000 4.85481
0.00128125 4.82049
0.00131250 4.78752
0.00134375 4.75582
0.00137500 4.72531
0.00143750 4.66759
0.00150000 4.61386
0.00156250 4.56370
0.00162500 4.51673
0.00168750 4.47264
0.00175000 4.43117
0.00181250 4.39205
0.00187500 4.35510
0.00193750 4.32011
0.00200000 4.28693
0.00209375 4.24023
0.00218750 4.19684
0.00228125 4.15639
0.00237500 4.11858
0.00246875 4.08313
0.00256250 4.04981
0.00265625 4.01843
0.00275000 3.98880
0.00284375 3.96078
0.00293750 3.93422
0.00303125 3.90900
0.00312500 3.88503
0.00321875 3.86219
0.00331250 3.84041
0.00340625 3.81960
0.00350000 3.79970
0.00359375 3.78065
0.00368750 3.76239
0.00378125 3.74486
0.00387500 3.72802
0.00396875 3.71182
0.00406250 3.69623
0.00425000 3.66673
0.00443750 3.63926
0.00462500 3.61359
0.00481250 3.58954
0.00500000 3.56695
0.00515625 3.54914
0.00531250 3.53217
0.00546875 3.51598
0.00562500 3.50052
0.00578125 3.48573
0.00593750 3.47157
0.00609375 3.45799
0.00625000 3.44495
0.00640625 3.43242
0.00656250 3.42038
0.00671875 3.40878
0.00687500 3.39760
0.00718750 3.37641
0.00750000 3.35664
0.00781250 3.33813
0.00812500 3.32077
0.00843750 3.30443
0.00875000 3.28902
0.00906250 3.27446
0.00937500 3.26068
0.00968750 3.24760
0.0100000 3.23517
0.0103125 3.22334
0.0106250 3.21206
0.0109375 3.20130
0.0112500 3.19101
0.0115625 3.18115
0.0118750 3.17171
0.0121875 3.16265
0.0125000 3.15395
0.0128125 3.14559
0.0131250 3.13754
0.0134375 3.12978
0.0137500 3.12231
0.0143750 3.10812
0.0150000 3.09487
0.0156250 3.08246
0.0162500 3.07080
0.0168750 3.05983
0.0175000 3.04947
0.0181250 3.03967
0.0187500 3.03038
0.0193750 3.02157
0.0200000 3.01319
0.0206625 3.00474
0.0213250 2.99670
0.0219875 2.98904
0.0226500 2.98173
0.0233125 2.97475
0.0239750 2.96807
0.0246375 2.96167
0.0253000 2.95553
0.0264578 2.94538
0.0276156 2.93590
0.0287734 2.92701
0.0299313 2.91866
0.0310891 2.91080
0.0322469 2.90338
0.0334047 2.89636
0.0345625 2.88971
0.0355274 2.88442
0.0364922 2.87935
0.0374570 2.87448
0.0384219 2.86981
0.0393867 2.86531
0.0403516 2.86097
0.0413164 2.85680
0.0422813 2.85277
0.0442109 2.84512
0.0461406 2.83797
0.0480703 2.83126
0.0500000 2.82496
0.0515625 2.82013
0.0531250 2.81551
0.0546875 2.81110
0.0562500 2.80688
0.0578125 2.80284
0.0593750 2.79896
0.0609375 2.79523
0.0625000 2.79165
0.0640625 2.78820
0.0656250 2.78488
0.0671875 2.78168
0.0687500 2.77859
0.0718750 2.77273
0.0750000 2.76724
0.0781250 2.76209
0.0812500 2.75725
0.0843750 2.75268
0.0875000 2.74836
0.0906250 2.74428
0.0937500 2.74040
0.0968750 2.73672
0.100000 2.73321
0.103125 2.72987
0.106250 2.72667
0.109375 2.72362
0.112500 2.72070
0.115625 2.71790
0.118750 2.71522
0.121875 2.71264
0.125000 2.71015
0.128125 2.70777
0.131250 2.70547
0.134375 2.70325
0.137500 2.70111
0.143750 2.69704
0.150000 2.69323
0.156250 2.68966
0.162500 2.68629
0.168750 2.68312
0.175000 2.68012
0.181250 2.67728
0.187500 2.67458
0.193750 2.67202
