Hg-199(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 111004
1.03125E-05 109310
1.06250E-05 107690
1.09375E-05 106141
1.12500E-05 104656
1.15625E-05 103233
1.18750E-05 101865
1.21875E-05 100551
1.25000E-05 99286.4
1.28125E-05 98068.3
1.31250E-05 96893.9
1.34375E-05 95760.8
1.37500E-05 94666.5
1.43750E-05 92585.9
1.50000E-05 90636.8
1.56250E-05 88805.9
1.62500E-05 87081.6
1.68750E-05 85454.1
1.75000E-05 83914.5
1.81250E-05 82455.3
1.87500E-05 81069.6
1.93750E-05 79751.6
2.00000E-05 78495.8
2.09375E-05 76718.7
2.18750E-05 75057.1
2.28125E-05 73499.0
2.37500E-05 72034.1
2.46875E-05 70653.5
2.56250E-05 69349.3
2.65625E-05 68114.8
2.75000E-05 66944.1
2.84375E-05 65831.6
2.93750E-05 64772.9
3.03125E-05 63763.7
3.12500E-05 62800.3
3.21875E-05 61879.3
3.31250E-05 60997.6
3.40625E-05 60152.6
3.50000E-05 59341.8
3.59375E-05 58562.9
3.68750E-05 57814.0
3.78125E-05 57093.1
3.87500E-05 56398.4
3.96875E-05 55728.6
4.06250E-05 55082.1
4.25000E-05 53853.8
4.43750E-05 52704.3
4.62500E-05 51625.4
4.81250E-05 50610.2
5.00000E-05 49652.6
5.15625E-05 48894.9
5.31250E-05 48170.9
5.46875E-05 47478.1
5.62500E-05 46814.4
5.78125E-05 46177.8
5.93750E-05 45566.4
6.09375E-05 44978.8
6.25000E-05 44413.3
6.40625E-05 43868.7
6.56250E-05 43343.6
6.71875E-05 42837.0
6.87500E-05 42347.7
7.18750E-05 41417.5
7.50000E-05 40546.1
7.81250E-05 39727.4
8.12500E-05 38956.5
8.43750E-05 38228.9
8.75000E-05 37540.5
9.06250E-05 36888.1
9.37500E-05 36268.6
9.68750E-05 35679.4
0.000100000 35118.0
0.000103125 34582.3
0.000106250 34070.4
0.000109375 33580.6
0.000112500 33111.4
0.000115625 32661.3
0.000118750 32229.1
0.000121875 31813.7
0.000125000 31413.9
0.000128125 31028.9
0.000131250 30657.7
0.000134375 30299.5
0.000137500 29953.6
0.000143750 29296.0
0.000150000 28679.9
0.000156250 28101.2
0.000162500 27556.2
0.000168750 27041.8
0.000175000 26555.2
0.000181250 26094.0
0.000187500 25656.0
0.000193750 25239.5
0.000200000 24842.6
0.000209375 24280.9
0.000218750 23755.8
0.000228125 23263.3
0.000237500 22800.4
0.000246875 22364.0
0.000256250 21951.9
0.000265625 21561.7
0.000275000 21191.7
0.000284375 20840.2
0.000293750 20505.6
0.000303125 20186.7
0.000312500 19882.2
0.000321875 19591.1
0.000331250 19312.5
0.000340625 19045.5
0.000350000 18789.2
0.000359375 18543.1
0.000368750 18306.4
0.000378125 18078.6
0.000387500 17859.1
0.000396875 17647.4
0.000406250 17443.1
0.000425000 17054.9
0.000443750 16691.7
0.000462500 16350.7
0.000481250 16029.9
0.000500000 15727.3
0.000515625 15487.8
0.000531250 15259.0
0.000546875 15040.1
0.000562500 14830.3
0.000578125 14629.1
0.000593750 14436.0
0.000609375 14250.2
0.000625000 14071.5
0.000640625 13899.4
0.000656250 13733.5
0.000671875 13573.3
0.000687500 13418.7
0.000718750 13124.7
0.000750000 12849.3
0.000781250 12590.6
0.000812500 12346.9
0.000843750 12116.9
0.000875000 11899.3
0.000906250 11693.1
0.000937500 11497.3
0.000968750 11311.0
0.00100000 11133.5
0.00103125 10964.2
0.00106250 10802.4
0.00109375 10647.5
0.00112500 10499.2
0.00115625 10356.9
0.00118750 10220.3
0.00121875 10088.9
0.00125000 9962.51
0.00128125 9840.77
0.00131250 9723.39
0.00134375 9610.13
0.00137500 9500.76
0.00143750 9292.79
0.00150000 9097.96
0.00156250 8914.92
0.00162500 8742.54
0.00168750 8579.82
0.00175000 8425.89
0.00181250 8279.98
0.00187500 8141.43
0.00193750 8009.62
0.00200000 7884.03
0.00209375 7706.30
0.00218750 7540.09
0.00228125 7384.23
0.00237500 7237.68
0.00246875 7099.55
0.00256250 6969.06
0.00265625 6845.53
0.00275000 6728.36
0.00284375 6617.02
0.00293750 6511.05
0.00303125 6410.03
0.00312500 6313.58
0.00321875 6221.37
0.00331250 6133.10
0.00340625 6048.49
0.00350000 5967.30
0.00359375 5889.29
0.00368750 5814.28
0.00378125 5742.07
0.00387500 5672.49
