S-36(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 26.4619
1.03125E-05 26.0609
1.06250E-05 25.6779
1.09375E-05 25.3114
1.12500E-05 24.9604
1.15625E-05 24.6237
1.18750E-05 24.3004
1.21875E-05 23.9897
1.25000E-05 23.6908
1.28125E-05 23.4029
1.31250E-05 23.1253
1.34375E-05 22.8576
1.37500E-05 22.5990
1.43750E-05 22.1076
1.50000E-05 21.6472
1.56250E-05 21.2149
1.62500E-05 20.8079
1.68750E-05 20.4238
1.75000E-05 20.0605
1.81250E-05 19.7163
1.87500E-05 19.3895
1.93750E-05 19.0787
2.00000E-05 18.7827
2.09375E-05 18.3639
2.18750E-05 17.9725
2.28125E-05 17.6056
2.37500E-05 17.2607
2.46875E-05 16.9358
2.56250E-05 16.6290
2.65625E-05 16.3387
2.75000E-05 16.0635
2.84375E-05 15.8021
2.93750E-05 15.5533
3.03125E-05 15.3164
3.12500E-05 15.0902
3.21875E-05 14.8740
3.31250E-05 14.6672
3.40625E-05 14.4691
3.50000E-05 14.2790
3.59375E-05 14.0965
3.68750E-05 13.9210
3.78125E-05 13.7522
3.87500E-05 13.5896
3.96875E-05 13.4329
4.06250E-05 13.2816
4.25000E-05 12.9944
4.43750E-05 12.7259
4.62500E-05 12.4740
4.81250E-05 12.2371
5.00000E-05 12.0138
5.15625E-05 11.8373
5.31250E-05 11.6687
5.46875E-05 11.5074
5.62500E-05 11.3531
5.78125E-05 11.2051
5.93750E-05 11.0630
6.09375E-05 10.9266
6.25000E-05 10.7954
6.40625E-05 10.6690
6.56250E-05 10.5473
6.71875E-05 10.4300
6.87500E-05 10.3167
7.18750E-05 10.1015
7.50000E-05 9.90013
7.81250E-05 9.71119
8.12500E-05 9.53347
8.43750E-05 9.36591
8.75000E-05 9.20759
9.06250E-05 9.05770
9.37500E-05 8.91554
9.68750E-05 8.78047
0.000100000 8.65192
0.000103125 8.52941
0.000106250 8.41247
0.000109375 8.30071
0.000112500 8.19376
0.000115625 8.09130
0.000118750 7.99302
0.000121875 7.89864
0.000125000 7.80794
0.000128125 7.72067
0.000131250 7.63663
0.000137500 7.47750
0.000143750 7.32920
0.000150000 7.19058
0.000156250 7.06065
0.000162500 6.93857
0.000168750 6.82358
0.000175000 6.71506
0.000181250 6.61242
0.000187500 6.51518
0.000193750 6.42288
0.000200000 6.33513
0.000209375 6.21129
0.000218750 6.09588
0.000228125 5.98801
0.000237500 5.88691
0.000246875 5.79194
0.000256250 5.70252
0.000265625 5.61814
0.000275000 5.53836
0.000284375 5.46281
0.000293750 5.39112
0.000303125 5.32300
0.000312500 5.25818
0.000321875 5.19639
0.000331250 5.13744
0.000340625 5.08110
0.000350000 5.02721
0.000359375 4.97560
0.000368750 4.92612
0.000378125 4.87864
0.000387500 4.83303
0.000406250 4.74697
0.000425000 4.66714
0.000443750 4.59287
0.000462500 4.52357
0.000481250 4.45873
0.000500000 4.39792
0.000515625 4.35005
0.000531250 4.30452
0.000546875 4.26116
0.000562500 4.21981
0.000578125 4.18032
0.000593750 4.14258
0.000609375 4.10646
0.000625000 4.07186
0.000640625 4.03868
0.000656250 4.00684
0.000687500 3.94682
0.000718750 3.89125
0.000750000 3.83962
0.000781250 3.79153
0.000812500 3.74661
0.000843750 3.70454
0.000875000 3.66507
0.000906250 3.62795
0.000937500 3.59298
0.000968750 3.55996
0.00100000 3.52873
0.00103125 3.49916
0.00106250 3.47110
0.00109375 3.44445
0.00112500 3.41909
0.00115625 3.39494
0.00118750 3.37190
0.00121875 3.34990
0.00125000 3.32888
0.00131250 3.28949
0.00137500 3.25327
0.00143750 3.21986
0.00150000 3.18893
0.00156250 3.16021
0.00162500 3.13346
0.00168750 3.10849
0.00175000 3.08512
0.00181250 3.06320
0.00187500 3.04258
0.00193750 3.02317
0.00200000 3.00484
0.00209375 2.97920
0.00218750 2.95554
0.00228125 2.93364
0.00237500 2.91330
0.00246875 2.89435
0.00256250 2.87665
0.00265625 2.86007
0.00275000 2.84452
0.00284375 2.82989
0.00293750 2.81610
0.00303125 2.80307
0.00312500 2.79075
0.00321875 2.77907
0.00331250 2.76799
0.00340625 2.75745
0.00350000 2.74742
0.00359375 2.73786
0.00368750 2.72873
0.00387500 2.71165
0.00406250 2.69599
0.00425000 2.68155
0.00443750 2.66820
0.00462500 2.65581
0.00481250 2.64428
0.00500000 2.63351
0.00515625 2.62506
0.00531250 2.61705
0.00546875 2.60945
0.00562500 2.60221
0.00578125 2.59532
0.00593750 2.58874
0.00625000 2.57645
0.00656250 2.56518
0.00687500 2.55480
0.00718750 2.54521
0.00750000 2.53631
0.00781250 2.52803
0.00812500 2.52029
0.00843750 2.51305
0.00875000 2.50625
0.00906250 2.49986
0.00937500 2.49383
0.00968750 2.48813
0.0100000 2.48273
0.0103125 2.47761
0.0106250 2.47275
0.0109375 2.46812
0.0112500 2.46371
0.0115625 2.45951
0.0118750 2.45548
0.0125000 2.44795
0.0131250 2.44102
0.0137500 2.43462
0.0143750 2.42869
0.0150000 2.42317
0.0156250 2.41801
