Te-124(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 356.092
1.03125E-05 350.673
1.06250E-05 345.495
1.09375E-05 340.541
1.12500E-05 335.795
1.15625E-05 331.243
1.18750E-05 326.872
1.21875E-05 322.671
1.25000E-05 318.628
1.28125E-05 314.734
1.31250E-05 310.981
1.34375E-05 307.359
1.37500E-05 303.861
1.43750E-05 297.212
1.50000E-05 290.984
1.56250E-05 285.134
1.62500E-05 279.625
1.68750E-05 274.426
1.75000E-05 269.508
1.81250E-05 264.847
1.87500E-05 260.422
1.93750E-05 256.213
2.00000E-05 252.203
2.09375E-05 246.529
2.18750E-05 241.225
2.28125E-05 236.252
2.37500E-05 231.577
2.46875E-05 227.172
2.56250E-05 223.011
2.65625E-05 219.073
2.75000E-05 215.339
2.84375E-05 211.791
2.93750E-05 208.415
3.03125E-05 205.198
3.12500E-05 202.126
3.21875E-05 199.191
3.31250E-05 196.381
3.40625E-05 193.689
3.50000E-05 191.105
3.59375E-05 188.624
3.68750E-05 186.239
3.78125E-05 183.943
3.87500E-05 181.731
3.96875E-05 179.598
4.06250E-05 177.540
4.25000E-05 173.631
4.43750E-05 169.973
4.62500E-05 166.541
4.81250E-05 163.312
5.00000E-05 160.268
5.15625E-05 157.859
5.31250E-05 155.558
5.46875E-05 153.357
5.62500E-05 151.249
5.78125E-05 149.227
5.93750E-05 147.286
6.09375E-05 145.421
6.25000E-05 143.626
6.40625E-05 141.898
6.56250E-05 140.232
6.71875E-05 138.625
6.87500E-05 137.073
7.18750E-05 134.125
7.50000E-05 131.363
7.81250E-05 128.770
8.12500E-05 126.329
8.43750E-05 124.026
8.75000E-05 121.848
9.06250E-05 119.785
9.37500E-05 117.827
9.68750E-05 115.965
0.000100000 114.191
0.000103125 112.500
0.000106250 110.884
0.000109375 109.339
0.000112500 107.859
0.000115625 106.440
0.000118750 105.078
0.000121875 103.769
0.000125000 102.510
0.000128125 101.298
0.000131250 100.130
0.000134375 99.0034
0.000137500 97.9156
0.000143750 95.8487
0.000150000 93.9137
0.000156250 92.0972
0.000162500 90.3878
0.000168750 88.7753
0.000175000 87.2510
0.000181250 85.8072
0.000187500 84.4371
0.000193750 83.1347
0.000200000 81.8945
0.000209375 80.1409
0.000218750 78.5027
0.000228125 76.9679
0.000237500 75.5261
0.000246875 74.1685
0.000256250 72.8871
0.000265625 71.6751
0.000275000 70.5266
0.000284375 69.4361
0.000293750 68.3991
0.000303125 67.4114
0.000312500 66.4690
0.000321875 65.5688
0.000331250 64.7077
0.000340625 63.8830
0.000350000 63.0922
0.000359375 62.3330
0.000368750 61.6034
0.000378125 60.9015
0.000387500 60.2257
0.000396875 59.5744
0.000406250 58.9461
0.000425000 57.7535
0.000443750 56.6386
0.000462500 55.5933
0.000481250 54.6107
0.000500000 53.6848
0.000515625 52.9528
0.000531250 52.2538
0.000546875 51.5856
0.000562500 50.9458
0.000578125 50.3326
0.000593750 49.7441
0.000609375 49.1788
0.000625000 48.6352
0.000640625 48.1119
0.000656250 47.6078
0.000671875 47.1216
0.000687500 46.6523
0.000718750 45.7609
0.000750000 44.9266
0.000781250 44.1438
0.000812500 43.4072
0.000843750 42.7126
0.000875000 42.0561
0.000906250 41.4343
0.000937500 40.8444
0.000968750 40.2837
0.00100000 39.7499
0.00103125 39.2408
0.00106250 38.7547
0.00109375 38.2899
0.00112500 37.8449
0.00115625 37.4183
0.00118750 37.0088
0.00121875 36.6155
0.00125000 36.2371
0.00128125 35.8729
0.00131250 35.5219
0.00134375 35.1834
0.00137500 34.8567
0.00143750 34.2359
0.00150000 33.6547
0.00156250 33.1092
0.00162500 32.5959
0.00168750 32.1117
0.00175000 31.6539
0.00181250 31.2203
0.00187500 30.8088
0.00193750 30.4176
0.00200000 30.0451
0.00209375 29.5182
0.00218750 29.0260
0.00228125 28.5647
0.00237500 28.1312
0.00246875 27.7229
0.00256250 27.3375
0.00265625 26.9728
0.00275000 26.6271
0.00284375 26.2988
0.00293750 25.9865
0.00303125 25.6889
0.00312500 25.4049
0.00321875 25.1335
0.00331250 24.8738
0.00340625 24.6250
0.00350000 24.3864
0.00359375 24.1572
0.00368750 23.9369
0.00378125 23.7249
0.00387500 23.5207
0.00396875 23.3238
0.00406250 23.1339
0.00425000 22.7731
0.00443750 22.4356
0.00462500 22.1190
0.00481250 21.8212
0.00500000 21.5405
0.00515625 21.3184
0.00531250 21.1062
0.00546875 20.9033
0.00562500 20.7089
0.00578125 20.5225
0.00593750 20.3436
0.00609375 20.1716
0.00625000 20.0062
0.00640625 19.8469
0.00656250 19.6933
0.00671875 19.5452
0.00687500 19.4021
0.00718750 19.1302
0.00750000 18.8756
0.00781250 18.6365
0.00812500 18.4114
0.00843750 18.1990
0.00875000 17.9981
0.00906250 17.8077
0.00937500 17.6270
0.00968750 17.4551
0.0100000 17.2914
0.0103125 17.1352
0.0106250 16.9860
0.0109375 16.8433
0.0112500 16.7066
0.0115625 16.5755
0.0118750 16.4496
0.0121875 16.3286
0.0125000 16.2122
0.0128125 16.1001
0.0131250 15.9921
0.0134375 15.8878
0.0137500 15.7872
0.0143750 15.5958
0.0150000 15.4166
0.0156250 15.2482
0.0162500 15.0897
0.0168750 14.9401
0.0175000 14.7986
0.0181250 14.6644
0.0187500 14.5371
0.0193750 14.4160
0.0200000 14.3006
0.0206625 14.1841
0.0213250 14.0730
0.0219875 13.9671
0.0226500 13.8658
0.0233125 13.7689
0.0239750 13.6760
0.0246375 13.5869
0.0253000 13.5013
0.0264578 13.3596
0.0276156 13.2269
0.0287734 13.1023
0.0299313 12.9851
0.0310891 12.8744
0.0322469 12.7698
0.0334047 12.6707
0.0345625 12.5766
0.0355274 12.5017
0.0364922 12.4297
0.0374570 12.3606
0.0384219 12.2941
0.0393867 12.2300
0.0403516 12.1683
