Cd-106(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 75.3832
1.03125E-05 74.2428
1.06250E-05 73.1532
1.09375E-05 72.1107
1.12500E-05 71.1122
1.15625E-05 70.1545
1.18750E-05 69.2350
1.21875E-05 68.3513
1.25000E-05 67.5010
1.28125E-05 66.6822
1.31250E-05 65.8928
1.34375E-05 65.1313
1.37500E-05 64.3960
1.43750E-05 62.9982
1.50000E-05 61.6892
1.56250E-05 60.4598
1.62500E-05 59.3023
1.68750E-05 58.2101
1.75000E-05 57.1772
1.81250E-05 56.1985
1.87500E-05 55.2694
1.93750E-05 54.3859
2.00000E-05 53.5443
2.09375E-05 52.3537
2.18750E-05 51.2410
2.28125E-05 50.1980
2.37500E-05 49.2179
2.46875E-05 48.2944
2.56250E-05 47.4225
2.65625E-05 46.5975
2.75000E-05 45.8154
2.84375E-05 45.0725
2.93750E-05 44.3658
3.03125E-05 43.6925
3.12500E-05 43.0499
3.21875E-05 42.4358
3.31250E-05 41.8483
3.40625E-05 41.2854
3.50000E-05 40.7455
3.59375E-05 40.2270
3.68750E-05 39.7287
3.78125E-05 39.2492
3.87500E-05 38.7874
3.96875E-05 38.3422
4.06250E-05 37.9127
4.25000E-05 37.0972
4.43750E-05 36.3346
4.62500E-05 35.6194
4.81250E-05 34.9470
5.00000E-05 34.3132
5.15625E-05 33.8120
5.31250E-05 33.3335
5.46875E-05 32.8758
5.62500E-05 32.4377
5.78125E-05 32.0177
5.93750E-05 31.6147
6.09375E-05 31.2275
6.25000E-05 30.8552
6.40625E-05 30.4968
6.56250E-05 30.1515
6.71875E-05 29.8185
6.87500E-05 29.4971
7.18750E-05 28.8867
7.50000E-05 28.3155
7.81250E-05 27.7797
8.12500E-05 27.2756
8.43750E-05 26.8005
8.75000E-05 26.3515
9.06250E-05 25.9265
9.37500E-05 25.5234
9.68750E-05 25.1405
0.000100000 24.7760
0.000103125 24.4287
0.000106250 24.0972
0.000109375 23.7803
0.000112500 23.4771
0.000115625 23.1867
0.000118750 22.9081
0.000121875 22.6405
0.000125000 22.3834
0.000128125 22.1360
0.000131250 21.8978
0.000134375 21.6681
0.000137500 21.4466
0.000143750 21.0262
0.000150000 20.6331
0.000156250 20.2647
0.000162500 19.9185
0.000168750 19.5923
0.000175000 19.2845
0.000181250 18.9933
0.000187500 18.7173
0.000193750 18.4553
0.000200000 18.2062
0.000209375 17.8545
0.000218750 17.5266
0.000228125 17.2200
0.000237500 16.9326
0.000246875 16.6624
0.000256250 16.4078
0.000265625 16.1675
0.000275000 15.9402
0.000284375 15.7248
0.000293750 15.5202
0.000303125 15.3257
0.000312500 15.1405
0.000321875 14.9638
0.000331250 14.7951
0.000340625 14.6338
0.000350000 14.4793
0.000359375 14.3313
0.000368750 14.1892
0.000378125 14.0528
0.000387500 13.9216
0.000396875 13.7954
0.000406250 13.6738
0.000425000 13.4434
0.000443750 13.2287
0.000462500 13.0279
0.000481250 12.8397
0.000500000 12.6627
0.000515625 12.5232
0.000531250 12.3902
0.000546875 12.2632
0.000562500 12.1420
0.000578125 12.0260
0.000593750 11.9148
0.000609375 11.8083
0.000625000 11.7060
0.000640625 11.6077
0.000656250 11.5131
0.000671875 11.4221
