48-Cd_n-g
> 48-Cd-106:0.014972
> 48-Cd-108:0.010660
> 48-Cd-110:0.149599
> 48-Cd-111:0.153312
> 48-Cd-112:0.289017
> 48-Cd-113:0.146365
> 48-Cd-114:0.146365
> 48-Cd-116:0.089711
1.000000e-05 1.11902034e+05
1.031250e-05 1.10193817e+05
1.062500e-05 1.08561534e+05
1.093750e-05 1.06999761e+05
1.125000e-05 1.05503513e+05
1.156250e-05 1.04068394e+05
1.187500e-05 1.02690298e+05
1.218750e-05 1.01365415e+05
1.250000e-05 1.00090665e+05
1.281250e-05 9.88628246e+04
1.312500e-05 9.76791076e+04
1.343750e-05 9.65370222e+04
1.375000e-05 9.54339301e+04
1.437500e-05 9.33368090e+04
1.500000e-05 9.13722051e+04
1.562500e-05 8.95266328e+04
1.625000e-05 8.77886576e+04
1.687500e-05 8.61481652e+04
1.750000e-05 8.45963599e+04
1.812500e-05 8.31254725e+04
1.875000e-05 8.17289062e+04
1.937500e-05 8.04003580e+04
2.000000e-05 7.91346967e+04
2.093750e-05 7.73435092e+04
2.187500e-05 7.56687145e+04
2.281250e-05 7.40981455e+04
2.375000e-05 7.26216875e+04
2.468750e-05 7.12301052e+04
2.562500e-05 6.99156296e+04
2.656250e-05 6.86715170e+04
2.750000e-05 6.74914645e+04
2.843750e-05 6.63701949e+04
2.937500e-05 6.53031636e+04
3.031250e-05 6.42859729e+04
3.125000e-05 6.33149584e+04
3.218750e-05 6.23866016e+04
3.312500e-05 6.14981173e+04
3.406250e-05 6.06464272e+04
3.500000e-05 5.98293323e+04
3.593750e-05 5.90443408e+04
3.687500e-05 5.82894005e+04
3.781250e-05 5.75628985e+04
3.875000e-05 5.68627828e+04
3.968750e-05 5.61877340e+04
4.062500e-05 5.55361397e+04
4.250000e-05 5.42983303e+04
4.437500e-05 5.31398263e+04
4.625000e-05 5.20524189e+04
4.812500e-05 5.10293644e+04
5.000000e-05 5.00643597e+04
5.156250e-05 4.93007700e+04
5.312500e-05 4.85711895e+04
5.468750e-05 4.78729792e+04
5.625000e-05 4.72040873e+04
5.781250e-05 4.65626076e+04
5.937500e-05 4.59466344e+04
6.093750e-05 4.53544092e+04
6.250000e-05 4.47846120e+04
6.406250e-05 4.42357773e+04
