Kr-83(n,g) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 10015.2
1.03125E-05 9862.31
1.06250E-05 9716.20
1.09375E-05 9576.39
1.12500E-05 9442.44
1.15625E-05 9313.97
1.18750E-05 9190.60
1.21875E-05 9072.01
1.25000E-05 8957.89
1.28125E-05 8847.97
1.31250E-05 8742.00
1.34375E-05 8639.75
1.37500E-05 8541.01
1.43750E-05 8353.27
1.50000E-05 8177.39
1.56250E-05 8012.17
1.62500E-05 7856.58
1.68750E-05 7709.72
1.75000E-05 7570.79
1.81250E-05 7439.11
1.87500E-05 7314.08
1.93750E-05 7195.14
2.00000E-05 7081.82
2.09375E-05 6921.46
2.18750E-05 6771.51
2.28125E-05 6630.91
2.37500E-05 6498.72
2.46875E-05 6374.13
2.56250E-05 6256.44
2.65625E-05 6145.04
2.75000E-05 6039.39
2.84375E-05 5939.00
2.93750E-05 5843.46
3.03125E-05 5752.39
3.12500E-05 5665.44
3.21875E-05 5582.33
3.31250E-05 5502.76
3.40625E-05 5426.51
3.50000E-05 5353.34
3.59375E-05 5283.05
3.68750E-05 5215.46
3.78125E-05 5150.40
3.87500E-05 5087.71
3.96875E-05 5027.26
4.06250E-05 4968.91
4.25000E-05 4858.07
4.43750E-05 4754.32
4.62500E-05 4656.95
4.81250E-05 4565.33
5.00000E-05 4478.91
5.15625E-05 4410.53
5.31250E-05 4345.18
5.46875E-05 4282.65
5.62500E-05 4222.75
5.78125E-05 4165.30
5.93750E-05 4110.12
6.09375E-05 4057.09
6.25000E-05 4006.05
6.40625E-05 3956.89
6.56250E-05 3909.50
6.71875E-05 3863.77
6.87500E-05 3819.61
7.18750E-05 3735.65
7.50000E-05 3657.00
7.81250E-05 3583.11
8.12500E-05 3513.53
8.43750E-05 3447.84
8.75000E-05 3385.71
9.06250E-05 3326.83
9.37500E-05 3270.91
9.68750E-05 3217.71
0.000100000 3167.04
0.000103125 3118.68
0.000106250 3072.47
0.000109375 3028.26
0.000112500 2985.90
0.000115625 2945.28
0.000118750 2906.26
0.000121875 2868.76
0.000125000 2832.67
0.000128125 2797.91
0.000131250 2764.40
0.000134375 2732.06
0.000137500 2700.84
0.000143750 2641.47
0.000150000 2585.85
0.000156250 2533.60
0.000162500 2484.40
0.000168750 2437.95
0.000175000 2394.02
0.000181250 2352.38
0.000187500 2312.84
0.000193750 2275.23
0.000200000 2239.39
0.000209375 2188.68
0.000218750 2141.26
0.000228125 2096.79
0.000237500 2054.99
0.000246875 2015.59
0.000256250 1978.37
0.000265625 1943.14
0.000275000 1909.73
0.000284375 1877.98
0.000293750 1847.77
0.000303125 1818.97
0.000312500 1791.47
0.000321875 1765.19
0.000331250 1740.03
0.000340625 1715.91
0.000350000 1692.77
0.000359375 1670.54
0.000368750 1649.17
0.000378125 1628.59
0.000387500 1608.77
0.000396875 1589.65
0.000406250 1571.20
0.000425000 1536.14
0.000443750 1503.33
0.000462500 1472.54
0.000481250 1443.56
0.000500000 1416.23
0.000515625 1394.61
0.000531250 1373.94
0.000546875 1354.17
0.000562500 1335.22
0.000578125 1317.05
0.000593750 1299.60
0.000609375 1282.83
0.000625000 1266.69
0.000640625 1251.14
0.000656250 1236.15
0.000671875 1221.69
0.000687500 1207.72
0.000718750 1181.17
0.000750000 1156.29
0.000781250 1132.93
0.000812500 1110.92
0.000843750 1090.15
0.000875000 1070.49
0.000906250 1051.87
0.000937500 1034.18
0.000968750 1017.36
0.00100000 1001.33
0.00103125 986.038
0.00106250 971.423
0.00109375 957.439
0.00112500 944.042
0.00115625 931.192
0.00118750 918.852
0.00121875 906.990
0.00125000 895.575
0.00128125 884.581
0.00131250 873.982
0.00134375 863.754
0.00137500 853.877
0.00143750 835.098
0.00150000 817.505
0.00156250 800.978
0.00162500 785.414
0.00168750 770.723
0.00175000 756.826
0.00181250 743.653
0.00187500 731.145
0.00193750 719.247
0.00200000 707.911
0.00209375 691.868
0.00218750 676.867
0.00228125 662.800
0.00237500 649.575
0.00246875 637.110
0.00256250 625.335
0.00265625 614.189
0.00275000 603.618
0.00284375 593.574
0.00293750 584.014
0.00303125 574.902
0.00312500 566.202
0.00321875 557.885
0.00331250 549.924
0.00340625 542.293
0.00350000 534.971
0.00359375 527.937
0.00368750 521.173
0.00378125 514.662
0.00387500 508.389
0.00396875 502.339
0.00406250 496.500
0.00425000 485.406
0.00443750 475.023
0.00462500 465.278
0.00481250 456.107
0.00500000 447.457
0.00515625 440.612
0.00531250 434.071
0.00546875 427.812
0.00562500 421.815
0.00578125 416.063
0.00593750 410.540
0.00609375 405.230
0.00625000 400.121
0.00640625 395.199
0.00656250 390.454
0.00671875 385.875
0.00687500 381.454
0.00718750 373.046
0.00750000 365.169
0.00781250 357.770
0.00812500 350.800
0.00843750 344.222
0.00875000 337.998
0.00906250 332.099
0.00937500 326.497
0.00968750 321.168
0.0100000 316.090
0.0103125 311.245
0.0106250 306.615
0.0109375 302.185
0.0112500 297.940
0.0115625 293.868
0.0118750 289.958
0.0121875 286.200
0.0125000 282.583
0.0128125 279.098
0.0131250 275.739
0.0134375 272.498
0.0137500 269.367
0.0143750 263.415
0.0150000 257.838
0.0156250 252.598
0.0162500 247.662
0.0168750 243.003
0.0175000 238.595
0.0181250 234.416
0.0187500 230.447
0.0193750 226.672
0.0200000 223.074
0.0206625 219.440
0.0213250 215.976
0.0219875 212.670
0.0226500 209.509
0.0233125 206.484
0.0239750 203.584
0.0246375 200.802
0.0253000 198.130
0.0264578 193.703
0.0276156 189.557
0.0287734 185.662
0.0299313 181.996
0.0310891 178.536
0.0322469 175.263
0.0334047 172.161
0.0345625 169.215
0.0355274 166.871
0.0364922 164.620
0.0374570 162.455
0.0384219 160.372
0.0393867 158.366
0.0403516 156.432
0.0413164 154.565
0.0422813 152.762
0.0442109 149.334
0.0461406 146.123
0.0480703 143.106
0.0500000 140.264
0.0515625 138.080
0.0531250 135.992
0.0546875 133.995
0.0562500 132.080
0.0578125 130.244
0.0593750 128.480
0.0609375 126.784
0.0625000 125.151
0.0640625 123.579
0.0656250 122.062
0.0671875 120.599
0.0687500 119.185
0.0718750 116.496
0.0750000 113.975
0.0781250 111.605
0.0812500 109.371
0.0843750 107.261
0.0875000 105.265
0.0906250 103.371
0.0937500 101.572
0.0968750 99.8591
0.100000 98.2268
0.103125 96.6684
0.106250 95.1785
0.109375 93.7522
0.112500 92.3850
0.115625 91.0730
0.118750 89.8125
0.121875 88.6003
0.125000 87.4334
0.128125 86.3091
0.131250 85.2248
0.134375 84.1782
0.137500 83.1671
0.143750 81.2428
0.150000 79.4375
0.156250 77.7392
0.162500 76.1379
0.168750 74.6249
0.175000 73.1921
0.181250 71.8328
0.187500 70.5408
0.193750 69.3108
0.200000 68.1381
0.204688 67.2936
0.209375 66.4772
0.218750 64.9222
0.228125 63.4613
0.237500 62.0853
0.246875 60.7864
0.256250 59.5577
0.265625 58.3932
0.275000 57.2872
0.284375 56.2350
0.293750 55.2323
0.303125 54.2753
0.312500 53.3605
0.321875 52.4848
0.331250 51.6455
0.340625 50.8401
0.350000 50.0664
0.359375 49.3222
0.368750 48.6057
0.378125 47.9153
0.387500 47.2492
0.396875 46.6063
0.406250 45.9853
0.415625 45.3851
0.425000 44.8044
0.443750 43.6966
0.462500 42.6534
0.500000 40.7424
0.531250 39.3017
0.562500 37.9754
0.593750 36.7514
0.625000 35.6169
0.656250 34.5615
0.687500 33.5762
0.750000 31.7868
0.812500 30.2002
0.875000 28.7843
0.937500 27.5068
1.00000 26.3428
1.06250 25.2795
1.12500 24.3031
1.18750 23.4024
1.25000 22.5680
1.31250 21.7923
1.37500 21.0686
1.43750 20.3916
1.50000 19.7564
1.62500 18.5958
1.75000 17.5628
1.87500 16.6340
2.00000 15.7902
2.09375 15.2078
2.18750 14.6647
2.28125 14.1560
2.37500 13.6785
2.56250 12.8059
2.75000 12.0294
2.93750 11.3325
3.12500 10.7018
3.31250 10.1298
3.50000 9.60872
3.68750 9.13215
3.87500 8.69478
4.06250 8.29212
4.25000 7.92037
4.43750 7.57627
4.62500 7.25701
4.81250 6.96015
5.00000 6.68428
5.31250 6.26411
5.62500 5.88720
5.93750 5.54838
6.25000 5.24273
6.56250 4.96615
6.87500 4.71521
7.18750 4.48700
7.50000 4.27903
7.81250 4.08919
8.12500 3.91566
8.43750 3.75685
8.75000 3.61142
9.06250 3.47815
9.37500 3.35602
9.68750 3.24413
10.0000 3.14168
10.3125 3.04797
10.6250 2.96241
10.9375 2.88445
11.2500 2.81364
11.5625 2.74958
11.8750 2.69193
12.1875 2.64038
12.5000 2.59469
12.8125 2.55467
13.1250 2.52015
13.4375 2.49100
13.7500 2.46716
14.0625 2.44858
14.3750 2.43525
14.6875 2.42723
