Hf-174(n,g) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 28834.1
1.03125E-05 28393.9
1.06250E-05 27973.2
1.09375E-05 27570.6
1.12500E-05 27185.0
1.15625E-05 26815.1
1.18750E-05 26459.9
1.21875E-05 26118.5
1.25000E-05 25789.9
1.28125E-05 25473.4
1.31250E-05 25168.3
1.34375E-05 24873.9
1.37500E-05 24589.6
1.43750E-05 24049.1
1.50000E-05 23542.7
1.56250E-05 23067.1
1.62500E-05 22619.1
1.68750E-05 22196.2
1.75000E-05 21796.2
1.81250E-05 21417.1
1.87500E-05 21057.1
1.93750E-05 20714.7
2.00000E-05 20388.4
2.09375E-05 19926.7
2.18750E-05 19495.0
2.28125E-05 19090.2
2.37500E-05 18709.6
2.46875E-05 18350.9
2.56250E-05 18012.0
2.65625E-05 17691.3
2.75000E-05 17387.1
2.84375E-05 17098.0
2.93750E-05 16823.0
3.03125E-05 16560.7
3.12500E-05 16310.4
3.21875E-05 16071.1
3.31250E-05 15842.0
3.40625E-05 15622.5
3.50000E-05 15411.8
3.59375E-05 15209.4
3.68750E-05 15014.8
3.78125E-05 14827.5
3.87500E-05 14647.0
3.96875E-05 14472.9
4.06250E-05 14304.9
4.25000E-05 13985.8
4.43750E-05 13687.1
4.62500E-05 13406.7
4.81250E-05 13142.9
5.00000E-05 12894.1
5.15625E-05 12697.2
5.31250E-05 12509.0
5.46875E-05 12329.0
5.62500E-05 12156.5
5.78125E-05 11991.1
5.93750E-05 11832.2
6.09375E-05 11679.5
6.25000E-05 11532.6
6.40625E-05 11391.0
6.56250E-05 11254.6
6.71875E-05 11122.9
6.87500E-05 10995.7
7.18750E-05 10754.0
7.50000E-05 10527.5
7.81250E-05 10314.7
8.12500E-05 10114.4
8.43750E-05 9925.25
8.75000E-05 9746.35
9.06250E-05 9576.78
9.37500E-05 9415.76
9.68750E-05 9262.59
0.000100000 9116.67
0.000103125 8977.42
0.000106250 8844.37
0.000109375 8717.05
0.000112500 8595.08
0.000115625 8478.09
0.000118750 8365.74
0.000121875 8257.75
0.000125000 8153.83
0.000128125 8053.73
0.000131250 7957.23
0.000134375 7864.12
0.000137500 7774.19
0.000143750 7603.23
0.000150000 7443.06
0.000156250 7292.59
0.000162500 7150.90
0.000168750 7017.14
0.000175000 6890.62
0.000181250 6770.70
0.000187500 6656.82
0.000193750 6548.50
0.000200000 6445.29
0.000209375 6299.24
0.000218750 6162.67
0.000228125 6034.61
0.000237500 5914.21
0.000246875 5800.73
0.000256250 5693.53
0.000265625 5592.06
0.000275000 5495.82
0.000284375 5404.38
0.000293750 5317.35
0.000303125 5234.39
0.000312500 5155.19
0.000321875 5079.47
0.000331250 5006.99
0.000340625 4937.53
0.000350000 4870.87
0.000359375 4806.83
0.000368750 4745.25
0.000378125 4685.98
0.000387500 4628.87
0.000396875 4573.79
0.000406250 4520.64
0.000425000 4419.64
0.000443750 4325.12
0.000462500 4236.39
0.000481250 4152.91
0.000500000 4074.16
0.000515625 4011.84
0.000531250 3952.29
0.000546875 3895.31
0.000562500 3840.72
0.000578125 3788.36
0.000593750 3738.07
0.000609375 3689.74
0.000625000 3643.22
0.000640625 3598.42
0.000656250 3555.22
0.000671875 3513.54
0.000687500 3473.28
0.000718750 3396.75
0.000750000 3325.04
0.000781250 3257.68
0.000812500 3194.24
0.000843750 3134.36
0.000875000 3077.70
0.000906250 3024.01
0.000937500 2973.01
0.000968750 2924.50
0.00100000 2878.29
0.00103125 2834.18
0.00106250 2792.04
0.00109375 2751.71
0.00112500 2713.07
0.00115625 2676.00
0.00118750 2640.41
0.00121875 2606.20
0.00125000 2573.27
0.00128125 2541.55
0.00131250 2510.97
0.00134375 2481.46
0.00137500 2452.97
0.00143750 2398.78
0.00150000 2348.01
0.00156250 2300.32
0.00162500 2255.39
0.00168750 2212.99
0.00175000 2172.86
0.00181250 2134.83
0.00187500 2098.72
0.00193750 2064.36
0.00200000 2031.62
0.00209375 1985.28
0.00218750 1941.94
0.00228125 1901.30
0.00237500 1863.08
0.00246875 1827.05
0.00256250 1793.02
0.00265625 1760.79
0.00275000 1730.23
0.00284375 1701.18
0.00293750 1673.53
0.00303125 1647.17
0.00312500 1622.00
0.00321875 1597.94
0.00331250 1574.90
0.00340625 1552.81
0.00350000 1531.62
0.00359375 1511.25
0.00368750 1491.67
0.00378125 1472.81
0.00387500 1454.64
0.00396875 1437.12
0.00406250 1420.20
0.00425000 1388.05
0.00443750 1357.96
0.00462500 1329.70
0.00481250 1303.10
0.00500000 1278.01
0.00515625 1258.14
0.00531250 1239.15
0.00546875 1220.98
0.00562500 1203.57
0.00578125 1186.86
0.00593750 1170.81
0.00609375 1155.38
0.00625000 1140.53
0.00640625 1126.23
0.00656250 1112.43
0.00671875 1099.11
0.00687500 1086.25
0.00718750 1061.78
0.00750000 1038.85
0.00781250 1017.29
0.00812500 996.978
0.00843750 977.795
0.00875000 959.639
0.00906250 942.422
0.00937500 926.064
0.00968750 910.496
0.0100000 895.656
0.0103125 881.489
0.0106250 867.946
0.0109375 854.981
0.0112500 842.554
0.0115625 830.629
