Sn-115(n,g) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 2935.84
1.03125E-05 2891.01
1.06250E-05 2848.18
1.09375E-05 2807.19
1.12500E-05 2767.93
1.15625E-05 2730.27
1.18750E-05 2694.11
1.21875E-05 2659.34
1.25000E-05 2625.89
1.28125E-05 2593.67
1.31250E-05 2562.61
1.34375E-05 2532.63
1.37500E-05 2503.69
1.43750E-05 2448.65
1.50000E-05 2397.10
1.56250E-05 2348.66
1.62500E-05 2303.06
1.68750E-05 2260.00
1.75000E-05 2219.28
1.81250E-05 2180.68
1.87500E-05 2144.03
1.93750E-05 2109.16
2.00000E-05 2075.94
2.09375E-05 2028.93
2.18750E-05 1984.98
2.28125E-05 1943.77
2.37500E-05 1905.01
2.46875E-05 1868.49
2.56250E-05 1833.99
2.65625E-05 1801.34
2.75000E-05 1770.37
2.84375E-05 1740.94
2.93750E-05 1712.93
3.03125E-05 1686.24
3.12500E-05 1660.75
3.21875E-05 1636.39
3.31250E-05 1613.06
3.40625E-05 1590.71
3.50000E-05 1569.26
3.59375E-05 1548.66
3.68750E-05 1528.84
3.78125E-05 1509.77
3.87500E-05 1491.40
3.96875E-05 1473.67
4.06250E-05 1456.57
4.25000E-05 1424.08
4.43750E-05 1393.67
4.62500E-05 1365.12
4.81250E-05 1338.27
5.00000E-05 1312.93
5.15625E-05 1292.89
5.31250E-05 1273.73
5.46875E-05 1255.40
5.62500E-05 1237.84
5.78125E-05 1221.00
5.93750E-05 1204.83
6.09375E-05 1189.28
6.25000E-05 1174.32
6.40625E-05 1159.91
6.56250E-05 1146.02
6.71875E-05 1132.61
6.87500E-05 1119.67
7.18750E-05 1095.06
7.50000E-05 1072.00
7.81250E-05 1050.34
8.12500E-05 1029.94
8.43750E-05 1010.69
8.75000E-05 992.474
9.06250E-05 975.211
9.37500E-05 958.819
9.68750E-05 943.227
0.000100000 928.371
0.000103125 914.196
0.000106250 900.651
0.000109375 887.691
0.000112500 875.274
0.000115625 863.364
0.000118750 851.928
0.000121875 840.934
0.000125000 830.355
0.000128125 820.166
0.000131250 810.342
0.000134375 800.864
0.000137500 791.710
0.000143750 774.307
0.000150000 758.002
0.000156250 742.686
0.000162500 728.263
0.000168750 714.648
0.000175000 701.769
0.000181250 689.563
0.000187500 677.971
0.000193750 666.946
0.000200000 656.441
0.000209375 641.575
0.000218750 627.675
0.000228125 614.641
0.000237500 602.386
0.000246875 590.836
0.000256250 579.926
0.000265625 569.599
0.000275000 559.804
0.000284375 550.498
0.000293750 541.641
0.000303125 533.198
0.000312500 525.138
0.000321875 517.433
0.000331250 510.057
0.000340625 502.987
0.000350000 496.204
0.000359375 489.688
0.000368750 483.422
0.000378125 477.390
0.000387500 471.579
0.000396875 465.975
0.000406250 460.566
0.000425000 450.289
0.000443750 440.672
0.000462500 431.645
0.000481250 423.150
0.000500000 415.139
0.000515625 408.799
0.000531250 402.741
0.000546875 396.944
0.000562500 391.390
0.000578125 386.064
0.000593750 380.949
0.000609375 376.031
0.000625000 371.300
0.000640625 366.743
0.000656250 362.349
0.000671875 358.109
0.000687500 354.015
0.000718750 346.231
0.000750000 338.939
0.000781250 332.088
0.000812500 325.637
0.000843750 319.547
0.000875000 313.787
0.000906250 308.327
0.000937500 303.142
0.000968750 298.210
0.00100000 293.512
0.00103125 289.028
0.00106250 284.744
0.00109375 280.644
0.00112500 276.717
0.00115625 272.950
0.00118750 269.332
0.00121875 265.855
0.00125000 262.509
0.00128125 259.286
0.00131250 256.178
0.00134375 253.180
0.00137500 250.285
0.00143750 244.779
0.00150000 239.622
0.00156250 234.777
0.00162500 230.214
0.00168750 225.907
0.00175000 221.833
0.00181250 217.971
0.00187500 214.304
0.00193750 210.816
0.00200000 207.493
0.00209375 202.789
0.00218750 198.391
0.00228125 194.268
0.00237500 190.390
0.00246875 186.736
0.00256250 183.284
0.00265625 180.016
0.00275000 176.917
0.00284375 173.972
0.00293750 171.169
0.00303125 168.497
0.00312500 165.947
0.00321875 163.508
0.00331250 161.174
0.00340625 158.937
0.00350000 156.790
0.00359375 154.728
0.00368750 152.745
0.00378125 150.836
0.00387500 148.996
0.00396875 147.222
0.00406250 145.510
0.00425000 142.258
0.00443750 139.213
0.00462500 136.356
0.00481250 133.667
0.00500000 131.131
0.00515625 129.123
0.00531250 127.205
0.00546875 125.370
0.00562500 123.612
0.00578125 121.925
0.00593750 120.306
0.00609375 118.749
0.00625000 117.250
0.00640625 115.807
0.00656250 114.416
0.00671875 113.073
0.00687500 111.776
0.00718750 109.311
0.00750000 107.001
0.00781250 104.831
0.00812500 102.787
0.00843750 100.858
0.00875000 99.0326
0.00906250 97.3025
0.00937500 95.6594
0.00968750 94.0964
0.0100000 92.6071
0.0103125 91.1860
0.0106250 89.8280
0.0109375 88.5285
0.0112500 87.2835
0.0115625 86.0892
0.0118750 84.9423
0.0121875 83.8398
0.0125000 82.7788
0.0128125 81.7569
0.0131250 80.7715
0.0134375 79.8207
0.0137500 78.9024
0.0143750 77.1563
0.0150000 75.5201
0.0156250 73.9829
0.0162500 72.5349
0.0168750 71.1678
0.0175000 69.8743
0.0181250 68.6482
0.0187500 67.4837
0.0193750 66.3758
0.0200000 65.3200
0.0206625 64.2536
0.0213250 63.2370
0.0219875 62.2666
0.0226500 61.3390
0.0233125 60.4510
0.0239750 59.6000
0.0246375 58.7835
0.0253000 57.9991
0.0264578 56.6995
0.0276156 55.4823
0.0287734 54.3391
0.0299313 53.2626
0.0310891 52.2467
0.0322469 51.2858
0.0334047 50.3750
0.0345625 49.5101
0.0355274 48.8216
0.0364922 48.1604
0.0374570 47.5247
0.0384219 46.9129
0.0393867 46.3236
0.0403516 45.7553
0.0413164 45.2069
0.0422813 44.6773
0.0442109 43.6702
0.0461406 42.7265
0.0480703 41.8398
0.0500000 41.0046
0.0515625 40.3628
0.0531250 39.7492
0.0546875 39.1620
0.0562500 38.5992
0.0578125 38.0592
0.0593750 37.5405
0.0609375 37.0417
0.0625000 36.5617
0.0640625 36.0993
0.0656250 35.6533
0.0671875 35.2230
0.0687500 34.8072
0.0718750 34.0162
0.0750000 33.2745
0.0781250 32.5770
0.0812500 31.9195
0.0843750 31.2985
0.0875000 30.7106
0.0906250 30.1530
0.0937500 29.6231
0.0968750 29.1188
0.100000 28.6380
0.103125 28.1789
0.106250 27.7399
0.109375 27.3196
0.112500 26.9167
0.115625 26.5300
0.118750 26.1584
0.121875 25.8010
0.125000 25.4569
0.128125 25.1253
0.131250 24.8055
0.134375 24.4968
0.137500 24.1985
0.143750 23.6308
0.150000 23.0980
0.156250 22.5966
0.162500 22.1237
0.168750 21.6768
0.175000 21.2535
0.181250 20.8519
0.187500 20.4700
0.193750 20.1063
0.200000 19.7596
0.204688 19.5098
0.209375 19.2684
0.218750 18.8084
0.228125 18.3761
0.237500 17.9687
0.246875 17.5840
0.256250 17.2201
0.265625 16.8751
0.275000 16.5473
0.284375 16.2354
0.293750 15.9381
0.303125 15.6542
0.312500 15.3828
0.321875 15.1230
0.331250 14.8739
0.340625 14.6348
0.350000 14.4050
0.359375 14.1840
0.368750 13.9711
0.378125 13.7660
0.387500 13.5681
0.396875 13.3769
0.406250 13.1922
0.415625 13.0135
0.425000 12.8406
0.434375 12.6733
0.443750 12.5112
0.457813 12.2770
0.471875 12.0527
0.500000 11.6323
0.531250 11.2033
0.562500 10.8081
0.593750 10.4433
0.625000 10.1051
0.656250 9.79033
0.687500 9.49645
0.750000 8.96260
0.812500 8.48919
0.875000 8.06661
0.937500 7.68539
1.00000 7.33817
1.06250 7.02107
1.12500 6.72999
1.18750 6.46159
1.25000 6.21309
1.31250 5.98219
1.37500 5.76694
1.43750 5.56570
1.50000 5.37704
1.62500 5.03276
1.75000 4.72679
1.87500 4.45224
2.00000 4.20345
2.09375 4.03202
2.18750 3.87241
2.28125 3.72317
2.37500 3.58330
2.46875 3.45195
2.56250 3.32835
2.65625 3.21184
2.75000 3.10224
2.93750 2.90000
3.12500 2.71767
3.31250 2.55287
3.50000 2.40323
3.68750 2.26683
3.87500 2.14205
4.06250 2.02753
4.25000 1.92211
4.43750 1.82480
4.62500 1.73476
4.81250 1.65125
5.00000 1.57359
5.15625 1.51295
5.31250 1.45578
5.46875 1.40176
5.62500 1.35083
5.93750 1.25671
6.25000 1.17179
6.56250 1.09504
6.87500 1.02542
7.18750 0.962073
7.50000 0.904261
7.81250 0.851355
8.12500 0.802815
8.43750 0.758175
8.75000 0.717027
9.06250 0.679020
9.37500 0.643843
9.68750 0.611224
10.0000 0.580923
10.3125 0.552728
10.6250 0.526451
10.9375 0.501924
11.2500 0.478996
11.5625 0.457534
11.8750 0.437417
12.1875 0.418537
12.5000 0.400796
12.8125 0.384106
13.1250 0.368388
13.4375 0.353568
13.7500 0.339581
14.0625 0.326367
14.3750 0.313871
14.6875 0.302043
15.0000 0.290866
15.6250 0.270183
16.2500 0.251497
16.8750 0.234590
17.5000 0.219248
18.1250 0.205288
18.7500 0.192553
19.3750 0.180907
20.0000 0.170226
20.7031 0.159264
21.4063 0.149245
22.1094 0.140124
22.8125 0.131745
23.5156 0.124079
24.2188 0.117009
24.9219 0.110566
25.6250 0.104517
26.5625 0.0972010
27.5000 0.0905883
28.4375 0.0845939
29.3750 0.0791450
30.3125 0.0741793
31.2500 0.0696428
32.1875 0.0654890
33.1250 0.0616772
34.0625 0.0581718
35.0000 0.0549420
35.9375 0.0519603
36.8750 0.0492028
37.8125 0.0466482
38.7500 0.0442776
39.6875 0.0420744
40.6250 0.0400236
41.5625 0.0381118
42.5000 0.0363273
43.4375 0.0346592
44.3750 0.0330980
45.3125 0.0316351
46.2500 0.0302626
47.1875 0.0289733
48.1250 0.0277611
49.0625 0.0266200
50.0000 0.0255459
51.5625 0.0238884
53.1250 0.0223795
54.6875 0.0210036
56.2500 0.0197460
57.8125 0.0185940
59.3750 0.0175364
60.9375 0.0165635
62.5000 0.0156669
64.0625 0.0148389
65.6250 0.0140730
67.1875 0.0133634
68.7500 0.0127048
70.3125 0.0120927
71.8750 0.0115229
73.4375 0.0109917
75.0000 0.0104960
76.5625 0.0100326
78.1250 0.00959897
79.6875 0.00919271
81.2500 0.00881164
82.8125 0.00845381
84.3750 0.00811745
85.9375 0.00780095
87.5000 0.00750283
89.0625 0.00722178
90.6250 0.00695657
92.1875 0.00670608
93.7500 0.00646963
96.8750 0.00603388
100.000 0.00564242
103.125 0.00529005
106.250 0.00497205
109.375 0.00468437
112.500 0.00442357
115.625 0.00418666
118.750 0.00397107
121.875 0.00377458
125.000 0.00359525
128.125 0.00343139
131.250 0.00328153
134.375 0.00314437
137.500 0.00301879
140.625 0.00290378
143.750 0.00279848
146.875 0.00270211
150.000 0.00261400
153.125 0.00253357
156.250 0.00246029
159.375 0.00239371
162.500 0.00233345
165.625 0.00227916
168.750 0.00223058
175.000 0.00214964
179.688 0.00210297
184.375 0.00206674
189.063 0.00204271
193.750 0.00202933
200.000 0.00203104
203.622 0.00204304
207.245 0.00206363
210.867 0.00209339
214.489 0.00213367
218.111 0.00218695
221.734 0.00225423
225.356 0.00233748
228.978 0.00244021
231.876 0.00254002
234.773 0.00265782
238.758 0.00285655
240.750 0.00297525
242.742 0.00310986
244.735 0.00326198
246.727 0.00343574
248.719 0.00363443
250.711 0.00386210
252.160 0.00404994
253.609 0.00425931
255.058 0.00449351
256.507 0.00475655
257.956 0.00505226
259.948 0.00552492
260.944 0.00579564
261.940 0.00609296
262.936 0.00642046
263.933 0.00678233
264.929 0.00718353
265.925 0.00762996
267.374 0.00837495
268.098 0.00879729
268.822 0.00925831
270.090 0.0101734
270.724 0.0106909
271.358 0.0112547
271.992 0.0118707
272.626 0.0125453
273.260 0.0132863
273.894 0.0140992
274.437 0.0148636
274.980 0.0157015
275.524 0.0166199
276.067 0.0176287
276.565 0.0186436
277.063 0.0197560
277.561 0.0209792
278.059 0.0223279
278.557 0.0238206
279.055 0.0254779
279.553 0.0273258
280.051 0.0293940
280.482 0.0313862
280.912 0.0335980
281.342 0.0360644
281.772 0.0388247
282.202 0.0419288
282.632 0.0454314
283.062 0.0494023
283.277 0.0515942
283.492 0.0539411
283.742 0.0568748
283.991 0.0600614
284.240 0.0635317
284.489 0.0673202
284.738 0.0714690
284.987 0.0760215
285.236 0.0810342
285.485 0.0865715
285.734 0.0927122
285.983 0.0995420
286.232 0.107175
286.356 0.111329
286.481 0.115735
286.605 0.120416
286.730 0.125388
286.854 0.130680
286.979 0.136320
287.103 0.142339
287.228 0.148771
287.352 0.155655
287.477 0.163034
287.624 0.172464
287.771 0.182747
287.919 0.193994
288.066 0.206324
288.213 0.219900
288.360 0.234879
288.507 0.251484
288.654 0.269934
288.779 0.287212
288.903 0.306234
289.028 0.327244
289.152 0.350532
289.277 0.376447
289.339 0.390527
289.401 0.405402
289.464 0.421185
289.526 0.437899
289.588 0.455678
289.650 0.474551
289.752 0.508162
289.854 0.545557
289.905 0.565878
289.956 0.587340
290.007 0.610123
290.058 0.634244
290.109 0.659916
290.160 0.687169
290.211 0.716256
290.262 0.747226
290.313 0.780385
290.364 0.815810
290.414 0.853794
290.465 0.894602
290.528 0.948834
290.590 1.00829
290.652 1.07391
290.714 1.14641
290.777 1.22712
290.808 1.27085
290.839 1.31715
290.870 1.36638
290.901 1.41849
290.932 1.47393
290.963 1.53302
290.995 1.59636
291.026 1.66398
291.057 1.73660
291.088 1.81482
291.119 1.89965
291.150 1.99139
291.181 2.09132
291.212 2.20067
291.244 2.32131
291.275 2.45426
291.306 2.60203
291.337 2.76722
291.368 2.95361
291.384 3.05573
291.399 3.16381
291.415 3.27984
291.430 3.40297
291.446 3.53552
291.461 3.67658
291.480 3.85729
291.498 4.05390
291.517 4.26812
291.535 4.50187
291.553 4.75722
291.572 5.03650
291.590 5.34222
291.609 5.67714
291.627 6.04426
291.645 6.44685
291.664 6.88844
291.682 7.37284
291.701 7.90416
291.719 8.48678
291.737 9.12541
291.756 9.82502
291.771 10.4699
291.787 11.1657
291.803 11.9160
291.818 12.7191
291.834 13.5892
291.849 14.5187
291.865 15.5238
291.880 16.5955
291.896 17.7518
291.911 18.9818
291.927 20.3057
291.942 21.7106
291.958 23.2187
291.974 24.8146
291.989 26.5228
292.005 28.3252
292.018 29.9832
292.032 31.7123
292.045 33.5404
292.058 35.4422
292.072 37.4478
292.085 39.5290
292.099 41.7179
292.112 43.9832
292.126 46.3593
292.139 48.8113
292.153 51.3759
292.166 54.0148
292.180 56.7666
292.193 59.5895
292.206 62.5021
292.220 65.5025
292.245 71.4458
292.271 77.6776
292.296 84.1709
292.322 90.8660
292.347 97.7764
292.373 104.831
292.398 111.978
292.424 119.132
292.486 136.442
292.517 144.721
292.548 152.565
292.579 159.918
292.610 166.602
292.647 173.465
292.678 178.280
292.709 182.097
292.728 183.889
292.747 185.270
292.771 186.454
292.796 186.927
292.800 186.936
292.813 186.819
292.842 185.838
292.871 183.878
292.897 181.281
292.923 177.941
292.949 173.903
292.975 169.240
293.001 163.997
293.027 158.240
293.052 152.310
293.077 146.064
293.102 139.517
293.127 132.787
293.179 118.281
293.231 103.700
293.264 94.5805
293.297 85.7670
293.330 77.3225
293.363 69.3203
293.389 63.3592
293.415 57.7484
293.441 52.4777
293.467 47.5546
