Xe-134(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 4524.38
1.03125E-05 4455.31
1.06250E-05 4389.30
1.09375E-05 4326.15
1.12500E-05 4265.64
1.15625E-05 4207.61
1.18750E-05 4151.88
1.21875E-05 4098.30
1.25000E-05 4046.75
1.28125E-05 3997.10
1.31250E-05 3949.23
1.34375E-05 3903.04
1.37500E-05 3858.44
1.43750E-05 3773.63
1.50000E-05 3694.19
1.56250E-05 3619.55
1.62500E-05 3549.27
1.68750E-05 3482.93
1.75000E-05 3420.17
1.81250E-05 3360.69
1.87500E-05 3304.21
1.93750E-05 3250.48
2.00000E-05 3199.29
2.09375E-05 3126.85
2.18750E-05 3059.12
2.28125E-05 2995.61
2.37500E-05 2935.90
2.46875E-05 2879.62
2.56250E-05 2826.46
2.65625E-05 2776.14
2.75000E-05 2728.41
2.84375E-05 2683.07
2.93750E-05 2639.91
3.03125E-05 2598.77
3.12500E-05 2559.50
3.21875E-05 2521.96
3.31250E-05 2486.02
3.40625E-05 2451.57
3.50000E-05 2418.52
3.59375E-05 2386.77
3.68750E-05 2356.24
3.78125E-05 2326.85
3.87500E-05 2298.54
3.96875E-05 2271.23
4.06250E-05 2244.88
4.25000E-05 2194.81
4.43750E-05 2147.95
4.62500E-05 2103.97
4.81250E-05 2062.58
5.00000E-05 2023.55
5.15625E-05 1992.66
5.31250E-05 1963.14
5.46875E-05 1934.90
5.62500E-05 1907.84
5.78125E-05 1881.89
5.93750E-05 1856.97
6.09375E-05 1833.01
6.25000E-05 1809.96
6.40625E-05 1787.76
6.56250E-05 1766.35
6.71875E-05 1745.70
6.87500E-05 1725.76
7.18750E-05 1687.83
7.50000E-05 1652.31
7.81250E-05 1618.93
8.12500E-05 1587.51
8.43750E-05 1557.84
8.75000E-05 1529.78
9.06250E-05 1503.18
9.37500E-05 1477.93
9.68750E-05 1453.90
0.000100000 1431.02
0.000103125 1409.18
0.000106250 1388.31
0.000109375 1368.34
0.000112500 1349.21
0.000115625 1330.86
0.000118750 1313.24
0.000121875 1296.30
0.000125000 1280.00
0.000128125 1264.31
0.000131250 1249.17
0.000134375 1234.57
0.000137500 1220.47
0.000143750 1193.66
0.000150000 1168.54
0.000156250 1144.94
0.000162500 1122.72
0.000168750 1101.75
0.000175000 1081.91
0.000181250 1063.11
0.000187500 1045.25
0.000193750 1028.26
0.000200000 1012.08
0.000209375 989.182
0.000218750 967.770
0.000228125 947.693
0.000237500 928.816
0.000246875 911.026
0.000256250 894.221
0.000265625 878.314
0.000275000 863.228
0.000284375 848.894
0.000293750 835.252
0.000303125 822.248
0.000312500 809.834
0.000321875 797.966
0.000331250 786.606
0.000340625 775.718
0.000350000 765.271
0.000359375 755.236
0.000368750 745.585
0.000378125 736.296
0.000387500 727.347
0.000396875 718.716
0.000406250 710.386
0.000425000 694.560
0.000443750 679.749
0.000462500 665.848
0.000481250 652.768
0.000500000 640.431
0.000515625 630.668
0.000531250 621.339
0.000546875 612.414
0.000562500 603.862
0.000578125 595.660
0.000593750 587.784
0.000609375 580.213
0.000625000 572.928
0.000640625 565.911
0.000656250 559.146
0.000671875 552.619
0.000687500 546.315
0.000718750 534.331
0.000750000 523.104
0.000781250 512.557
0.000812500 502.625
0.000843750 493.250
0.000875000 484.382
0.000906250 475.977
0.000937500 467.996
0.000968750 460.404
0.00100000 453.172
0.00103125 446.270
0.00106250 439.675
0.00109375 433.365
0.00112500 427.320
0.00115625 421.522
0.00118750 415.954
0.00121875 410.602
0.00125000 405.452
0.00128125 400.491
0.00131250 395.709
0.00134375 391.095
0.00137500 386.638
0.00143750 378.166
0.00150000 370.229
0.00156250 362.773
0.00162500 355.752
0.00168750 349.124
0.00175000 342.855
0.00181250 336.913
0.00187500 331.271
0.00193750 325.904
0.00200000 320.790
0.00209375 313.554
0.00218750 306.788
0.00228125 300.444
0.00237500 294.479
0.00246875 288.857
0.00256250 283.547
0.00265625 278.520
0.00275000 273.753
0.00284375 269.224
0.00293750 264.913
0.00303125 260.804
0.00312500 256.881
0.00321875 253.131
0.00331250 249.542
0.00340625 246.101
0.00350000 242.800
0.00359375 239.629
0.00368750 236.580
0.00378125 233.645
0.00387500 230.817
0.00396875 228.090
0.00406250 225.458
0.00425000 220.457
0.00443750 215.777
0.00462500 211.385
0.00481250 207.252
0.00500000 203.354
0.00515625 200.270
0.00531250 197.322
0.00546875 194.502
0.00562500 191.800
0.00578125 189.209
0.00593750 186.721
0.00609375 184.329
0.00625000 182.027
0.00640625 179.810
0.00656250 177.673
0.00671875 175.611
0.00687500 173.619
0.00718750 169.833
0.00750000 166.286
0.00781250 162.954
0.00812500 159.816
0.00843750 156.854
0.00875000 154.052
0.00906250 151.397
0.00937500 148.875
0.00968750 146.477
0.0100000 144.192
0.0103125 142.012
0.0106250 139.928
0.0109375 137.935
0.0112500 136.026
0.0115625 134.194
0.0118750 132.436
0.0121875 130.745
0.0125000 129.119
0.0128125 127.552
0.0131250 126.042
0.0134375 124.585
0.0137500 123.178
0.0143750 120.502
