Te-126(n,g) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 22.2453
1.03125E-05 21.9057
1.06250E-05 21.5812
1.09375E-05 21.2706
1.12500E-05 20.9731
1.15625E-05 20.6878
1.18750E-05 20.4137
1.21875E-05 20.1503
1.25000E-05 19.8968
1.28125E-05 19.6527
1.31250E-05 19.4173
1.34375E-05 19.1902
1.37500E-05 18.9709
1.43750E-05 18.5539
1.50000E-05 18.1633
1.56250E-05 17.7963
1.62500E-05 17.4507
1.68750E-05 17.1245
1.75000E-05 16.8159
1.81250E-05 16.5234
1.87500E-05 16.2457
1.93750E-05 15.9815
2.00000E-05 15.7298
2.09375E-05 15.3736
2.18750E-05 15.0406
2.28125E-05 14.7283
2.37500E-05 14.4347
2.46875E-05 14.1580
2.56250E-05 13.8966
2.65625E-05 13.6491
2.75000E-05 13.4144
2.84375E-05 13.1915
2.93750E-05 12.9793
3.03125E-05 12.7770
3.12500E-05 12.5839
3.21875E-05 12.3993
3.31250E-05 12.2225
3.40625E-05 12.0532
3.50000E-05 11.8906
3.59375E-05 11.7345
3.68750E-05 11.5844
3.78125E-05 11.4399
3.87500E-05 11.3006
3.96875E-05 11.1664
4.06250E-05 11.0368
4.25000E-05 10.7906
4.43750E-05 10.5601
4.62500E-05 10.3439
4.81250E-05 10.1404
5.00000E-05 9.94842
5.15625E-05 9.79652
5.31250E-05 9.65138
5.46875E-05 9.51250
5.62500E-05 9.37946
5.78125E-05 9.25184
5.93750E-05 9.12929
6.09375E-05 9.01149
6.25000E-05 8.89813
6.40625E-05 8.78895
6.56250E-05 8.68369
6.71875E-05 8.58212
6.87500E-05 8.48404
7.18750E-05 8.29755
7.50000E-05 8.12285
7.81250E-05 7.95873
8.12500E-05 7.80418
8.43750E-05 7.65829
8.75000E-05 7.52029
9.06250E-05 7.38949
9.37500E-05 7.26529
9.68750E-05 7.14715
0.000100000 7.03459
0.000103125 6.92718
0.000106250 6.82455
0.000109375 6.72635
0.000112500 6.63227
0.000115625 6.54203
0.000118750 6.45538
0.000121875 6.37208
0.000125000 6.29193
0.000128125 6.21472
0.000131250 6.14029
0.000134375 6.06847
0.000137500 5.99911
0.000143750 5.86725
